"","GeneID","F_heteroclitusMDPP_BW_1.quant","F_heteroclitusMDPP_BW_2.quant","F_heteroclitusMDPP_BW_3.quant","F_heteroclitusMDPP_FW_1.quant","F_heteroclitusMDPP_FW_2.quant","F_heteroclitusMDPP_FW_3.quant","F_heteroclitusMDPP_transfer_1.quant","F_heteroclitusMDPP_transfer_2.quant","F_heteroclitusMDPP_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"83037","ENSXMAP00000013013","273.386481064391","262.05729601684","271.372717997705","164.199977457112","172.67804030303","102.426138136999","56.2724826124907","87.1549677490461","60.7127774062651",161.140097638209,-1.09497155540266,0.314336356016324,-3.48343910732934,0.000495015716141391,0.10262854404459,161.140097638209,-1.98531169601146,0.310635263805756,-6.39113432161039,1.64659656444253e-10,9.21558932204376e-07,"TRINITY_DN202877_c1_g2_i1","TRINITY_DN202877_c1_g2","Transcript_496892","gi|831501366|ref|XP_012710761.1| PREDICTED: V-type proton ATPase catalytic subunit A-like [Fundulus heteroclitus]"
"83038","ENSXMAP00000013013","273.386481064391","262.05729601684","271.372717997705","164.199977457112","172.67804030303","102.426138136999","56.2724826124907","87.1549677490461","60.7127774062651",161.140097638209,-1.09497155540266,0.314336356016324,-3.48343910732934,0.000495015716141391,0.10262854404459,161.140097638209,-1.98531169601146,0.310635263805756,-6.39113432161039,1.64659656444253e-10,9.21558932204376e-07,"TRINITY_DN202877_c1_g1_i2","TRINITY_DN202877_c1_g1","Transcript_496888","gi|831501366|ref|XP_012710761.1| PREDICTED: V-type proton ATPase catalytic subunit A-like [Fundulus heteroclitus]"
"83039","ENSXMAP00000013013","273.386481064391","262.05729601684","271.372717997705","164.199977457112","172.67804030303","102.426138136999","56.2724826124907","87.1549677490461","60.7127774062651",161.140097638209,-1.09497155540266,0.314336356016324,-3.48343910732934,0.000495015716141391,0.10262854404459,161.140097638209,-1.98531169601146,0.310635263805756,-6.39113432161039,1.64659656444253e-10,9.21558932204376e-07,"TRINITY_DN202877_c1_g1_i2","TRINITY_DN202877_c1_g1","Transcript_496888","gi|831507386|ref|XP_012712871.1| PREDICTED: V-type proton ATPase catalytic subunit A [Fundulus heteroclitus]"
"83040","ENSXMAP00000013013","273.386481064391","262.05729601684","271.372717997705","164.199977457112","172.67804030303","102.426138136999","56.2724826124907","87.1549677490461","60.7127774062651",161.140097638209,-1.09497155540266,0.314336356016324,-3.48343910732934,0.000495015716141391,0.10262854404459,161.140097638209,-1.98531169601146,0.310635263805756,-6.39113432161039,1.64659656444253e-10,9.21558932204376e-07,"TRINITY_DN202877_c1_g2_i1","TRINITY_DN202877_c1_g2","Transcript_496892","gi|831507386|ref|XP_012712871.1| PREDICTED: V-type proton ATPase catalytic subunit A [Fundulus heteroclitus]"
"83041","ENSXMAP00000013013","273.386481064391","262.05729601684","271.372717997705","164.199977457112","172.67804030303","102.426138136999","56.2724826124907","87.1549677490461","60.7127774062651",161.140097638209,-1.09497155540266,0.314336356016324,-3.48343910732934,0.000495015716141391,0.10262854404459,161.140097638209,-1.98531169601146,0.310635263805756,-6.39113432161039,1.64659656444253e-10,9.21558932204376e-07,"TRINITY_DN214736_c1_g1_i1","TRINITY_DN214736_c1_g1","Transcript_346772","gi|831507386|ref|XP_012712871.1| PREDICTED: V-type proton ATPase catalytic subunit A [Fundulus heteroclitus]"
"10858","ENSONIP00000002672","44.6292082696798","36.4236603203504","29.0632988317895","35.7293710796436","2.07636228999749","940.140434679055","8670.26273944805","11196.2707958194","18595.6436818557",4394.4710613993,5.2972458190227,1.48600224838613,3.56476299061846,0.000364185127958481,0.0825827713596685,4394.4710613993,8.44682884384695,1.4931117349481,5.65719808246004,1.5386415116277e-08,3.82728528008993e-05,"TRINITY_DN214575_c0_g1_i4","TRINITY_DN214575_c0_g1","Transcript_290053","gi|831505231|ref|XP_012712132.1| PREDICTED: carboxylesterase 3, partial [Fundulus heteroclitus]"
"10859","ENSONIP00000002672","44.6292082696798","36.4236603203504","29.0632988317895","35.7293710796436","2.07636228999749","940.140434679055","8670.26273944805","11196.2707958194","18595.6436818557",4394.4710613993,5.2972458190227,1.48600224838613,3.56476299061846,0.000364185127958481,0.0825827713596685,4394.4710613993,8.44682884384695,1.4931117349481,5.65719808246004,1.5386415116277e-08,3.82728528008993e-05,"TRINITY_DN214575_c0_g1_i4","TRINITY_DN214575_c0_g1","Transcript_290053","gi|831502690|ref|XP_012711222.1| PREDICTED: thyroglobulin [Fundulus heteroclitus]"
"10860","ENSONIP00000002672","44.6292082696798","36.4236603203504","29.0632988317895","35.7293710796436","2.07636228999749","940.140434679055","8670.26273944805","11196.2707958194","18595.6436818557",4394.4710613993,5.2972458190227,1.48600224838613,3.56476299061846,0.000364185127958481,0.0825827713596685,4394.4710613993,8.44682884384695,1.4931117349481,5.65719808246004,1.5386415116277e-08,3.82728528008993e-05,"TRINITY_DN201164_c6_g1_i3","TRINITY_DN201164_c6_g1","Transcript_321806","gi|831502690|ref|XP_012711222.1| PREDICTED: thyroglobulin [Fundulus heteroclitus]"
"15900","ENSONIP00000012238","0","0","0","5.15954003850104","0","10.1549384899985","22.8665908774205","57.254593120932","137.304612238021",25.8600305294303,3.78583299184997,1.17035388307219,3.23477628998174,0.00121738073575007,0.173210204160414,25.8600305294303,8.84064141678842,1.62231277319235,5.44940628149773,5.05382454834968e-08,8.08142644027889e-05,"TRINITY_DN210928_c3_g1_i4","TRINITY_DN210928_c3_g1","Transcript_548201","gi|831491813|ref|XP_012707386.1| PREDICTED: branched-chain-amino-acid aminotransferase, cytosolic-like isoform X1 [Fundulus heteroclitus]"
"15901","ENSONIP00000012238","0","0","0","5.15954003850104","0","10.1549384899985","22.8665908774205","57.254593120932","137.304612238021",25.8600305294303,3.78583299184997,1.17035388307219,3.23477628998174,0.00121738073575007,0.173210204160414,25.8600305294303,8.84064141678842,1.62231277319235,5.44940628149773,5.05382454834968e-08,8.08142644027889e-05,"TRINITY_DN210928_c3_g1_i4","TRINITY_DN210928_c3_g1","Transcript_548201","gi|831491816|ref|XP_012707387.1| PREDICTED: branched-chain-amino-acid aminotransferase, cytosolic-like isoform X2 [Fundulus heteroclitus]"
"62135","ENSXMAP00000007572","16.7414757195192","2.12593322011578","0","42.5567301059519","7.88792006278184","203.774592024158","3252.68871526633","1335.40063182391","362.537146194057",580.41257160187,4.28127369379441,1.51867138904439,2.81909155902934,0.00481597787184138,0.34821278980121,580.41257160187,8.02281199187681,1.54769560859915,5.18371438627935,2.17509941911964e-07,0.000231875955694435,"TRINITY_DN214575_c0_g1_i3","TRINITY_DN214575_c0_g1","Transcript_290052","gi|831505231|ref|XP_012712132.1| PREDICTED: carboxylesterase 3, partial [Fundulus heteroclitus]"
"62136","ENSXMAP00000007572","16.7414757195192","2.12593322011578","0","42.5567301059519","7.88792006278184","203.774592024158","3252.68871526633","1335.40063182391","362.537146194057",580.41257160187,4.28127369379441,1.51867138904439,2.81909155902934,0.00481597787184138,0.34821278980121,580.41257160187,8.02281199187681,1.54769560859915,5.18371438627935,2.17509941911964e-07,0.000231875955694435,"TRINITY_DN214575_c0_g1_i3","TRINITY_DN214575_c0_g1","Transcript_290052","gi|831502690|ref|XP_012711222.1| PREDICTED: thyroglobulin [Fundulus heteroclitus]"
"46181","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i3","TRINITY_DN210200_c2_g1","Transcript_252890","gi|831500832|ref|XP_012710571.1| PREDICTED: chromodomain Y-like protein 2 isoform X2 [Fundulus heteroclitus]"
"46182","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i3","TRINITY_DN210200_c2_g1","Transcript_252890","gi|831500829|ref|XP_012710570.1| PREDICTED: chromodomain Y-like protein 2 isoform X1 [Fundulus heteroclitus]"
"46183","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i6","TRINITY_DN210200_c2_g1","Transcript_252893","gi|831500829|ref|XP_012710570.1| PREDICTED: chromodomain Y-like protein 2 isoform X1 [Fundulus heteroclitus]"
"46184","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i4","TRINITY_DN210200_c2_g1","Transcript_252891","gi|831500832|ref|XP_012710571.1| PREDICTED: chromodomain Y-like protein 2 isoform X2 [Fundulus heteroclitus]"
"46185","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i4","TRINITY_DN210200_c2_g1","Transcript_252891","gi|831500829|ref|XP_012710570.1| PREDICTED: chromodomain Y-like protein 2 isoform X1 [Fundulus heteroclitus]"
"46186","ENSXMAP00000003151","88.6768098855292","76.8178956225153","78.0974046437322","115.895416513696","112.059477640261","132.11798258505","175.240440067662","170.524360644056","195.891498131792",127.257920637144,0.592797621875275,0.230994116218937,2.56628883704301,0.0102793192006685,0.512709245635054,127.257920637144,1.15497319594843,0.230831414816352,5.0035355753779,5.6288272455746e-07,0.000547880676289907,"TRINITY_DN210200_c2_g1_i1","TRINITY_DN210200_c2_g1","Transcript_252888","gi|831500829|ref|XP_012710570.1| PREDICTED: chromodomain Y-like protein 2 isoform X1 [Fundulus heteroclitus]"
"117144","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]","74.6298649416598","35.7071433311045","44.7545019510234","89.896742556554","59.5346485473851","74.7691829210862","225.476876436805","187.460104974387","134.20630889997",102.937263839997,1.28538578631534,0.399849491059362,3.21467405875606,0.00130592714041381,0.181074700125275,102.937263839997,1.80986527085627,0.402935814112452,4.49169621430367,7.06581615053775e-06,0.00527274753873629,"TRINITY_DN210731_c1_g3_i2","TRINITY_DN210731_c1_g3","Transcript_460516","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]"
"117145","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]","74.6298649416598","35.7071433311045","44.7545019510234","89.896742556554","59.5346485473851","74.7691829210862","225.476876436805","187.460104974387","134.20630889997",102.937263839997,1.28538578631534,0.399849491059362,3.21467405875606,0.00130592714041381,0.181074700125275,102.937263839997,1.80986527085627,0.402935814112452,4.49169621430367,7.06581615053775e-06,0.00527274753873629,"TRINITY_DN210731_c1_g1_i1","TRINITY_DN210731_c1_g1","Transcript_460510","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]"
"117146","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]","74.6298649416598","35.7071433311045","44.7545019510234","89.896742556554","59.5346485473851","74.7691829210862","225.476876436805","187.460104974387","134.20630889997",102.937263839997,1.28538578631534,0.399849491059362,3.21467405875606,0.00130592714041381,0.181074700125275,102.937263839997,1.80986527085627,0.402935814112452,4.49169621430367,7.06581615053775e-06,0.00527274753873629,"TRINITY_DN210731_c1_g3_i1","TRINITY_DN210731_c1_g3","Transcript_460515","gi|831498896|ref|XP_012709897.1| PREDICTED: coagulation factor XIII A chain-like [Fundulus heteroclitus]"
