"","GeneID","F_olivaceous_BW_1.quant","F_olivaceous_BW_2.quant","F_olivaceous_BW_3.quant","F_olivaceous_FW_1.quant","F_olivaceous_FW_2.quant","F_olivaceous_FW_3.quant","F_olivaceous_transfer_1.quant","F_olivaceous_transfer_2.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"106826","ENSXMAP00000013119","2421.73594394706","2069.66946792069","2591.48268071861","3149.72467845382","2979.30076480925","3001.62284183605","3899.0637887149","3775.36776941048",2985.99599197636,0.334235892792282,0.124050316142398,2.69435744451156,0.00705244877018846,0.0723482151118138,2985.99599197636,0.701391359613097,0.123802919347675,5.66538627125085,1.46693695476503e-08,2.43123584221966e-06,"TRINITY_DN120382_c1_g6_i6","TRINITY_DN120382_c1_g6","Transcript_86998","gi|831522313|ref|XP_012717942.1| PREDICTED: protein disulfide-isomerase A3 [Fundulus heteroclitus]"
"106827","ENSXMAP00000013119","2421.73594394706","2069.66946792069","2591.48268071861","3149.72467845382","2979.30076480925","3001.62284183605","3899.0637887149","3775.36776941048",2985.99599197636,0.334235892792282,0.124050316142398,2.69435744451156,0.00705244877018846,0.0723482151118138,2985.99599197636,0.701391359613097,0.123802919347675,5.66538627125085,1.46693695476503e-08,2.43123584221966e-06,"TRINITY_DN120382_c1_g6_i2","TRINITY_DN120382_c1_g6","Transcript_86994","gi|831522313|ref|XP_012717942.1| PREDICTED: protein disulfide-isomerase A3 [Fundulus heteroclitus]"
"106828","ENSXMAP00000013119","2421.73594394706","2069.66946792069","2591.48268071861","3149.72467845382","2979.30076480925","3001.62284183605","3899.0637887149","3775.36776941048",2985.99599197636,0.334235892792282,0.124050316142398,2.69435744451156,0.00705244877018846,0.0723482151118138,2985.99599197636,0.701391359613097,0.123802919347675,5.66538627125085,1.46693695476503e-08,2.43123584221966e-06,"TRINITY_DN120382_c1_g6_i4","TRINITY_DN120382_c1_g6","Transcript_86996","gi|831522313|ref|XP_012717942.1| PREDICTED: protein disulfide-isomerase A3 [Fundulus heteroclitus]"
"146913","gi|831524088|ref|XP_012718568.1| PREDICTED: carbonic anhydrase 4-like [Fundulus heteroclitus]","1754.79371188831","1450.76141149314","2594.7420166907","2955.28458212123","4388.8548087174","2824.46873420061","4968.72725957466","5981.22519842838",3364.8572153893,0.691604199935889,0.280807811732159,2.46290940294623,0.0137814734136745,0.113417889611966,3364.8572153893,1.50131363093073,0.280830681360264,5.34597439161131,8.99319236085251e-08,1.1374000189932e-05,"TRINITY_DN118805_c1_g1_i3","TRINITY_DN118805_c1_g1","Transcript_275001","gi|831524088|ref|XP_012718568.1| PREDICTED: carbonic anhydrase 4-like [Fundulus heteroclitus]"
"37713","ENSORLP00000025798","169.179716280929","195.055981426504","155.69137724449","104.780449116933","134.236101203476","82.1249157384392","69.9810608398304","65.6043713343855",122.081746648123,-0.656493682105833,0.272891168951406,-2.40569779017926,0.0161416115020707,0.126063550005765,122.081746648123,-1.34894718485592,0.264003372378827,-5.1095831568404,3.22870361351649e-07,3.33754753945668e-05,"TRINITY_DN121465_c3_g1_i4","TRINITY_DN121465_c3_g1","Transcript_14542","gi|831503688|ref|XP_012711584.1| PREDICTED: atrial natriuretic peptide receptor 1-like [Fundulus heteroclitus]"
"37714","ENSORLP00000025798","169.179716280929","195.055981426504","155.69137724449","104.780449116933","134.236101203476","82.1249157384392","69.9810608398304","65.6043713343855",122.081746648123,-0.656493682105833,0.272891168951406,-2.40569779017926,0.0161416115020707,0.126063550005765,122.081746648123,-1.34894718485592,0.264003372378827,-5.1095831568404,3.22870361351649e-07,3.33754753945668e-05,"TRINITY_DN121465_c3_g1_i3","TRINITY_DN121465_c3_g1","Transcript_14541","gi|831503688|ref|XP_012711584.1| PREDICTED: atrial natriuretic peptide receptor 1-like [Fundulus heteroclitus]"
"112432","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i24","TRINITY_DN123300_c10_g1_","Transcript_147702","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112433","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i6","TRINITY_DN123300_c10_g1","Transcript_147684","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112434","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i24","TRINITY_DN123300_c10_g1_","Transcript_147702","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112435","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i26","TRINITY_DN123300_c10_g1_","Transcript_147704","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
