,physiology,condition,species,clade,species_condition,species_fake,species_clade
F_rathbuni_BW_1.quant,FW,15_ppt,F_rathbuni,Clade1,F_rathbuni_15_ppt,Species1,Species1-Clade1
F_rathbuni_BW_2.quant,FW,15_ppt,F_rathbuni,Clade1,F_rathbuni_15_ppt,Species1,Species1-Clade1
F_rathbuni_BW_3.quant,FW,15_ppt,F_rathbuni,Clade1,F_rathbuni_15_ppt,Species1,Species1-Clade1
F_rathbuni_FW_1.quant,FW,0.2_ppt,F_rathbuni,Clade1,F_rathbuni_0.2_ppt,Species1,Species1-Clade1
F_rathbuni_FW_2.quant,FW,0.2_ppt,F_rathbuni,Clade1,F_rathbuni_0.2_ppt,Species1,Species1-Clade1
F_rathbuni_FW_3.quant,FW,0.2_ppt,F_rathbuni,Clade1,F_rathbuni_0.2_ppt,Species1,Species1-Clade1
F_rathbuni_transfer_1.quant,FW,transfer,F_rathbuni,Clade1,F_rathbuni_transfer,Species1,Species1-Clade1
F_rathbuni_transfer_2.quant,FW,transfer,F_rathbuni,Clade1,F_rathbuni_transfer,Species1,Species1-Clade1
F_rathbuni_transfer_3.quant,FW,transfer,F_rathbuni,Clade1,F_rathbuni_transfer,Species1,Species1-Clade1
F_grandis_BW_1.quant,M,15_ppt,F_grandis,Clade1,F_grandis_15_ppt,Species2,Species2-Clade1
F_grandis_BW_2.quant,M,15_ppt,F_grandis,Clade1,F_grandis_15_ppt,Species2,Species2-Clade1
F_grandis_BW_3.quant,M,15_ppt,F_grandis,Clade1,F_grandis_15_ppt,Species2,Species2-Clade1
F_grandis_FW_1.quant,M,0.2_ppt,F_grandis,Clade1,F_grandis_0.2_ppt,Species2,Species2-Clade1
F_grandis_FW_2.quant,M,0.2_ppt,F_grandis,Clade1,F_grandis_0.2_ppt,Species2,Species2-Clade1
F_grandis_FW_3.quant,M,0.2_ppt,F_grandis,Clade1,F_grandis_0.2_ppt,Species2,Species2-Clade1
F_grandis_transfer_1.quant,M,transfer,F_grandis,Clade1,F_grandis_transfer,Species2,Species2-Clade1
F_grandis_transfer_2.quant,M,transfer,F_grandis,Clade1,F_grandis_transfer,Species2,Species2-Clade1
F_grandis_transfer_3.quant,M,transfer,F_grandis,Clade1,F_grandis_transfer,Species2,Species2-Clade1
F_heteroclitusMDPP_BW_1.quant,M,15_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_15_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_BW_2.quant,M,15_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_15_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_BW_3.quant,M,15_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_15_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_FW_1.quant,M,0.2_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_0.2_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_FW_2.quant,M,0.2_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_0.2_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_FW_3.quant,M,0.2_ppt,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_0.2_ppt,Species3,Species3-Clade1
F_heteroclitusMDPP_transfer_1.quant,M,transfer,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_transfer,Species3,Species3-Clade1
F_heteroclitusMDPP_transfer_2.quant,M,transfer,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_transfer,Species3,Species3-Clade1
F_heteroclitusMDPP_transfer_3.quant,M,transfer,F_heteroclitusMDPP,Clade1,F_heteroclitusMDPP_transfer,Species3,Species3-Clade1
F_similis_BW_1.quant,M,15_ppt,F_similis,Clade1,F_similis_15_ppt,Species4,Species4-Clade1
F_similis_BW_2.quant,M,15_ppt,F_similis,Clade1,F_similis_15_ppt,Species4,Species4-Clade1
F_similis_BW_3.quant,M,15_ppt,F_similis,Clade1,F_similis_15_ppt,Species4,Species4-Clade1
F_similis_FW_1.quant,M,0.2_ppt,F_similis,Clade1,F_similis_0.2_ppt,Species4,Species4-Clade1
F_similis_FW_2.quant,M,0.2_ppt,F_similis,Clade1,F_similis_0.2_ppt,Species4,Species4-Clade1
F_similis_FW_3.quant,M,0.2_ppt,F_similis,Clade1,F_similis_0.2_ppt,Species4,Species4-Clade1
F_similis_transfer_1.quant,M,transfer,F_similis,Clade1,F_similis_transfer,Species4,Species4-Clade1
F_similis_transfer_2.quant,M,transfer,F_similis,Clade1,F_similis_transfer,Species4,Species4-Clade1
F_similis_transfer_3.quant,M,transfer,F_similis,Clade1,F_similis_transfer,Species4,Species4-Clade1
F_diaphanus_BW_1.quant,BW,15_ppt,F_diaphanus,Clade1,F_diaphanus_15_ppt,Species5,Species5-Clade1
