,Complete,Complete and single-copy,Complete and duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc
F_chrysotus,4022,1412,2610,245,317,4584,87.73996509598604
F_olivaceous,4024,1717,2307,184,376,4584,87.78359511343804
F_zebrinus,3836,1398,2438,239,509,4584,83.6823734729494
F_heteroclitusMDPP,3963,1185,2778,230,391,4584,86.45287958115183
F_heteroclitusMDPL,3993,1073,2920,253,338,4584,87.10732984293193
F_sciadicus,3915,1884,2031,179,490,4584,85.40575916230367
F_rathbuni,4003,1554,2449,254,327,4584,87.32547993019197
F_diaphanus,3934,1676,2258,242,408,4584,85.82024432809773
L_goodei,4046,1320,2726,207,331,4584,88.26352530541011
F_catanatus,4015,1583,2432,220,349,4584,87.58726003490402
L_parva,4104,1300,2804,178,302,4584,89.52879581151832
F_similis,3907,1428,2479,264,413,4584,85.23123909249564
F_parvapinis,3920,1873,2047,195,469,4584,85.51483420593368
F_grandis,4003,1281,2722,254,327,4584,87.32547993019197
A_xenica,3994,1486,2508,220,370,4584,87.12914485165794
F_notatus,4036,1575,2461,241,307,4584,88.04537521815008
F_notti,3671,2159,1512,234,679,4584,80.08289703315882
