,Complete,Complete and single-copy,Complete and duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc
F_chrysotus,299,81,218,3,1,303,98.67986799
F_olivaceus,302,108,194,1,0,303,99.669967
F_zebrinus,301,109,192,2,0,303,99.33993399
F_heteroclitus.MDPP,301,60,241,2,0,303,99.33993399
F_heteroclitus.MDPL,300,72,228,3,0,303,99.00990099
F_sciadicus,299,124,175,2,2,303,98.67986799
F_rathbuni,302,85,217,1,0,303,99.669967
F_diaphanus,301,107,194,2,0,303,99.33993399
L_goodei,303,92,211,0,0,303,100
F_catenatus,301,90,211,2,0,303,99.33993399
L_parva,298,78,220,4,1,303,98.34983498
F_similis,296,105,191,4,3,303,97.68976898
F_parvipinnis,299,95,204,3,1,303,98.67986799
F_grandis,298,70,228,5,0,303,98.34983498
F_xenicus,302,101,201,0,1,303,99.669967
F_notatus,301,84,217,2,0,303,99.33993399
F_notti,299,167,132,1,3,303,98.67986799
