,Complete,Complete and single-copy,Complete and duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc
F_chrysotus,966,312,654,6,6,978,98.77300613496932
F_olivaceous,961,345,616,9,8,978,98.26175869120655
F_zebrinus,964,346,618,6,8,978,98.56850715746421
F_heteroclitusMDPP,967,236,731,5,6,978,98.87525562372188
F_heteroclitusMDPL,966,254,712,7,5,978,98.77300613496932
F_sciadicus,961,417,544,8,9,978,98.26175869120655
F_rathbuni,969,301,668,2,7,978,99.079754601227
F_diaphanus,966,385,581,5,7,978,98.77300613496932
L_goodei,964,309,655,9,5,978,98.56850715746421
F_catanatus,966,314,652,7,5,978,98.77300613496932
L_parva,963,270,693,9,6,978,98.46625766871165
F_similis,963,333,630,8,7,978,98.46625766871165
F_parvapinis,970,347,623,4,4,978,99.18200408997954
F_grandis,968,255,713,7,3,978,98.97750511247445
A_xenica,967,311,656,6,5,978,98.87525562372188
F_notatus,969,317,652,5,4,978,99.079754601227
F_notti,955,542,413,11,12,978,97.6482617586912
