"","species","Complete_euk","Complete.and.singlecopy_euk","Complete.and.duplicated_euk","Fragmented_euk","Missing_euk","Total_euk","Complete_euk_proportion","Complete_euk_perc.x","NA.x","NA.x","NA.x","NA.x","Complete_metazoa","Complete.and.singlecopy_metazoa","Complete.and.duplicated_metazoa","Fragmented_metazoa","Missing_metazoa","Total_metazoa","Complete_metazoa_proportion","Complete_euk_perc.y","NA.y","NA.y","NA.y","NA.y"
"1","A_xenica",297,118,179,6,0,303,98.019801980198,38.9438943894389,59.0759075907591,1.98019801980198,0,9801.9801980198,953,352,601,20,5,978,97.4437627811861,35.9918200408998,61.4519427402863,2.04498977505112,0.511247443762781,9744.37627811861
"2","F_catanatus",286,102,184,17,0,303,94.3894389438944,33.6633663366337,60.7260726072607,5.61056105610561,0,9438.94389438944,939,366,573,32,7,978,96.0122699386503,37.4233128834356,58.5889570552147,3.2719836400818,0.715746421267894,9601.22699386503
"3","F_chrysotus",294,111,183,9,0,303,97.029702970297,36.6336633663366,60.3960396039604,2.97029702970297,0,9702.9702970297,948,372,576,23,7,978,96.9325153374233,38.0368098159509,58.8957055214724,2.35173824130879,0.715746421267894,9693.25153374233
"4","F_diaphanus",293,133,160,9,1,303,96.6996699669967,43.8943894389439,52.8052805280528,2.97029702970297,0.33003300330033,9669.96699669967,948,458,490,25,5,978,96.9325153374233,46.8302658486708,50.1022494887526,2.55623721881391,0.511247443762781,9693.25153374233
"5","F_grandis",282,97,185,20,1,303,93.0693069306931,32.013201320132,61.056105610561,6.6006600660066,0.33003300330033,9306.93069306931,932,309,623,41,5,978,95.2965235173824,31.5950920245399,63.7014314928425,4.19222903885481,0.511247443762781,9529.65235173824
"6","F_heteroclitusMDPL",292,110,182,11,0,303,96.3696369636964,36.3036303630363,60.0660066006601,3.63036303630363,0,9636.96369636964,942,351,591,31,5,978,96.319018404908,35.8895705521472,60.4294478527607,3.16973415132924,0.511247443762781,9631.9018404908
"7","F_heteroclitusMDPP",292,120,172,11,0,303,96.3696369636964,39.6039603960396,56.7656765676568,3.63036303630363,0,9636.96369636964,944,368,576,27,7,978,96.5235173824131,37.6278118609407,58.8957055214724,2.76073619631902,0.715746421267894,9652.35173824131
"8","F_notatus",284,100,184,18,1,303,93.7293729372937,33.003300330033,60.7260726072607,5.94059405940594,0.33003300330033,9372.93729372937,948,348,600,26,4,978,96.9325153374233,35.5828220858896,61.3496932515337,2.65848670756646,0.408997955010225,9693.25153374233
"9","F_notti",295,193,102,8,0,303,97.3597359735974,63.6963696369637,33.6633663366337,2.64026402640264,0,9735.97359735974,947,590,357,17,14,978,96.8302658486708,60.3271983640082,36.5030674846626,1.73824130879346,1.43149284253579,9683.02658486708
"10","F_olivaceous",296,112,184,6,1,303,97.6897689768977,36.963696369637,60.7260726072607,1.98019801980198,0.33003300330033,9768.97689768977,960,381,579,11,7,978,98.159509202454,38.9570552147239,59.2024539877301,1.12474437627812,0.715746421267894,9815.9509202454
"11","F_parvapinis",298,98,200,4,1,303,98.3498349834984,32.3432343234323,66.006600660066,1.32013201320132,0.33003300330033,9834.98349834983,966,371,595,8,4,978,98.7730061349693,37.9345603271984,60.838445807771,0.81799591002045,0.408997955010225,9877.30061349693
"12","F_rathbuni",297,98,199,6,0,303,98.019801980198,32.3432343234323,65.6765676567657,1.98019801980198,0,9801.9801980198,963,338,625,10,5,978,98.4662576687116,34.560327198364,63.9059304703476,1.02249488752556,0.511247443762781,9846.62576687116
"13","F_sciadicus",301,157,144,2,0,303,99.3399339933993,51.8151815181518,47.5247524752475,0.66006600660066,0,9933.99339933993,960,477,483,11,7,978,98.159509202454,48.7730061349693,49.3865030674847,1.12474437627812,0.715746421267894,9815.9509202454
"14","F_similis",295,139,156,7,1,303,97.3597359735974,45.8745874587459,51.4851485148515,2.31023102310231,0.33003300330033,9735.97359735974,950,440,510,23,5,978,97.1370143149284,44.9897750511247,52.1472392638037,2.35173824130879,0.511247443762781,9713.70143149284
"15","F_zebrinus",295,140,155,6,2,303,97.3597359735974,46.2046204620462,51.1551155115512,1.98019801980198,0.66006600660066,9735.97359735974,965,459,506,5,8,978,98.6707566462168,46.9325153374233,51.7382413087935,0.511247443762781,0.81799591002045,9867.07566462168
"16","L_goodei",290,127,163,13,0,303,95.7095709570957,41.9141914191419,53.7953795379538,4.29042904290429,0,9570.95709570957,955,413,542,17,6,978,97.6482617586912,42.2290388548057,55.4192229038855,1.73824130879346,0.613496932515337,9764.82617586912
"17","L_parva",293,125,168,10,0,303,96.6996699669967,41.2541254125413,55.4455445544555,3.3003300330033,0,9669.96699669967,958,425,533,14,6,978,97.9550102249489,43.4560327198364,54.4989775051125,1.43149284253579,0.613496932515337,9795.50102249489
