assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,species
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37272,37272,0.9053200000000001,0.11333,23743,0.0722,9888,0.03007,7879,0.02396,5247,0.01595,4085,0.01242,2496,0.00759,0.049710000000000004,,,,,F_chrysotus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37483,37483,0.9104399999999999,0.12629,23879,0.08045,10517,0.03543,8614,0.029019999999999997,6009,0.02025,4711,0.01587,2931,0.00988,0.06002999999999999,,,,,F_olivaceous
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,36080,36080,0.8763700000000001,0.1568,22610,0.09826,9912,0.04308,8346,0.03627,6148,0.026719999999999997,5138,0.022330000000000003,3536,0.015369999999999998,0.07207999999999999,,,,,F_zebrinus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38979,38979,0.94678,0.07059,25460,0.046110000000000005,11463,0.02076,9817,0.01778,7347,0.0133,6038,0.01093,3873,0.00701,0.04796,,,,,F_heteroclitusMDPP
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38844,38844,0.9435,0.07929,25546,0.05215,11451,0.02338,9988,0.020390000000000002,7709,0.01574,6418,0.0131,4323,0.00882,0.04797,,,,,F_heteroclitusMDPL
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,35894,35894,0.87185,0.17979,22448,0.11244000000000001,9838,0.049280000000000004,8251,0.04133,5920,0.02965,4854,0.02431,3293,0.01649,0.08138,,,,,F_sciadicus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37799,37799,0.91812,0.09004,24421,0.058170000000000006,10688,0.02546,8668,0.02065,5895,0.01404,4622,0.011009999999999999,2736,0.006520000000000001,0.049760000000000006,,,,,F_rathbuni
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38043,38043,0.92405,0.11861,24386,0.07603,10746,0.0335,9052,0.02822,6522,0.02033,5342,0.016659999999999998,3517,0.01097,0.06579,,,,,F_diaphanus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37732,37732,0.9164899999999999,0.11787,23960,0.07485,10469,0.0327,8607,0.026889999999999997,5791,0.018090000000000002,4477,0.01399,2756,0.00861,0.05393,,,,,L_goodei
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37973,37973,0.92235,0.1165,24441,0.07497999999999999,10796,0.03312,8970,0.02752,6439,0.01975,5141,0.01577,3343,0.01026,0.05785,,,,,F_catanatus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38043,38043,0.92405,0.11154000000000001,24231,0.07103999999999999,10675,0.0313,8690,0.025480000000000003,5848,0.01715,4538,0.0133,2753,0.00807,0.05248,,,,,L_parva
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,36547,36547,0.88771,0.08574,23013,0.053989999999999996,10213,0.02396,8521,0.01999,6057,0.014209999999999999,4792,0.01124,2897,0.0068,0.05035,,,,,F_similis
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,35538,35538,0.8632,0.11904,22046,0.07384,9482,0.031760000000000004,7625,0.02554,4949,0.01658,3774,0.01264,2236,0.007490000000000001,0.06096,,,,,F_parvapinis
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38811,38811,0.9427,0.05732999999999999,25326,0.03741,11430,0.016880000000000003,9607,0.014190000000000001,6918,0.01022,5419,0.008,3195,0.00472,0.04054,,,,,F_grandis
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,37211,37211,0.90384,0.12335,23822,0.07897,10322,0.03422,8352,0.02769,5642,0.0187,4448,0.014740000000000001,2820,0.00935,0.05488,,,,,A_xenica
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,38145,38145,0.9265200000000001,0.11117,24508,0.07143,10615,0.03094,8437,0.02459,5656,0.01648,4415,0.01287,2669,0.00778,0.05061,,,,,F_notatus
/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881000000000003,175536,0.00135,33486,33486,0.8133600000000001,0.2544,20299,0.15420999999999999,8874,0.06742000000000001,7696,0.05847,5783,0.043930000000000004,4874,0.03703,3550,0.026969999999999997,0.1086,,,,,F_notti
