assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,species
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_chrysotus.trinity_out.Trinity.fasta,328866,180,27960,417877726,1270.6405,38,107578,1425,82126,39.828070000000004,421,1589,2961,4650,7673,0.45807,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_chrysotus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_olivaceous.trinity_out.Trinity.fasta,296801,176,33490,358020368,1206.23933,38,92174,1065,70836,41.5289,396,1468,2819,4433,7389,0.46045,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_olivaceous
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_zebrinus.trinity_out.Trinity.fasta,230099,182,27277,267118784,1160.86886,21,72567,517,60619,45.14509,386,1379,2582,4025,6681,0.46208999999999995,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_zebrinus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPP.trinity_out.Trinity.fasta,552205,179,30054,488797077,885.15265,59,121064,722,87407,42.959179999999996,318,762,1852,3311,5883,0.45068,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_heteroclitusMDPP
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPL.trinity_out.Trinity.fasta,489882,172,30723,487813606,995.7470900000001,78,133395,711,93088,42.73127,345,1018,2068,3426,5987,0.45674,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_heteroclitusMDPL
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_sciadicus.trinity_out.Trinity.fasta,199646,184,25884,243535078,1219.82004,15,64451,623,54007,44.78127,404,1506,2787,4317,7240,0.46629,0,0.0,2,2,1e-05,1e-05,2,1e-05,2,1e-05,2,1e-05,1,0.0,1,0.0,1,0.0,0.0,,,,,F_sciadicus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_rathbuni.trinity_out.Trinity.fasta,419800,180,28381,446812617,1064.31211,75,112132,1217,83647,41.08076,353,1162,2502,4106,7083,0.45687,0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,,,,,F_rathbuni
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_diaphanus.trinity_out.Trinity.fasta,320734,181,22815,325735698,1015.56567,48,81921,709,65787,44.20562,338,1071,2369,3918,6749,0.45888999999999996,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,F_diaphanus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/L_goodei.trinity_out.Trinity.fasta,320121,177,68837,381547593,1191.85741,47,101522,1125,79231,43.04954,398,1411,2684,4268,7188,0.46706000000000003,0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,,,,,L_goodei
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_catanatus.trinity_out.Trinity.fasta,325956,181,32158,392758373,1204.91345,50,102986,1204,78828,41.45704,399,1453,2757,4343,7399,0.46306,0,0.0,2,2,1e-05,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,0.0,,,,,F_catanatus
