assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,species
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_chrysotus.trinity_out.Trinity.fasta,328866,180,27960,417877726,1270.6405,38,107578,1425,82126,39.828070000000004,421,1589,2961,4650,7673,0.45807,0,0.0,112067,112067,0.34076999999999996,2.72205,22050,0.5355800000000001,9335,0.22674,7225,0.17549,5005,0.12157000000000001,4040,0.09813,2817,0.06842000000000001,0.16491,,,,,F_chrysotus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_olivaceous.trinity_out.Trinity.fasta,296801,176,33490,358020368,1206.23933,38,92174,1065,70836,41.5289,396,1468,2819,4433,7389,0.46045,0,0.0,116192,116192,0.39148,2.82225,27711,0.67309,11704,0.28428000000000003,9138,0.22196,6386,0.15511,5211,0.12657000000000002,3744,0.09094,0.20903000000000002,,,,,F_olivaceous
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_zebrinus.trinity_out.Trinity.fasta,230099,182,27277,267118784,1160.86886,21,72567,517,60619,45.14509,386,1379,2582,4025,6681,0.46208999999999995,0,0.0,99582,99582,0.43278,2.4188,25760,0.6257,10564,0.25659,8133,0.19755,5647,0.13716,4580,0.11125,3199,0.0777,0.18598,,,,,F_zebrinus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPP.trinity_out.Trinity.fasta,552205,179,30054,488797077,885.15265,59,121064,722,87407,42.959179999999996,318,762,1852,3311,5883,0.45068,0,0.0,111184,111184,0.20135,2.7006099999999997,18761,0.4557,8511,0.20673000000000002,6588,0.16002,4917,0.11943,4142,0.10061,3210,0.07797,0.15744,,,,,F_heteroclitusMDPP
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPL.trinity_out.Trinity.fasta,489882,172,30723,487813606,995.7470900000001,78,133395,711,93088,42.73127,345,1018,2068,3426,5987,0.45674,0,0.0,178172,178172,0.3637,4.32771,30354,0.73728,13447,0.32661999999999997,10367,0.25181,7583,0.18419000000000002,6339,0.15397,4863,0.11812,0.24498000000000003,,,,,F_heteroclitusMDPL
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_sciadicus.trinity_out.Trinity.fasta,199646,184,25884,243535078,1219.82004,15,64451,623,54007,44.78127,404,1506,2787,4317,7240,0.46629,0,0.0,85181,85181,0.42666000000000004,2.06901,25543,0.62043,10594,0.25732,8260,0.20063,5828,0.14156,4718,0.1146,3316,0.08054,0.18916,,,,,F_sciadicus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_rathbuni.trinity_out.Trinity.fasta,419800,180,28381,446812617,1064.31211,75,112132,1217,83647,41.08076,353,1162,2502,4106,7083,0.45687,0,0.0,117353,117353,0.27955,2.85045,22555,0.54785,9938,0.24139000000000002,7668,0.18625,5395,0.13104000000000002,4417,0.10729000000000001,3257,0.07911,0.17638,,,,,F_rathbuni
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_diaphanus.trinity_out.Trinity.fasta,320734,181,22815,325735698,1015.56567,48,81921,709,65787,44.20562,338,1071,2369,3918,6749,0.45888999999999996,0,0.0,109703,109703,0.34204,2.66463,28108,0.6827300000000001,11651,0.28300000000000003,9024,0.21919,6361,0.15450999999999998,5276,0.12815,3900,0.09473,0.20972,,,,,F_diaphanus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/L_goodei.trinity_out.Trinity.fasta,320121,177,68837,381547593,1191.85741,47,101522,1125,79231,43.04954,398,1411,2684,4268,7188,0.46706000000000003,0,0.0,121369,121369,0.37913,2.948,27588,0.6701,11489,0.27906,8710,0.21156,5755,0.13979,4512,0.10959,3081,0.07484,0.19849,,,,,L_goodei
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_catanatus.trinity_out.Trinity.fasta,325956,181,32158,392758373,1204.91345,50,102986,1204,78828,41.45704,399,1453,2757,4343,7399,0.46306,0,0.0,133504,133504,0.40958,3.24275,28805,0.6996600000000001,12526,0.30425,9850,0.23925,7049,0.17122,5784,0.14049,4152,0.10085,0.22941999999999999,,,,,F_catanatus
/pylon5/bi5fpmp/ljcohen/kfish_trinity/L_parva.trinity_out.Trinity.fasta,341080,177,38795,416463483,1220.98655,49,110805,1243,84063,41.93121,416,1429,2711,4340,7303,0.46352,0,0.0,101989,101989,0.29902,2.47726,20245,0.49173999999999995,8859,0.21518,6758,0.16415,4572,0.11105,3594,0.0873,2414,0.058629999999999995,0.15438,,,,,L_parva
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_similis.trinity_out.Trinity.fasta,426262,179,26094,397785324,933.17601,41,104594,587,75038,43.70264,321,907,1990,3382,5978,0.46757,0,0.0,99255,99255,0.23285,2.41086,19695,0.47838,8501,0.20649,6478,0.15735,4371,0.10617,3426,0.08322,2278,0.05533,0.15216,,,,,F_similis
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_parvapinis.trinity_out.Trinity.fasta,298549,183,27771,310786992,1040.9819,15,77121,802,62453,43.26174,340,1141,2512,4111,6966,0.45805,0,0.0,93251,93251,0.31235,2.2650200000000003,25649,0.623,10226,0.24838000000000002,7875,0.19128,5303,0.12880999999999998,4254,0.10332999999999999,2971,0.07216,0.18216,,,,,F_parvapinis
/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_grandis.trinity_out.Trinity.fasta,676974,170,64901,564126240,833.27679,102,136211,885,101233,44.08229,291,712,1809,3305,6066,0.45871999999999996,0,0.0,118422,118422,0.17493,2.87641,18194,0.44192,8398,0.20398,6416,0.15584,4592,0.11154000000000001,3774,0.09167,2789,0.06774,0.15238,,,,,F_grandis
