Species,Source,Location,Lat,Long,Native Physiology,
F_olivaceus,David Duvernell,"Gasconade River, MO,  ",37.19,-92.56,FW,
F_chrysotus,Jake Schaefer,"Cossatot River, AR",33.7912,-94.1541,M,
L_parva,Becky Fuller,"Indian River, FL",27.6948,-80.5438,M,
L_goodei,Becky Fuller,"Delk's Bluff, Ocklawaha River, FL",29.4702489,-81.6903582,FW,
F_sciadicus,David Duvernell,"Gasconade River, MO,  ",37.19,-92.56,FW,
F_nottii,Jake Schaefer,Pascagoula drainage,30.36576,-88.55613,FW,
F_catenatus,David Duvernell,"Gasconade River, MO, ",37.19,-92.56,FW,
F_rathbuni,Seth Kullman (Crystal Lee Pow),"Bolin Creek, NC",35.9220887,-79.0197325,FW,
F_heteroclitus.MDPP,Whitehead lab,"Potomac River, MD, Piscataway Park",38.6873,-77.0499,M,
F_notatus,David Duvernell,"Salt Creek, IL,  ",39.12,-88.52,FW,
F_heteroclitus.MDPL,Whitehead lab,"Chesapeake Bay, MD, Point Lookout",38.061,-76.3374,M,
F_zebrinus,Reid Morehouse,"Red River near Altus, OK",36.7081,-105.4061,M,
F_xenicus,Jake Schaefer,"Graveline Bay, MS",30.3689,-88.7037,M,
F_diaphanus,Whitehead lab,"Potomac River, MD, Piscataway Park",38.6873,-77.0499,M,
F_similis,Whitehead lab,"Galveston, TX",29.1897,-94.9796,M,Jamaica beach
F_grandis ,Whitehead lab,"Galveston, TX",29.1897,-94.9796,M,Jamaica beach
F_parvipinnis,Kelly Weinersmith (Alejandra Jaramillo),California,34.401169,-119.53817,M,carpinteria marsh
