UniqueCount	AmbigCount
16	291
0	274
3	195
0	122
15	173
0	380
110	248
29	405
0	306
0	93
6	116
0	96
8	110
0	61
0	61
0	17
1	1
0	0
4997	21440
18625	17305
525	7084
4	1148
2761	12722
5237	9735
0	302
15	302
0	245
33	258
96	156
0	131
0	120
17	129
0	120
17	204
84	267
3	144
37	79
0	0
0	0
3	899
1	995
4	1006
0	789
31	810
4	500
0	419
0	4
0	4
1	4
0	3
45	48
0	96
5	117
0	112
0	95
2	95
46	153
0	239
16	212
3	9
3	68
4	42
1	40
0	42
3	38
1109	11855
79	6090
8	6039
3	2060
0	2121
112	10606
78	10085
77	311
0	314
2	218
60	230
47	203
0	122
4	127
0	98
0	130
5	86
1	69
27	151
0	151
0	74
31	3939
1	3813
0	3813
747	2551
634	3112
45	40
69	275
0	159
0	200
0	174
8	222
0	239
17	335
0	630
9	716
344	714
142	755
0	520
2	364
0	64
161	295
11	420
0	418
16	198
0	10
19	10
0	7
78	99
0	10
0	850
0	707
73	820
0	707
26	484
0	26
20	18
9	132
0	127
2	127
0	111
4	97
6	29
0	151
1	87
0	96
7	35
5	74
32	68
15	42
0	300
0	288
0	298
11	243
0	208
162	70
60	153
30	183
1	162
0	151
43	52
1	6
38	754
0	718
6	598
28	844
117	258
0	0
0	41
11	253
0	144
0	121
0	135
0	74
0	68
7	183
9	97
0	118
39	43
13	15
2	3676
74	4128
21	253
1	152
219	346
93	129
20	80
0	44
404	407
0	620
3	518
2	626
2	504
2	293
0	352
0	8
9	21
2	68
0	38
4	18
0	0
0	878
1	237
0	878
0	1
0	1
0	1
1284	6852
340	6166
3	3049
1115	5084
0	130
0	1
0	4
0	3
0	3
0	4
0	4
5	2
0	2
0	352
0	369
0	340
0	385
0	204
1	310
3	295
0	305
105	139
0	255
0	255
7	9
0	21
1	17
6	104
0	680
79	194
1	804
51	37
6	788
679	534
23	656
0	53
2	134
18	87
41	319
0	192
0	1222
14	137
18	243
0	800
0	786
0	662
0	527
0	247
45	112
0	0
0	0
2	286
20	250
4	251
52	197
814	200
23	1552
1475	2041
183	2428
0	1466
0	21
0	22
0	31
0	29
0	31
3	31
0	29
0	33
0	1
4	1
0	3
0	5
2	2
0	0
1	662
15	608
12	662
16	265
0	196
23	516
0	222
2	6
1	3
8	47
37	68
462	1681
2	143
1	1148
0	14
0	11
0	52
0	40
4	21
0	12
8	31
0	13
4	7
0	14
22	31
3	3
2	130
43	93
82	168
54	133
170	224
0	128
9	184
4	50
31	171
6	161
3	166
536	547
0	539
2	332
33	364
0	597
0	376
0	259
48	548
75	155
51	92
0	41
1	26
0	26
1	250
0	178
12	176
0	484
16	497
0	364
69	493
0	391
2	51
0	14
406	675
41	1141
176	1093
0	797
285	1465
0	1023
0	999
4	1013
44	1055
0	1057
0	974
0	866
7	865
0	998
0	1005
0	932
0	1048
0	1037
0	761
0	1009
22	1621
0	1068
0	860
0	1034
1	1611
0	1012
0	171
1	276
1	267
13	268
14	254
16	73
7	239
0	378
0	312
112	470
22	393
0	378
0	245
26	420
0	386
3	277
0	300
1	241
241	127
0	225
118	44
1	41
0	218
102	151
39	194
1	98
0	85
22	73
4	81
3	18
0	11
0	11
0	8
0	5
0	5
0	4
1	325
0	293
5	336
1	328
0	283
0	294
0	281
2	287
1040	2987
0	2012
0	2539
0	2562
9	2030
0	1290
246	1635
0	2663
0	2451
0	2031
0	2660
0	2875
0	2139
0	2541
100	2250
128	119
50	63
153	497
3	328
5	232
1	220
53	102
15	428
6	300
41	16
222	83
132	3120
220	3343
205	2881
49	2365
0	2222
2	0
0	0
0	29
9	71
3	33
0	373
4	30
55	200
0	64
19	11
0	44
0	76
12	30
4	29
99	17
1	45
0	7
67	197
23	197
0	22
88	224
4	95
35	95
0	72
0	49
0	65
2	45
2	56
0	29
0	40
3	47
0	22
0	48
0	29
0	57
0	56
35	63
0	79
0	55
0	45
0	27
0	27
4	36
0	27
0	27
2	20
0	41
0	9
0	52
0	47
0	47
396	160
38	149
0	599
84	287
8	213
1	205
9	186
0	4
5	201
1	210
2	126
326	151
0	99
0	99
0	613
1	512
27	643
0	659
0	373
0	496
0	270
120	254
73	156
0	138
0	248
0	394
0	265
0	304
0	304
0	82
0	82
0	61
0	54
96	352
32	64
0	103
35	37
422	297
15	110
4	126
0	107
2	59
52	43
34	141
8	89
0	108
2	49
0	61
14	52
0	68
12	21
0	14
34	177
14	377
0	100
0	93
1	86
9	96
0	69
0	77
15	66
42	832
0	110
48	179
1	152
4	299
19	472
0	369
0	339
3	497
20	528
10	363
74	275
0	331
103	855
20	711
41	679
0	636
114	716
0	6
0	5
0	7
1	7
0	7
0	6
0	6
0	7
30	31
0	46
130	422
0	238
0	165
12	238
2	130
0	80
2	51
107	49
25	229
63	708
146	337
0	21
10	45
0	45
0	20
0	19
0	2
0	2
0	2
13	265
0	123
0	102
2	94
21	12
0	17
0	70
0	161
4	128
8	99
0	93
1	93
1	77
0	94
6	73
13	9
0	20
2	15
5	46
0	9
3	26
70	423
4	351
35	484
0	345
1	418
3	345
0	458
5	341
17	27
0	225
0	245
163	162
27	254
0	220
0	260
0	258
0	192
0	167
1	81
0	81
42	100
26	147
0	45
244	538
36	1126
0	412
73	129
0	130
0	49
0	5
123	1518
0	1248
0	1191
0	908
0	1140
80	1112
0	1
0	1
1	5
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	504
7	824
0	505
0	358
0	290
0	347
0	353
0	357
0	347
0	347
0	353
0	339
0	52
0	83
0	83
0	88
1	52
0	63
0	88
0	47
5	44
8	56
0	2
0	2
29	2
0	2
0	2
0	2
0	2
0	4
0	2
0	83
8	116
0	83
0	115
3	80
18	103
0	57
0	57
0	143
0	143
0	128
151	220
0	151
0	229
0	231
13	224
26	232
0	174
198	122
0	0
0	96
2	174
0	97
6	133
0	176
0	0
131	20
0	7
146	22
1	111
0	157
0	366
17	136
5	104
0	96
13	212
0	213
0	99
0	99
1	18
0	2
0	2
175	271
0	267
3	178
33	49
58	40
20	81
0	0
0	118
89	83
0	38
4	13
63	144
0	77
27	194
0	303
0	251
0	277
0	269
0	304
0	288
0	275
0	812
0	871
1	295
0	639
0	64
13	205
0	205
0	57
2	67
42	102
2	87
0	93
4	27
30	144
2	94
0	84
1	80
20	7
12	274
0	167
0	188
14	156
124	143
0	205
0	236
0	208
0	218
0	240
0	212
0	170
8	41
0	0
850	1350
19	434
0	0
39	247
1	174
0	176
0	1
0	0
0	0
0	10
0	4
0	4
0	0
1	6
0	0
67	189
0	194
9	160
30	141
0	56
5	9
0	83
0	83
0	78
13	46
18	31
11	18
0	23
0	26
0	30
3	32
0	29
0	27
0	77
1	50
2	20
0	2
0	113
0	146
0	121
20	107
0	52
0	816
0	636
0	16
16	17
0	25
3	19
20	266
10	170
0	159
0	112
0	146
0	153
0	169
81	340
0	298
0	131
0	176
0	129
0	130
0	132
0	49
0	50
0	49
2	12
145	361
4	9
221	1295
0	1410
0	1450
0	1912
0	1400
1	845
1	1314
0	987
3	197
0	106
1	189
0	168
18	194
8	4
93	288
0	226
1	126
0	70
1	86
3	139
18	129
28	80
40	95
0	249
56	143
104	64
43	72
0	50
78	47
0	50
0	50
0	0
0	0
0	0
0	0
0	0
165	297
0	259
0	271
0	19
3	19
5	23
0	19
0	8
0	73
0	100
0	87
0	82
0	82
1	82
0	101
0	104
0	82
0	31
0	43
0	43
14	74
0	71
286	59
30	103
0	139
11	138
0	94
0	55
0	592
259	554
1	577
0	567
0	549
117	160
7	162
0	162
