UniqueCount	AmbigCount
39	372
0	332
2	199
0	122
7	195
0	277
68	163
22	301
0	196
0	54
2	67
0	53
5	64
0	43
0	43
0	10
5	2
5	1
4039	13449
12120	10970
536	4019
3	570
1833	7066
3174	5707
0	180
7	176
0	144
36	193
78	146
0	76
0	74
11	72
0	74
3	127
65	186
2	121
74	63
0	1
0	0
4	610
2	658
4	684
0	495
20	568
7	334
0	223
0	0
0	0
0	1
0	1
39	41
0	74
4	87
0	75
0	71
1	69
50	155
0	198
4	175
1	3
2	61
2	24
0	23
0	24
1	20
548	6662
68	3372
8	3511
1	1590
0	1640
46	5928
83	5630
67	405
2	405
12	155
34	159
21	146
0	61
0	58
0	42
0	133
2	95
0	74
27	132
0	133
1	53
42	2646
0	2456
0	2456
734	1588
806	2211
29	31
61	255
0	113
0	204
0	130
8	230
2	243
19	315
0	754
4	759
811	764
212	851
0	660
4	368
1	70
120	161
13	273
0	268
11	130
0	15
11	16
0	13
50	88
1	12
0	686
0	518
100	663
0	518
41	372
0	22
10	17
12	158
0	174
1	149
0	160
6	126
6	22
0	130
0	90
35	64
20	20
5	50
18	65
15	43
0	250
0	250
4	248
9	188
0	177
259	105
56	78
27	127
2	126
0	116
49	34
0	6
30	501
0	478
21	445
35	601
84	205
0	0
0	39
9	232
0	126
0	116
0	122
0	64
0	58
7	143
3	66
1	89
34	44
8	17
4	2634
169	3025
19	183
3	111
177	282
111	130
6	95
0	18
411	375
2	526
5	435
7	530
2	429
2	234
0	323
0	9
6	13
1	54
0	22
3	14
0	0
0	669
0	146
0	669
0	0
0	0
0	0
1043	4749
170	3963
3	2846
885	4634
1	128
0	0
1	2
0	2
0	2
0	0
0	0
5	0
0	0
2	197
0	214
0	205
0	221
0	105
0	268
2	260
0	269
60	111
0	207
0	207
4	6
1	17
1	12
8	69
0	480
80	157
2	579
25	41
9	438
423	296
15	366
0	29
21	139
16	54
42	200
0	128
0	344
4	75
9	156
0	256
0	249
0	231
0	159
0	112
18	46
0	0
0	0
1	194
11	166
13	167
35	114
722	209
9	971
1560	1371
213	1533
0	818
0	29
0	30
0	39
0	41
0	39
3	37
0	41
0	42
0	6
2	2
0	11
0	11
2	5
2	5
0	435
19	427
21	439
6	176
0	112
20	365
0	151
1	6
0	3
8	51
34	56
216	579
13	56
2	411
1	5
2	3
0	27
0	20
4	9
0	6
4	16
0	13
2	6
0	14
184	110
8	23
2	71
33	76
174	370
137	301
283	219
0	107
6	154
2	49
11	167
7	164
5	166
204	365
0	345
0	191
8	198
0	380
0	212
0	168
55	314
87	164
27	70
0	28
0	15
0	15
0	198
0	140
7	134
0	361
9	405
0	270
59	377
0	305
1	50
1	12
246	371
28	815
194	732
0	548
350	1021
0	847
0	817
2	830
26	860
0	861
0	782
1	729
3	749
0	816
0	834
0	766
0	870
0	859
0	657
0	823
40	1267
0	876
0	701
0	848
1	1270
0	806
0	115
0	174
1	185
13	184
6	213
13	45
3	160
0	264
0	198
122	371
15	280
0	257
0	155
37	298
0	261
2	180
0	195
3	151
126	84
0	143
217	72
3	25
0	128
72	113
27	145
0	63
0	49
27	40
0	49
1	24
0	20
1	20
0	10
0	2
0	2
0	3
4	182
0	160
4	199
2	184
1	154
0	161
0	155
1	158
829	2397
0	1544
0	2058
0	2042
7	1701
0	1006
223	1321
0	2204
0	1998
0	1576
0	2197
0	2354
0	1663
0	2065
119	1759
53	85
27	58
133	445
3	243
8	173
1	203
52	75
7	401
5	243
39	7
222	99
107	2721
247	3044
115	2688
0	1940
0	1779
0	0
0	0
0	0
5	58
2	26
0	326
0	28
41	148
0	36
21	8
0	31
2	272
22	28
1	20
61	13
10	77
1	11
44	110
17	110
0	9
64	166
6	72
33	72
0	73
0	40
0	68
4	42
2	45
0	30
0	152
12	178
0	92
0	203
0	136
0	221
0	215
54	236
2	293
0	232
0	187
0	19
0	17
1	18
0	17
0	17
6	12
0	18
1	9
0	39
0	36
0	36
234	142
31	128
0	449
65	219
0	123
2	116
7	103
0	2
3	106
5	170
1	55
309	67
0	68
0	68
0	498
0	414
10	471
0	477
0	255
0	381
0	180
78	174
84	95
1	86
0	165
0	247
0	149
0	173
0	173
0	48
0	50
0	37
0	36
283	162
23	40
1	79
24	26
375	305
21	88
3	109
0	80
0	55
56	38
39	128
17	83
1	96
2	44
1	53
9	54
0	52
9	16
0	12
22	98
27	314
0	54
0	50
2	43
3	50
0	42
0	42
5	37
52	772
0	74
46	128
0	112
2	244
7	454
0	279
0	264
0	461
21	486
8	278
84	211
0	267
73	591
24	697
47	666
0	630
93	753
0	12
0	17
0	11
0	12
0	14
1	14
0	11
1	12
28	36
0	67
61	219
0	116
0	89
9	116
1	62
0	52
4	49
91	53
14	172
83	602
95	275
0	31
4	36
0	36
0	26
0	24
0	5
0	5
0	4
20	207
0	72
2	56
2	52
13	15
1	7
7	135
2	301
3	213
4	178
0	162
1	166
7	160
0	176
5	141
3	13
0	14
11	10
3	43
2	7
7	24
11	206
2	162
21	241
0	160
0	220
2	160
0	231
0	168
16	25
0	172
0	194
152	126
22	206
0	179
0	207
0	205
1	159
0	131
0	74
0	74
46	91
21	119
0	48
254	511
29	1224
0	368
75	151
0	113
0	40
0	3
118	919
0	739
0	702
1	545
0	696
46	665
0	1
0	1
11	13
0	0
0	2
0	1
0	1
0	1
0	1
0	1
0	2
1	518
9	840
1	521
0	355
0	256
0	292
0	295
0	299
0	291
0	291
0	295
0	278
0	110
0	129
0	129
0	141
4	111
0	103
0	141
0	83
13	68
1	35
0	1
0	1
28	1
0	1
0	1
0	1
0	1
0	1
0	1
0	53
4	53
0	53
0	52
8	48
29	72
0	39
0	39
0	127
0	127
0	105
120	182
0	117
0	537
0	543
13	516
55	546
0	379
264	247
0	0
1	132
16	192
11	129
3	121
0	168
0	0
85	8
0	6
166	13
0	98
0	88
0	232
15	74
7	66
0	62
16	252
0	255
0	94
0	95
0	5
0	12
0	12
130	190
0	189
3	142
44	45
69	38
23	58
0	0
0	70
47	57
0	21
0	5
55	168
0	76
13	180
0	215
0	186
0	206
0	188
0	218
0	213
0	202
0	805
0	671
5	265
0	538
0	58
18	137
0	137
0	34
3	31
28	49
0	43
0	62
5	6
27	90
0	49
0	43
2	63
11	2
6	220
0	110
0	140
13	110
94	111
0	155
0	160
0	134
0	135
0	143
0	130
0	105
2	23
0	0
432	719
3	235
0	0
15	145
0	104
0	106
0	0
0	0
3	0
1	6
0	5
0	5
0	3
2	4
0	3
56	113
0	122
5	105
48	187
0	103
11	17
0	29
0	29
0	25
16	64
19	31
5	23
0	40
0	25
0	25
2	26
0	23
1	19
0	75
1	45
5	33
0	1
0	42
0	52
0	40
10	40
0	20
0	694
1	498
1	11
4	10
0	33
0	11
27	175
2	96
0	88
0	61
0	72
0	78
0	95
81	225
0	185
0	78
0	99
0	78
0	77
0	79
0	31
0	31
0	31
0	4
39	98
2	3
112	856
0	893
1	895
1	1220
0	831
1	548
1	800
0	701
4	94
0	52
1	87
0	69
14	87
0	0
146	236
0	180
0	91
0	39
2	72
0	100
20	86
22	63
55	80
0	246
95	135
57	47
39	41
0	43
64	42
0	43
0	43
0	2
0	2
0	2
0	1
0	2
216	281
0	250
1	234
0	17
1	17
5	32
0	17
0	10
0	45
0	59
1	51
0	43
0	43
1	43
0	55
0	55
0	50
0	27
1	47
0	47
31	135
0	128
198	51
22	84
3	148
11	147
0	81
1	60
0	339
234	309
0	343
0	324
0	327
73	86
3	122
0	119
13	108
0	96
0	105
0	99
74	164
69	76
0	93
0	251
0	175
1	176
0	106
0	176
0	102
0	172
0	0
0	0
0	0
0	27
50	122
0	112
1	82
1	54
40	47
122	985
1	1197
135	495
0	845
0	223
0	194
0	232
20	326
0	366
0	353
2	313
0	353
0	262
0	257
0	232
4	7
0	114
0	113
1	99
0	99
0	80
0	63
0	63
95	170
0	63
1	68
13	80
2	51
0	68
2	90
26	10
0	29
0	17
0	82
21	103
0	250
27	280
0	231
0	189
0	231
129	505
68	395
0	355
38	384
0	142
0	127
3	219
0	219
0	213
0	175
0	204
1	164
0	252
0	166
8	15
1	83
95	66
0	174
0	93
0	62
50	66
0	53
0	37
37	43
4	2
10	91
17	118
1	0
5	68
0	0
2	1
0	1
5	250
7	217
0	0
0	0
0	0
0	0
0	0
0	0
22	10
0	9
22	14
0	17
0	32
0	25
0	28
123	129
20	256
0	413
0	275
2	155
0	141
0	3
0	2
0	82
1	68
0	47
1	57
0	1
0	8
0	11
0	14
4	8
0	15
0	11
3	1656
2	2119
0	1432
841	539
0	56
1	32
0	32
0	16
62	65
0	44
0	18
4	7
164	47
154	109
1	21
0	16
0	49
12	27
22	934
424	596
0	941
0	0
0	0
0	0
0	0
21	9
0	13
6	36
1	25
0	20
0	349
3	327
0	333
2	328
8	319
23	366
0	262
0	262
0	171
0	143
5	51
0	94
12	131
5	154
0	4
0	4
0	4
0	56
27	10
3	48
0	231
13	203
0	266
0	234
18	169
0	55
0	24
0	1
0	0
0	0
0	92
0	92
15	50
1	169
0	5
0	3
0	6
0	6
2	0
0	0
0	15
0	13
0	15
0	9
9	44
6	0
29	78
0	2
0	13
0	4
7	97
4	15
