UniqueCount	AmbigCount
84	435
34	382
0	258
12	150
3	240
7	1414
415	810
6	1608
0	1011
0	195
9	215
4	142
45	223
0	92
0	92
0	10
1	37
4	1
6451	14599
36009	9780
1842	6022
4	229
5112	7493
79	6887
16	800
0	840
0	528
131	787
185	289
0	239
0	199
40	234
14	205
38	602
259	526
65	421
37	15
0	1
0	0
29	1301
37	1469
2	1514
0	1300
27	1068
18	892
0	590
0	0
0	0
0	2
0	3
256	129
1	270
21	325
0	318
12	327
33	402
41	435
0	601
74	398
3	9
9	220
1	79
0	91
0	79
2	89
2415	25460
314	11537
52	8851
25	2103
0	2248
236	22093
158	22606
142	488
36	528
54	1089
323	1179
258	931
0	526
3	509
0	343
0	538
48	413
2	335
115	305
0	311
3	132
660	11200
0	11459
0	11459
554	7921
1973	4481
2	74
460	536
0	264
0	272
0	245
126	392
0	367
0	668
8	3162
560	3934
2165	4007
1137	4423
4	3210
46	1501
0	330
371	285
87	723
0	608
1	104
0	103
41	98
0	80
51	486
5	26
0	1980
0	1569
202	1889
0	1663
318	1243
1	26
8	13
47	858
0	857
44	819
0	827
129	767
104	144
0	876
11	864
281	261
16	35
6	48
63	306
54	220
4	541
3	483
5	457
20	370
127	341
301	101
143	156
86	847
7	722
3	684
304	126
0	2
92	3674
0	3569
14	2547
210	4258
894	1188
67	93
0	181
0	958
5	463
6	361
7	437
2	328
0	288
193	537
5	293
113	353
97	74
22	47
2	12965
4551	17593
177	814
22	467
161	370
445	96
277	104
11	29
4979	2028
0	3412
3	3176
3	3413
1	2819
0	2256
1	1126
3	7
161	69
19	222
17	107
9	78
3	10
14	1711
3	346
135	1775
0	5
0	5
0	5
2847	12027
758	10347
35	5928
1769	9977
46	27
0	4
0	0
0	0
0	0
0	10
0	10
10	0
0	0
2	953
0	1009
0	964
0	996
0	531
7	680
20	676
0	707
617	270
0	428
0	428
69	7
0	69
4	44
1	127
6	915
86	420
163	1550
258	98
2	1293
1836	1030
28	1141
0	459
18	693
99	265
166	618
0	521
255	5248
40	259
95	584
0	5025
4	4955
0	4943
5	2129
52	373
55	135
0	6
1	3
0	858
79	742
43	819
66	472
1462	284
19	2617
3500	3478
323	3750
2	1946
0	126
0	68
0	131
0	111
0	122
19	92
0	111
0	165
2	8
6	6
4	34
0	36
53	19
27	12
0	3110
155	3050
15	3213
1	1634
173	1637
78	2679
0	1166
3	6
1	7
71	127
35	95
625	1737
15	200
7	1058
1	12
0	11
0	54
0	43
7	15
0	11
7	39
0	18
7	10
2	11
125	108
5	10
13	206
80	293
151	466
110	246
187	205
0	164
10	186
1	72
34	424
28	362
11	409
1202	783
1	740
1	292
52	497
0	932
1	494
1	221
1614	1117
81	65
17	25
0	37
2	26
7	26
38	862
0	524
37	556
0	928
25	959
0	705
273	1026
1	872
2	82
0	15
1015	1376
174	2862
428	487
1	1614
2498	1365
0	2916
0	2650
10	2701
25	2801
0	2809
0	2381
0	2265
1	2507
0	2743
0	2669
0	2535
0	2768
88	2802
0	1924
0	2658
171	6432
0	2819
3	2156
0	2742
68	6487
0	2711
1	559
0	1050
5	2475
38	2471
37	2189
76	341
0	887
1	1666
1	1282
657	3642
335	2008
0	1979
0	917
0	1812
0	1842
2	606
0	630
8	443
488	290
15	432
1890	292
5	127
0	349
466	174
49	356
4	170
0	77
40	63
0	90
0	73
0	68
3	44
0	37
0	24
0	24
0	19
36	399
0	330
11	390
0	381
0	325
1	333
0	340
0	303
2890	6890
0	3943
0	5155
0	5508
17	5119
0	2233
658	4603
0	5912
0	5560
0	3899
0	5921
4	6785
0	3785
0	5146
312	4458
400	78
77	72
557	760
7	445
0	259
27	325
176	135
16	546
22	424
64	7
1881	535
1092	14225
1953	14346
1899	13711
7	10486
0	10292
3	6
0	0
2	0
277	298
20	120
5	1659
7	35
170	355
0	71
115	14
0	318
3	479
17	187
10	275
427	97
49	161
0	28
100	287
62	287
0	6
142	382
30	50
170	52
0	160
0	100
0	158
10	118
4	135
0	72
0	225
0	250
0	172
10	254
0	137
0	286
0	299
61	226
15	298
10	248
1	223
1	182
0	82
79	142
9	157
0	155
9	78
0	141
3	36
0	248
0	270
0	272
528	144
50	216
41	3340
521	1546
7	153
0	141
9	112
0	6
4	425
15	589
0	425
757	545
0	562
0	562
3	1015
0	795
26	1287
0	1303
0	551
0	992
0	439
477	999
445	372
0	335
0	951
0	1095
0	867
0	1133
0	1133
0	86
0	90
0	78
0	75
1669	1426
164	326
76	549
444	181
2572	1912
25	153
0	196
0	166
1	102
265	64
135	211
4	189
0	194
0	70
0	105
21	110
0	100
1	26
0	13
99	389
18	704
28	218
0	172
7	157
0	191
13	168
0	174
0	118
334	3358
3	121
92	241
0	226
4	921
0	1731
0	1090
0	1068
1	1859
79	1955
48	1073
341	746
0	1009
562	3348
49	2652
0	2776
0	2639
1	2623
0	17
0	16
3	13
0	18
0	17
1	15
2	13
18	19
52	173
0	249
190	461
0	540
0	217
37	540
0	270
7	161
13	129
408	34
0	997
388	2560
945	1390
0	116
0	206
0	206
3	109
3	79
0	1
0	1
0	1
24	582
0	228
5	275
20	174
73	16
1	7
5	119
0	232
16	188
7	121
0	114
0	110
5	121
0	121
3	114
2	0
0	14
31	12
49	83
1	6
42	340
33	392
2	304
17	448
0	288
26	420
0	287
0	432
62	305
0	0
0	904
0	991
1171	726
86	1075
0	942
0	1104
0	1103
67	405
0	399
2	175
0	175
124	255
168	485
0	68
1139	1718
0	3301
2	1361
231	629
4	132
0	47
1	52
285	2658
62	2181
0	2186
0	1861
0	2201
104	2210
0	3
0	3
12	15
0	13
0	24
0	21
0	22
0	22
0	17
0	18
0	24
2	2010
4	4538
3	2006
52	1221
0	437
19	601
0	509
0	607
1	562
0	554
0	542
0	590
0	51
0	82
0	82
0	60
14	54
0	49
0	60
1	106
21	113
31	92
0	0
0	3
83	6
0	7
0	0
0	0
0	0
0	1
0	0
0	299
4	396
1	241
0	347
4	235
224	312
0	212
0	210
0	322
0	346
0	338
779	639
1	314
0	1529
0	1528
276	1600
39	1537
0	919
1137	556
0	0
0	276
39	496
0	325
10	282
1	454
0	5
207	10
0	12
355	48
0	262
1	111
23	826
12	51
23	58
0	58
82	1227
2	1176
2	412
0	755
0	11
0	0
0	0
457	751
1	581
9	265
77	70
334	62
130	370
0	0
0	206
92	104
0	68
20	52
88	275
10	149
89	997
3	1238
2	938
0	1028
0	745
0	899
46	939
5	872
9	767
187	1049
12	701
0	934
0	36
97	504
0	443
0	184
3	145
31	186
1	137
0	442
24	62
161	340
3	189
0	223
3	229
65	5
95	383
1	289
37	246
8	236
749	336
0	584
0	565
2	490
0	550
0	589
0	550
0	521
2	18
0	0
396	688
6	97
0	1
52	275
0	256
0	256
0	0
0	0
0	0
0	4
0	1
0	1
0	0
4	4
0	1
67	125
0	129
6	99
49	174
0	72
8	22
0	40
0	37
0	37
31	297
48	62
18	110
19	236
0	159
13	221
12	153
0	207
4	154
0	217
7	141
4	9
4	42
0	127
0	134
0	118
23	115
0	70
0	194
28	139
0	0
47	28
0	52
0	27
59	214
23	414
0	413
1	261
0	368
0	398
0	409
350	1054
105	928
0	275
2	417
0	274
0	283
0	289
0	236
4	234
1	240
7	83
184	408
6	38
643	2742
0	3459
0	3452
3	3950
2	3279
4	2562
85	3273
0	2984
2	81
0	74
5	76
0	69
17	102
0	1
424	816
0	1222
3	708
6	374
0	554
0	846
78	327
121	354
115	155
82	368
90	228
60	88
295	148
0	223
198	193
0	223
8	222
0	1
0	1
0	1
0	0
0	1
568	636
0	550
19	546
0	138
8	139
29	201
0	140
0	104
0	48
0	79
1	72
0	75
0	75
0	73
0	128
0	132
0	112
0	47
3	125
0	124
13	62
0	59
292	32
12	134
21	120
43	109
0	78
0	76
0	1293
826	1169
0	1186
0	1249
0	1144
319	379
0	331
2	390
122	388
0	205
0	198
0	206
110	295
182	125
0	205
0	476
0	393
5	303
0	209
0	387
0	218
0	292
0	0
0	0
0	0
0	119
127	377
0	388
6	292
1	38
19	19
1046	4228
1	3611
994	1308
1	2884
0	1225
0	1033
3	1206
39	1854
0	1961
0	1740
116	1797
0	1773
0	1529
0	1366
0	1428
3	25
0	300
0	300
0	292
0	292
0	233
31	249
20	249
70	209
1	35
0	44
14	41
0	30
3	46
8	80
230	60
7	158
21	56
34	189
99	268
70	1257
92	1283
88	1179
4	737
0	1179
136	1955
526	1861
15	1709
18	1564
0	438
10	378
9	597
0	576
0	515
0	494
0	538
0	456
0	617
0	485
0	132
0	441
870	528
3	1986
0	495
0	960
206	407
0	336
0	253
113	308
1	0
100	256
92	702
2	3
6	82
0	3
3	3
0	4
111	641
24	603
0	0
0	0
0	0
0	0
0	0
0	0
59	82
2	73
115	50
0	134
5	162
0	136
0	138
301	325
89	715
0	1145
1	850
14	1257
3	712
0	3
0	1
2	193
0	179
54	594
152	622
0	0
0	85
0	138
0	104
1	66
0	142
0	138
1	4993
8	6900
16	4888
3964	1053
3	18
3	16
0	10
0	10
62	53
1	34
0	12
5	38
174	58
107	111
18	8
0	123
0	103
0	60
41	1209
1308	473
1	1209
0	1
0	6
2	6
0	0
1	4
0	55
1	45
4	28
0	310
13	788
28	1300
12	746
0	749
2	738
110	1339
0	431
0	424
0	1013
0	1125
40	331
0	294
0	549
10	871
0	17
0	14
0	14
6	15
34	34
8	18
21	279
50	249
2	252
0	266
36	134
0	53
0	22
0	0
0	0
0	0
3	462
6	462
21	149
8	632
0	0
0	0
0	20
0	20
8	1
1	1
0	137
2	92
0	130
3	98
47	49
2	1
32	190
0	4
1	11
0	1
13	143
15	9
673	2052
48	3414
2	2621
0	407
261	556
18	545
11	551
7	399
3	0
0	0
0	0
0	0
0	299
0	172
0	126
0	258
16	3504
22	3819
47	5597
306	5517
1	5838
13	3448
0	0
0	132
0	128
0	128
38	9
0	131
11	124
1	45
67	63
2	120
1	49
0	575
0	708
8	625
0	705
3	748
0	662
25	28
15	86
2	37
0	2
0	2
539	673
355	405
1046	347
0	0
0	136
6	201
111	391
0	255
0	231
1	204
10	67
0	200
0	1
0	1
18	1509
14	1093
3	823
70	813
11	708
0	579
5	273
0	66
4	593
0	479
5	594
0	583
48	473
5	103
0	122
0	20
0	19
5	12
77	46
92	66
0	107
0	107
7	83
69	90
49	327
286	180
24	53
67	692
164	226
34	200
22	153
0	690
0	0
0	1
0	0
1	1
0	0
0	1994
0	2420
8	1803
4	1878
84	1626
0	1468
0	290
0	251
0	0
3	5
0	15
436	152
5	133
9	160
1	127
22	131
0	9
55	293
1	267
0	246
0	256
0	207
0	202
16	11
433	1391
382	1069
0	408
0	406
17	312
0	310
457	14
404	71
0	258
14	175
4	275
43	325
472	1292
1	864
13	1202
11	679
16	512
0	69
0	72
0	75
3	1841
478	1884
0	1728
2	1684
0	1528
970	1133
0	1360
4	1315
0	60
0	74
0	47
10	55
