UniqueCount	AmbigCount
28	371
14	347
0	214
5	159
0	274
0	466
185	292
57	565
42	392
0	102
3	103
18	94
0	106
0	53
0	53
0	4
7	5
10	3
3648	8024
4038	12145
1213	3833
4	2968
1892	6245
34	6752
0	363
1	357
0	260
50	356
70	150
0	130
0	114
4	141
0	114
1	110
38	120
5	75
5	269
0	0
0	0
16	414
0	474
2	477
0	377
0	416
2	229
0	217
0	1
0	1
0	7
0	1
71	61
1	100
2	132
0	109
9	127
4	115
19	139
0	94
0	69
10	6
0	71
3	37
0	37
0	37
0	34
20	7736
43	3499
22	3206
2	664
0	684
43	6228
61	6281
164	177
0	172
0	249
67	275
69	246
0	122
0	116
0	81
0	219
14	167
1	120
9	31
0	31
0	14
60	6302
0	6337
0	6337
198	4288
1528	4768
43	28
63	203
0	99
1	137
0	116
3	161
0	181
24	270
1	687
2	856
420	864
156	888
0	529
16	255
0	71
77	113
4	230
0	171
4	68
0	6
3	5
0	5
25	106
2	5
0	604
0	596
53	596
0	596
71	412
1	13
2	9
11	350
0	316
15	321
0	300
54	324
46	95
0	58
0	51
9	22
9	9
0	19
13	134
28	96
2	266
0	247
1	309
0	262
0	217
74	9
86	103
30	217
0	201
1	187
106	88
0	3
44	573
0	534
5	481
19	667
152	196
0	1
0	73
0	296
0	167
0	163
0	169
0	110
0	100
49	168
2	106
13	111
15	62
8	13
0	2370
676	3225
10	235
7	147
71	209
191	76
21	53
0	4
466	466
3	683
1	584
0	630
3	535
1	300
0	374
0	6
38	25
0	46
2	23
18	25
0	6
2	457
1	201
15	482
0	1
0	1
0	1
556	4197
142	3984
3	2523
614	3768
1	159
0	0
5	24
2	26
5	22
0	15
0	15
2	9
0	10
0	459
0	471
0	510
0	461
0	223
19	427
10	439
0	440
141	188
0	317
0	317
1	18
0	6
0	2
13	91
0	220
40	173
30	435
114	37
1	390
238	299
16	319
0	3
8	15
3	5
3	38
1	30
2	60
0	15
0	28
0	155
0	137
0	154
0	127
2	59
14	25
0	1
0	0
12	339
3	301
21	325
19	241
635	150
0	1005
932	1284
149	1493
1	882
0	29
0	23
0	33
0	43
0	31
3	29
0	43
0	43
0	4
1	2
1	15
0	14
10	17
8	17
0	951
45	1062
0	1109
0	395
9	425
0	954
0	314
1	12
0	9
24	44
16	68
120	421
7	55
2	306
1	3
0	1
0	10
0	9
1	4
0	4
5	9
0	10
5	13
0	7
34	25
3	2
0	221
2	93
67	345
163	241
96	106
0	85
3	101
2	35
17	160
18	154
0	161
104	181
0	159
0	75
1	81
0	176
0	84
0	59
207	120
60	99
11	20
0	29
0	21
1	21
3	152
0	83
7	89
0	258
6	346
1	181
51	280
0	289
2	65
1	17
315	390
105	954
50	207
0	494
175	598
0	1073
0	994
0	1010
42	1047
1	1036
0	965
2	927
1	955
0	1010
0	1004
0	997
0	1033
0	1036
0	754
0	1000
47	1802
0	1047
0	906
0	1021
18	1838
0	1002
0	185
0	215
3	250
9	249
11	172
10	80
0	172
1	529
0	380
62	597
64	543
0	572
0	217
1	530
0	583
4	357
0	364
2	282
265	186
11	278
156	221
0	25
0	131
51	99
22	166
0	82
0	29
16	28
0	30
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	183
0	166
5	189
0	168
0	160
0	169
0	152
0	169
692	2320
0	1971
0	2438
0	2447
3	1925
0	1101
190	1289
0	2606
0	2556
0	2107
0	2611
0	2935
0	2054
0	2433
84	2254
66	50
11	51
81	437
0	239
0	166
8	165
58	66
7	352
0	299
45	8
145	127
182	3178
329	3445
175	3311
0	2680
2	2412
1	0
0	0
0	2
94	88
0	41
7	308
1	7
43	115
0	18
51	8
0	111
1	146
21	95
0	88
180	57
2	82
0	0
20	67
0	67
0	10
209	192
10	20
0	22
0	256
0	160
0	231
8	159
43	201
0	100
0	220
0	256
0	144
0	247
0	165
0	302
0	307
28	243
0	322
0	274
0	245
0	31
0	31
191	45
0	32
0	33
2	32
0	45
8	18
0	38
0	35
0	35
156	83
20	91
0	985
80	383
4	129
0	117
10	114
2	9
0	205
14	209
1	115
164	124
0	97
0	97
0	479
0	406
17	554
0	560
0	294
0	434
0	242
99	288
79	108
0	100
0	267
0	524
0	355
0	420
0	420
0	55
0	56
0	36
0	29
139	263
9	64
0	85
130	38
662	505
2	72
0	84
0	73
0	58
53	42
25	95
0	81
0	96
0	32
2	36
1	44
0	52
0	6
0	3
65	227
9	274
0	66
0	68
0	51
0	55
8	50
0	52
6	47
66	760
0	60
18	98
0	91
0	275
0	457
0	329
0	314
4	507
26	524
13	309
59	262
0	291
80	1013
27	783
18	838
0	784
0	799
1	16
1	23
0	21
0	22
0	21
1	14
0	18
2	18
49	59
0	67
55	159
0	95
1	64
4	95
1	67
0	38
5	72
118	10
0	198
43	447
128	229
0	128
0	173
0	173
0	95
1	80
0	4
0	2
0	4
22	268
0	126
1	106
5	105
20	9
0	2
0	61
2	158
4	114
7	101
0	98
2	96
0	68
0	98
5	64
0	1
0	22
14	49
7	63
0	2
30	193
4	92
0	99
0	112
0	96
1	86
0	96
0	106
0	91
11	14
0	134
0	151
205	129
12	152
0	112
0	147
0	147
40	127
0	123
0	85
0	86
9	109
41	125
0	45
1	271
0	489
0	163
11	82
0	36
0	17
0	2
92	916
0	723
0	785
0	666
0	721
59	625
0	0
0	0
3	3
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	388
0	684
0	391
1	260
0	124
0	157
0	137
0	161
0	157
0	157
0	144
0	157
0	76
4	89
0	82
0	75
4	78
0	69
0	71
24	66
10	51
0	34
0	0
0	0
15	4
0	4
0	0
0	0
0	0
0	2
0	0
0	106
10	89
0	94
0	87
7	97
26	141
0	98
0	98
0	58
0	61
0	57
123	147
0	68
0	285
0	287
35	327
1	287
0	221
211	273
0	0
0	258
7	398
0	149
0	180
1	301
0	0
116	21
0	26
138	0
0	57
2	76
0	192
0	76
0	70
0	64
10	123
0	119
0	75
0	75
0	2
3	26
0	26
105	264
0	264
22	160
2	14
42	14
4	91
0	0
0	33
5	21
0	15
4	0
58	140
2	63
38	344
0	342
0	266
0	310
0	342
1	351
0	372
2	347
0	416
0	486
1	250
0	403
1	27
50	281
0	243
0	111
1	62
6	122
0	104
1	108
0	52
54	161
1	102
0	102
0	97
27	2
40	151
0	90
0	94
0	118
213	146
0	197
0	236
0	184
0	171
0	209
0	165
0	157
2	8
0	0
451	411
77	78
0	0
7	98
1	76
0	76
0	0
0	0
0	0
0	18
0	10
0	10
0	2
2	17
0	2
35	81
0	86
4	71
13	78
16	48
4	10
0	59
0	59
0	59
0	35
34	22
4	14
0	24
0	19
0	29
3	26
0	24
1	18
0	160
4	107
22	132
0	15
0	89
0	111
0	88
14	101
0	64
0	123
2	96
0	1
11	20
0	22
0	20
49	101
2	269
0	263
0	197
0	236
0	251
0	265
109	528
31	446
0	209
0	259
0	211
0	219
0	219
0	109
0	113
0	109
3	37
11	357
9	20
136	671
0	776
2	677
0	869
0	574
29	529
8	625
0	647
0	20
0	9
3	21
1	17
3	20
0	1
77	199
0	140
0	75
2	44
0	49
0	83
5	52
36	89
21	50
1	127
74	68
48	33
96	83
0	52
69	48
0	52
0	52
0	0
0	0
0	0
0	0
0	0
68	78
0	74
8	74
0	26
0	26
0	62
0	26
0	25
0	55
0	88
0	86
0	53
0	53
0	52
0	28
0	31
0	27
0	30
2	50
0	50
5	45
0	38
151	30
15	90
4	78
14	68
0	23
0	42
0	362
173	336
0	344
0	346
0	328
84	117
0	113
0	112
2	123
0	76
0	74
0	73
52	140
66	73
0	76
0	201
0	154
9	131
0	81
0	151
0	84
0	123
0	0
0	0
0	0
7	73
46	185
2	177
6	131
0	4
5	2
159	1208
0	1251
108	426
0	906
0	217
0	213
14	127
25	253
0	259
0	262
16	211
0	255
0	230
0	238
0	220
0	8
0	111
0	111
0	94
0	94
0	84
14	57
1	57
36	93
1	105
2	106
26	106
3	97
0	127
1	127
30	17
0	30
0	12
0	60
15	62
0	210
20	224
0	207
0	153
0	207
108	989
76	788
7	662
81	769
0	143
0	142
4	237
0	234
0	224
0	201
0	218
2	183
1	276
0	184
0	11
0	43
62	23
0	121
0	49
0	50
44	109
0	93
0	66
13	102
0	0
78	468
35	309
1	1
3	30
0	0
0	0
0	0
38	260
1	243
0	0
0	0
0	0
0	0
0	0
0	0
33	31
0	29
76	94
7	168
3	207
0	155
0	156
61	170
25	192
0	275
0	159
12	233
6	209
1	0
0	6
0	32
0	28
0	45
20	50
0	0
0	15
0	27
0	24
1	10
0	26
0	26
4	996
1	1382
0	916
894	457
2	12
2	10
0	9
0	6
13	27
0	20
0	10
7	18
112	55
42	88
16	11
0	29
0	51
0	22
0	455
232	181
0	455
0	10
0	0
0	0
0	0
0	13
0	18
2	7
1	54
0	16
1	381
0	533
2	364
0	360
2	353
46	559
0	259
0	256
0	194
0	185
46	98
0	110
0	130
0	182
0	13
0	13
0	13
0	20
54	5
2	15
1	104
20	108
0	97
0	83
14	58
2	18
0	4
0	0
0	0
0	0
3	29
0	29
38	99
1	494
0	1
0	0
0	10
0	10
9	5
0	5
0	60
0	37
0	56
0	43
2	45
0	7
31	192
0	1
0	1
0	1
2	62
4	14
0	546
0	1093
0	925
0	146
70	161
1	143
18	171
0	106
0	1
0	0
0	0
0	1
0	56
0	39
0	29
0	71
3	1401
15	1821
8	1513
112	1618
0	1585
3	1245
0	8
0	24
0	23
0	24
13	0
3	24
5	134
0	77
11	95
0	129
5	78
0	154
0	176
0	168
0	179
0	190
0	174
3	4
0	16
0	4
0	0
0	0
84	368
154	162
319	262
0	0
0	58
0	58
59	105
0	87
0	43
4	225
8	86
1	133
0	0
0	0
9	777
0	632
0	392
