UniqueCount	AmbigCount
25	229
16	205
0	126
6	99
0	165
0	475
130	259
58	554
21	333
0	77
2	94
6	64
0	88
0	51
0	51
0	9
3	6
8	0
9680	19661
10319	23001
1755	7242
7	3959
3633	8803
152	9868
0	290
0	279
0	209
47	277
59	145
0	105
0	90
1	101
0	90
0	123
53	111
2	61
9	112
0	0
0	0
21	403
0	470
2	464
0	339
0	416
2	198
0	169
0	1
0	1
0	10
0	1
45	47
1	74
4	97
0	69
0	94
5	73
19	131
0	95
5	81
1	2
0	33
0	16
0	16
0	16
0	14
29	7422
36	4032
9	2891
6	806
0	836
30	5851
184	5726
142	163
0	162
0	154
32	166
45	164
0	71
0	64
0	54
0	105
9	65
0	54
13	38
0	39
0	13
83	3157
0	3206
0	3206
429	2319
1039	2355
19	25
75	203
0	95
0	153
0	106
3	181
1	187
13	268
1	578
6	599
586	601
147	661
0	485
4	247
0	77
74	134
21	245
0	204
14	64
0	15
2	14
0	11
32	86
2	9
0	510
0	444
66	485
0	444
69	320
1	15
0	11
13	366
0	330
18	346
0	312
84	342
29	133
0	12
0	10
1	6
5	6
4	10
17	106
23	76
0	257
1	221
0	306
0	264
2	191
53	6
55	94
24	157
0	144
0	122
97	94
0	7
37	467
0	420
9	425
12	553
109	138
0	4
0	49
0	225
0	121
0	119
0	130
1	79
0	68
47	163
6	100
8	107
7	57
6	11
0	1465
531	2364
9	201
3	124
78	196
172	71
19	75
0	3
236	267
1	394
2	341
5	369
1	307
0	137
0	240
2	5
25	20
0	43
3	18
13	23
0	7
0	229
1	103
15	248
0	2
0	2
0	2
793	4739
218	4239
1	2836
536	4028
1	216
0	0
0	7
1	9
2	7
0	4
0	3
0	2
0	3
0	476
0	499
0	446
0	505
0	278
10	300
1	306
0	306
106	133
0	230
0	230
5	6
0	21
0	15
23	170
0	238
19	161
15	371
78	38
0	312
205	229
19	248
0	3
16	35
4	5
2	27
0	35
0	12
0	11
0	33
0	123
0	100
0	123
0	102
0	98
34	39
0	2
1	0
1	204
5	174
13	194
26	137
365	144
2	850
1030	1188
166	1279
0	735
0	20
3	21
0	19
0	42
0	15
5	35
0	42
0	38
0	3
1	2
0	6
0	6
1	5
0	4
0	1044
63	1226
0	1289
0	445
23	493
3	1083
0	317
1	12
0	8
42	38
21	102
172	428
3	35
3	326
0	9
0	9
0	17
0	16
2	3
6	3
4	15
0	7
2	5
1	3
38	27
3	28
0	134
12	78
9	106
39	75
43	62
0	43
0	57
0	17
5	104
11	107
1	109
117	166
0	158
0	91
4	87
0	180
0	87
0	72
136	117
88	76
10	22
0	32
0	17
2	17
8	170
0	101
4	100
0	322
8	392
1	213
42	338
2	336
0	65
1	17
187	391
98	926
46	258
0	603
154	762
0	703
0	692
2	720
21	715
5	708
0	675
1	593
0	627
0	699
0	677
0	654
0	707
1	708
0	527
0	695
21	1195
0	733
1	603
0	725
14	1191
0	681
0	200
0	210
1	203
6	207
11	205
32	84
0	154
0	572
0	372
68	603
88	582
0	597
0	222
0	541
0	605
4	206
0	220
1	138
198	90
6	131
35	54
1	20
0	85
92	92
8	151
0	79
0	18
6	18
0	20
0	2
0	2
1	2
0	1
0	1
0	1
0	1
4	141
0	118
5	152
0	145
0	116
0	129
0	115
0	121
543	1608
0	1282
0	1621
0	1625
4	1412
0	680
125	800
0	1900
0	1738
0	1359
0	1910
0	2100
0	1325
0	1616
65	1421
122	137
28	124
75	336
7	168
0	117
3	149
51	58
10	360
0	281
34	12
97	64
203	3010
327	3342
194	2991
0	2319
0	2253
2	4
1	0
0	0
99	65
2	30
1	215
1	12
22	79
0	8
40	8
0	78
1	176
19	64
1	59
133	38
7	69
0	5
13	53
0	53
0	9
197	208
10	20
0	24
0	156
0	100
0	138
7	108
23	138
0	64
0	115
0	136
0	66
0	129
0	84
0	161
0	150
27	147
0	164
0	153
0	131
0	24
0	25
0	37
0	26
0	26
1	26
0	37
1	19
0	30
0	31
0	30
97	43
23	54
0	1114
100	444
0	111
1	97
8	102
5	23
2	154
14	183
0	74
186	86
0	46
0	46
4	435
0	376
14	424
0	422
0	237
0	309
0	177
101	250
70	110
0	92
0	222
0	287
0	164
0	212
0	212
0	46
0	46
0	19
0	23
115	234
12	72
0	45
72	26
520	410
0	63
0	72
0	52
0	46
31	35
17	77
0	64
0	76
1	16
2	17
1	26
0	31
1	6
0	5
32	158
7	171
0	72
0	74
1	48
0	54
6	48
0	51
18	44
51	579
0	40
29	79
0	67
0	262
0	457
0	293
0	282
4	488
20	501
7	271
27	233
0	265
40	530
26	752
26	782
0	747
0	804
0	26
2	32
0	31
0	29
0	35
0	24
0	27
5	31
45	76
0	19
59	224
0	114
0	69
21	114
0	66
4	32
2	77
52	34
0	151
34	278
130	156
0	116
0	159
0	159
0	94
0	73
0	0
0	1
0	0
19	175
0	76
1	70
6	68
24	23
3	5
0	35
0	68
2	59
4	35
0	31
1	31
0	38
0	33
3	35
8	7
0	32
19	29
17	54
0	10
14	103
1	73
1	61
0	89
0	59
0	80
0	59
0	91
2	53
25	94
0	102
0	125
149	90
5	128
0	84
0	114
0	110
38	130
0	129
0	64
0	64
10	59
15	57
0	29
33	358
0	689
0	249
20	137
0	28
0	10
0	6
62	746
0	541
1	621
0	522
0	556
28	482
0	0
0	0
1	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	254
1	442
1	258
6	167
0	178
0	234
1	203
0	244
0	234
0	234
0	221
0	231
0	149
6	148
0	122
0	146
2	151
2	131
0	137
42	116
20	64
0	30
0	1
0	2
15	2
0	3
0	1
0	1
0	1
0	2
0	1
0	62
4	37
0	48
0	37
6	59
41	102
0	68
0	68
0	34
0	36
0	34
72	103
0	67
0	238
0	244
23	256
2	244
0	196
164	201
0	0
0	140
9	224
0	89
0	115
2	173
0	0
96	15
0	10
163	0
0	38
1	77
0	234
15	78
1	70
0	64
7	92
0	89
0	36
0	36
0	0
19	86
3	86
91	184
0	184
23	111
0	12
50	11
1	18
0	0
0	34
3	36
0	22
1	4
115	128
2	47
35	241
0	269
0	182
0	213
2	225
0	239
0	235
2	222
0	333
0	406
2	182
0	316
0	43
19	170
0	144
0	54
2	34
3	69
0	54
0	78
2	28
70	104
2	64
0	56
1	51
9	1
17	157
0	101
0	114
0	68
135	67
0	111
0	130
0	107
0	100
0	116
0	98
0	87
3	17
0	0
383	554
143	109
0	0
7	68
0	58
0	58
0	0
0	0
0	0
1	7
0	1
0	1
1	1
2	4
0	1
34	76
0	87
2	70
5	45
9	21
2	8
0	17
0	17
0	17
6	40
33	27
19	20
0	25
0	11
1	20
1	18
0	15
0	10
0	95
1	63
36	139
1	10
0	79
0	95
0	74
16	81
0	44
0	41
3	31
0	1
19	16
0	21
1	16
148	209
10	252
0	233
0	176
0	221
0	227
0	238
117	451
10	377
0	189
0	244
0	189
0	193
0	194
0	57
0	56
0	57
5	22
5	334
7	10
150	515
0	548
2	526
2	675
1	501
18	376
2	489
0	429
1	58
0	25
4	50
0	47
1	60
0	0
87	280
0	177
1	77
2	42
1	66
1	81
4	24
22	63
22	46
1	105
45	62
22	28
89	82
0	33
44	31
0	33
0	33
0	2
0	2
0	2
0	0
0	2
121	142
0	133
7	133
0	84
6	86
0	108
0	86
0	54
0	46
0	70
0	68
0	44
0	41
0	41
0	35
0	35
0	31
0	19
5	33
0	33
11	51
0	42
157	28
12	74
10	71
3	65
0	26
0	34
0	290
148	275
1	287
0	268
0	266
40	106
0	69
0	75
1	74
0	56
0	53
0	54
30	115
32	61
0	57
0	173
0	125
13	107
0	60
0	126
0	57
0	101
0	0
0	0
0	0
8	94
45	129
0	112
6	83
0	9
11	4
156	817
0	855
60	306
0	629
0	250
0	220
20	165
33	312
0	326
0	318
18	272
0	301
0	269
0	253
0	248
4	10
0	102
0	102
0	90
0	90
0	76
15	47
0	47
30	70
2	165
0	163
44	174
3	152
3	183
6	178
29	20
8	40
0	18
0	52
11	52
0	121
13	131
0	128
0	86
0	128
73	720
63	565
7	497
78	562
0	127
1	127
12	236
0	236
0	213
0	198
0	184
0	149
0	257
0	157
0	6
0	53
40	29
0	103
0	59
0	45
23	84
0	77
0	56
13	77
0	0
