UniqueCount	AmbigCount
55	510
0	401
12	784
0	347
1	340
0	471
633	316
135	555
0	216
0	372
23	426
14	248
48	406
0	134
9	129
0	19
0	7
33	7
5895	30660
185708	35646
2401	25424
17	451
89716	25925
922	31960
34	1235
20	1287
0	956
189	902
209	180
0	149
0	110
13	138
0	110
23	353
1	293
17	138
59	24
0	11
0	0
83	1731
26	1763
2	1523
0	1656
59	1391
20	741
166	684
0	15
0	15
0	34
0	16
268	105
7	209
18	244
0	233
16	221
15	161
269	641
1	368
0	249
3	11
9	171
7	70
5	76
0	70
3	68
4398	45247
303	17550
44	15219
10	4124
0	4163
1709	34121
330	39620
0	848
308	1001
58	656
187	794
144	640
0	359
2	339
1	212
0	748
29	554
9	389
78	259
0	261
0	116
916	23242
1	23820
0	23820
4095	15137
5474	8510
6	72
834	1157
0	284
0	284
0	294
2	409
0	428
157	1468
0	1535
748	3634
3023	3355
782	3835
116	2564
68	772
0	164
1498	498
14	202
0	165
562	449
0	71
11	58
0	52
81	305
29	43
162	1425
0	960
441	1363
0	949
661	554
1	32
14	22
56	669
0	626
17	667
0	596
86	586
39	231
0	116
0	102
375	20
102	63
18	103
158	289
26	181
6	332
75	287
0	228
62	172
2	256
2082	34
1	131
72	479
0	414
0	401
59	119
2	36
41	2964
14	2902
15	1199
304	3190
967	939
142	37
0	218
103	1603
20	371
0	415
1	336
0	391
0	310
279	695
0	387
16	536
118	183
200	88
110	8325
2662	10816
251	935
86	726
1031	574
90	72
64	117
6	10
4010	625
5	863
1	800
2	905
8	643
1	560
0	297
27	15
338	38
0	27
0	14
1	9
0	1
38	1926
49	1044
1301	2615
0	1
1	1
0	1
7218	18076
110	5641
49	5555
4419	15562
7	123
0	3
2	5
0	6
3	2
0	16
0	16
9	4
2	4
20	1195
0	1305
0	1235
0	1317
0	733
29	411
9	423
0	412
881	116
0	163
0	156
28	7
5	196
4	129
2	134
30	597
23	144
306	1214
946	95
1	876
4414	827
53	680
0	26
66	123
105	34
98	116
0	22
30	374
0	14
0	38
0	188
2	165
0	133
1	93
44	174
553	191
0	14
17	5
61	1153
61	928
68	1118
173	748
2771	639
0	1159
5982	2679
583	3345
120	614
0	54
9	33
0	81
0	120
0	70
4	70
0	120
0	85
0	2
0	0
0	1
4	1
15	5
6	5
80	994
315	1013
1	1066
9	1118
0	1101
294	1138
0	338
13	51
0	33
88	228
175	230
1592	4570
52	576
12	2979
0	10
2	3
0	265
0	153
75	130
0	86
50	125
4	69
28	34
0	59
235	158
22	54
70	105
169	435
1058	1341
734	1076
413	167
0	162
0	181
5	53
34	601
38	601
34	616
2186	287
1	188
1	155
44	156
0	284
0	217
0	132
635	274
223	100
91	62
0	66
1	35
3	36
76	735
0	413
33	413
0	485
427	2202
7	324
19	622
1	1970
2	238
3	23
1622	2158
1020	3323
12	127
13	2142
1293	337
0	2039
0	1767
5	1796
0	1912
5	1906
0	1624
4	1773
0	1923
2	1928
0	1794
0	1906
0	1834
0	1896
0	1223
0	1773
80	8360
0	1917
0	1552
0	1853
234	8368
0	1882
1	194
26	360
34	1479
142	1484
87	1721
107	137
2	282
0	335
0	348
1102	2371
10	340
0	347
0	313
1	360
0	345
8	462
107	529
10	233
1083	241
0	224
29	117
12	249
10	268
1745	227
256	946
24	505
0	120
182	95
15	133
7	212
0	211
26	150
0	112
2	19
0	19
0	21
76	909
0	760
0	830
17	760
1	730
0	775
0	734
24	706
4798	7424
6	2445
2	3473
0	3491
48	3512
0	585
775	5401
0	5331
0	3665
0	2476
0	5288
2	5626
0	2525
0	3504
432	2620
5080	647
95	580
1345	1235
22	311
1	207
11	381
1380	245
52	2407
61	1568
465	8
871	99
541	9658
1592	9964
1284	9375
10	7608
1	7019
32	94
0	8
1	0
902	570
24	242
16	1100
8	12
89	443
0	57
109	7
0	66
8	334
25	58
0	47
388	51
66	106
3	64
162	194
42	194
0	2
178	239
92	113
506	127
13	543
0	237
0	514
10	243
143	314
0	154
0	89
0	99
0	65
2	96
0	47
0	118
0	116
23	102
9	130
0	107
2	95
0	62
0	48
538	104
0	69
0	60
12	47
3	93
5	20
11	177
1	169
0	181
1455	314
71	187
0	3178
358	1618
4	449
3	427
17	341
0	7
66	1275
129	343
3	31
1186	94
0	322
0	322
4	1224
0	1007
270	2438
2	2475
1	439
0	1844
0	294
563	840
357	215
0	210
0	824
47	856
10	708
0	820
11	812
0	106
0	125
2	81
0	84
84	367
562	204
20	145
614	59
3949	558
24	189
0	275
0	230
0	127
458	110
105	361
31	435
39	461
1	15
0	29
23	39
0	38
94	84
0	71
139	625
60	1268
9	252
0	249
14	221
1	222
10	162
20	175
0	151
1119	9122
1	142
169	255
0	246
0	795
172	1984
0	876
0	875
8	2204
132	2396
2	633
1322	898
0	540
63	1789
181	3303
244	2887
1	2581
0	3165
3	22
0	45
0	34
3	46
3	41
0	26
0	20
18	22
18	123
0	115
495	802
280	1183
0	206
161	1183
0	218
0	46
31	235
50	12
58	1273
470	2650
994	1287
0	138
1	237
0	222
15	160
2	101
0	1
0	10
0	2
38	561
4	235
2	157
37	227
182	37
6	59
10	136
0	343
11	280
20	237
0	228
0	203
15	147
0	252
2	132
67	16
0	63
76	62
413	1019
4	18
74	301
81	398
0	308
0	492
0	311
2	459
3	324
0	460
54	356
1	14
0	325
0	331
855	256
0	376
0	267
0	415
0	409
7	339
2	254
6	68
0	68
0	105
460	465
0	17
1416	3617
118	6401
1	3224
59	537
0	1511
0	226
2	190
1142	5123
36	3781
0	3933
0	3227
0	3841
208	4140
0	23
0	23
18	55
0	7
0	18
0	20
0	14
0	14
0	12
0	12
0	19
2	514
92	3461
13	525
0	229
1	314
29	488
12	393
7	449
0	487
0	456
0	421
0	466
13	375
1	325
0	308
35	351
45	368
2	276
4	349
26	230
44	186
25	209
0	9
0	14
0	14
0	14
0	10
0	10
0	10
0	10
0	9
52	566
0	69
0	437
0	61
65	441
272	267
0	149
0	138
0	201
0	205
0	178
695	606
1	415
0	1285
0	1320
352	1346
149	1370
1	870
2546	510
0	0
87	514
24	343
55	551
35	377
19	341
17	0
464	9
5	7
657	4
37	635
14	53
16	1572
9	48
3	42
1	40
231	2393
0	2271
2	726
0	1214
0	20
0	1
0	1
609	482
0	336
11	82
75	28
269	28
928	286
0	49
0	411
176	218
0	143
8	32
40	115
3	83
53	522
200	2117
0	688
0	696
0	548
0	592
23	518
1	543
32	2606
8	2693
22	2194
10	2568
0	107
373	1258
23	1264
14	642
4	129
7	150
3	91
0	750
119	61
373	572
8	260
2	335
1	218
57	0
30	301
0	918
21	127
0	73
1035	108
0	131
0	173
0	165
0	159
0	166
0	124
0	110
31	133
0	0
1255	2709
17	468
0	18
230	1366
1	1082
10	1092
0	0
0	2
2	2
0	20
0	22
0	22
3	5
0	17
0	7
263	312
0	300
18	255
213	317
97	123
64	13
0	116
0	110
0	104
2	6
396	14
0	3
0	1
1	113
18	199
3	137
0	213
18	122
20	464
19	285
56	135
3	20
0	187
0	210
0	190
76	167
0	102
0	1417
203	873
0	8
55	26
0	96
5	27
33	14
22	331
0	297
1	209
1	251
0	259
0	285
1141	2025
147	1898
0	228
9	300
0	227
3	255
0	258
0	163
9	160
0	166
107	147
276	648
66	24
749	2342
0	3076
0	2740
13	3614
3	2709
2	2115
5	2280
0	2721
3	403
5	249
10	415
0	352
114	468
2	10
678	954
0	1139
12	614
3	321
0	442
24	670
126	374
67	347
324	304
16	465
149	342
617	217
249	153
0	177
175	161
0	170
0	169
0	14
0	14
0	9
0	0
0	14
1530	1006
0	913
124	924
0	78
0	92
45	352
0	94
0	49
7	52
0	52
0	52
0	29
7	29
0	26
0	253
0	260
0	215
0	25
58	119
1	119
0	103
0	116
1203	19
15	23
2	117
1	113
0	100
0	97
0	536
952	429
0	551
0	517
0	527
574	472
33	869
3	1014
385	1045
0	251
0	248
0	245
36	335
770	113
0	249
0	731
0	667
12	321
0	263
0	657
0	267
0	309
0	1
0	1
0	1
6	152
344	943
9	997
21	713
1	81
62	34
1206	3693
3	3127
1163	1173
0	2611
0	1225
0	949
36	1351
195	1987
0	2049
12	1951
185	1745
0	1835
0	1368
0	1412
0	1287
8	33
0	449
0	449
2	448
0	448
0	365
159	347
79	347
13	203
1	185
5	187
49	316
8	195
17	251
10	984
257	1
0	3
0	1
60	148
5	195
26	788
50	628
0	711
0	328
0	711
810	4852
1979	3752
52	3897
676	4528
0	280
28	347
18	390
0	371
0	362
0	366
0	276
15	342
0	313
0	274
48	3
0	44
571	55
3	254
0	55
0	156
549	723
0	600
0	508
130	421
2	7
104	593
173	862
5	24
40	611
0	0
1	0
0	0
113	1147
20	1062
0	13
0	13
0	13
0	13
0	13
0	13
151	122
8	102
270	48
0	68
0	74
0	45
0	58
250	274
115	731
0	1205
6	796
19	785
60	563
0	32
0	31
1	67
2	81
35	410
443	469
6	5
0	49
0	79
0	51
7	18
2	64
0	70
3	6066
7	7503
15	5352
6965	1159
11	133
7	83
0	78
0	42
112	112
3	101
0	27
3	59
563	156
348	554
46	5
0	74
0	148
0	65
69	1439
4982	758
0	1437
0	3
0	8
0	8
0	0
122	16
0	44
16	75
6	193
5	117
4	422
59	1710
2	381
0	389
9	367
454	1746
0	269
0	269
0	256
0	216
32	73
0	520
620	540
0	182
0	4
0	4
0	4
7	466
55	41
29	291
173	983
195	845
3	367
0	330
66	388
3	27
2	17
0	1
1	3
0	0
1	177
1	177
24	244
66	748
0	14
0	3
0	45
1	47
13	21
4	21
0	171
0	83
0	136
2	123
291	213
0	3
194	358
0	8
0	8
0	8
0	115
88	15
92	1277
533	1877
524	2120
0	742
342	268
4	185
0	276
24	139
0	19
0	14
0	14
0	3
0	605
3	277
0	192
0	293
45	2841
9	2939
131	7487
1000	7825
0	7785
49	2630
0	23
0	44
0	41
0	42
46	2
1	43
0	507
1	63
187	76
147	493
14	269
0	813
0	964
2	927
1	959
5	1028
0	941
119	68
95	195
10	94
0	0
0	0
557	512
5	396
1375	227
0	0
0	102
0	148
528	478
0	283
61	250
2	251
0	77
1	179
0	7
0	7
1	2242
65	1622
4	1002
156	1275
0	1081
32	661
18	491
0	147
0	691
1	533
0	691
0	685
959	364
23	24
0	34
0	69
0	69
21	61
113	21
39	22
0	33
0	31
5	20
82	329
31	189
549	199
46	89
64	962
70	86
8	41
3	109
0	962
1	0
0	8
0	7
4	10
4	8
501	2105
0	2171
6	1942
0	1920
97	1332
0	1176
0	952
1504	602
0	6
17	17
0	2
179	177
18	325
43	200
33	319
4	287
0	13
28	396
0	415
0	406
0	387
0	354
0	321
52	19
417	874
1793	871
0	806
0	797
20	455
0	442
14	20
507	215
0	878
33	344
18	1029
154	991
297	730
15	478
4	692
24	332
31	974
0	113
5	105
13	108
4	1020
503	1054
0	1039
37	970
0	922
1468	842
2	781
0	797
0	10
0	10
0	5
0	10
15	915
61	367
4	4078
228	4414
216	4228
305	2683
4	2058
0	6
1	59
94	84
192	563
25	10
2043	215
46	221
123	284
1556	1023
9	223
4	298
72	308
0	211
132	297
326	656
9	87
0	46
0	406
19	121
0	113
0	97
1	145
0	78
605	572
59	612
29	167
13	304
55	284
0	539
0	617
0	504
38	249
4	119
31	5
419	861
0	1338
47	1404
208	612
44	1322
0	111
16	92
26	172
128	170
0	86
9	81
0	95
50	224
0	0
0	2
0	0
1	2
0	2
0	2
0	3
0	0
0	2
0	2
0	0
25	30
8	174
14	153
0	169
2	164
0	171
29	163
73	439
70	307
207	314
108	156
13	28
0	481
102	436
11	481
0	475
70	1184
69	2
0	3
0	22
3	33
0	22
0	15
0	22
0	34
0	18
0	11
77	38
2	126
45	103
0	40
513	1916
129	233
94	203
0	49
39	159
1	152
1299	310
880	177
0	298
26	317
16	198
400	2224
5	35
302	869
53	16
0	22
2	227
0	22
21	39
0	27
0	16
0	18
18	17
0	19
0	9
0	19
0	17
0	17
0	17
0	17
0	2
0	2
0	2
7	6
0	11
8	56
0	53
55	106
0	0
0	2152
0	2296
9	1803
40	2329
780	64
0	50
0	460
0	416
1	0
1776	2102
1679	2431
0	49
0	383
65	508
0	219
21	271
0	260
0	387
0	2721
32	2563
1211	1144
68	983
0	1067
228	523
5	1008
0	151
0	326
39	600
7	812
0	195
0	552
0	176
0	261
0	25
0	901
59	268
301	179
0	268
0	247
5	284
7	29
248	6334
68	6560
336	6850
4	6751
0	4959
4	2860
12	65
0	66
44	331
0	233
0	192
25	232
7	332
71	55
0	95
0	0
1	0
9	7
69	22
12	528
7	321
6	273
0	381
0	229
6	253
1	0
214	685
0	397
0	416
4	466
0	358
20	760
0	465
0	413
0	146
590	156
9	973
5	941
44	1011
0	22
0	17
17	224
0	758
10	876
44	1004
2	1849
1135	160
1704	469
0	26
0	18
0	15
10	285
0	257
27	211
0	201
0	168
259	3266
5	1163
13	1149
0	636
7	623
394	212
24	315
0	226
188	1085
0	205
6	172
0	205
181	110
0	48
1	1856
1	1467
57	1779
1	1508
2	1471
0	1266
0	1208
2327	547
0	528
79	478
0	489
1	636
0	657
24	261
0	941
0	887
0	907
0	906
0	888
4085	351
81	675
0	516
24	1759
0	1344
10	917
38	995
179	455
1	278
0	381
222	738
20	256
565	661
264	210
46	614
16	130
528	2121
0	0
0	0
601	289
0	159
0	196
0	131
0	293
3	293
0	218
112	324
0	249
3	421
1	213
0	479
15	818
55	2009
125	2642
9349	2708
18	1586
0	1535
195	1627
0	40
0	60
2	61
0	59
0	15
4	15
349	583
2178	588
2	450
524	267
0	216
463	183
211	685
1155	1212
14	1150
14	1091
14	857
2	882
41	398
0	229
0	162
0	225
906	720
528	633
0	120
369	2843
1	30
1	26
2	47
0	21
2	12
22	186
69	191
199	17
212	291
0	171
5	78
203	23
195	1397
10	4510
0	2993
64	3407
0	4452
237	4452
2	1541
56	5550
0	4044
5	4241
83	7415
129	7193
52	3
1	0
1656	244
1	216
19	126
686	1167
53	6990
1063	7023
172	7437
858	5154
6	1625
0	1245
100	1175
0	1238
6	39
8	39
0	11
17	36
1	10
160	654
128	620
18	253
1	210
1	338
369	214
4	482
192	513
1	502
0	636
0	330
8	357
17	649
0	412
6	624
926	128
0	370
34	424
19	325
0	410
1	409
1038	177
0	13
325	16
58	1882
0	1180
10	1915
20	2072
0	1186
1	1420
28	1128
234	1194
108	671
4	15
1	3
0	1
0	165
23	120
9	195
8	39
4	60
135	1588
230	1160
37	1062
78	52
44	159
4	163
0	96
0	90
9750	9154
18	1491
2	1147
10	1110
4	760
111	7
10	160
27	316
0	810
0	900
1	809
0	963
0	978
1	860
64	797
0	917
0	76
18	60
129	45
11	74
25	92
1257	215
0	202
22	69
61	624
8	320
44	528
16	261
0	282
0	408
1	283
8	298
1	122
0	153
0	162
0	545
90	556
70	405
2	173
37	205
196	2837
81	2851
3	1571
41	2379
117	2300
0	2328
7	78
39	80
102	177
0	177
1	133
15	127
0	124
0	144
0	58
0	496
48	638
25	423
24	590
515	322
0	264
134	360
1	270
31	181
711	289
4	264
224	162
0	248
32	168
134	6354
1	527
0	309
42	341
62	2825
7	2535
0	248
61	359
114	91
195	212
0	2
1	77
0	396
6	32
80	378
45	373
164	67
135	3
158	1003
0	0
6	364
744	194
18	149
9819	85
14	110
0	14
0	20
131	23
1	8
13	585
0	256
25	282
728	100
468	163
1513	55
43	362
1007	144
20	3348
22	3899
4	3376
92	3395
97	1130
67	730
4	11
4	11
12	66
49	957
0	998
13	539
3	819
0	847
0	1070
2897	996
0	919
190	2048
0	2014
21	1765
0	2020
55	93
1	42
0	36
29	31
0	11
0	11
12	0
19	71
40	145
282	420
0	124
0	62
6	41
0	33
25	1843
187	2024
0	1801
5	6
168	165
0	33
25	6
0	0
0	0
8	610
640	716
331	38
0	466
0	377
5	451
4	333
232	124
9	21
1	11
217	1015
0	712
49	785
0	163
0	39
0	163
0	17
1	11
3	13
0	163
0	44
0	163
0	163
0	163
0	42
0	42
0	163
2708	17827
9204	15296
37	13038
218	315
18	302
0	106
428	181
0	106
0	106
0	197
371	122
35	122
0	794
1	791
8	634
223	671
13	712
473	505
82	320
11	157
0	1100
15	904
0	1139
220	18
110	41
42	70
0	31
121	333
290	243
0	962
3	724
24	191
17	252
780	207
13	195
0	170
0	82
0	96
0	40
4	38
68	582
1	479
0	474
13	528
3	293
8	382
2	7052
443	7103
547	6487
0	3
4	18
10	12
0	13
0	12
0	6
87	190
364	236
15	236
0	235
12	221
18	268
0	81
2	248
0	903
27	122
0	77
2	826
0	1527
3	202
243	25
0	1076
18	1165
0	850
573	882
336	657
13	550
18	77
4	65
0	25
0	58
84	12
0	17
1419	272
0	169
2	168
0	208
0	189
5	44
7	71
0	37
0	33
2	31
10	57
98	6
982	4592
1291	1667
596	1335
0	2026
1615	542
110	126
613	326
183	333
13	348
3	3
37	412
0	83
547	49
1993	250
40	231
0	246
0	192
1	169
0	170
7	17
12	14
0	67
0	797
0	789
185	789
0	37
0	39
0	94
7	117
0	7
0	7
0	7
186	648
3	0
0	0
0	0
0	0
5	113
26	199
0	93
0	7
116	36
0	32
1	10
480	2765
212	914
0	16
0	7
96	39
0	7
3	3
860	2380
1	1691
0	1830
78	793
0	453
27	578
16	563
853	714
72	390
1	1848
312	1686
42	998
213	988
788	470
166	18
0	187
0	51
504	804
1	671
0	1716
91	345
1	5
0	2
0	2
7	397
332	541
0	296
1	377
120	424
11	278
19	676
138	368
115	535
0	472
0	386
11	480
1	390
5	376
535	295
57	878
1	279
60	1043
0	267
4	528
1	526
0	474
0	4
97	1095
5	810
18	878
1	746
0	738
0	979
13	762
14	606
4	523
152	156
44	296
19	358
67	178
53	153
0	67
0	504
0	82
0	90
2	57
1	54
5	9
180	354
0	24
1	16
71	101
0	2162
0	204
1	175
0	317
1	323
0	327
0	317
17	3891
0	156
0	298
0	212
0	314
1	67
0	66
0	65
3	59
0	58
0	249
9	354
5	325
0	377
89	2499
1330	854
1	621
2	571
13	557
1670	3730
18	572
1	579
45	647
2	396
0	29
7	31
0	27
1	32
1	32
10	32
0	32
0	27
0	31
8	317
489	303
48	327
20	322
12	300
16	354
0	325
0	232
3	271
0	319
7	405
29	1056
187	1307
51	1401
0	1451
0	385
8	3300
1033	1253
46	528
0	555
993	1890
0	721
0	729
32	544
33	410
57	1045
1128	873
1	461
0	175
26	244
4	155
8	145
0	135
0	133
0	1451
23	1494
169	61
3	18
2	21
0	0
0	0
0	0
5	2903
125	3011
211	451
0	334
0	1
0	1
0	1
3	1
0	1
0	1
0	31
14	31
23	15
820	1054
25	611
1	1322
27	1305
0	885
123	1220
29	852
0	894
549	394
454	33
0	13
0	112
17	504
51	617
371	1580
103	1018
0	585
73	1587
1	380
0	603
10	587
0	901
0	860
18	951
204	711
3	901
2	687
7	352
40	92
43	47
0	4
0	4
13	4
43	4
4	4
42	166
12	72
0	63
782	43
11	108
188	355
17	1925
15	2250
0	2085
10	1693
37	2062
49	1877
21	1544
16	2150
0	2029
0	2193
4	2066
0	2109
2	2050
32	2144
0	2029
6	2115
3	2063
0	2053
473	59
62	53
191	46
12	47
25	70
0	30
0	4
9	451
18	430
150	577
49	404
0	1
0	1
0	1
33	1055
2103	189
155	127
0	97
22	1345
0	175
4	206
2	168
0	168
1	179
0	162
11	347
0	349
10	347
0	340
0	310
6	510
0	318
0	248
0	1322
0	1268
0	1331
0	1305
3	669
0	1305
0	1251
476	89669
2	7172
310	30120
36	7817
34	100809
29	7818
152	53499
13	8564
0	7802
24	7364
47	10183
0	5093
1	2000
0	5414
0	7833
24	8916
121	110
0	97
11	41
259	83
228	72
17	0
2183	4667
0	4988
0	5423
1	4470
5197	1099
0	115
0	114
4	47
0	96
0	70
134	3240
0	3204
41	0
29	36
2	1548
35	1790
11	1773
13	185
1076	6535
174	616
51	595
26	33
126	68
0	8
46	11
0	0
3	309
0	614
5	447
2	352
736	26648
1200	28841
120	9283
406	4604
1050	37680
1343	13354
6	5
87	66
0	4
0	4
0	66
3	4
3	45
22	10
4	4
2004	1000
746	9
1	212
0	174
2439	820
5187	871
31	11
0	867
11	806
3255	632
36	478
59	742
14	350
10	7
2	7
0	2
0	2
0	1
3	0
589	923
8	202
0	183
0	161
0	160
0	166
40	64
21	287
114	519
8	520
29	393
48	258
0	266
18	236
0	300
93	850
3762	842
1	23
109	170
56	117
15	47
9	35
6	35
0	6
0	1562
165	1458
0	1562
32	420
0	658
0	627
4	1393
505	202
27	386
3	420
626	220
0	589
116	572
3	609
5	560
0	576
1373	5444
73	1518
0	1511
137	3116
2	2849
10	5414
979	186
14	72
44	710
4	176
5	104
0	98
0	187
212	59
10	187
552	492
239	463
0	55
1	44
53	2914
0	2048
0	2351
169	2350
0	4
5	34
0	43
0	33
5332	8168
0	5
147	76292
928	73505
3708	70540
0	6
23917	67218
0	0
0	5
0	5
552	558
0	192
3	188
0	30
0	531
100	194
85	9
0	622
36	635
1727	591
0	519
31	635
0	490
406	656
0	0
5	128
18	114
0	79
88	469
4	435
0	385
5	160
57	160
2	159
0	59
148	1528
160	98
7	122
14	102
2	44
0	51
244	1475
46	143
15	160
0	74
314	6
0	2075
8	1891
453	2072
0	1957
10	1434
0	159
22	1032
17	2028
0	1502
0	2097
0	2099
0	1948
40	1914
38	1180
13	10
61	759
0	460
0	156
24	60
0	0
0	0
6269	2784
1007	38505
6	38538
14	35038
429	38659
221	34085
2	26478
22	46
366	112
0	112
147	2390
68	2690
1089	838
0	724
91	380
58	683
4	681
12	127
9	29
1994	1228
351	1001
6	819
4	336
6	207
19	317
212	109
0	113
87	219
8	236
0	92
6	229
0	190
0	0
0	476
0	522
18	428
15	412
1274	154
1	21
41	119
0	0
0	0
84	350
0	279
40	183
17	206
48	1382
166	1515
21	1065
37	58
0	5
0	1
0	3
0	7
68	216
306	663
91	680
5	663
152	661
35	544
947	417
0	272
4	55
38	25
611	1003
0	1009
7	817
4	875
959	689
28	508
11	597
0	0
73	36
1	2
651	44
451	463
11	740
21	745
5	678
335	680
400	428
20	381
54	303
108	318
122	360
0	349
95	1393
10	1214
0	1214
0	1068
0	1104
556	1209
14	1152
0	762
0	718
0	206
659	236
0	347
0	298
13	350
0	226
0	311
3	375
0	350
101	1074
0	205
64	337
23	864
44	549
137	812
39	489
16	918
20	69
9	37
64	1456
0	909
87	483
11	500
20	511
4	307
29	331
27	295
3	296
0	27
0	27
3	29
0	112
10	121
0	126
0	93
0	122
612	1211
173	1117
872	1507
61	214
703	1849
21	1748
7	1712
26	1114
0	3
0	3
0	3
0	626
1	577
80	639
204	934
0	278
0	178
145	38
23	38
46	41
0	11
79	519
0	136
1004	246
4	156
8	383
15	95
0	311
0	103
278	876
131	849
2	146
0	8
0	2
0	184
4	6
1	10
0	6
0	9
0	125
3	11
0	4
1	7
60	2
10	1
0	4
0	0
0	5
0	0
0	5
0	0
0	1
4	2
0	0
0	0
0	0
122	2409
1005	508
1	114
2	72
3	133
1	109
16	182
0	169
163	425
26	489
12	352
44	379
235	2
347	1440
0	795
17	890
4	890
266	1174
0	1016
198	453
111	2926
91	2079
5	2881
474	1228
11	206
0	125
81	207
1	138
94	96
963	333
25	581
25	1992
1	2105
0	1491
0	1721
0	714
0	694
1	1154
5	539
0	1365
68	1473
0	1431
19	1655
0	1693
33	2029
2	1762
0	1181
181	2190
1	1
48	95
3	65
131	740
119	715
1132	627
138	286
89	553
132	160
31	12
5	6
198	795
214	276
30	528
121	101
8	164
50	45
0	66
12	40
6	64
6	67
2	80
0	51
2	55
15	55
5	1
6	0
5	20
982	3118
202	2676
0	1594
432	830
0	772
1	792
0	583
517	124
0	0
2	286
4	257
21	180
0	89
0	0
798	876
0	426
164	584
825	92
0	121
0	218
0	228
2049	11429
1333	10467
1	9720
2	4939
13	27
189	54
30	99
81	595
0	144
39	242
0	188
0	311
0	35
0	24
0	26
2	15
2	93
0	0
0	0
0	0
0	0
0	0
88	57
0	223
454	136
1240	55
0	133
335	34
0	3
17	34
0	166
2928	21285
0	20754
18805	16414
4	20075
0	16691
0	18520
10	10151
439	434
1	328
35	327
79	1039
3006	952
10	1576
64	1153
3	1385
79	1120
64	1810
30	800
0	1046
31	286
365	4607
3	4577
26	6208
27	6212
566	4995
761	4740
0	483
0	1004
0	1063
0	1193
31	1174
37	1250
97	1212
0	1214
1	989
0	921
0	851
2	52
4	751
1631	165
21	211
4957	784
2	7
0	8
1	7
0	7
282	330
260	222
94	213
0	140
329	93
1	18
0	962
199	3983
12	276
635	4412
28	367
0	416
0	497
0	310
46	431
0	266
1	211
0	149
65	132
1	5
63	486
34	0
317	4086
0	1833
15	2192
11	1833
0	355
56	1055
0	484
294	807
84	98
155	410
170	301
2107	766
1752	460
82	650
0	0
0	0
0	0
1	1309
0	1136
31	1079
3	1232
14	970
0	15
176	135
3	6
2	175
1	103
1	11
0	94
9	545
11	105
0	18
59	114
0	15
0	14
994	3265
10	2779
10	1636
0	829
804	632
0	3
0	24
72	131
54	124
5	38
4	12
0	10
4	25
0	17
0	0
0	149
5	148
0	153
0	141
12	119
16	87
3	173
0	156
0	152
0	171
2	151
0	174
0	165
0	162
478	458
0	670
2	387
357	117
16	715
191	168
0	0
0	0
0	0
1	1
124	61
0	2
32	13
0	2
0	0
0	2
56	476
29	470
0	155
5	201
0	246
1	241
11	197
1	8
0	3
67	3
0	6
43	0
0	6
0	5
382	6311
9	5227
1	5935
0	7063
1	4449
335	9960
129	8500
