UniqueCount	AmbigCount
14	57
0	51
4	108
0	31
0	45
0	95
106	59
26	106
0	44
0	42
3	51
0	31
6	48
0	22
0	22
0	5
2	2
6	0
405	1483
19924	2881
328	1086
2	40
6276	1055
523	2530
6	112
6	121
0	76
16	172
30	28
0	23
0	20
4	23
0	20
2	53
9	58
7	28
28	9
0	1
0	0
17	144
11	174
0	133
0	144
1	126
3	84
9	68
0	6
0	6
0	6
1	4
55	19
1	32
3	39
0	39
1	36
2	33
26	84
0	32
0	22
0	2
1	21
0	12
0	12
0	12
2	12
551	5719
26	1957
5	1445
3	531
0	531
4	3799
123	4650
3	174
30	207
11	109
48	147
42	122
0	66
0	63
0	37
0	160
4	106
2	89
3	22
0	22
0	7
103	2590
0	2611
0	2611
605	1832
842	873
0	4
92	146
0	37
1	28
0	38
0	44
0	44
15	189
0	213
61	294
286	277
100	344
9	255
3	93
0	22
120	29
0	15
0	13
40	27
0	12
5	10
0	9
14	51
7	14
14	145
0	95
56	140
0	95
55	46
1	9
6	5
6	55
0	53
3	54
0	50
7	45
8	11
0	16
0	8
52	11
13	6
4	11
10	33
8	20
1	44
9	40
1	24
1	15
2	34
300	0
2	15
16	67
0	58
0	52
7	17
0	3
19	365
6	349
2	147
35	390
112	90
11	6
0	24
11	283
6	50
0	59
0	41
0	59
1	43
47	77
0	38
2	52
8	26
18	12
11	782
392	1062
27	103
7	74
76	52
17	8
10	24
0	3
658	98
1	105
0	87
0	107
1	70
0	61
0	27
5	0
61	1
0	1
0	1
0	0
0	0
0	121
1	74
174	181
0	3
0	3
0	3
662	1379
50	378
11	529
377	1317
2	6
0	0
1	4
0	4
1	3
0	5
0	5
4	3
0	3
1	94
0	104
0	139
0	101
0	57
5	78
3	83
0	80
158	26
0	43
0	41
7	1
2	29
0	18
0	9
8	131
6	35
115	262
91	7
0	81
468	66
3	76
0	4
0	8
18	2
20	13
0	5
2	20
0	2
1	5
0	23
0	19
0	14
0	14
6	18
74	19
1	1
1	1
4	105
7	83
5	100
13	68
175	45
0	150
659	359
67	420
11	72
0	11
1	8
0	16
0	21
1	14
1	16
0	21
0	18
0	2
0	0
0	3
0	4
3	5
2	3
11	131
25	142
0	144
2	153
0	148
37	150
0	44
0	1
0	0
15	26
23	26
320	622
4	67
4	379
0	9
1	5
0	19
0	10
8	12
0	7
2	9
1	14
5	7
0	12
23	20
1	5
6	12
29	54
150	181
105	150
57	32
1	22
0	25
1	6
7	86
11	87
4	90
274	33
0	26
0	18
5	22
0	35
0	26
0	21
131	47
37	19
9	14
0	13
0	3
1	3
6	113
0	74
3	79
0	77
97	293
7	48
0	95
0	262
0	22
2	3
275	347
187	479
2	26
1	343
135	57
0	227
0	201
1	208
0	225
0	223
0	182
0	192
0	221
1	224
0	211
0	214
0	219
0	227
0	144
0	202
18	1090
0	221
1	177
0	212
38	1088
0	224
0	30
16	70
8	178
12	173
13	222
12	20
1	60
0	59
0	59
148	302
0	55
0	61
0	55
0	61
0	61
