UniqueCount	AmbigCount
13	81
1	63
1	123
0	45
0	54
0	79
125	44
15	87
0	39
0	60
0	60
1	35
7	66
0	21
0	21
0	1
0	2
1	9
461	2233
16376	1085
374	1898
0	47
10278	2483
4	808
3	183
13	194
0	151
33	126
30	26
0	24
0	19
2	21
0	19
4	50
24	51
5	35
22	5
0	0
1	0
14	175
3	183
0	150
0	169
2	141
4	94
14	67
0	2
0	2
0	5
0	3
49	11
1	18
4	28
1	26
5	23
0	24
21	61
0	53
2	32
1	1
4	38
2	20
1	23
0	20
2	22
391	5829
37	2349
4	1631
4	487
0	487
80	4310
82	4827
0	128
26	145
5	78
23	95
19	81
0	49
1	45
0	25
0	135
5	95
2	74
6	21
0	21
0	9
159	3497
0	3585
0	3585
561	2444
1128	1273
0	12
88	177
0	31
1	25
0	31
0	44
0	43
23	218
0	195
88	394
252	361
141	428
10	277
4	118
0	26
126	48
6	22
0	14
61	45
0	17
2	15
0	11
13	53
3	9
20	159
1	126
40	144
0	121
73	67
0	3
2	3
6	57
0	56
1	58
0	55
5	53
2	12
0	11
0	9
25	4
17	6
0	6
23	37
7	27
0	36
3	30
0	28
8	21
0	30
257	5
0	19
16	80
0	74
0	68
9	14
0	4
2	383
10	365
2	132
34	406
141	119
4	2
0	16
5	219
1	48
0	53
0	44
0	49
0	33
50	99
0	59
1	66
11	21
21	7
10	678
324	970
36	154
11	115
50	50
15	9
15	17
1	0
413	64
1	64
1	61
2	71
1	47
0	39
0	25
3	5
27	0
0	1
0	1
0	0
0	0
5	185
1	65
99	210
0	1
0	1
0	1
561	1540
23	428
12	576
338	1409
1	8
0	0
1	5
0	5
1	5
0	5
0	5
2	2
1	2
2	94
0	98
0	115
0	97
0	41
6	57
0	60
0	60
90	23
0	31
0	29
4	0
0	43
1	30
2	16
20	174
7	36
104	288
96	5
2	84
492	71
3	73
0	1
3	8
9	0
6	12
0	1
0	4
0	1
0	2
0	10
0	10
0	7
0	2
4	10
44	11
0	0
4	0
8	130
7	88
7	115
35	90
223	68
1	153
727	376
102	487
14	74
0	5
2	4
0	9
0	9
0	7
1	6
0	9
0	6
0	2
0	0
0	0
0	0
7	2
2	2
7	109
23	108
0	129
5	180
0	172
38	140
1	43
3	6
0	4
13	20
11	23
94	362
7	51
8	222
0	4
0	6
0	22
0	15
9	7
2	4
3	15
0	4
5	2
0	3
17	15
2	5
4	10
19	62
132	133
90	99
35	24
0	22
0	25
3	10
3	65
8	67
0	68
276	38
0	23
0	21
4	25
0	34
0	30
1	21
149	47
18	10
3	3
0	4
0	2
0	2
3	78
0	41
2	42
0	72
89	267
0	47
0	91
0	243
0	39
2	9
208	308
188	349
0	17
0	252
100	42
0	277
0	240
0	253
0	270
1	267
