UniqueCount	AmbigCount
12	110
12	101
0	41
2	61
19	90
1	120
26	44
30	120
12	82
0	36
0	43
4	30
3	44
2	13
0	16
0	0
0	1
4	1
7785	8059
733	761
456	6572
1	12
3394	2783
1	402
7	185
11	187
0	147
1	45
69	79
2	79
0	86
14	88
4	86
86	54
54	72
15	59
10	1
0	1
0	0
2	245
19	255
1	252
4	241
19	233
1	132
17	92
0	1
0	1
0	2
0	1
0	11
2	26
5	31
3	33
3	27
5	32
11	57
0	37
24	41
2	3
0	28
0	11
0	11
0	11
1	11
3	3782
399	3967
25	2978
5	769
0	773
845	5785
1	3480
107	179
1	179
4	176
16	161
23	157
0	87
8	96
6	81
0	146
20	101
2	80
24	61
3	66
0	35
98	1131
0	1803
0	1803
379	983
3852	1529
33	109
48	135
0	124
0	137
0	134
8	188
7	199
3	158
26	368
1	105
191	104
101	124
0	91
10	366
0	115
14	19
17	210
0	174
10	6
0	13
9	12
0	7
50	48
2	2
28	421
15	390
71	392
0	376
57	273
0	1
1	1
11	82
0	84
8	80
2	83
9	64
4	14
0	21
1	13
1	1
1	8
16	29
6	24
7	16
0	98
9	93
2	110
16	88
14	111
3	4
100	13
7	68
1	63
9	61
85	15
1	7
0	145
0	138
8	194
7	173
1	14
29	6
1	32
4	46
11	91
0	78
1	83
0	58
3	51
37	107
3	72
11	100
2	20
0	2
8	783
329	1164
7	136
5	101
21	11
35	6
93	57
1	39
8	35
3	309
2	234
17	282
12	299
0	125
0	227
0	7
1	3
4	21
0	7
2	9
2	0
0	95
0	22
6	96
0	0
0	0
0	0
934	3045
847	2060
60	1628
359	1899
1	12
0	0
1	5
0	5
3	5
0	3
0	3
0	3
0	3
3	92
0	95
0	127
0	101
0	50
2	113
7	109
6	105
26	21
0	83
0	83
1	0
3	22
0	12
0	18
0	70
6	26
13	81
3	10
14	350
76	85
4	309
0	3
2	7
0	2
15	18
0	5
0	2
0	2
0	7
0	18
0	19
0	18
0	7
21	44
4	11
0	0
0	0
6	167
5	138
5	160
18	93
2039	53
51	795
1001	1130
125	1065
88	563
2	5
2	4
0	9
0	5
0	7
3	9
0	5
0	5
0	0
0	0
0	1
0	1
1	0
0	0
24	496
30	476
4	450
0	50
0	49
22	240
1	68
1	5
0	2
12	17
27	40
81	240
6	28
81	146
0	3
0	2
0	19
0	16
0	4
0	3
0	16
0	14
0	6
1	10
23	18
1	5
5	19
