UniqueCount	AmbigCount
47	290
56	263
0	111
4	195
35	227
2	179
53	86
19	195
10	142
0	69
3	91
5	57
7	79
0	37
0	44
2	2
0	5
3	1
16755	16055
502	736
1316	13337
1	17
5978	3886
6	342
23	441
25	481
0	352
2	33
149	214
4	146
0	161
18	164
0	161
73	115
79	142
17	77
14	7
0	1
0	0
0	601
12	668
1	763
0	602
9	727
7	357
0	146
0	2
0	2
0	22
0	3
4	21
3	83
8	85
3	88
5	72
21	74
33	168
0	123
60	94
3	7
4	164
1	53
0	55
0	53
3	51
11	5012
467	5551
21	4405
6	991
1	992
1521	8100
1	4805
148	256
3	254
2	424
25	350
24	308
0	232
5	247
16	271
0	271
21	143
3	104
52	97
0	107
1	50
82	1836
0	3161
0	3161
1074	1821
9008	2979
118	122
118	274
0	133
0	169
0	141
10	215
0	228
10	325
25	709
1	217
664	219
208	312
1	227
21	957
0	244
38	33
73	486
0	405
4	29
0	27
19	27
3	22
88	85
10	12
109	917
14	787
159	857
2	764
173	645
0	3
1	2
11	101
1	107
11	97
0	96
7	83
4	17
0	126
2	65
0	7
3	12
2	34
11	64
24	49
4	348
32	308
21	399
19	336
15	272
2	5
158	19
26	148
0	133
0	121
21	17
1	5
0	250
0	239
52	390
22	293
13	36
23	17
14	54
4	119
31	143
0	117
3	119
2	94
0	80
99	193
23	128
27	172
17	40
4	9
12	1226
534	1841
8	223
14	172
30	17
70	9
84	46
38	35
71	102
9	635
1	434
15	612
30	625
0	285
0	398
4	5
1	6
0	58
1	18
21	37
5	2
5	244
0	42
25	254
0	0
0	1
0	0
2178	5777
1217	3459
217	3072
993	2751
1	16
0	0
0	4
0	6
0	6
0	3
2	3
2	3
0	3
2	257
0	271
0	280
0	269
0	153
2	279
5	275
1	280
12	26
0	206
0	201
0	0
3	41
0	28
1	36
0	132
10	34
16	184
1	14
33	688
219	177
27	534
0	5
26	59
4	6
51	59
1	25
12	32
0	12
2	29
8	98
0	87
0	76
1	43
26	54
7	13
0	0
0	0
19	257
16	218
9	248
46	136
2142	47
179	2674
2381	2925
416	2780
2	1675
0	6
0	5
0	8
0	11
0	5
3	6
0	11
0	10
0	1
2	0
0	3
0	3
0	2
0	0
73	651
62	541
37	579
0	78
0	75
70	339
8	115
6	8
0	3
17	30
39	67
191	530
16	70
300	265
1	3
0	3
0	40
0	33
5	11
5	10
4	31
1	24
0	15
4	11
236	123
3	5
12	32
40	61
18	78
16	36
126	72
0	54
1	70
4	21
1	89
7	85
6	91
13	58
1	328
0	284
11	276
6	500
0	237
72	164
307	108
48	46
0	9
0	23
1	14
0	14
4	163
7	101
8	104
1	347
3	222
3	273
76	373
0	215
3	41
1	6
361	424
13	165
52	82
0	64
1217	125
0	1714
0	1669
4	1699
16	1809
1	1748
1	1615
20	1260
0	1438
0	1694
1	1675
0	1588
0	1749
0	1694
0	1320
1	1667
0	479
0	1759
0	1491
0	1694
12	464
0	1748
0	243
19	236
4	45
20	46
11	72
52	94
6	176
2	491
7	394
16	107
38	612
0	594
0	288
1	536
0	595
2	232
0	192
1	143
23	38
24	135
102	31
3	69
13	94
1050	243
9	81
5	40
0	175
72	175
9	180
5	40
0	47
5	37
1	21
1	14
0	14
0	10
40	156
0	121
0	129
1	112
1	113
0	120
0	108
3	97
114	1056
0	2186
8	2638
0	2368
10	1927
0	1289
7	389
0	2870
11	2591
0	2112
0	2973
0	3000
0	2072
5	2489
165	1996
55	28
0	12
208	327
5	170
6	131
13	91
22	35
11	588
53	380
75	4
198	14
206	1958
306	2054
600	1928
2	1570
15	1455
2	0
0	0
0	0
209	83
6	28
17	272
11	1
67	82
1	17
2	2
0	173
5	496
33	121
14	127
48	32
53	150
0	9
9	14
0	14
0	0
45	68
18	6
47	6
3	119
0	63
0	110
4	44
1	47
0	37
0	51
6	54
0	43
2	50
0	16
0	65
0	61
12	61
8	74
1	54
1	51
0	31
0	24
18	16
2	35
0	34
4	24
1	20
1	9
4	43
0	59
0	58
41	41
97	112
62	693
65	341
8	106
1	97
3	95
0	1
0	20
11	254
28	190
531	221
0	71
6	72
0	862
7	750
2	182
0	190
0	549
0	153
1	494
4	57
150	216
0	184
0	52
0	130
9	108
0	141
8	138
0	62
0	65
1	36
0	37
236	233
0	30
19	194
0	9
157	135
17	165
10	208
0	122
3	140
38	27
28	98
8	113
9	114
19	20
0	27
13	33
14	34
2	7
0	3
26	142
31	341
1	18
1	17
1	16
1	11
2	12
0	12
1	11
104	1141
3	38
51	75
1	67
1	374
43	731
0	490
16	439
20	844
32	890
19	503
19	183
6	490
433	481
32	654
70	646
0	511
122	646
0	9
2	10
2	11
0	10
1	12
0	7
0	8
5	11
169	34
0	38
111	173
0	102
0	115
17	102
0	184
15	57
5	79
127	11
281	212
104	405
149	68
0	117
2	140
0	151
3	42
0	49
0	33
0	43
0	31
24	360
3	118
12	142
9	86
7	6
4	32
8	57
0	158
16	120
4	108
3	106
2	98
2	62
0	109
6	63
11	2
0	69
12	56
19	37
11	57
33	90
31	215
0	206
20	245
0	201
2	219
2	202
4	244
20	169
1	3
0	416
0	412
27	108
32	462
2	368
0	480
0	460
79	322
39	311
1	178
2	182
217	95
8	27
0	73
340	372
16	1191
4	298
460	114
4	173
0	47
0	23
400	1199
24	911
0	910
1	823
3	890
58	986
0	0
0	0
