UniqueCount	AmbigCount
27	194
37	190
0	75
10	80
41	147
4	339
15	87
52	352
17	242
1	79
0	83
5	67
26	96
1	35
0	35
0	3
2	20
0	0
14757	14833
2097	2776
2551	10313
0	47
6457	5418
3	1916
7	299
2	330
0	203
0	84
159	216
2	164
0	222
24	179
0	222
155	103
62	124
32	82
21	12
0	0
0	0
7	621
58	557
11	585
18	627
78	650
13	212
9	243
0	0
0	0
0	9
0	2
2	23
5	97
7	116
0	110
10	96
7	96
36	170
0	65
44	70
1	1
0	38
0	16
0	16
0	16
1	16
9	8796
813	11365
110	8155
9	2894
3	2902
2093	14989
5	7242
233	193
2	193
0	334
18	253
7	299
0	239
1	236
22	240
0	291
45	154
2	113
36	155
2	171
0	83
4	1958
0	3011
0	3011
1376	2294
12190	2864
168	227
92	163
0	124
0	180
0	147
10	196
3	215
8	198
47	735
0	190
513	196
134	260
1	210
36	931
0	263
31	26
28	497
2	441
1	19
0	32
6	32
0	21
91	113
2	1
38	975
27	889
202	911
0	850
162	699
0	7
0	1
119	492
0	479
19	516
48	513
118	366
40	142
0	128
4	65
1	7
1	8
12	32
9	45
16	26
1	278
44	261
19	313
35	260
5	199
9	16
233	32
0	181
2	166
10	163
206	34
0	4
0	188
0	178
44	477
13	221
3	28
23	18
22	96
0	103
12	156
0	134
23	147
0	121
11	121
130	266
2	162
19	229
15	75
0	8
14	1178
685	1815
30	191
7	131
45	80
184	45
95	97
23	39
74	145
12	746
5	576
4	706
30	640
2	376
0	352
7	12
3	7
3	85
0	16
24	55
4	3
2	87
0	20
0	90
0	2
0	2
0	2
1832	5763
1939	3883
84	2868
926	3800
1	32
0	0
1	6
0	11
0	10
0	8
0	5
0	4
0	8
2	137
0	144
0	200
0	143
0	77
3	321
8	305
10	312
22	38
0	243
0	239
1	5
0	89
0	55
7	41
1	188
8	84
65	296
0	27
24	748
199	170
34	647
0	10
9	44
0	4
38	27
0	7
7	32
1	5
0	8
0	37
0	36
0	37
0	16
46	160
1	28
0	1
3	1
4	393
13	276
17	332
41	247
2696	128
70	2129
2461	2733
372	2565
132	1538
0	18
0	14
0	18
0	41
0	9
4	7
0	41
0	36
0	3
4	1
0	6
1	7
2	6
2	1
6	342
17	343
4	478
0	78
0	73
196	433
20	181
0	12
0	3
27	38
38	66
279	646
12	75
338	417
0	0
0	0
0	22
0	19
2	10
0	10
8	19
8	21
0	13
1	17
68	49
4	9
11	37
27	63
12	56
3	26
87	56
0	39
0	52
0	20
3	206
