UniqueCount	AmbigCount
56	174
22	147
0	83
4	104
28	133
1	229
14	59
59	227
0	150
0	44
2	53
1	41
18	57
1	19
0	18
0	2
7	10
6	1
8207	18468
1215	698
1509	17924
0	17
1672	5309
1	324
6	179
10	198
0	158
2	55
113	103
2	83
0	98
10	96
0	98
64	60
52	68
42	42
18	6
0	0
0	0
10	490
33	409
3	440
1	503
59	465
6	182
0	251
0	0
0	0
0	2
0	0
0	17
2	96
11	92
0	102
0	80
11	76
18	139
0	53
51	55
1	1
2	76
1	15
0	15
0	15
0	15
6	6161
789	7100
22	6072
4	1077
0	1086
1640	9329
1	5855
140	161
1	161
4	258
12	195
9	171
0	164
0	161
17	168
0	246
33	156
3	107
34	106
2	116
0	46
8	2609
0	3719
0	3719
841	1925
8440	2844
40	140
65	71
3	115
0	144
0	139
11	163
0	196
0	99
10	577
0	126
400	126
127	172
0	118
18	735
0	173
29	31
71	590
0	527
2	14
0	22
4	25
0	18
52	57
7	15
61	683
8	644
119	730
0	630
110	388
0	1
1	1
61	428
0	440
37	434
72	471
69	344
1	64
0	95
3	45
0	4
1	16
9	28
3	40
11	21
2	193
21	176
5	231
11	190
11	138
4	8
131	18
10	93
1	74
11	75
141	32
0	6
0	122
0	130
27	283
2	152
3	26
12	6
14	78
0	63
21	147
0	104
30	148
0	101
2	96
54	194
0	110
1	158
22	56
0	16
31	1332
403	1679
1	81
10	51
34	16
78	4
100	46
16	22
63	84
21	695
1	541
6	597
0	627
0	361
0	364
2	5
0	5
2	53
4	21
16	38
3	3
1	228
0	40
0	228
0	1
0	1
0	1
1676	5164
1274	2675
362	2573
507	3044
2	15
0	0
0	7
0	7
1	7
0	4
0	4
1	1
2	1
0	139
0	158
0	197
0	151
0	97
0	132
3	124
3	125
18	15
0	84
0	85
0	2
0	47
0	28
0	14
0	30
0	8
0	42
7	8
32	696
36	148
32	656
0	5
8	19
0	2
11	25
7	34
10	98
0	13
15	35
4	80
22	64
0	40
0	61
24	126
0	33
0	1
0	1
0	240
14	177
2	172
13	137
2784	86
100	1368
1623	1762
132	1596
70	1103
0	10
0	4
0	10
0	15
1	10
0	6
0	15
0	11
0	5
0	4
0	9
0	9
3	3
1	0
8	165
19	181
4	206
0	39
0	38
97	240
10	100
1	1
0	1
22	31
13	20
97	565
15	43
214	326
0	1
0	2
0	18
0	18
0	3
0	3
7	18
1	16
0	5
7	13
16	28
2	4
7	28
35	60
0	29
0	6
57	36
0	25
0	35
3	12
2	92
3	78
6	88
23	80
0	367
1	305
30	298
5	514
0	323
11	155
261	90
53	43
0	12
0	34
0	24
0	24
0	92
2	45
0	45
40	372
0	128
0	326
83	388
0	128
1	31
0	3
218	299
7	52
56	49
1	13
746	67
0	1049
0	997
0	1027
1	1100
0	1059
1	1004
1	678
0	812
6	1032
0	981
0	905
0	1062
1	995
0	834
0	971
0	289
0	1050
0	857
0	1030
2	304
0	1057
0	234
26	252
2	54
21	54
2	64
36	101
4	183
1	450
22	398
35	108
16	531
0	555
0	278
4	543
0	559
1	181
2	156
2	114
18	25
11	102
231	34
2	54
6	58
478	103
0	26
5	12
5	88
42	81
10	75
0	16
0	19
2	13
0	11
0	5
0	5
0	4
