UniqueCount	AmbigCount
53	364
23	320
0	221
0	125
42	246
0	651
330	352
3	771
0	452
5	280
8	308
10	172
4	305
0	105
0	106
0	22
0	3
5	10
14206	19567
28853	13620
930	7599
5	736
12082	11110
87	7078
0	403
0	379
0	280
64	462
86	197
0	158
0	146
5	156
0	146
34	312
110	322
34	197
228	117
1	12
0	2
1	3722
45	4325
33	4244
0	3608
123	3459
50	1770
569	1661
0	18
1	18
0	13
0	17
115	90
2	172
0	228
1	165
36	265
1	198
19	235
0	260
73	232
2	4
4	102
5	56
0	61
0	56
1	59
1748	18873
394	9756
21	6671
9	1592
1	1690
111	14746
337	16991
346	422
1	416
0	437
123	519
122	408
0	213
1	200
0	147
0	437
11	299
3	279
39	123
0	123
4	46
1105	8616
0	10399
0	10399
488	6485
2126	7743
106	90
216	450
0	274
0	355
0	248
22	386
0	357
0	496
0	784
20	1095
790	1097
239	1167
0	945
5	239
0	121
111	195
17	367
0	365
55	100
0	47
13	48
0	32
66	150
14	41
1	981
0	860
99	954
0	859
86	532
1	20
10	14
29	592
0	579
29	591
1	517
43	506
45	172
0	87
2	87
0	31
26	38
10	59
72	186
41	82
1	321
0	286
0	275
0	231
1	248
82	35
75	170
35	376
0	336
0	296
66	71
2	12
71	1294
0	1279
3	876
48	1473
245	376
4	0
0	88
12	466
6	354
1	219
0	344
1	160
0	140
174	616
10	333
70	415
108	128
17	37
0	3212
1610	4970
64	480
0	286
131	709
258	195
63	236
3	64
580	513
4	859
4	712
2	816
0	627
0	465
0	329
1	13
57	82
30	156
0	88
11	40
1	3
2	699
4	198
47	737
0	5
0	5
0	5
3064	12198
778	8279
23	6099
2666	9188
10	419
0	0
2	7
0	7
1	6
0	9
0	9
7	3
0	3
1	300
0	315
0	395
0	316
0	166
0	646
0	611
0	620
251	205
0	430
0	430
18	10
16	137
0	85
8	154
0	353
66	172
40	490
231	55
0	547
609	371
6	529
0	13
10	29
3	5
0	13
0	9
0	37
0	6
0	10
0	113
0	104
0	106
0	102
0	148
31	56
0	3
0	2
14	624
25	453
43	584
37	390
1896	1688
21	1950
1777	2671
281	3101
0	1647
1	21
0	14
0	27
0	24
0	24
1	20
0	24
0	21
1	15
5	9
6	29
0	29
23	25
2	12
1	1367
97	1345
89	1504
0	476
263	477
120	1147
1	432
8	21
1	14
49	136
30	124
358	1129
10	283
75	706
0	13
0	8
0	23
0	18
3	5
0	5
2	17
0	16
1	7
0	13
38	54
3	17
0	175
43	222
70	267
134	229
193	226
0	163
4	228
0	61
22	313
26	275
3	300
360	173
0	296
0	262
8	275
0	519
0	313
0	229
344	224
45	46
8	12
0	20
0	15
2	15
17	234
0	157
8	146
0	499
18	483
9	393
97	549
0	352
4	93
0	20
656	1454
77	1023
65	130
0	506
541	356
0	1329
0	1227
0	1259
36	1318
2	1315
0	1175
1	1123
2	1173
0	1260
0	1244
0	1224
0	1295
26	1294
0	951
0	1232
