UniqueCount	AmbigCount
28	198
22	174
0	98
0	76
22	121
0	274
115	164
0	341
0	184
4	95
5	103
6	69
0	98
0	40
0	40
0	3
1	0
2	5
6911	8273
11544	5750
393	2879
4	307
4621	4044
33	2712
1	185
0	177
0	123
29	169
50	73
0	62
0	55
1	61
0	55
5	135
36	132
20	66
121	62
2	5
0	3
0	1286
11	1455
10	1463
0	1255
28	1220
16	591
178	558
0	11
1	12
0	12
1	11
27	32
3	49
0	70
0	54
1	82
0	64
9	84
0	81
23	71
1	2
4	71
1	37
0	41
0	37
2	39
481	6054
127	3266
4	2217
2	559
0	583
43	4973
62	5424
128	138
0	140
0	90
22	104
22	93
0	51
0	49
0	40
0	129
6	87
0	69
22	49
0	50
0	8
438	3520
0	4068
0	4068
233	2646
815	2667
55	38
128	169
0	114
0	134
0	102
8	149
0	134
0	183
3	309
8	358
293	361
99	414
0	324
0	92
0	24
38	55
5	148
0	144
15	57
0	17
3	18
0	13
28	52
8	20
0	354
0	277
41	326
0	277
43	179
1	4
4	2
13	311
0	306
14	309
0	285
16	262
43	86
0	0
0	0
0	0
11	19
7	31
22	45
11	21
1	113
0	98
0	97
0	71
0	82
40	10
34	57
9	105
0	87
0	79
17	20
1	5
34	502
0	493
4	322
24	557
87	172
0	0
1	36
5	176
4	133
0	87
1	124
0	62
0	53
56	205
5	108
26	143
36	49
10	14
0	1031
475	1662
26	165
0	89
62	288
88	74
24	102
0	17
188	135
2	244
1	201
2	234
1	192
0	136
0	89
0	10
32	33
13	75
0	41
5	26
2	3
1	260
1	79
18	271
0	0
0	0
0	0
1001	4023
245	2734
4	2040
908	2993
2	153
0	0
0	5
0	5
0	4
0	4
0	4
0	1
0	2
0	75
0	75
0	104
0	79
0	39
0	193
0	193
0	191
70	83
0	139
0	139
10	4
6	43
1	21
5	73
0	126
12	77
15	178
66	20
1	195
217	140
2	198
0	4
3	19
1	4
1	17
0	10
0	8
0	6
1	13
0	69
0	65
0	66
0	66
0	66
15	24
0	0
0	0
6	206
7	153
8	191
5	117
900	664
5	797
756	1056
120	1235
0	650
0	19
0	13
0	24
0	22
0	21
3	17
0	22
0	23
0	6
2	1
2	6
0	6
6	4
0	2
0	524
36	509
26	569
0	165
105	167
32	449
1	170
2	10
3	7
21	34
4	50
158	600
3	167
31	390
0	4
0	2
0	7
0	6
1	1
0	1
1	6
0	13
1	6
0	12
27	13
1	5
0	40
22	111
18	65
58	53
66	57
0	45
1	62
0	15
11	159
21	146
1	152
150	68
0	111
0	101
