UniqueCount	AmbigCount
54	436
20	378
0	255
1	153
42	276
0	858
357	427
1	1037
1	548
2	215
7	252
6	170
1	231
0	83
0	85
0	15
1	0
4	12
14414	17595
23343	12710
455	5515
3	732
8524	8262
94	5939
0	417
0	396
0	285
83	442
144	210
0	171
0	142
4	162
0	142
56	389
144	374
39	231
234	149
2	6
0	2
3	1801
16	2024
9	2004
0	1726
43	1686
14	762
180	756
0	4
0	4
1	2
3	3
111	122
6	180
0	234
0	189
11	277
0	225
31	261
0	273
99	260
4	2
0	84
0	40
0	44
0	40
1	40
1523	16302
320	8856
18	6169
5	1710
1	1847
109	12873
325	13981
365	405
3	397
0	491
156	564
155	451
0	242
0	218
0	171
0	366
13	242
2	206
35	113
0	113
0	36
868	8150
0	9412
0	9412
978	6416
1636	6446
119	112
151	313
0	160
0	216
0	133
11	251
0	216
0	335
3	1191
25	1608
1358	1614
438	1830
1	1395
15	428
1	157
90	155
18	302
0	296
26	71
0	35
18	35
0	21
81	232
1	22
0	960
0	760
129	903
0	760
99	484
1	8
4	8
23	600
0	589
31	606
0	537
48	537
52	192
0	88
4	88
0	38
21	29
14	55
93	203
26	114
2	439
0	407
2	394
0	321
1	316
191	76
73	150
35	383
0	341
0	301
69	68
1	11
83	1619
0	1617
23	1107
55	1846
305	573
7	0
0	107
12	633
5	423
0	279
1	410
1	213
0	185
131	566
15	299
87	379
88	80
26	16
2	4092
1977	6630
63	471
0	267
140	787
232	190
61	278
0	61
991	1020
6	1704
8	1340
0	1629
0	1271
1	873
0	681
1	9
57	87
31	180
0	90
11	45
0	3
3	922
11	271
69	981
0	0
0	0
0	0
2531	9996
603	6414
17	4734
2622	7725
15	372
0	0
1	6
0	6
1	3
0	11
0	11
3	1
0	1
0	501
0	532
0	564
0	529
0	291
0	638
0	616
0	619
232	259
0	463
0	463
19	12
14	74
0	41
15	245
1	384
57	254
24	502
263	74
0	556
706	381
14	553
0	8
35	81
6	19
0	28
0	22
0	57
0	17
2	25
0	332
0	302
0	305
0	319
0	201
46	72
0	0
0	0
18	609
22	443
35	571
33	346
2071	1836
7	1459
1497	2022
167	2295
1	1198
0	27
0	22
0	39
0	43
0	38
4	33
0	43
0	44
0	8
4	4
10	32
0	32
29	34
1	21
0	1216
108	1142
89	1324
0	397
276	400
94	1009
0	388
3	25
2	12
35	85
31	83
454	1462
8	302
58	1038
0	12
0	7
0	9
0	9
