UniqueCount	AmbigCount
36	299
31	256
0	150
5	89
42	167
0	394
206	234
2	484
0	267
2	214
9	239
18	163
15	230
0	82
0	82
0	16
0	2
2	3
13743	19261
20048	10047
471	5161
3	399
9487	8329
12	4016
0	712
0	687
0	501
36	247
75	110
0	88
0	77
4	92
0	77
44	181
75	188
6	118
59	56
0	0
0	0
3	554
12	667
0	620
0	536
16	554
2	275
52	265
0	1
0	1
0	1
0	1
71	56
5	145
6	141
0	140
3	172
3	119
18	202
0	188
7	154
3	3
7	86
0	28
0	29
0	28
1	29
685	7653
173	3659
4	3251
5	571
0	605
33	5734
76	6575
178	231
0	233
3	109
33	130
18	105
0	59
0	56
0	44
0	292
10	210
1	165
34	94
0	94
0	30
67	6051
0	5824
0	5824
469	4109
1440	4188
69	60
156	246
0	153
0	213
0	155
9	209
0	213
6	287
0	614
109	509
507	516
201	614
0	425
13	237
0	45
71	110
12	224
0	217
5	67
0	16
6	16
0	15
45	97
8	56
0	641
0	488
95	583
0	488
99	338
0	19
21	14
20	461
0	452
35	467
0	422
110	415
43	145
0	371
0	280
0	179
27	28
3	43
25	112
20	78
1	234
0	212
2	232
0	193
0	175
34	14
56	69
36	195
0	166
0	139
13	79
1	9
34	778
0	773
1	512
31	879
148	275
17	0
0	60
9	346
2	201
0	152
2	190
0	131
0	113
57	262
11	147
22	208
49	82
22	15
1	1889
820	2752
58	357
0	202
74	407
258	81
17	92
0	17
480	403
1	693
6	601
0	672
1	510
0	399
0	249
0	12
53	62
28	155
0	79
14	50
0	12
1	929
1	348
0	1003
0	1
0	1
0	1
1041	4024
228	2808
9	1800
911	2905
8	123
0	0
1	15
0	14
5	14
0	4
0	4
0	1
0	4
0	234
0	246
0	395
0	244
0	108
0	384
0	380
0	363
141	126
0	251
0	251
11	7
4	54
0	28
6	101
1	192
46	129
26	312
107	30
0	444
469	301
8	391
0	7
3	27
14	12
0	10
0	5
0	20
0	2
3	8
0	56
0	55
0	54
0	36
0	86
28	26
0	2
0	1
7	443
13	367
9	401
21	250
1587	234
7	1600
1541	2064
184	2296
2	1307
0	26
0	23
0	28
0	28
0	28
5	31
0	28
1	30
8	9
3	5
0	12
0	13
8	15
1	4
0	898
74	797
0	918
0	332
284	339
8	662
0	264
1	16
0	11
58	89
32	151
388	1083
6	139
5	576
0	5
0	7
0	34
0	30
4	7
0	3
10	25
0	15
11	10
0	10
23	25
4	10
0	167
48	122
52	145
38	104
232	149
0	95
1	136
22	34
3	80
5	80
1	78
122	73
24	146
0	73
1	110
5	234
0	107
0	74
85	174
31	83
15	26
0	31
0	16
0	16
13	144
0	102
5	98
0	400
7	515
0	327
49	486
0	398
3	66
1	20
383	729
109	765
12	195
0	318
554	381
0	764
0	717
1	743
36	772
1	772
0	677
0	618
2	687
0	724
1	737
0	696
0	762
1	777
0	575
0	717
0	1600
0	778
0	614
0	753
19	1603
0	745
1	174
2	253
4	255
9	255
23	220
45	58
0	206
0	513
1	359
88	537
43	519
0	508
0	249
4	472
0	514
3	230
0	246
1	132
125	80
9	130
59	115
8	101
0	150
176	113
43	318
1	175
0	38
21	28
0	45
0	4
0	3
0	3
0	1
0	2
0	1
0	1
20	637
0	601
7	640
0	581
2	574
0	577
0	554
7	590
345	1365
0	1030
0	1623
0	1490
5	1586
0	744
139	674
0	1806
0	1629
0	1137
0	1808
1	1953
0	1124
0	1548
70	1295
81	110
72	80
149	480
5	295
0	183
41	239
67	82
52	692
12	552
69	19
240	77
102	3297
263	3489
472	3181
67	2303
0	2268
0	7
0	0
0	0
187	62
1	34
2	280
6	11
47	103
0	11
36	10
0	75
0	112
8	59
5	52
146	38
1	54
1	9
29	54
0	54
0	0
89	220
18	91
0	109
0	93
0	65
0	86
1	61
8	54
0	47
0	34
0	37
0	20
0	49
0	29
0	53
0	51
21	45
6	55
0	49
0	42
0	17
0	29
1	31
0	29
0	26
3	29
0	36
1	16
0	88
0	110
0	110
217	119
42	107
0	601
144	272
5	220
6	209
14	193
2	23
1	121
5	209
1	90
359	122
0	86
0	86
0	633
0	535
22	691
0	702
0	320
0	512
0	261
109	238
99	105
0	101
0	222
0	483
0	314
0	394
8	394
0	56
0	65
0	47
0	52
321	249
32	57
0	156
84	42
642	375
17	119
0	130
0	107
4	76
101	46
50	123
4	106
11	119
0	30
4	41
15	43
2	37
10	10
0	6
51	203
12	305
0	102
0	98
2	90
18	91
1	78
9	96
0	72
94	914
0	122
61	237
2	211
2	349
34	750
0	389
0	376
0	759
8	787
12	351
185	315
0	314
80	673
19	930
21	940
0	909
2	977
0	10
0	22
0	21
4	26
0	23
1	15
1	11
6	13
39	108
0	17
51	280
0	196
0	87
39	196
1	91
20	26
1	85
94	35
15	204
56	645
235	371
0	62
0	88
0	88
0	46
1	42
0	4
0	4
0	4
12	241
4	84
0	86
8	69
59	27
0	26
2	25
0	88
6	75
1	64
0	63
0	62
1	27
0	64
4	26
5	5
0	48
12	19
12	107
0	39
11	105
42	253
0	249
17	318
0	235
0	304
2	235
0	279
5	227
3	10
0	291
0	272
240	183
3	266
0	218
0	292
0	291
39	147
0	127
1	61
0	61
19	61
13	93
0	19
166	398
0	863
2	313
78	161
1	260
0	128
1	7
84	1054
0	774
0	871
0	722
0	801
51	743
0	6
0	6
1	11
0	1
1	3
0	3
0	1
0	1
0	4
0	4
0	3
0	381
1	753
0	380
23	231
0	158
6	210
0	183
0	203
0	210
0	203
0	202
0	199
0	102
0	72
0	64
0	113
4	121
0	113
0	92
31	58
6	29
9	84
0	2
0	2
19	3
0	3
0	2
0	2
0	2
0	6
0	2
0	69
0	48
0	60
0	45
4	57
52	117
0	64
0	64
0	135
0	139
0	125
137	159
0	79
0	254
0	259
26	257
0	262
0	185
201	104
0	0
0	97
3	214
0	102
1	110
28	200
0	0
108	4
0	9
222	4
0	221
0	53
0	238
0	55
0	45
0	35
18	203
0	194
0	94
0	95
0	10
0	17
1	17
102	215
0	189
5	170
27	39
74	39
33	53
0	1
0	18
7	28
0	19
14	29
288	860
0	411
28	325
0	360
0	242
0	278
1	246
0	281
0	312
5	287
5	1007
3	1185
7	611
0	1135
0	132
72	466
1	421
0	120
2	95
32	238
4	198
0	218
2	60
81	173
3	117
0	109
1	113
26	3
44	236
0	102
0	155
5	141
308	221
0	274
1	304
2	238
0	223
0	261
0	222
0	199
0	10
0	0
668	430
76	86
0	0
76	197
0	182
2	183
0	8
0	3
1	3
0	4
0	2
0	2
0	0
1	5
0	0
77	139
0	142
6	112
21	100
0	44
2	7
0	22
0	14
0	22
34	75
41	38
4	33
0	53
1	38
0	40
1	38
0	39
1	31
5	85
2	52
3	30
0	10
0	95
0	110
0	98
20	89
0	51
0	258
11	159
0	2
7	9
0	19
0	9
185	93
4	280
0	272
1	142
1	240
0	253
0	274
221	579
39	430
0	156
0	272
0	158
1	169
1	170
0	114
0	137
0	135
6	85
46	180
9	20
152	665
0	870
1	832
2	1013
1	829
0	594
1	721
0	727
9	180
0	117
8	173
0	148
21	173
0	10
145	376
0	292
0	158
9	89
1	100
0	166
32	216
47	116
78	124
2	240
66	143
149	91
104	102
0	62
28	58
0	62
0	66
0	6
0	5
0	6
0	3
0	7
331	290
0	257
15	268
0	28
5	28
4	42
0	28
0	9
0	108
0	159
0	157
0	105
0	101
0	98
0	85
0	87
0	75
0	32
6	71
0	71
3	76
2	69
312	37
14	59
0	91
0	91
1	49
0	66
0	396
253	390
0	367
0	378
0	347
105	139
0	251
5	272
0	244
0	109
0	105
0	107
1	194
72	97
0	113
0	315
0	227
1	200
0	110
0	226
0	112
0	189
0	3
0	3
0	1
0	18
61	183
0	167
8	114
0	50
36	28
244	927
1	804
238	312
0	654
0	298
0	247
1	253
46	396
0	429
0	419
41	368
0	395
0	318
0	325
0	299
5	12
0	105
0	104
0	85
0	85
0	70
15	85
0	85
52	88
0	89
0	90
32	119
4	80
2	102
0	122
38	27
0	110
4	28
1	50
12	95
6	274
22	257
0	267
0	168
0	267
161	799
200	721
9	553
113	720
0	160
0	129
40	336
0	329
0	294
0	239
0	234
2	162
1	327
0	178
0	9
0	55
37	48
0	130
0	77
0	47
45	116
0	90
0	83
17	67
2	2
93	221
17	303
2	5
6	22
0	0
0	2
0	1
24	224
10	201
0	1
0	1
0	0
0	0
0	0
0	0
1	32
9	32
52	34
4	47
2	56
0	49
0	47
90	117
27	148
0	300
0	199
1	218
9	138
2	0
0	3
1	127
2	131
0	201
58	254
5	4
0	19
0	32
0	29
3	16
1	30
0	30
1	1250
2	2024
0	1080
1576	653
6	34
1	21
0	16
0	10
40	55
0	40
0	20
5	46
203	83
273	243
4	7
0	62
0	97
13	41
13	527
277	213
1	527
0	1
0	0
0	0
0	0
26	1
0	20
3	52
1	31
1	16
5	367
18	430
2	352
0	361
8	350
62	464
0	239
0	236
0	227
0	212
29	86
0	99
0	118
0	197
0	4
0	4
0	4
1	13
21	8
2	10
7	177
11	170
2	208
0	222
13	100
3	27
0	11
5	3
1	5
0	3
0	139
3	139
9	103
12	303
0	15
0	4
0	14
0	14
9	6
2	6
0	29
0	19
0	29
0	23
25	65
3	0
21	28
0	8
0	10
0	3
4	54
3	9
0	590
46	1552
0	1221
0	160
70	172
0	147
0	160
0	123
0	0
0	0
0	0
0	0
0	65
0	43
0	33
0	103
6	1077
0	1183
26	1486
163	1440
0	1404
3	993
1	10
0	36
0	46
0	47
7	1
6	31
2	109
0	57
49	74
0	103
0	61
0	218
0	251
3	235
0	257
3	288
0	259
7	15
0	25
0	17
0	0
0	0
320	773
1	525
310	463
0	0
0	87
1	106
81	137
0	106
0	66
2	49
11	18
1	35
0	4
0	4
1	1060
12	898
11	519
14	801
36	687
0	308
5	138
0	27
3	221
0	161
3	224
0	221
337	98
0	23
0	23
0	24
0	23
0	24
7	4
13	7
0	9
0	8
1	5
27	33
28	108
155	64
8	24
11	120
33	65
18	43
0	51
0	120
0	0
0	1
0	0
0	1
0	0
0	913
2	997
13	878
0	869
105	647
0	571
0	56
29	132
0	0
7	23
0	2
620	238
9	60
0	76
0	59
7	50
0	1
52	336
0	312
0	304
0	365
1	198
0	165
5	1
139	272
186	201
0	201
0	204
14	116
0	119
119	2
58	4
0	227
14	192
2	309
0	283
70	159
0	106
0	155
0	65
9	212
0	18
0	18
1	21
2	696
136	729
0	634
3	584
0	562
391	422
1	488
2	483
0	20
0	2
0	1
0	1
24	360
24	102
0	1620
0	1528
0	1621
79	985
0	742
0	9
15	77
3	78
0	37
5	15
176	238
0	318
38	74
277	198
5	73
0	93
15	99
0	76
7	31
0	21
2	48
0	20
0	104
4	62
2	60
0	32
2	69
0	30
103	166
1	196
12	65
4	102
0	23
0	429
0	555
18	512
40	195
2	35
36	5
77	238
0	306
5	241
43	181
0	248
0	95
0	77
6	65
24	56
4	77
0	77
0	78
7	34
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	0
0	0
0	0
0	0
0	14
2	48
1	40
0	37
0	29
0	35
8	58
23	208
5	163
0	153
8	51
2	11
0	168
31	159
0	167
0	168
2	282
42	9
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	14
1	19
0	1
0	3
51	683
0	70
6	81
0	51
0	40
0	53
107	34
39	13
0	32
0	52
0	15
94	687
32	18
17	284
15	18
0	1
0	97
2	28
8	37
0	26
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	1
0	1
0	1
0	0
1	3
0	3
0	0
0	1
1	35
0	29
10	13
0	0
0	415
0	438
1	359
4	461
294	133
0	128
0	84
0	84
0	0
171	371
14	472
0	20
0	133
8	135
0	63
0	88
0	72
0	0
0	595
1	483
56	363
0	321
0	316
64	150
0	0
0	1
0	0
0	1
0	24
0	0
0	3
0	0
1	1
0	0
0	1
7	190
15	125
2	210
0	177
0	193
2	8
0	1403
3	1404
0	1608
4	1323
0	875
0	842
2	69
0	68
12	150
2	140
0	125
1	139
12	158
11	68
0	95
0	1
0	1
0	0
17	4
3	173
3	141
0	122
0	113
0	107
0	65
3	0
10	106
3	112
17	111
4	121
0	110
0	71
2	233
0	223
0	142
67	86
0	384
27	410
0	430
0	7
0	6
83	76
0	106
75	890
67	1049
47	875
260	137
89	144
0	12
0	0
0	0
1	36
0	35
1	27
0	24
0	10
0	1108
5	1133
37	620
1	338
3	340
91	198
26	108
0	76
56	295
0	168
2	163
0	167
17	141
0	35
0	511
0	441
0	479
0	441
0	449
0	400
0	347
579	258
0	307
20	267
6	185
21	418
0	495
12	143
0	430
0	417
0	341
0	393
0	417
529	240
6	485
0	432
13	1571
0	1142
12	939
0	260
24	184
0	126
0	80
37	754
5	30
38	111
32	30
0	82
36	45
157	594
0	0
0	0
59	132
0	129
0	138
0	77
0	173
0	199
0	136
18	218
0	148
5	184
0	107
8	156
7	181
10	689
44	949
656	690
1	368
0	392
43	339
0	20
0	23
2	25
0	25
1	41
0	44
31	146
337	150
0	118
39	90
0	69
43	62
26	128
177	206
0	186
2	168
1	125
0	138
5	44
16	178
0	214
8	215
38	255
71	213
0	94
33	677
0	3
1	22
0	23
0	20
0	12
0	60
12	56
19	47
47	145
0	95
2	40
46	20
0	296
0	904
0	548
