UniqueCount	AmbigCount
4	91
0	82
1	59
0	39
6	59
0	78
19	60
7	78
0	64
0	22
0	30
0	27
6	25
0	8
0	8
0	3
0	0
0	0
955	11987
3215	6068
1015	3775
2	25
835	2205
51	1566
0	316
0	316
0	215
11	104
33	70
0	35
0	39
1	36
1	39
1	32
10	36
3	47
8	0
1	0
0	0
5	153
12	156
0	161
0	139
0	142
0	91
1	62
0	0
0	0
0	0
0	0
7	22
0	28
0	23
0	27
0	20
0	24
20	62
0	54
21	40
0	0
0	9
1	4
0	5
0	4
1	2
177	2946
38	1666
2	1004
3	280
1	306
9	2400
61	2420
21	61
31	71
0	116
18	133
13	102
0	47
2	47
0	33
0	61
2	43
0	29
10	40
0	40
0	11
174	1581
0	1575
0	1575
55	1009
318	658
30	19
10	44
0	37
0	39
0	37
3	68
0	65
0	53
22	280
22	220
230	215
49	234
0	145
3	169
0	68
21	26
2	63
0	62
0	23
0	7
8	9
0	2
3	42
0	1
0	209
0	178
17	206
0	178
34	128
0	5
0	5
0	10
0	8
0	11
0	7
2	9
1	3
0	7
0	5
2	3
2	1
0	8
9	38
9	26
0	105
0	87
0	121
1	73
0	90
26	19
27	33
5	62
0	55
0	52
13	28
1	0
30	299
0	299
1	308
16	325
52	87
0	20
0	26
0	108
0	78
0	58
0	82
0	38
0	33
17	79
0	44
0	55
7	27
15	7
90	578
152	893
6	123
5	51
49	176
1	70
14	58
2	19
206	187
0	293
6	210
0	302
0	250
0	130
0	123
1	1
9	8
1	16
0	12
2	10
0	3
1	238
0	64
0	238
0	0
0	0
0	0
317	1251
57	758
3	496
103	1205
1	25
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	188
0	198
0	179
0	205
0	112
0	146
2	144
0	153
32	72
0	111
0	111
4	3
0	4
0	3
6	56
0	126
17	62
1	137
22	18
0	191
189	157
3	165
0	45
12	101
10	27
4	34
0	48
0	34
1	16
0	48
1	265
1	201
0	214
0	128
5	42
6	16
0	0
0	0
0	111
10	95
4	103
8	66
193	148
4	608
463	840
62	826
0	511
0	13
0	13
0	15
0	24
0	15
1	18
0	24
0	21
0	5
0	2
0	7
0	7
7	5
1	5
0	285
5	279
0	285
0	85
0	85
31	302
0	79
2	3
0	1
2	30
14	44
125	458
0	75
14	332
0	0
0	0
0	3
0	2
1	2
0	0
1	1
1	4
1	5
0	4
64	41
3	2
0	71
3	14
4	30
3	23
14	26
0	11
0	17
0	1
4	42
3	42
0	44
61	82
0	94
0	63
1	84
0	100
0	69
0	73
11	164
5	30
5	10
0	12
0	4
1	4
5	72
0	46
3	46
0	140
11	139
0	100
33	170
0	114
0	27
0	2
55	105
39	365
7	248
0	307
316	317
0	311
0	291
0	309
5	321
0	319
0	282
0	270
0	295
0	306
0	299
0	306
0	310
7	311
0	212
0	297
19	545
0	321
0	281
0	307
4	542
0	312
0	39
0	48
0	130
1	129
7	157
3	24
0	38
0	138
0	106
57	263
1	146
0	159
0	48
0	146
0	152
0	51
0	63
0	43
48	30
0	43
4	14
0	12
0	37
40	31
1	37
2	28
0	14
4	13
3	12
0	1
0	1
0	1
0	1
0	1
0	1
0	1
5	20
0	19
0	19
0	18
0	18
0	18
0	19
0	19
233	789
0	525
0	685
0	680
1	488
0	284
0	511
0	708
0	674
0	529
0	708
0	774
0	558
0	685
44	624
3	22
0	17
45	155
0	97
0	66
1	42
19	32
1	91
1	66
9	4
62	15
79	905
55	1015
272	920
0	733
1	699
0	2
0	0
0	0
44	72
0	26
0	105
0	10
20	41
0	8
18	4
0	47
1	142
13	41
6	37
63	20
3	42
0	1
9	38
1	38
0	2
0	28
0	22
24	22
0	27
0	22
0	25
0	19
3	17
0	13
0	43
0	49
0	32
0	46
0	26
0	56
0	52
1	58
5	62
0	50
0	43
0	19
0	16
2	24
0	19
0	19
4	19
0	24
0	9
0	46
0	46
0	46
82	61
22	59
0	353
20	160
0	13
0	12
0	9
0	4
0	120
0	144
0	82
124	113
0	11
0	11
0	177
0	170
3	203
4	201
0	105
0	161
0	78
32	93
26	38
0	34
0	87
1	179
3	95
0	129
0	127
0	6
0	7
0	3
0	4
64	37
36	25
0	30
14	8
169	138
3	64
0	64
0	62
0	40
32	34
3	28
1	28
4	31
0	11
1	13
2	16
0	21
0	9
0	3
12	36
3	85
4	20
0	18
0	15
0	14
0	12
2	15
0	13
4	403
0	19
3	26
0	11
0	194
1	322
0	211
0	208
0	329
14	313
3	179
92	146
0	170
14	164
0	420
0	428
0	416
0	357
0	3
2	3
0	3
0	3
0	3
0	3
0	3
3	3
8	32
0	3
17	65
0	94
0	42
0	94
0	41
6	18
3	22
23	4
3	77
27	185
89	90
0	15
0	21
0	21
0	12
0	15
0	0
0	0
0	0
4	76
0	30
2	22
1	26
4	6
0	1
1	8
0	26
0	24
0	19
0	17
1	17
0	11
0	17
0	9
0	20
0	26
2	13
0	30
0	18
0	14
0	24
0	18
0	27
0	16
0	28
0	16
0	25
0	16
0	0
0	67
0	82
56	62
0	78
0	53
0	72
0	68
26	96
0	83
0	57
0	57
5	43
0	41
0	18
54	182
0	325
0	134
64	48
1	30
0	6
0	3
27	293
0	242
0	243
0	212
0	247
21	213
0	0
0	0
3	5
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	207
3	248
1	210
0	142
0	73
4	105
0	104
1	99
0	105
0	103
0	104
0	101
0	58
0	65
0	60
0	68
0	58
0	55
0	68
12	41
6	30
0	15
0	1
0	1
14	1
0	1
0	1
0	1
0	1
0	1
0	1
0	19
9	19
0	19
0	18
2	15
247	65
0	10
0	10
0	33
0	33
0	28
40	67
0	47
0	75
0	77
0	83
0	77
0	71
55	74
0	0
0	66
0	90
0	57
0	56
1	100
0	0
28	22
0	22
57	0
0	25
0	23
0	93
0	20
0	20
1	13
1	38
0	39
0	20
0	20
0	2
0	0
0	0
49	43
0	43
1	32
3	9
33	9
17	23
0	0
0	7
3	6
0	6
0	5
25	97
5	28
7	65
0	112
0	101
1	122
0	105
0	115
0	112
0	107
0	209
0	296
0	132
0	217
0	30
6	28
0	31
0	12
0	8
3	67
1	55
0	40
0	36
19	85
0	39
0	34
0	40
6	5
5	70
0	51
3	41
0	32
48	52
