UniqueCount	AmbigCount
9	70
0	65
3	53
0	36
4	50
0	60
22	46
10	59
0	49
0	14
0	22
2	18
4	19
0	9
0	9
0	3
0	1
0	0
772	9672
2446	4709
686	2672
0	15
583	1430
28	1043
0	159
0	159
0	116
4	84
36	70
0	25
0	26
2	28
0	26
3	44
12	31
1	51
11	3
0	0
0	0
1	138
8	131
0	138
0	117
0	122
3	66
0	45
0	0
0	0
0	0
0	0
1	22
0	27
0	28
0	29
0	23
0	27
23	63
0	37
9	29
0	0
1	14
0	6
0	6
0	6
0	1
177	2762
47	1562
1	941
2	217
1	244
12	2200
59	2187
17	62
22	71
0	206
15	226
17	164
0	61
1	68
0	48
0	67
0	40
0	24
6	17
0	17
0	3
110	1240
0	1251
0	1251
41	842
204	420
16	12
14	45
0	32
0	36
0	32
1	49
0	48
0	51
37	264
16	236
275	236
57	242
0	162
4	139
0	64
20	24
4	47
0	46
2	19
0	5
5	5
0	3
6	29
1	6
0	214
0	170
40	201
0	170
10	127
0	1
1	1
3	31
0	30
0	26
0	24
5	23
1	9
0	30
0	23
6	15
3	5
0	14
7	15
6	6
0	111
0	97
0	122
3	71
1	86
28	25
19	30
4	38
0	32
0	26
12	22
1	1
19	260
0	257
10	274
11	260
62	70
0	13
0	13
0	68
0	45
0	37
0	46
0	26
0	21
16	85
0	54
0	71
4	36
10	17
64	498
132	803
5	51
3	20
46	190
1	72
11	46
1	20
254	194
0	296
1	209
0	302
0	259
0	124
0	133
0	1
12	11
0	14
0	12
0	5
0	0
1	430
0	88
0	430
0	0
0	0
0	0
412	1155
47	660
0	471
113	1122
1	25
0	0
1	1
0	1
0	1
0	0
0	0
1	0
0	0
0	166
0	190
0	163
0	178
0	116
0	108
1	98
0	110
22	59
0	84
0	84
3	4
0	5
0	4
12	79
0	199
45	85
7	224
16	9
1	187
167	160
5	169
0	39
14	132
23	52
15	76
0	100
0	78
0	39
2	99
6	792
1	624
0	630
0	417
5	43
10	13
0	0
0	0
3	81
7	73
9	76
5	40
262	187
3	397
434	575
37	601
0	368
0	13
0	11
0	15
0	18
0	14
1	16
0	18
0	17
0	3
0	1
0	10
0	10
12	4
0	2
0	238
12	229
1	236
0	54
0	54
23	254
0	45
1	6
0	2
1	25
7	20
104	441
4	62
14	308
0	5
0	3
0	2
0	2
0	0
0	0
0	2
0	0
5	2
0	0
95	57
3	3
0	76
1	14
3	37
2	24
21	29
0	14
0	20
0	4
9	57
1	50
0	56
72	70
0	88
0	68
1	77
0	96
0	67
0	73
0	139
12	24
7	4
0	8
0	2
1	2
2	46
0	29
1	29
0	130
7	153
0	76
19	150
0	119
0	13
0	1
75	133
31	305
4	211
0	221
316	229
0	372
0	352
0	365
2	381
0	379
0	344
0	319
0	333
0	362
0	353
0	355
0	373
15	367
0	280
0	359
14	633
0	382
0	331
0	368
7	643
0	366
0	34
0	64
1	133
1	133
4	158
4	38
1	46
0	187
0	123
48	309
0	202
0	202
0	65
1	178
0	202
2	58
0	63
0	53
57	44
0	54
10	21
0	17
0	28
34	18
4	23
0	12
0	10
7	9
0	11
0	4
0	3
0	3
0	3
0	0
0	0
0	0
10	44
0	38
0	45
0	39
0	35
0	41
0	43
0	38
169	487
0	320
0	460
0	457
6	372
0	197
1	282
0	475
0	440
0	320
0	475
0	529
0	343
0	460
38	409
1	12
0	8
66	136
0	84
0	48
0	46
13	35
0	74
1	60
3	2
30	12
50	724
60	870
329	808
0	599
0	590
0	1
0	0
0	0
58	40
1	18
0	88
2	8
30	58
0	7
6	8
0	48
1	195
8	40
3	38
40	15
7	67
0	7
5	24
0	24
0	1
1	40
0	22
47	23
0	34
0	26
0	29
0	22
7	23
0	16
0	34
0	42
0	29
0	47
0	29
0	56
0	55
10	60
7	63
0	54
0	42
0	11
0	11
0	22
0	14
0	11
5	14
0	22
0	8
0	53
0	53
0	53
78	58
17	60
0	233
18	92
4	31
0	28
1	23
0	4
0	69
0	77
0	40
127	50
0	14
0	14
0	141
0	131
1	148
2	146
0	67
0	116
0	55
31	82
37	29
0	28
0	80
2	168
0	85
0	102
0	100
0	15
0	15
0	11
0	12
87	36
24	18
0	31
18	10
146	83
9	61
0	66
0	63
0	37
29	25
6	32
1	28
4	27
0	3
0	6
0	10
0	14
0	8
0	3
8	49
4	70
3	21
0	13
0	15
0	18
0	18
0	19
0	15
4	409
0	14
15	14
0	6
0	109
0	209
0	115
0	115
0	213
9	211
1	109
63	88
0	108
17	131
0	257
0	275
0	269
1	228
0	0
0	0
0	0
1	2
0	0
0	2
0	0
1	0
15	21
0	7
24	54
0	41
0	24
0	41
0	16
5	7
2	13
19	7
0	87
20	141
43	81
0	25
0	26
0	26
0	19
0	24
0	2
0	2
0	2
3	56
0	21
1	20
0	19
0	2
0	1
0	9
0	22
0	18
0	12
0	12
0	12
0	10
0	12
0	10
0	0
0	27
2	24
0	31
0	13
1	18
0	27
0	13
0	26
0	12
0	24
0	12
0	26
0	11
0	0
0	56
0	68
48	52
0	68
0	45
0	59
0	58
30	61
0	49
0	29
0	29
8	27
1	38
0	9
70	214
0	423
0	146
74	67
8	47
0	14
0	4
13	270
0	241
0	238
0	192
0	233
15	182
0	0
0	0
5	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	244
2	322
1	247
0	165
0	70
5	89
0	90
0	81
0	89
0	88
0	90
0	88
0	79
0	65
0	57
0	87
0	79
0	75
0	87
11	34
0	22
1	16
0	0
0	0
13	0
0	0
0	0
0	0
0	0
0	2
0	0
0	35
2	42
0	35
0	35
0	26
256	52
0	6
0	6
0	35
0	35
0	31
30	34
0	24
0	54
0	55
1	63
0	55
0	44
59	50
0	0
0	59
0	79
0	47
0	44
0	81
0	0
20	13
0	15
70	0
0	16
0	22
0	86
0	19
0	19
0	11
3	91
0	92
0	51
0	51
0	1
0	0
0	0
52	41
0	38
3	20
6	12
39	12
6	10
0	0
0	3
0	3
0	2
0	1
22	81
1	25
11	92
0	131
0	115
0	127
0	116
0	127
0	114
0	109
0	168
0	234
0	111
0	161
0	24
1	25
0	26
0	4
0	4
1	54
0	47
0	43
0	27
19	65
0	30
0	29
0	26
12	1
2	60
0	43
3	34
0	26
46	26
0	38
0	44
1	38
0	35
0	38
0	33
0	24
2	7
0	0
35	104
2	84
0	0
2	15
0	11
0	11
0	0
0	0
0	0
0	2
0	1
0	1
0	1
0	2
0	1
12	12
0	10
0	9
7	23
0	13
2	7
0	21
0	21
0	19
2	51
31	28
8	25
0	26
3	24
3	29
1	21
0	27
0	17
0	29
2	15
8	37
1	10
0	13
0	12
0	10
2	9
0	7
0	29
0	18
0	32
9	6
0	9
0	6
0	70
0	73
0	72
1	45
1	64
0	66
0	71
47	136
0	106
0	48
0	77
0	48
0	51
0	51
0	84
0	84
10	84
1	31
456	816
0	15
40	302
0	453
0	440
0	453
0	340
0	276
0	397
0	248
0	12
0	6
0	11
0	8
2	9
0	0
64	83
0	103
1	68
0	35
0	45
0	68
8	45
11	35
19	15
3	32
9	22
16	7
21	26
0	12
13	12
0	12
0	12
0	4
0	4
0	5
0	2
0	6
22	25
0	22
0	20
0	49
0	44
0	41
0	49
0	28
0	50
0	50
1	44
0	37
2	37
0	37
0	17
0	17
0	16
0	8
0	14
0	14
2	9
1	6
85	33
7	84
2	42
3	42
0	10
0	14
0	71
82	69
1	77
0	68
0	74
15	29
2	67
1	64
5	65
0	48
0	48
0	48
3	69
24	40
0	39
0	118
0	81
2	77
0	50
0	83
0	51
0	83
0	0
0	0
0	0
0	13
21	65
0	63
0	41
0	2
1	2
80	190
0	189
27	118
0	146
0	85
0	72
0	70
2	115
0	120
0	115
8	105
0	117
0	92
0	91
0	88
0	1
0	29
0	29
1	27
0	27
0	23
1	22
1	22
5	34
1	47
0	47
12	61
1	44
0	52
0	76
7	5
2	6
0	3
23	82
3	82
0	85
0	102
10	84
0	64
0	84
0	464
27	401
4	307
60	410
0	66
0	58
0	105
0	105
0	111
0	92
0	80
2	66
0	99
0	65
0	0
0	12
27	7
0	14
0	13
0	5
15	31
0	15
0	15
10	14
0	2
6	98
5	84
0	0
5	24
0	0
0	0
0	0
2	40
0	34
0	1
0	1
0	1
0	1
0	1
0	1
0	20
2	21
42	27
0	40
1	46
0	37
0	40
12	13
8	77
0	142
1	102
1	85
0	62
0	0
0	0
0	64
0	72
0	73
21	82
0	0
1	4
0	3
0	2
1	4
0	3
0	3
0	321
2	447
0	276
311	148
0	1
0	0
0	1
0	0
2	4
0	3
0	0
0	1
23	20
22	20
4	3
0	3
0	25
0	12
3	152
85	71
0	152
0	0
0	0
0	0
0	0
0	1
0	6
0	16
0	11
0	17
0	92
0	122
1	90
0	86
0	82
16	128
0	62
0	60
0	53
0	55
5	27
0	37
0	51
0	61
0	1
0	1
0	1
0	10
10	5
3	8
4	37
0	32
0	26
0	26
0	21
0	6
0	4
0	0
0	0
0	0
0	9
0	9
10	51
1	111
0	1
0	0
0	7
0	7
0	4
0	4
0	5
0	1
0	5
0	4
1	5
0	0
6	20
1	2
0	4
0	1
1	11
1	2
0	192
0	192
0	146
0	48
30	49
0	44
0	48
0	30
0	0
0	0
0	0
0	0
0	21
0	16
0	11
0	30
2	331
0	519
1	637
0	659
0	662
0	315
0	8
0	9
0	11
0	12
10	2
0	6
0	16
0	9
9	16
2	15
0	8
0	66
0	79
0	77
0	84
0	83
0	80
4	11
1	15
0	11
0	1
0	1
36	184
125	181
131	93
0	0
0	27
0	36
37	56
0	46
0	26
1	43
8	17
0	36
0	1
0	1
4	260
0	156
0	125
14	155
5	135
0	92
0	46
0	15
2	84
0	93
2	85
0	84
71	27
0	6
0	6
0	3
0	3
0	1
15	7
0	6
0	8
0	8
0	6
0	13
3	59
38	38
0	3
7	94
11	50
13	29
0	29
0	92
0	0
0	1
0	1
0	2
0	1
0	139
0	176
0	133
0	132
7	108
0	94
0	19
167	308
0	1
0	0
0	1
75	43
0	13
0	6
0	14
0	14
0	0
4	24
0	18
0	17
0	21
0	13
2	12
0	0
12	62
29	53
0	26
0	26
2	16
0	16
17	12
29	17
0	74
3	51
2	113
3	117
35	35
0	29
1	33
0	15
2	65
0	11
0	10
2	10
0	65
23	66
0	61
1	53
0	51
28	49
0	51
1	51
0	2
0	0
0	0
0	0
1	48
0	16
1	418
0	421
1	423
45	308
0	182
0	2
0	12
0	18
3	21
0	5
33	71
0	115
5	27
57	27
0	6
0	7
1	6
0	5
1	12
0	13
1	8
0	1
0	17
0	7
1	6
0	4
0	11
0	4
19	51
0	66
0	25
0	46
0	65
1	152
1	162
2	172
15	57
2	1
1	1
24	83
0	76
3	74
18	75
0	76
0	22
0	20
2	18
9	13
0	10
0	10
0	10
1	12
0	0
0	0
0	0
0	0
0	1
0	0
2	15
0	0
0	0
0	0
0	0
0	1
0	6
1	6
0	5
0	5
0	5
4	14
0	27
3	23
0	19
4	10
1	4
0	18
4	18
0	18
0	18
1	59
13	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	3
0	0
0	2
19	152
3	18
3	30
0	7
1	7
0	7
79	21
20	12
0	16
0	12
0	11
15	214
8	123
1	102
6	83
0	0
0	87
0	8
0	11
1	8
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	1
4	3
0	0
0	166
0	151
0	104
8	169
78	20
0	20
0	16
0	13
0	0
64	200
37	167
0	16
0	38
3	66
0	23
0	24
0	24
0	1
0	123
0	82
46	117
2	97
0	116
19	41
0	75
4	120
0	0
2	103
0	68
0	119
0	89
0	133
1	173
0	64
0	94
2	57
2	49
0	48
0	54
0	60
0	0
60	444
3	411
1	480
3	399
0	336
1	288
0	17
0	20
35	124
0	55
0	72
3	80
2	70
2	17
0	38
0	0
0	0
1	0
3	1
4	55
0	35
3	32
0	42
0	28
1	23
0	0
24	81
0	64
3	75
3	72
0	66
0	44
0	46
0	39
0	23
14	18
0	89
0	91
1	122
0	1
0	0
39	40
0	38
17	294
15	286
14	138
37	31
44	43
0	0
0	1
0	0
0	6
0	4
0	2
0	2
0	1
1	310
129	341
3	220
0	105
1	100
18	71
7	64
0	44
5	48
0	24
2	25
0	24
0	25
0	4
0	67
0	56
0	60
0	56
0	56
0	57
0	46
71	28
0	40
1	36
0	24
0	101
0	155
2	44
0	153
0	150
0	108
0	158
6	165
104	98
1	146
0	134
0	134
0	116
0	53
0	197
27	142
0	101
0	63
2	14
0	18
20	14
3	16
0	12
14	26
39	107
0	3
0	3
24	67
0	74
0	88
0	59
0	98
0	93
0	75
4	125
0	67
2	104
0	83
22	89
0	97
3	276
1	368
256	254
0	160
0	158
20	192
0	5
0	5
0	5
0	5
0	5
1	7
10	41
63	50
0	31
14	15
0	9
17	9
4	14
15	23
0	21
0	16
0	14
0	8
1	4
1	73
0	99
3	99
16	131
21	81
0	26
9	216
0	1
3	10
0	11
0	3
0	4
0	7
4	15
2	2
31	49
0	30
1	24
11	6
0	164
0	232
0	128
4	134
0	146
1	146
0	55
14	651
0	454
0	477
36	830
22	765
7	2
0	0
76	109
2	97
0	76
21	74
0	637
0	637
3	370
0	295
3	229
0	0
0	0
0	0
0	2
0	2
0	0
2	0
0	0
3	24
0	19
0	4
0	6
0	11
4	7
0	14
16	26
0	14
4	33
0	7
0	11
15	43
0	45
0	51
28	27
0	40
0	35
0	22
0	60
0	63
84	44
0	21
43	27
0	107
0	66
0	93
0	110
0	64
0	82
4	72
2	77
0	87
1	5
0	0
0	0
0	12
1	18
0	15
0	7
0	10
6	91
15	48
1	51
1	0
3	38
0	49
0	21
0	14
774	744
4	113
0	46
0	46
0	31
