UniqueCount	AmbigCount
16	75
5	68
0	54
0	36
10	52
1	105
49	54
16	122
0	77
1	179
7	167
2	125
3	191
0	71
0	72
0	8
0	2
4	1
4013	5035
8547	1966
381	2100
3	65
2762	2599
3	1095
5	160
0	157
0	113
24	143
57	113
0	36
0	32
8	38
0	32
16	75
54	99
4	77
21	28
0	0
0	0
17	370
0	379
5	384
0	333
5	318
1	173
0	117
0	0
0	0
0	0
0	0
39	18
0	36
3	36
0	38
2	38
2	32
15	95
0	100
4	64
0	4
4	65
0	25
0	25
0	25
0	25
311	4693
55	1936
4	1860
2	342
0	369
46	3863
65	4006
10	90
28	95
0	62
14	68
21	57
0	30
0	30
0	22
0	104
5	80
0	64
8	33
0	33
0	12
163	2733
0	2749
0	2749
749	1710
1019	1282
12	2
129	120
0	62
0	79
0	85
5	114
5	138
12	156
0	278
2	337
351	344
80	370
0	218
3	142
0	25
158	110
18	290
0	285
6	96
0	19
4	20
0	15
2	48
4	14
7	404
0	304
76	395
1	313
83	209
0	7
3	6
20	134
0	134
14	121
0	119
20	117
7	30
0	38
1	34
29	9
3	6
0	13
17	45
6	19
0	113
0	100
1	104
4	84
22	61
2	3
17	29
15	60
2	54
0	53
44	34
0	7
29	344
0	323
8	278
12	395
79	167
1	25
0	31
0	155
0	74
2	65
2	71
0	61
0	52
44	180
12	69
28	144
29	34
11	23
0	1216
586	1794
57	153
3	84
8	26
68	9
15	10
2	1
233	119
0	202
2	195
1	205
0	149
1	109
0	87
4	9
19	14
3	45
1	28
1	13
1	0
3	498
1	108
15	502
0	2
0	2
0	2
1052	4369
371	2331
22	1131
574	4456
42	39
0	0
0	11
0	12
0	11
0	5
0	5
3	2
2	3
0	87
0	95
0	111
0	92
0	48
0	87
8	85
0	89
58	34
0	55
0	55
3	0
1	13
0	11
0	21
0	110
15	40
13	151
63	12
0	139
231	96
7	153
0	2
68	59
1	1
12	14
0	6
1	9
2	3
5	8
0	32
0	32
0	32
0	10
19	59
7	21
0	2
0	2
0	111
1	98
2	105
9	65
443	96
3	467
1255	720
125	791
0	286
0	9
0	8
0	15
0	11
1	14
0	14
0	11
0	13
0	1
2	0
0	6
0	6
6	3
1	2
0	433
23	439
1	461
0	254
16	257
21	392
0	172
3	14
1	12
20	37
10	17
249	570
9	63
3	392
0	1
0	0
0	13
0	12
1	2
0	1
7	12
0	11
4	8
0	11
238	150
3	24
0	104
17	51
17	48
18	38
29	20
0	15
0	16
0	6
18	122
12	109
5	108
125	58
0	67
3	35
2	41
2	130
0	44
17	44
131	51
38	29
11	7
0	8
0	4
0	4
8	76
0	43
4	45
0	150
6	158
6	121
4	173
2	146
0	44
0	3
197	276
78	477
29	94
0	270
417	283
0	329
0	288
0	290
0	313
0	314
0	278
3	250
0	265
0	300
0	301
0	259
0	305
13	308
0	222
0	288
9	747
0	313
1	215
0	300
8	761
0	309
1	52
13	95
5	128
8	127
2	150
31	41
0	64
0	154
7	117
47	233
12	171
0	164
0	85
0	148
0	165
3	96
12	104
0	51
69	43
2	54
74	11
1	57
0	45
124	25
14	47
1	20
0	8
5	8
6	10
3	16
0	15
0	9
0	6
0	8
0	8
0	8
14	220
0	187
7	228
0	216
0	183
0	182
9	191
0	182
227	911
0	530
0	828
0	768
1	821
0	260
69	418
0	1033
0	858
0	555
0	1033
0	1138
0	553
0	828
82	604
69	37
80	29
159	226
7	98
4	59
1	55
18	20
4	268
5	182
45	5
229	83
98	1718
250	1742
202	1792
6	1175
0	1359
2	5
0	0
0	1
124	70
3	31
1	156
1	5
44	61
0	13
7	1
0	24
5	477
9	17
5	20
41	9
16	132
0	9
39	33
13	33
0	0
47	105
2	8
32	8
1	32
0	19
0	32
3	28
3	22
0	19
0	28
0	32
0	25
0	26
0	14
0	32
0	34
19	30
6	42
0	29
0	28
0	18
0	14
31	22
0	21
0	18
0	13
0	24
1	6
0	47
0	57
0	57
101	35
7	31
4	369
52	175
2	81
0	75
9	70
0	1
0	34
32	135
6	95
237	102
0	97
0	97
0	276
0	224
2	321
0	327
0	115
0	250
0	83
73	132
79	48
0	42
0	128
0	150
0	119
0	135
0	135
0	20
0	25
0	19
0	17
176	97
5	40
0	79
66	21
320	146
9	53
0	67
0	60
1	31
54	19
8	62
3	50
0	56
0	29
0	30
1	29
0	31
1	2
0	1
17	130
4	165
3	16
0	12
2	11
0	13
0	12
0	10
0	6
44	392
2	43
36	121
1	108
1	93
13	231
0	110
0	110
0	268
13	272
7	108
47	69
0	93
48	197
9	222
13	214
10	212
19	254
0	10
0	12
0	11
0	14
0	13
1	10
0	11
6	13
10	33
0	29
34	65
0	59
0	38
6	59
0	36
1	25
2	37
78	2
0	77
42	278
72	142
0	15
0	26
0	26
0	16
0	12
0	0
0	0
0	0
0	118
0	38
1	36
1	28
23	3
0	4
1	11
0	34
0	28
1	25
0	25
0	24
1	14
0	25
1	12
0	7
0	8
6	9
19	34
0	3
6	113
4	58
2	43
0	65
0	43
0	68
0	39
0	71
8	46
29	46
0	97
0	105
112	67
0	115
0	89
0	121
0	121
4	42
0	41
0	19
0	19
6	17
19	25
0	10
163	246
0	557
0	194
50	68
2	115
0	42
0	5
78	397
4	338
0	336
0	304
0	342
29	330
0	7
0	6
15	22
0	2
0	2
0	3
0	2
0	2
0	2
0	2
0	2
1	148
5	286
1	165
10	70
0	66
7	85
0	78
1	90
0	79
0	77
0	83
0	88
0	34
0	30
0	28
0	34
2	37
0	29
0	32
2	20
3	14
3	34
0	1
0	1
67	1
0	1
0	1
0	1
0	1
0	2
0	1
1	38
0	50
0	33
0	46
5	35
87	130
0	86
0	86
0	28
0	28
0	28
65	46
0	22
0	151
0	151
25	155
3	151
0	81
103	54
0	0
0	60
6	79
0	53
22	66
0	75
16	0
39	7
0	15
117	3
1	108
1	55
0	185
4	46
0	13
0	12
12	131
0	127
0	31
0	70
0	2
9	18
1	18
59	99
0	36
0	25
12	15
67	15
4	27
0	1
0	20
14	17
0	13
3	10
47	41
4	17
10	157
13	133
0	77
0	87
0	79
0	93
3	89
0	86
16	327
0	359
0	240
0	319
0	20
34	167
2	138
0	40
0	35
0	30
0	28
0	44
1	7
33	86
2	43
0	46
1	23
6	0
0	79
0	46
4	39
3	20
107	22
0	45
0	42
0	34
0	25
0	34
0	30
0	28
1	11
0	0
86	285
1	25
0	0
15	127
0	89
0	89
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
70	73
0	69
2	60
16	63
0	27
6	11
0	2
0	2
0	2
21	52
14	8
3	14
2	39
0	25
1	42
1	26
0	45
1	26
3	61
0	39
0	5
1	8
0	42
0	40
0	36
8	34
0	21
0	139
10	80
0	0
11	8
0	12
1	8
26	46
3	57
0	57
0	32
0	51
0	54
0	54
95	174
9	136
0	34
0	60
0	35
0	36
0	36
0	66
0	66
0	68
9	29
14	108
1	11
102	325
0	373
0	328
0	439
0	340
0	217
0	275
1	296
1	163
0	85
3	137
0	104
27	158
0	1
136	163
0	201
1	117
5	78
0	89
0	114
17	71
13	54
9	37
14	72
30	34
11	21
53	30
0	16
22	12
0	16
0	15
0	3
0	3
0	3
0	0
0	3
224	191
0	179
8	187
0	29
2	29
3	18
0	29
0	10
0	37
0	52
0	51
0	41
0	41
0	41
0	32
0	32
0	24
0	16
5	39
0	39
3	20
0	20
57	8
2	25
3	52
7	47
0	25
0	36
0	117
149	102
1	105
0	115
0	103
58	36
0	68
2	72
13	83
0	44
0	43
0	40
5	103
70	49
0	44
0	171
0	119
0	98
0	45
0	115
0	45
0	94
0	0
0	0
0	0
1	18
52	108
0	102
3	72
2	17
11	10
118	365
1	297
60	108
0	242
0	133
0	113
6	134
32	185
0	203
0	204
4	182
0	185
0	140
0	157
0	130
3	2
0	39
0	39
0	38
0	38
0	28
1	29
3	29
18	52
0	55
0	68
29	67
3	47
7	76
1	81
32	11
1	22
10	4
13	49
9	49
18	342
26	342
20	307
3	192
0	307
101	1008
189	914
2	729
9	843
0	103
0	87
5	163
0	156
0	159
0	144
0	120
2	104
0	153
0	107
0	10
0	72
196	55
0	236
0	75
0	122
52	56
0	45
0	42
31	45
2	2
46	315
8	90
0	2
6	55
0	0
0	0
0	0
18	239
20	224
0	3
0	2
0	0
0	2
0	0
0	2
9	10
14	9
47	20
0	29
0	46
0	29
0	41
67	61
9	60
0	123
0	82
4	159
9	94
0	0
0	1
1	24
0	26
0	68
21	74
1	0
0	10
0	20
0	12
0	8
0	18
0	20
0	612
1	821
0	553
498	120
0	14
2	7
0	9
0	4
23	20
0	13
0	7
1	5
115	29
61	82
4	1
0	32
0	32
0	18
8	350
215	132
0	350
1	1
0	0
0	0
0	0
1	1
0	7
5	20
2	19
2	13
3	133
6	194
2	122
0	121
4	117
26	203
0	86
0	86
0	126
0	138
10	41
0	66
12	100
1	127
0	2
0	2
0	2
1	5
33	16
7	4
2	52
10	43
3	72
0	55
9	18
2	7
0	2
0	0
0	0
0	0
2	78
1	78
0	55
3	176
0	5
0	3
0	7
0	8
7	4
0	4
0	26
0	16
0	23
0	20
13	13
0	0
10	30
0	13
0	7
0	3
1	38
0	0
64	240
5	387
0	312
0	65
75	78
0	66
0	75
2	41
1	1
1	1
0	1
0	0
1	75
0	34
0	21
0	27
7	312
15	385
4	701
40	744
0	734
5	311
0	5
0	36
0	52
0	52
14	3
0	33
0	41
0	20
25	25
1	40
0	19
0	127
0	153
0	146
0	150
1	177
0	158
12	10
4	20
2	14
0	0
0	0
122	562
1	165
2	378
0	0
0	29
2	53
43	127
0	84
0	70
4	32
8	8
0	30
0	0
0	0
6	350
3	256
1	139
8	214
1	145
0	77
0	95
0	10
3	152
0	123
2	154
0	146
46	77
1	18
0	26
0	8
0	8
4	6
4	4
11	6
0	9
0	9
4	6
31	14
3	55
54	35
8	17
14	48
22	17
1	5
3	5
0	45
0	0
0	0
0	0
0	0
0	0
20	227
0	242
2	204
0	217
0	126
0	146
0	44
12	198
0	0
2	11
0	8
103	44
0	36
1	20
3	33
1	36
0	0
34	110
1	105
0	99
0	100
0	76
0	75
2	0
70	146
137	110
0	113
0	115
3	69
0	72
51	1
54	3
0	299
32	198
4	278
26	348
75	126
0	72
5	119
0	49
2	94
0	10
0	24
0	25
0	260
116	282
0	249
1	222
0	211
119	188
0	191
2	191
1	15
0	27
0	26
3	18
9	172
24	66
5	818
0	866
63	923
62	563
0	428
0	5
0	8
32	17
7	32
2	5
32	81
18	156
26	42
183	73
3	33
1	43
10	39
0	22
0	53
17	88
0	18
0	5
0	46
0	15
0	11
0	11
3	24
0	10
64	158
2	175
1	44
0	75
3	23
0	177
0	189
6	185
16	61
8	12
9	3
84	187
2	187
3	171
23	152
0	167
0	41
18	38
2	35
14	30
0	28
10	28
0	28
5	35
0	1
0	0
0	0
4	0
0	4
0	4
1	1
0	1
0	0
0	0
0	0
0	5
0	21
2	18
0	14
0	14
0	17
5	37
15	102
2	79
0	74
5	8
0	2
0	118
29	106
0	112
0	118
2	169
39	5
0	3
0	42
1	40
0	42
0	34
0	42
3	45
0	28
0	19
13	14
0	3
0	1
0	1
106	155
1	41
2	28
0	13
2	45
3	40
192	31
63	15
0	27
7	32
13	16
64	391
9	11
32	71
9	5
0	0
0	36
2	13
4	18
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
2	2
0	3
0	7
0	5
12	7
0	0
0	266
0	293
1	182
6	298
148	34
0	32
0	6
0	5
0	0
58	454
69	482
0	11
0	52
11	96
0	30
2	49
0	35
0	6
0	470
1	474
32	354
1	129
0	148
37	62
0	0
0	0
0	0
0	0
0	17
0	0
0	2
0	0
1	0
0	0
0	0
33	79
26	37
0	59
0	69
2	61
1	1
38	608
8	589
0	742
0	600
0	371
0	375
0	25
0	25
57	234
0	55
0	74
6	94
13	77
4	23
0	39
0	0
0	1
2	0
10	2
0	93
0	76
0	62
0	67
0	59
0	39
4	2
21	125
1	123
8	109
10	125
0	108
0	94
1	96
0	91
0	43
70	19
0	93
0	102
0	90
0	10
0	8
27	19
0	31
1	347
12	365
19	232
129	61
148	65
0	5
0	0
0	0
2	45
0	43
2	41
0	39
0	12
38	291
1	160
7	159
98	135
2	138
37	102
22	80
0	53
6	100
0	49
2	48
0	50
15	47
0	9
0	319
0	224
0	281
0	240
0	249
0	210
0	186
245	108
2	118
10	101
7	111
0	113
0	150
1	64
0	174
0	165
0	139
0	156
0	169
151	56
3	160
0	147
3	324
0	253
1	176
0	77
0	43
0	21
0	24
35	647
3	35
16	21
7	19
0	18
11	23
61	244
0	0
0	0
27	44
3	46
0	46
0	31
0	67
2	74
0	44
17	79
0	47
2	66
0	42
27	107
0	146
4	268
3	452
297	233
1	184
0	185
45	280
0	11
0	13
0	13
0	14
1	9
6	12
39	110
232	78
0	83
18	21
0	20
15	16
16	46
76	99
0	98
0	90
1	69
0	77
2	38
5	71
0	83
3	84
35	105
31	79
0	38
15	518
0	1
4	14
13	17
0	4
1	7
1	10
13	15
22	17
30	36
0	30
0	9
6	7
0	118
0	359
0	199
4	221
0	348
10	349
0	105
10	735
0	617
0	628
97	1247
24	1169
0	0
2	0
187	60
2	76
34	60
54	90
3	1281
46	1315
31	1081
86	374
3	160
0	0
0	0
0	0
1	0
1	0
0	0
1	20
0	0
2	88
0	77
1	22
2	29
0	37
14	25
1	53
60	64
0	44
2	70
0	33
0	35
12	87
0	60
2	87
83	25
1	46
1	39
1	32
0	63
0	65
69	36
0	29
90	29
6	127
0	61
0	108
0	134
0	61
0	99
1	79
11	60
16	83
0	1
0	0
0	0
0	16
2	17
0	21
0	2
0	6
6	224
28	146
1	147
2	65
1	23
0	25
0	15
0	8
1200	756
67	121
0	129
0	125
0	101
15	0
3	9
0	23
0	161
0	183
0	179
0	192
0	194
0	165
13	155
11	183
0	78
25	77
31	53
0	17
0	13
129	70
0	81
2	37
9	171
4	115
4	153
0	82
1	85
2	146
1	116
1	42
0	27
4	34
0	42
0	56
0	56
5	47
5	30
3	37
11	265
6	262
15	293
1	234
7	233
0	199
0	10
0	21
23	34
2	33
0	28
0	30
0	30
0	30
1	7
0	104
11	169
2	110
3	134
18	42
0	64
8	50
0	64
5	48
96	64
1	64
18	64
0	123
19	108
7	890
3	237
0	146
16	204
0	323
1	368
0	128
5	144
24	21
58	116
0	2
29	30
0	37
0	19
6	27
10	27
11	8
13	1
15	118
0	2
1	53
116	36
28	275
1211	160
0	272
2	13
0	14
14	12
2	9
1	86
0	68
6	90
37	34
148	71
68	12
0	178
9	68
9	479
3	507
0	475
13	494
9	181
3	121
2	21
0	25
0	22
11	243
0	275
3	188
3	181
0	194
0	314
116	221
0	284
4	609
0	630
38	556
0	634
4	18
3	9
0	9
2	10
0	8
0	4
2	1
2	16
5	22
23	64
0	24
0	11
4	7
0	4
3	187
10	190
2	182
2	6
21	13
0	0
0	0
1	0
0	0
0	89
100	91
39	2
0	99
0	104
14	115
0	93
10	35
1	4
0	2
10	131
0	74
1	87
0	79
0	56
0	84
0	32
0	33
2	30
0	87
0	67
0	86
0	84
0	86
0	54
0	63
0	83
53	715
820	725
0	443
13	21
0	20
0	55
117	92
0	55
0	55
0	104
123	20
5	20
0	82
0	81
0	46
15	70
3	80
52	35
11	12
2	11
0	82
0	88
0	91
1	0
14	4
0	4
0	0
31	105
40	64
0	133
2	112
2	24
6	31
77	19
0	23
0	22
0	10
0	10
0	5
0	5
0	109
0	112
0	112
23	109
0	83
8	70
0	768
42	774
67	695
1	2
2	0
0	1
0	1
0	2
0	1
11	9
67	40
2	32
0	32
2	33
27	52
2	5
2	12
0	40
5	12
0	4
0	130
0	271
0	22
7	9
0	84
0	91
0	62
36	111
49	101
1	80
0	15
0	3
0	1
0	1
5	0
0	1
66	29
7	35
9	34
0	40
0	35
4	18
0	15
0	4
0	2
0	2
4	34
6	4
55	562
120	211
26	335
0	338
163	69
12	22
56	69
21	81
1	89
6	2
7	41
0	18
22	6
119	68
53	101
0	54
0	42
1	34
0	34
0	5
1	1
0	52
0	73
0	60
4	59
0	23
0	30
0	18
0	19
0	0
0	0
0	0
25	156
0	0
0	0
0	0
0	0
3	14
2	8
0	11
2	2
24	6
0	6
0	4
20	172
9	75
0	0
0	0
19	3
0	0
0	1
116	261
0	189
0	206
4	89
2	94
1	134
9	109
125	140
8	83
0	216
40	223
23	220
0	211
67	110
13	2
2	57
0	5
38	133
1	84
0	194
7	59
2	21
1	10
1	5
0	37
28	51
0	23
1	34
15	45
0	28
3	114
4	53
16	82
0	76
2	52
1	74
0	56
4	60
112	70
8	44
14	52
1	47
0	49
0	28
0	28
0	28
0	0
0	80
29	164
0	157
1	152
2	142
3	175
7	157
3	128
10	128
13	39
15	53
1	68
26	34
18	30
1	25
0	74
0	19
0	25
1	23
0	17
3	3
35	34
0	4
0	2
0	31
0	82
1	76
0	70
8	114
5	134
0	132
0	167
0	280
1	60
0	167
0	77
0	160
0	52
0	45
0	40
10	34
1	38
0	189
2	138
2	123
0	150
6	277
257	156
0	209
0	226
2	220
49	366
16	237
48	263
8	253
0	153
0	16
0	24
0	21
0	22
3	25
2	23
0	25
0	23
1	21
0	88
12	42
8	94
3	76
1	83
0	92
0	76
0	70
0	73
0	107
2	186
10	163
0	324
1	325
0	279
0	116
2	318
57	113
6	148
0	147
75	171
0	181
0	177
0	150
0	112
5	79
216	114
3	90
0	22
9	29
0	28
5	21
0	33
0	31
0	105
0	105
55	19
2	2
0	2
0	0
0	0
0	0
6	217
13	212
12	50
0	32
0	2
0	2
0	2
1	1
0	2
3	5
0	1
1	3
1	1
148	168
3	93
1	160
0	158
0	131
7	171
0	130
5	139
128	52
56	0
0	1
0	55
0	170
2	53
57	331
26	251
0	200
1	264
0	132
0	173
0	178
2	233
0	64
1	72
8	44
1	59
0	46
2	20
0	32
11	11
0	8
1	4
0	4
0	2
0	2
4	23
0	13
0	9
37	5
0	9
3	39
0	274
0	315
0	302
5	273
9	308
0	257
3	239
6	321
0	303
0	307
0	331
0	314
0	316
0	316
0	299
0	302
0	302
0	295
5	5
2	5
50	13
0	9
8	11
0	8
0	0
1	115
1	112
19	127
17	103
0	0
0	0
0	0
2	147
90	43
25	22
0	18
0	118
3	72
19	138
1	72
1	69
3	65
0	63
2	95
0	95
0	101
0	94
0	79
0	129
0	81
0	59
0	218
0	211
0	222
0	218
0	98
0	219
0	212
11	2434
5	617
1	591
27	1374
0	2699
12	1695
0	1390
35	1072
3	1133
0	823
17	1727
1	903
0	249
1	1179
0	1694
4	1529
22	16
0	37
8	10
13	13
38	17
1	0
372	943
0	1158
0	1251
1	1126
514	139
0	6
0	6
0	1
0	6
0	6
8	347
0	338
2	0
0	9
0	250
5	133
0	130
0	37
59	232
3	69
22	66
25	38
123	48
0	13
8	7
0	1
6	84
0	127
0	100
0	72
13	2238
53	3295
68	1129
71	840
61	3028
56	1738
2	6
5	5
0	5
0	5
0	4
0	1
0	2
12	10
0	4
327	197
52	8
1	22
0	23
285	101
921	297
1	5
0	207
26	182
219	117
3	108
32	182
4	80
0	1
0	1
0	0
0	1
0	1
0	0
124	177
7	25
0	19
0	19
0	18
0	19
13	14
5	60
29	114
2	114
4	80
2	33
0	38
3	37
0	60
10	103
63	46
3	2
16	51
2	22
0	12
10	15
1	15
0	2
0	195
23	181
4	195
1	67
3	107
0	85
4	156
25	41
0	91
2	114
114	63
4	137
0	133
0	139
0	140
2	154
72	546
3	444
0	447
42	615
4	590
1	550
233	54
0	6
11	51
0	44
0	32
0	14
0	22
41	8
0	22
80	54
30	56
0	6
0	11
0	535
0	340
0	385
55	384
0	0
0	6
0	5
0	2
4	676
0	0
26	7865
167	7063
59	6932
0	0
2271	7264
0	0
0	0
0	0
27	20
0	12
0	12
0	0
1	17
8	31
1	1
0	115
0	134
121	104
0	132
3	117
0	125
97	114
0	0
1	8
0	4
0	3
31	190
0	184
0	132
0	111
7	111
0	103
0	88
0	106
5	25
15	76
4	78
1	68
0	87
21	100
31	58
11	86
5	83
6	0
0	207
0	190
25	203
0	190
0	147
0	35
2	123
0	260
0	184
0	269
0	277
0	267
2	254
8	153
0	0
3	107
0	56
0	22
7	9
1	0
0	0
737	266
0	4741
0	4749
1	4575
36	4804
28	4208
0	3315
10	5
1	10
0	10
24	411
42	454
90	75
0	91
1	42
3	52
0	52
0	36
1	7
108	86
39	130
0	117
0	34
0	53
2	41
50	21
0	31
0	54
0	57
0	22
0	57
0	51
0	3
0	130
3	132
5	104
20	100
44	48
4	17
2	8
0	0
0	0
0	1
0	74
0	64
9	72
4	139
17	150
0	108
12	22
0	0
0	0
15	2
1	4
0	5
49	165
19	133
0	141
9	148
13	119
55	74
0	65
4	14
4	4
68	99
2	119
0	99
3	121
53	61
0	61
3	59
0	0
0	0
1	0
21	5
45	27
1	264
0	200
0	142
0	171
1	17
0	77
11	57
3	70
9	76
0	70
4	83
0	71
0	72
0	136
0	137
54	161
0	145
0	90
0	83
0	5
18	13
0	6
0	4
0	6
0	6
0	6
0	6
0	6
0	83
0	68
3	59
0	32
3	62
24	142
7	94
0	126
3	13
0	7
5	314
0	183
3	100
0	73
3	69
0	43
4	28
2	25
0	44
0	7
0	7
0	6
0	25
3	27
2	26
0	15
0	27
71	222
18	199
45	226
0	57
148	379
2	368
1	357
0	223
0	0
0	0
0	0
0	86
1	75
13	99
13	98
2	44
0	35
31	8
3	13
21	13
0	2
8	131
3	47
65	30
0	68
5	110
1	53
1	46
0	22
0	38
2	37
1	15
0	10
0	2
0	17
0	8
1	11
0	2
1	2
0	9
0	6
0	5
0	0
1	0
1	0
1	8
0	4
0	4
0	4
2	4
0	2
0	0
0	0
0	0
0	0
0	0
4	206
230	72
2	10
1	5
0	11
0	11
4	29
0	25
14	81
5	55
7	42
6	69
24	0
18	191
0	130
4	160
0	160
35	161
0	191
32	59
7	308
9	216
0	311
26	117
1	18
0	11
2	18
0	12
6	9
175	69
1	14
20	200
0	204
0	192
0	136
0	90
0	90
0	105
4	100
0	217
9	228
0	219
0	217
0	213
3	214
0	140
0	156
8	335
0	0
0	0
0	0
51	177
36	188
139	114
12	36
2	42
75	15
4	1
0	1
18	93
28	49
4	47
10	21
0	25
5	11
0	5
0	1
0	5
0	3
0	5
0	0
0	4
3	6
0	0
8	8
0	4
164	492
25	384
0	237
51	98
0	96
1	95
0	64
354	57
1	3
3	98
0	124
6	92
0	35
0	2
112	103
0	58
13	47
32	32
0	36
0	63
0	106
76	832
227	844
0	796
0	408
21	46
74	47
0	33
9	70
0	53
13	60
18	47
0	23
2	6
0	4
0	4
0	3
0	11
0	0
3	0
0	0
0	0
0	0
3	5
0	36
86	31
132	11
0	23
27	16
0	0
2	11
0	23
1752	8460
0	8583
3243	5689
1	8294
0	7496
0	7902
13	3209
78	52
0	33
1	32
13	154
219	169
31	348
12	194
0	226
6	188
22	269
2	141
0	187
3	32
41	583
0	583
0	939
8	934
46	699
92	577
0	98
0	161
0	162
0	179
2	171
1	174
20	189
0	181
0	154
2	102
0	93
298	92
173	329
28	164
11	73
727	339
0	0
0	0
0	0
0	0
95	134
17	37
11	29
0	21
26	26
0	3
3	136
0	174
2	49
16	211
11	94
0	118
8	130
0	107
3	89
0	71
4	47
0	38
17	30
1	11
5	113
18	0
15	252
0	303
0	310
0	235
0	119
8	127
0	111
17	138
9	13
23	72
20	59
219	191
35	47
12	148
0	0
0	0
0	0
0	120
0	103
4	96
0	110
1	82
1	14
2	25
0	13
0	20
0	10
1	25
0	29
1	81
0	54
13	25
2	40
0	24
0	25
458	990
1	486
1	281
0	163
60	74
0	1
0	11
5	18
0	21
1	8
1	5
0	6
0	4
0	4
0	0
0	28
6	36
0	32
0	24
0	23
1	9
1	34
0	31
0	29
0	32
1	25
0	34
0	29
0	33
30	193
0	213
0	133
12	97
7	109
15	21
0	0
0	0
0	0
0	0
60	9
0	9
21	32
0	8
0	4
0	7
4	61
0	61
2	34
0	32
0	52
0	43
0	40
0	5
0	2
5	2
0	2
0	0
0	5
0	2
0	1199
10	968
0	1165
0	1299
2	941
29	1268
13	1101
0	1094
1	1156
1	1269
0	1271
0	1273
0	1271
0	1275
0	1250
7	52
0	54
0	53
0	53
0	52
0	33
0	51
1	18
0	0
0	56
0	57
2	41
16	55
12	59
10	103
0	115
14	34
0	79
0	44
6	44
0	12
0	17
