UniqueCount	AmbigCount
19	240
0	231
0	116
5	105
1	162
0	116
41	75
12	118
1	96
0	69
1	96
7	78
13	85
0	39
0	39
0	5
0	0
7	7
1932	8998
18085	15029
5	3313
5	580
1614	10596
5	8533
0	275
0	260
0	194
15	284
119	188
0	150
0	132
9	152
0	132
0	163
25	118
3	116
63	43
0	3
0	0
0	333
21	348
2	329
1	301
7	299
2	151
0	122
0	1
0	1
0	1
0	2
42	39
0	82
13	95
0	98
5	95
1	94
37	178
0	89
5	63
3	4
1	42
2	21
0	21
0	21
3	20
129	9211
56	5101
16	3912
10	2230
0	2560
546	7837
30	6712
45	179
67	199
4	205
43	234
33	181
0	95
0	93
0	56
0	163
1	134
4	116
25	47
0	47
0	10
33	5673
0	6441
0	6441
600	5403
2362	3747
0	58
67	258
0	100
0	106
0	108
10	174
1	171
16	287
0	556
79	606
451	609
153	677
1	423
3	240
0	67
142	288
9	370
0	369
13	170
0	43
6	41
0	32
60	86
6	24
19	591
0	532
39	589
0	522
100	353
0	6
1	2
1	82
0	82
5	82
0	78
7	62
4	21
0	26
0	18
0	15
13	20
0	40
42	96
1	32
5	213
0	205
1	227
0	168
19	171
150	38
47	70
5	92
0	81
0	74
104	163
0	10
7	496
0	468
18	447
16	573
26	210
0	0
0	38
0	156
1	88
0	85
2	91
0	67
0	58
52	369
14	227
36	276
83	150
1	60
0	1138
482	1786
15	254
0	124
65	259
131	80
45	124
0	43
87	226
6	442
3	329
0	377
27	428
0	170
0	283
1	5
6	23
3	32
0	17
0	8
0	0
1	226
71	39
0	226
0	4
0	4
0	4
1532	6158
477	5637
2	2870
1024	5491
11	40
0	0
0	7
0	7
3	7
0	7
0	7
1	5
0	5
0	268
0	266
0	291
0	265
0	146
7	191
3	186
0	189
88	96
0	138
0	137
3	8
0	7
0	5
17	70
1	127
20	101
7	221
46	123
0	315
270	233
24	259
0	4
18	43
2	1
10	23
2	14
0	14
0	6
0	13
0	66
0	64
0	59
0	50
1	68
0	25
1	2
1	0
1	359
14	291
