UniqueCount	AmbigCount
9	122
0	108
0	61
1	44
0	78
0	73
15	43
6	74
0	55
0	21
0	27
0	19
5	27
0	18
0	17
0	5
0	0
2	6
21	5709
7877	7545
4	1459
3	346
88	4583
2	4172
0	94
0	85
0	68
8	111
44	90
0	51
0	47
2	48
0	47
1	66
14	51
0	54
39	31
2	2
0	0
0	189
8	183
1	181
0	158
3	154
3	70
0	48
0	2
0	2
0	2
0	3
10	22
2	39
2	47
0	46
1	45
0	49
24	128
0	30
4	24
1	2
2	38
0	17
0	20
0	17
0	19
49	3384
29	1847
8	1346
2	730
0	827
192	2973
20	2411
20	74
29	80
3	52
5	71
8	63
0	19
0	18
3	15
0	61
3	46
2	40
4	31
0	31
0	11
26	2304
0	2597
0	2597
330	2107
1154	1431
6	26
37	109
0	44
0	53
0	44
4	82
0	73
0	121
1	230
61	267
256	269
59	283
0	190
3	104
0	36
71	150
8	215
0	213
7	90
0	15
1	14
0	6
28	32
1	16
5	287
0	239
38	284
0	238
35	173
0	2
2	1
6	83
0	83
3	81
0	69
3	75
9	14
0	23
2	19
0	9
0	3
0	9
13	29
7	17
0	126
0	118
0	125
0	92
4	91
57	10
25	31
3	44
0	40
0	37
21	46
0	2
3	214
0	204
10	218
9	261
11	90
0	10
0	34
0	98
0	58
0	47
1	64
0	36
0	32
29	152
7	92
8	118
29	54
2	17
0	533
212	925
7	101
0	50
16	104
57	34
10	47
0	10
36	99
1	182
2	133
0	150
13	176
1	56
0	135
0	5
3	9
3	14
0	6
0	4
1	1
1	131
38	14
0	132
0	1
0	1
0	1
733	2429
148	2093
0	1101
390	2016
2	32
0	0
0	7
0	9
0	9
0	5
0	4
0	2
1	3
1	67
0	75
0	96
0	71
0	48
7	121
1	119
0	118
40	44
0	86
0	86
0	9
0	8
0	5
2	41
1	82
4	41
4	114
17	33
0	145
114	102
6	135
0	3
13	23
0	3
8	9
1	5
0	7
0	2
1	5
0	46
0	46
0	46
0	31
2	37
2	15
2	3
1	1
0	100
4	75
0	91
7	61
332	213
22	706
849	802
82	894
0	527
0	8
0	8
0	10
0	13
0	10
0	9
0	13
0	13
0	1
1	1
0	0
0	0
1	1
0	1
0	216
11	193
0	201
0	69
0	69
1	196
0	43
1	7
0	3
10	18
15	38
115	227
5	23
3	163
0	0
0	0
0	13
0	12
0	3
0	3
1	11
0	9
0	7
0	8
89	38
6	3
0	37
7	32
11	77
39	37
37	55
0	39
2	47
10	22
14	86
12	88
0	90
55	32
0	56
0	26
7	30
3	106
0	32
9	37
42	124
35	36
3	9
0	17
0	10
0	10
0	44
0	23
1	24
0	106
0	126
0	64
15	118
0	100
2	30
0	8
137	281
32	142
42	86
1	85
313	181
0	386
0	353
1	370
3	373
0	373
0	334
6	334
3	354
5	397
0	361
0	362
0	380
1	370
0	267
0	353
8	494
0	381
0	325
0	375
5	493
0	362
0	59
0	85
0	98
14	98
4	140
4	43
0	67
0	217
4	156
32	242
0	236
0	215
0	89
0	220
0	204
0	97
0	110
0	64
66	43
1	66
34	47
5	49
0	35
80	41
0	58
1	36
0	16
2	17
3	23
2	8
0	5
1	4
0	3
0	4
0	4
0	4
13	105
0	89
0	98
0	90
0	80
0	85
0	87
1	87
183	721
0	395
0	613
0	557
4	577
0	239
80	419
0	693
1	650
0	404
0	692
0	768
0	395
0	614
38	478
57	30
55	38
50	224
0	131
1	77
0	81
27	72
6	197
3	153
15	4
63	11
84	1040
59	1223
192	1068
42	756
0	722
1	3
0	0
0	1
51	28
2	11
1	87
0	6
8	56
0	10
15	0
1	21
1	162
2	14
3	17
66	10
27	45
0	8
9	15
0	15
0	7
2	73
3	1
29	7
1	19
1	15
0	19
0	10
3	7
0	10
0	19
2	25
0	13
0	24
0	19
0	29
0	29
12	29
0	30
0	29
0	25
0	9
0	14
1	11
0	15
0	13
0	13
0	10
0	4
0	10
0	14
0	14
75	85
33	90
0	201
21	88
1	52
0	52
1	48
0	0
0	69
3	85
0	38
103	50
0	45
0	45
0	236
0	206
0	183
0	183
0	137
0	145
0	121
21	73
29	37
0	36
0	70
0	73
0	39
0	52
0	52
0	15
0	16
0	6
0	9
50	43
21	17
0	24
22	10
167	81
7	49
0	49
0	42
0	39
13	19
6	52
6	44
4	51
0	6
1	10
3	9
0	10
1	4
0	2
18	61
2	120
0	16
0	17
0	14
0	13
1	12
0	12
1	13
19	410
0	11
15	22
0	20
0	92
5	208
0	103
0	102
2	232
0	235
2	95
48	76
0	87
13	151
5	232
1	225
0	219
0	258
0	9
2	9
0	9
0	9
0	10
0	10
0	8
5	12
6	20
0	25
37	78
0	50
0	34
8	50
0	51
7	16
0	20
19	5
2	56
14	171
59	87
0	20
0	38
0	38
1	14
2	12
0	1
0	1
0	1
10	111
0	38
0	36
2	36
8	9
3	3
3	28
0	80
4	75
5	59
0	55
0	54
0	30
0	61
0	29
0	2
0	27
10	25
15	100
1	20
7	34
2	27
0	25
1	35
0	23
0	36
0	23
0	35
2	23
2	0
0	75
0	70
38	45
0	74
0	52
0	79
0	73
10	59
0	58
0	35
0	35
19	20
1	9
0	13
72	170
10	440
0	132
26	73
1	116
0	54
0	3
46	493
0	349
0	348
0	309
0	351
22	362
0	1
0	1
8	10
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
1	140
8	208
2	144
7	91
0	29
0	57
0	43
0	52
0	53
0	45
0	43
0	51
0	49
0	23
0	22
5	59
4	60
0	47
0	44
3	30
2	12
1	10
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	3
0	0
0	31
0	34
0	29
0	34
0	16
14	30
0	14
0	14
1	14
0	14
0	12
34	63
0	38
0	283
0	284
50	273
0	284
0	172
193	158
0	0
0	100
2	118
0	100
0	60
0	91
2	0
36	6
0	6
62	1
0	48
0	49
0	72
0	40
0	30
0	30
10	89
0	85
0	38
0	43
0	3
0	2
0	2
64	70
0	60
3	30
6	5
23	5
2	10
0	1
0	12
10	17
0	13
0	2
20	33
0	19
0	68
0	88
0	59
0	66
0	66
0	66
1	75
0	66
0	290
0	243
5	144
0	175
0	26
21	116
0	102
0	37
2	18
2	35
0	28
0	32
6	19
52	93
2	58
0	48
0	15
2	2
10	43
0	32
2	26
1	28
50	32
0	45
0	49
0	39
0	38
0	39
0	37
0	33
1	10
0	0
148	483
4	35
0	0
12	41
0	31
0	32
1	5
0	5
1	5
0	2
0	1
0	1
0	1
0	2
0	1
33	57
0	54
7	50
16	19
0	6
6	3
0	10
0	10
0	10
1	12
3	7
2	11
0	11
0	16
4	27
3	20
0	23
9	17
1	32
1	20
2	2
0	6
0	18
0	17
0	15
1	14
5	14
0	111
4	76
0	5
0	2
0	19
0	2
24	57
1	111
0	113
2	79
0	94
0	102
0	111
72	138
3	112
0	97
0	113
0	93
0	103
0	103
0	55
0	55
0	55
0	12
481	1090
2	6
47	250
0	282
0	259
3	340
0	249
0	211
0	251
0	197
0	35
0	28
2	36
0	35
6	41
0	2
50	92
0	89
1	51
0	24
0	38
1	59
16	69
15	31
16	57
16	77
28	48
2	37
17	15
0	9
9	8
0	9
0	9
0	8
0	8
0	9
0	0
0	10
71	102
0	102
0	92
0	33
0	34
1	64
0	33
0	12
0	25
0	34
0	34
0	27
1	27
0	27
0	14
0	14
0	13
0	7
0	18
0	17
6	26
0	25
61	7
9	27
3	51
0	45
0	20
0	19
0	105
68	103
3	104
0	93
1	95
19	46
5	92
0	96
2	95
0	42
0	39
0	38
10	55
24	32
0	39
0	113
0	86
0	67
0	40
0	81
0	43
0	67
0	2
0	2
1	1
0	9
17	69
1	69
1	53
0	2
7	1
83	376
0	324
114	105
0	294
0	50
0	41
3	59
12	85
0	91
0	93
3	79
0	84
0	69
0	74
0	63
1	7
0	57
0	57
0	48
0	48
0	37
5	32
0	32
29	36
2	37
0	45
9	44
0	26
1	50
0	35
13	7
0	19
0	10
0	20
10	20
0	67
1	75
0	46
0	38
0	46
44	475
51	503
6	338
54	437
0	91
0	75
0	137
0	137
0	135
0	114
1	100
0	84
0	132
0	91
3	1
0	18
13	11
0	42
0	19
0	23
19	50
0	33
0	31
6	33
1	1
34	81
14	93
1	1
10	50
0	0
0	0
0	0
11	142
3	124
0	1
2	1
0	1
0	1
0	1
0	1
6	14
1	10
19	12
0	15
0	22
0	16
0	18
41	35
7	76
0	133
0	99
1	58
1	39
1	0
0	1
1	51
1	53
0	30
21	43
2	2
0	9
0	19
0	11
0	8
0	15
0	17
1	678
3	839
0	615
290	364
6	22
3	17
0	15
0	7
24	43
0	34
0	10
7	8
62	36
57	65
2	2
0	4
0	18
2	12
9	216
105	131
0	216
0	0
0	1
0	1
0	0
1	0
0	1
3	31
0	10
0	1
0	161
1	138
2	156
0	159
0	159
28	156
0	103
0	100
0	43
0	39
0	15
0	38
9	55
0	48
0	3
0	3
0	3
1	22
39	12
2	15
0	98
0	74
2	65
0	67
1	65
0	9
0	8
1	0
0	0
0	0
0	20
1	20
13	48
2	110
0	1
0	1
0	2
0	2
0	3
0	3
0	31
1	19
0	27
0	20
8	30
2	2
3	24
0	2
0	4
0	0
0	19
2	2
6	114
0	172
0	134
0	57
31	56
0	58
0	57
1	39
0	2
0	1
0	1
0	0
0	202
1	130
0	93
0	40
3	373
7	526
6	480
18	518
0	499
0	342
0	11
0	4
0	9
0	9
2	1
0	3
3	37
0	25
69	31
0	33
2	24
0	111
0	130
0	127
0	131
0	146
0	132
3	8
0	12
0	10
0	2
0	2
53	78
2	43
57	37
0	0
0	18
0	25
17	32
0	27
0	23
1	48
3	22
0	35
0	1
0	1
2	363
0	261
1	159
17	245
3	204
0	100
0	31
0	9
0	75
0	46
5	75
0	62
61	25
0	7
0	7
0	4
0	4
2	1
8	1
3	3
0	4
0	4
0	3
2	20
2	35
37	18
2	7
0	67
6	24
4	32
2	16
0	67
0	0
0	2
0	1
3	0
0	0
23	167
0	172
0	144
0	141
8	100
0	97
0	23
235	331
0	0
6	7
0	1
97	52
1	46
2	48
0	43
0	46
0	7
19	58
1	48
0	44
0	55
1	33
0	35
1	1
32	99
110	80
0	100
0	100
0	50
0	50
29	4
20	4
0	145
13	100
0	169
12	163
29	66
1	62
1	63
1	41
0	57
0	10
0	38
0	40
0	209
37	222
0	194
1	169
0	163
81	140
0	147
0	142
0	2
0	2
0	2
2	2
3	35
4	11
0	444
0	447
18	461
55	312
0	269
0	1
3	24
7	26
1	31
0	2
25	57
0	93
21	31
133	73
0	40
0	43
7	48
0	27
3	44
1	97
0	16
0	2
0	26
3	19
0	19
0	6
2	20
0	6
36	95
1	103
2	21
1	53
1	7
1	94
0	102
5	87
7	21
0	24
6	4
42	90
0	95
2	85
14	79
1	87
0	14
1	13
0	10
3	11
0	14
2	11
0	13
5	27
0	0
0	0
0	0
0	0
0	0
0	0
4	17
0	0
0	0
0	0
0	0
0	1
0	20
0	18
0	16
0	21
0	22
2	22
5	64
0	35
0	49
3	6
0	1
0	54
11	50
0	54
0	54
0	78
27	4
0	8
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	1
7	1
1	39
0	3
0	15
8	303
0	28
0	56
0	18
0	26
0	22
17	4
5	4
0	3
0	1
0	3
22	173
2	11
44	81
13	14
0	0
0	38
3	11
1	18
0	9
0	3
0	4
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
37	9
0	0
0	141
0	139
0	114
4	152
68	31
3	30
0	16
0	15
0	0
27	238
33	278
9	14
0	36
6	45
0	15
0	22
0	16
8	27
0	453
2	346
41	263
0	96
0	105
10	48
0	45
17	155
0	24
0	114
0	44
0	123
0	68
1	133
21	221
0	53
16	45
5	53
21	34
0	44
0	53
3	40
0	1
11	464
2	458
28	586
1	457
0	348
0	320
0	18
0	19
24	84
0	49
0	54
0	53
2	59
9	14
0	27
0	0
0	0
0	1
5	16
9	109
0	96
0	83
0	87
0	78
0	49
5	1
17	66
0	72
5	71
1	79
0	60
0	43
0	64
0	60
0	21
33	15
0	65
0	61
0	66
0	2
0	2
26	32
0	41
6	183
7	195
0	180
94	76
55	19
0	6
0	0
0	0
0	12
0	11
3	8
0	8
0	4
8	468
1	343
1	297
0	74
4	75
17	52
10	50
0	29
19	49
0	46
1	42
0	41
12	37
1	16
0	117
0	98
0	110
0	98
0	98
0	79
0	69
190	150
0	220
16	194
16	147
1	109
0	147
0	56
0	142
0	135
0	108
0	137
0	136
124	76
0	147
0	135
1	179
0	145
1	111
0	87
0	63
0	37
0	29
4	42
0	20
10	40
10	39
0	35
70	83
20	158
0	0
0	0
7	51
0	29
0	51
0	25
0	64
4	74
0	58
4	68
7	57
6	58
0	39
15	30
2	36
5	338
1	453
192	256
0	228
0	229
32	265
0	17
0	20
1	21
0	21
0	17
2	22
22	86
38	53
0	76
26	19
0	16
18	10
8	61
65	109
0	102
1	97
1	79
12	77
4	33
2	100
0	116
0	115
17	58
20	58
0	68
19	410
1	7
0	6
0	10
0	1
1	4
0	16
0	26
5	3
29	65
0	40
0	24
12	11
5	67
0	191
0	107
0	112
0	144
7	145
0	55
2	557
0	485
0	506
43	735
13	686
4	2
0	0
4	38
0	54
0	54
42	63
0	988
0	989
21	869
1	319
4	227
0	5
0	3
0	3
0	2
0	2
0	0
6	1
2	0
6	36
2	29
0	27
0	41
0	41
6	26
0	52
11	68
0	52
7	74
0	42
0	39
1	151
0	118
0	153
36	53
0	49
1	43
2	33
0	45
0	37
20	17
0	6
22	6
5	88
0	64
0	76
0	93
0	63
0	67
0	57
4	50
17	66
0	0
0	0
0	0
0	14
0	13
0	14
0	6
0	6
0	111
8	49
3	73
0	8
3	18
0	21
0	12
0	7
671	477
0	60
0	82
0	83
0	67
7	3
1	6
1	12
0	128
0	145
0	140
0	138
0	138
0	140
11	129
1	140
0	8
1	8
2	7
0	9
0	10
45	55
0	41
0	30
5	144
6	46
0	138
0	40
0	40
0	124
0	64
0	68
0	42
1	29
0	44
0	53
2	53
3	39
0	32
6	32
15	187
8	189
4	144
4	168
3	158
0	143
0	6
2	5
12	13
0	13
0	12
0	10
0	10
0	10
0	6
8	89
5	100
2	91
2	90
6	23
0	116
8	38
0	116
0	74
59	119
