UniqueCount	AmbigCount
14	128
0	116
0	58
0	47
0	86
0	47
10	29
1	49
0	39
0	20
1	31
3	26
3	25
0	12
0	12
0	4
0	0
3	0
431	4152
4958	5436
0	1314
3	222
665	3605
2	2933
0	75
0	75
0	56
5	131
30	94
0	76
0	64
4	67
0	64
0	55
11	39
1	37
12	25
0	3
0	1
0	127
10	133
2	125
0	127
4	118
1	45
0	43
0	1
0	1
0	0
0	2
18	28
0	38
1	41
0	44
2	41
0	37
13	80
0	37
5	29
0	1
0	18
0	8
0	8
0	8
1	8
39	2643
23	1441
3	1155
1	490
0	555
106	2103
17	1777
17	38
18	44
4	60
14	68
13	58
0	26
0	26
0	20
0	65
3	48
0	48
5	24
0	24
0	2
17	1402
0	1623
0	1623
136	1315
645	828
0	15
26	65
0	24
0	22
0	23
1	35
0	30
0	68
0	200
23	224
188	225
65	225
0	134
1	88
0	21
48	92
3	137
0	136
0	60
0	11
1	9
0	7
36	40
1	8
5	223
0	208
12	214
0	202
27	140
0	4
0	2
1	77
0	76
3	81
0	74
5	67
5	31
0	11
0	8
0	3
5	4
0	17
6	24
3	13
1	79
1	78
0	84
0	58
10	68
49	15
14	21
7	30
0	28
0	26
16	40
0	1
5	220
0	201
7	187
3	252
13	95
0	2
0	18
0	93
0	47
0	40
2	50
0	36
0	30
28	78
2	41
6	51
20	25
0	8
0	443
258	811
4	113
0	47
13	74
40	17
24	35
2	18
41	85
4	187
1	143
0	149
7	182
0	59
0	133
3	3
3	3
1	8
0	4
0	5
0	0
3	104
20	13
0	104
0	1
0	1
0	1
308	1016
95	923
1	503
183	896
1	11
0	0
0	0
0	1
0	1
0	3
0	3
0	1
0	1
0	57
0	53
0	71
0	56
0	40
0	76
0	76
0	74
23	31
0	51
0	51
2	2
2	1
0	0
3	22
1	44
7	28
3	77
13	24
1	149
123	99
4	129
0	1
9	16
0	2
3	10
0	4
0	9
0	1
1	5
0	35
0	33
0	33
0	27
1	16
3	3
0	1
1	0
0	96
4	75
0	84
8	62
358	284
6	468
523	549
69	597
0	340
0	7
0	5
0	9
0	6
0	9
2	6
0	6
0	10
0	0
2	0
0	1
0	1
0	0
0	0
0	145
5	134
0	136
0	72
0	72
2	141
0	48
0	5
0	0
7	19
10	26
78	159
2	14
1	106
0	2
0	2
0	3
0	3
2	0
0	0
1	3
0	5
0	6
0	5
45	34
3	1
0	37
0	23
8	39
6	20
11	17
0	13
2	16
3	8
7	40
9	35
1	37
34	34
0	56
0	29
2	36
1	89
0	35
6	39
21	61
16	25
1	5
0	10
1	7
0	7
0	42
0	30
1	30
1	72
1	91
0	48
18	86
0	74
1	22
1	3
97	166
24	151
31	60
0	98
130	147
0	426
0	392
2	392
18	410
0	411
0	372
3	374
1	394
5	429
0	383
0	407
0	409
1	398
0	259
0	390
13	525
0	414
0	365
0	406
7	532
0	400
0	58
0	94
0	127
3	128
10	131
14	38
2	84
0	206
0	156
29	241
0	220
0	202
0	97
1	211
0	183
2	68
