UniqueCount	AmbigCount
19	222
15	191
0	120
0	86
32	151
1	158
49	77
0	140
0	89
0	26
0	35
1	26
0	33
0	17
0	17
0	5
1	1
2	0
46	6906
3836	3317
15	4069
1	246
707	3421
45	2266
0	264
0	251
0	186
9	188
73	111
0	87
0	68
4	86
1	70
9	56
24	69
3	46
52	70
0	0
0	0
3	204
11	226
0	227
0	169
6	187
2	116
4	80
0	1
0	0
0	12
0	1
4	20
0	40
0	40
0	48
0	38
2	45
14	75
0	136
21	131
2	10
4	95
3	51
0	55
0	51
6	52
9	6202
95	4332
1	3252
1	882
0	913
28	5215
119	4568
2	167
0	168
0	282
37	300
62	194
0	98
0	99
0	66
0	103
5	71
1	59
16	67
0	67
0	29
6	2945
0	3018
0	3018
281	2034
655	2882
106	168
41	221
0	148
0	143
0	162
6	187
0	205
5	283
0	480
74	397
396	405
68	399
0	344
1	334
0	102
69	75
8	220
0	212
6	49
0	20
6	19
0	13
4	57
2	26
2	692
0	529
79	649
0	514
24	412
0	6
1	4
1	45
0	43
0	51
0	43
12	48
8	19
0	6
0	4
3	4
1	1
2	3
7	41
2	21
1	183
0	159
0	155
0	127
0	95
18	12
47	56
2	65
0	68
0	55
10	31
1	3
15	457
0	429
9	453
10	526
25	152
0	2
8	19
0	114
0	58
0	61
0	64
0	36
0	28
8	242
0	134
7	186
39	111
6	53
1	911
291	1309
12	212
7	111
36	330
4	51
85	198
8	163
167	185
0	280
4	241
17	252
0	236
7	129
0	151
1	10
4	12
1	23
0	15
0	7
0	0
0	191
0	89
21	214
0	1
0	1
0	1
824	4508
10	2966
15	1446
693	2604
0	519
0	1
0	17
0	18
4	15
0	12
0	11
2	9
0	10
0	131
0	140
0	148
0	137
0	80
0	134
5	130
3	131
50	67
0	102
0	102
0	2
0	21
0	10
21	110
0	267
15	129
2	280
23	37
2	256
218	195
5	222
0	0
12	21
0	4
1	14
0	7
0	4
0	6
0	7
0	22
0	20
0	18
0	13
7	45
11	17
0	2
0	1
1	320
0	289
18	304
3	219
565	183
9	846
1036	1272
134	1366
0	705
0	12
2	9
0	12
0	19
0	9
2	18
0	19
0	21
5	13
0	9
0	4
0	4
7	6
0	4
0	374
34	381
0	385
0	128
1	128
11	323
0	103
2	3
0	1
4	40
32	65
97	234
8	26
2	169
0	3
1	2
0	32
0	25
4	12
1	11
6	25
0	14
7	10
1	11
85	33
1	2
0	59
17	114
0	105
4	26
45	31
0	28
1	30
5	10
8	106
4	102
6	110
79	111
0	126
0	78
3	110
6	139
0	103
3	75
347	320
47	56
7	19
0	27
0	27
8	27
0	93
0	67
4	71
0	209
0	234
0	145
47	245
0	197
1	42
1	19
197	377
49	290
39	176
0	255
257	182
0	831
0	797
0	802
0	828
0	829
0	735
1	739
0	766
3	826
0	804
0	800
0	818
21	820
0	523
0	781
19	1078
0	835
0	724
0	828
5	1075
0	820
0	42
3	75
1	78
9	77
12	139
14	34
0	61
0	185
0	137
30	254
0	191
0	175
0	66
36	177
0	167
0	127
0	127
0	100
107	66
20	90
34	67
1	55
0	54
91	120
1	139
2	79
0	50
3	48
3	52
0	25
0	20
0	14
0	18
0	5
0	5
0	5
11	444
0	405
2	467
0	402
1	375
0	403
0	373
0	377
338	979
0	810
0	1075
0	1063
88	971
0	416
3	521
0	1249
0	1186
0	812
0	1249
0	1342
0	771
0	1075
48	870
31	142
67	114
94	301
0	157
0	116
4	140
29	63
18	260
14	216
26	1
89	17
71	1698
58	1775
148	1758
0	1161
0	1146
1	0
0	0
0	0
79	51
1	15
11	139
0	16
17	82
0	24
16	4
0	42
0	181
11	39
9	33
63	19
3	47
0	15
27	66
0	66
0	6
35	139
0	17
0	24
0	147
0	104
0	142
2	97
0	124
0	75
0	17
0	21
0	10
0	18
0	15
0	25
0	26
3	27
1	32
0	19
0	16
0	19
0	19
316	23
0	19
0	19
0	19
0	16
0	18
0	34
0	34
0	34
152	73
2	58
0	405
0	215
2	73
0	73
4	70
0	3
0	119
0	193
0	53
153	80
0	41
0	41
0	351
0	318
17	327
0	313
0	187
0	258
0	152
24	138
76	107
0	106
0	121
1	140
0	72
0	108
0	108
0	58
0	62
0	34
0	41
88	88
3	35
0	28
36	15
225	195
5	133
1	138
0	110
1	89
8	68
7	92
10	79
4	89
2	23
0	29
3	37
2	39
0	10
0	8
62	124
0	241
0	42
0	42
2	48
0	37
12	18
0	29
7	28
18	573
7	34
0	53
0	42
0	215
0	399
0	256
0	245
1	417
5	420
3	228
77	161
0	219
10	283
0	292
21	303
0	291
20	278
0	70
1	86
0	66
9	79
0	82
5	67
0	75
15	81
11	46
0	47
10	56
0	110
0	39
0	110
0	51
4	29
1	46
42	25
5	181
24	335
143	169
0	39
0	45
0	45
0	30
0	29
0	7
0	7
0	7
7	203
0	102
0	90
5	77
10	7
0	15
7	78
0	252
6	211
5	179
0	176
5	172
5	83
0	176
0	80
3	6
0	33
7	25
8	39
0	16
16	99
9	103
0	92
0	118
0	92
0	103
0	92
0	108
1	90
0	1
0	90
0	85
74	80
8	96
0	57
0	101
0	101
0	121
0	108
0	37
0	39
31	85
0	70
0	29
94	418
0	714
1	296
84	222
0	79
0	39
0	7
27	945
0	729
0	755
0	586
0	761
26	621
0	2
0	2
2	9
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	326
1	409
2	328
25	187
0	45
0	71
3	65
0	71
0	69
0	69
0	69
0	70
0	24
0	19
0	17
1	27
0	29
0	27
2	23
12	23
4	16
3	18
0	1
0	2
1	2
0	2
0	1
0	1
0	1
0	12
0	1
0	24
0	19
0	24
0	16
5	8
12	49
0	21
0	21
0	42
0	42
0	42
76	69
0	43
0	435
0	435
0	460
1	435
0	340
91	294
0	0
0	75
8	129
0	85
0	89
0	123
0	0
64	24
0	37
35	0
1	51
2	106
0	142
0	106
0	79
0	79
3	104
0	94
0	39
0	39
0	5
0	1
0	1
19	74
0	74
1	80
6	28
14	21
2	37
0	0
0	19
1	21
0	17
0	2
55	64
0	19
0	73
0	123
0	119
0	128
0	122
0	122
0	121
0	111
0	109
0	160
