UniqueCount	AmbigCount
48	469
29	376
0	258
0	155
24	269
0	234
63	131
0	214
0	142
0	139
3	186
0	159
4	164
0	94
0	94
0	15
0	1
8	0
50	15170
10839	8330
12	9879
3	675
2945	8423
73	5871
1	631
0	592
0	428
28	494
99	242
3	211
0	173
10	217
5	175
15	166
45	214
4	144
107	117
0	1
0	0
1	461
11	504
4	512
0	396
9	457
2	235
20	199
0	19
0	15
5	56
0	22
16	64
0	94
0	99
0	116
0	92
4	113
26	158
0	231
63	243
5	6
6	148
2	90
0	102
0	90
9	99
17	10898
116	7046
9	5430
2	1454
0	1480
22	9101
105	8356
12	431
0	438
0	560
79	595
99	399
0	224
0	225
5	149
1	256
0	185
0	158
58	149
0	150
1	81
10	5096
0	5599
0	5599
473	3886
1235	6002
209	307
121	543
0	338
0	362
0	359
9	457
4	479
22	740
1	1043
271	847
809	858
139	898
0	705
1	770
0	246
127	154
13	538
0	529
4	86
0	38
20	42
0	21
13	111
10	64
1	863
0	664
97	828
0	653
60	518
0	14
6	14
4	61
0	58
7	76
0	59
20	62
6	30
0	18
0	17
4	11
1	12
0	15
17	82
9	46
4	405
0	359
0	402
1	327
1	252
34	4
93	122
1	152
2	150
0	133
23	84
2	9
35	725
0	673
13	724
33	822
39	261
0	4
12	63
0	248
0	138
0	125
1	144
0	91
0	81
21	530
0	298
6	373
55	241
12	83
0	2012
505	2682
24	530
23	226
54	1073
2	139
272	433
5	329
240	299
0	461
1	441
49	414
0	379
8	209
0	250
0	31
12	21
6	37
0	28
0	9
0	0
0	622
0	215
42	657
0	3
0	3
0	3
1392	8268
3	5863
57	2621
742	4631
2	843
0	0
2	25
1	39
10	29
0	27
0	16
0	15
0	26
0	336
0	368
0	369
0	351
0	206
0	309
2	303
0	295
105	178
0	228
0	228
0	12
0	45
0	34
133	497
2	869
109	655
3	916
45	96
3	560
434	423
9	750
0	2
5	23
1	3
1	67
0	34
0	83
0	17
0	34
0	138
0	119
0	125
1	75
25	157
62	60
0	5
3	4
0	677
0	611
44	636
10	416
1783	475
28	1770
2064	2782
221	2751
0	1539
0	37
3	28
0	37
0	41
0	26
2	40
0	41
0	47
2	9
0	7
0	14
0	14
15	26
0	19
0	757
54	768
0	780
0	289
0	289
13	690
0	259
2	21
0	13
7	73
73	167
191	536
6	64
1	326
0	12
0	9
0	42
0	35
9	8
2	5
13	34
3	70
26	39
0	58
84	52
3	14
0	132
44	342
1	221
1	60
128	78
0	66
2	68
5	25
4	273
27	254
6	266
120	252
0	276
0	169
4	254
5	303
0	238
4	161
618	675
106	114
13	38
0	54
0	54
11	54
0	261
0	184
4	199
0	455
0	464
0	344
85	526
0	390
6	110
1	38
530	928
148	632
121	545
0	582
293	611
0	1495
0	1404
3	1441
0	1488
0	1487
0	1315
4	1273
4	1352
2	1471
0	1445
0	1408
0	1472
16	1477
0	1009
0	1365
43	1865
0	1502
0	1270
0	1471
24	1879
0	1474
1	142
0	219
1	227
27	233
23	371
54	101
0	188
0	434
0	362
55	588
1	450
0	404
0	214
59	426
0	399
0	244
0	249
0	201
218	103
16	168
72	180
2	141
0	125
146	256
3	331
7	195
0	83
10	92
1	96
0	23
0	14
0	12
1	15
0	9
0	7
0	7
19	853
0	750
4	908
3	785
1	709
0	760
0	729
0	721
646	1908
0	1549
1	1975
0	1957
106	1750
0	824
5	1062
0	2260
0	2149
0	1578
0	2260
0	2437
0	1502
0	1975
112	1635
143	317
131	236
129	574
0	348
0	246
5	241
72	173
21	509
25	423
70	5
160	35
131	3467
89	3725
264	3442
1	2424
0	2357
0	1
0	0
0	2
134	104
3	41
43	262
1	37
45	167
0	38
25	4
0	104
2	265
27	71
16	78
114	38
7	82
0	43
50	142
0	142
0	25
90	325
1	66
0	77
0	281
2	206
0	268
2	178
0	209
0	152
1	84
0	105
0	53
0	98
0	69
0	126
0	127
19	134
1	123
0	107
0	85
0	22
0	26
689	22
0	26
0	22
0	26
0	20
0	22
0	87
0	87
0	87
315	160
21	136
0	866
0	527
10	119
3	121
9	116
0	16
0	219
1	232
0	78
268	112
0	69
0	69
0	684
1	623
39	692
0	662
0	431
0	545
0	352
55	300
142	283
0	279
0	243
0	265
0	155
0	202
0	202
0	115
0	123
0	70
0	75
213	169
14	59
0	96
109	32
512	466
16	179
0	175
0	134
0	133
25	113
16	239
11	206
22	228
4	35
0	35
2	42
2	44
0	21
0	19
115	287
0	413
0	69
0	69
5	71
0	60
21	35
0	51
9	49
34	1236
7	65
1	108
0	86
0	338
1	687
1	396
0	374
13	714
19	737
10	392
123	255
0	359
30	696
0	704
49	717
0	692
22	666
0	68
2	89
0	67
3	78
0	83
1	64
0	73
14	77
25	98
0	85
16	141
0	223
0	76
0	223
0	98
0	48
3	75
83	50
8	392
72	771
294	343
0	64
0	87
0	87
0	54
0	49
0	2
0	2
0	2
10	431
0	195
2	187
24	160
49	9
3	21
0	55
0	131
3	96
7	79
0	74
0	79
2	62
0	74
0	63
4	4
0	116
35	86
32	183
1	64
16	161
3	146
0	119
0	175
0	119
0	157
0	119
0	153
1	103
3	11
0	167
0	155
112	143
0	179
0	118
0	191
0	190
0	273
0	262
0	124
0	124
42	158
0	102
0	34
284	848
0	1352
0	540
241	433
2	201
0	89
0	9
101	1368
0	1076
0	1145
0	855
0	1136
35	890
0	1
0	1
7	9
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	514
5	620
3	524
33	332
0	116
0	152
5	142
0	152
0	143
0	143
0	143
0	144
0	71
0	76
0	71
1	83
0	87
0	81
0	67
25	67
6	40
0	41
0	1
0	1
0	1
0	1
0	1
0	1
