UniqueCount	AmbigCount
21	199
14	165
0	129
0	66
9	123
0	135
36	69
0	121
0	83
0	26
0	30
0	29
1	27
0	14
0	14
0	1
0	0
3	0
468	5083
2843	2409
8	3443
0	223
777	2795
9	1229
0	245
0	239
0	165
11	175
63	97
0	84
0	67
3	80
0	68
6	68
14	81
0	43
31	23
1	0
1	0
0	233
25	257
1	263
0	196
6	234
2	115
9	98
0	3
0	3
1	13
0	3
15	32
1	45
0	53
0	60
0	44
1	60
10	65
0	93
22	95
2	16
3	116
5	72
0	77
0	72
4	77
4	5022
23	3195
3	2495
1	566
0	581
21	4044
74	3697
3	159
0	161
0	122
21	125
27	81
0	50
0	50
0	34
0	114
1	83
0	70
12	71
0	71
0	32
8	2261
0	2508
0	2508
42	1669
567	2285
62	136
53	274
0	184
0	194
1	193
10	252
1	259
5	359
0	551
105	440
427	442
68	474
0	359
2	397
0	126
60	65
8	198
0	195
2	31
0	21
8	21
0	12
4	36
1	21
1	370
0	298
55	338
0	288
18	226
0	8
1	6
3	40
0	38
5	46
0	38
8	40
6	19
0	5
0	5
4	2
1	2
2	4
10	50
5	35
1	164
0	136
0	152
0	134
0	76
24	5
39	50
0	76
0	66
0	60
14	38
0	3
9	412
0	402
12	415
20	497
40	139
0	1
8	17
0	81
0	42
0	29
2	44
0	20
0	19
3	151
0	82
3	106
19	60
1	20
1	944
273	1356
10	159
5	80
30	266
5	17
84	148
1	124
189	201
2	286
1	244
11	257
0	249
2	130
0	150
5	11
6	12
1	17
0	8
0	6
0	0
0	345
0	129
25	371
0	7
0	7
0	7
625	3465
7	2440
33	1077
268	1959
2	324
0	0
2	21
0	22
3	14
0	13
0	11
0	9
1	11
0	66
0	71
0	166
0	70
0	46
0	114
4	113
1	113
69	58
0	80
0	80
0	5
0	24
1	14
28	135
0	298
23	188
1	313
13	31
0	268
237	201
3	239
0	2
6	19
0	3
1	15
0	9
0	44
0	6
0	9
0	48
0	38
0	43
1	30
6	43
17	22
0	8
3	2
0	291
0	282
15	281
3	185
631	149
8	643
730	950
76	1040
0	542
0	1
2	2
0	1
0	5
0	1
2	5
0	5
0	5
0	5
0	4
0	5
0	5
5	3
1	3
0	314
24	309
0	315
0	106
1	106
16	267
0	78
1	9
0	6
3	45
13	35
106	218
2	14
2	145
0	2
1	2
0	14
0	8
5	8
1	8
1	8
0	19
10	13
0	16
47	25
0	2
0	54
7	79
1	71
3	22
62	52
0	49
0	50
4	14
9	121
12	116
1	119
38	99
0	117
0	72
3	109
0	126
0	96
3	76
257	295
33	21
3	7
0	10
0	10
7	10
0	107
0	65
3	74
0	145
0	163
0	119
28	176
0	144
1	59
0	20
257	361
56	279
52	200
0	253
125	238
0	808
0	747
0	761
0	797
0	797
0	683
0	702
2	738
2	785
0	771
0	777
0	785
15	798
0	515
0	735
23	1071
0	809
1	680
0	781
10	1087
0	789
0	57
6	99
0	116
7	119
4	154
7	32
0	86
0	218
0	183
33	261
0	222
0	209
0	83
32	213
0	198
0	114
0	115
0	95
78	68
9	88
18	69
0	88
0	45
34	77
1	107
2	61
0	30
5	28
1	27
0	30
0	19
0	13
2	20
0	3
0	2
0	2
16	327
0	283
3	342
1	304
0	265
0	300
0	282
0	269
375	1035
0	817
0	1037
0	1018
49	935
0	409
5	586
0	1219
0	1146
0	825
0	1219
0	1320
0	772
0	1036
48	838
37	115
50	92
54	240
0	135
0	84
2	83
40	80
18	243
15	209
25	3
82	21
53	1221
62	1380
100	1242
0	901
0	866
0	0
0	0
0	0
60	46
1	17
15	116
1	14
30	75
0	15
15	4
0	31
1	109
13	23
9	22
49	9
3	30
0	15
20	52
0	52
0	9
42	118
0	35
0	39
0	135
0	100
0	128
1	86
0	100
0	69
0	50
0	59
0	35
0	51
0	31
0	66
0	70
