UniqueCount	AmbigCount
31	383
28	311
0	215
0	124
37	223
9	149
32	76
0	130
0	100
0	41
2	49
0	49
1	45
0	30
0	30
0	2
0	1
1	0
27	4028
2179	1629
4	2804
1	140
7	1723
27	780
0	183
0	175
0	136
9	228
49	133
1	98
0	76
1	94
0	78
12	167
44	196
1	111
66	27
4	1
0	0
2	270
19	315
1	310
0	224
0	296
5	168
18	142
0	7
0	7
1	10
0	10
33	35
0	83
0	88
1	102
0	79
7	100
21	131
0	189
21	155
2	4
0	54
1	29
0	30
0	31
2	30
17	8852
71	6817
6	4727
3	1461
0	1534
39	7377
174	6778
35	61
0	61
0	266
45	315
31	301
0	127
0	128
0	96
0	270
6	191
3	179
24	68
0	68
0	23
0	2172
1	2537
0	2537
4	1458
492	1997
113	69
63	192
0	102
0	95
0	116
2	150
3	164
7	272
1	1101
142	718
777	731
126	777
0	664
0	684
1	211
92	110
16	235
0	222
18	75
0	31
19	30
0	20
29	122
7	51
2	563
0	422
53	576
0	433
21	307
0	21
5	19
13	149
0	149
0	160
0	149
21	146
17	47
0	30
0	27
12	15
1	10
2	12
11	50
4	25
5	239
0	213
0	265
0	231
0	135
30	25
67	100
3	156
1	136
0	121
17	60
1	5
41	693
0	701
10	666
37	835
36	262
0	0
0	43
0	232
1	133
0	108
3	135
0	67
0	59
12	121
0	63
4	96
21	58
6	38
1	2292
1033	2891
15	205
5	127
152	236
3	49
78	192
3	155
604	555
4	775
0	678
3	753
0	666
15	414
0	373
2	17
0	46
1	87
0	42
0	41
2	1
0	180
0	75
26	193
0	10
0	9
0	10
994	5331
95	3161
1	1696
545	3585
4	346
0	0
0	7
0	9
3	6
0	4
0	3
0	3
0	4
0	171
0	184
0	216
0	182
0	95
0	219
12	196
0	218
129	133
0	179
0	179
1	7
0	42
0	31
122	328
0	420
55	400
10	502
3	63
4	252
241	188
7	235
0	1
6	11
0	5
6	29
1	13
0	12
0	4
1	14
0	98
0	98
0	86
2	60
4	25
8	9
0	5
4	4
0	254
0	227
17	229
21	156
953	278
1	839
1152	1315
185	1286
0	711
0	26
0	32
0	26
0	34
0	22
4	39
0	34
0	37
3	15
0	9
3	9
0	8
14	12
2	11
1	410
15	402
0	420
0	163
0	163
29	359
0	117
0	11
1	4
4	68
20	34
68	169
0	24
8	122
0	1
0	2
0	23
0	18
1	10
0	8
3	16
1	17
1	8
0	14
55	40
2	6
0	183
9	108
2	86
19	14
31	69
0	56
2	59
0	15
6	159
8	151
2	154
26	115
0	151
0	100
5	143
2	159
0	121
1	96
294	248
87	64
7	23
0	28
0	28
13	28
0	107
0	70
7	78
0	237
11	237
0	165
49	261
0	185
1	71
0	13
209	424
83	434
88	240
0	387
390	296
0	1108
0	1005
3	1038
0	1085
0	1086
0	954
2	919
1	961
0	1063
0	1046
0	986
0	1067
40	1105
0	743
0	974
30	1451
0	1090
1	816
0	1064
12	1444
0	1072
0	165
0	260
0	306
9	308
6	385
15	120
0	212
0	628
0	420
107	849
0	630
0	595
0	273
0	518
0	591
0	153
0	156
0	131
94	69
14	130
71	104
2	94
0	66
81	68
1	104
0	67
0	20
4	26
0	29
0	4
0	2
0	2
0	2
0	14
0	14
0	10
19	686
0	653
2	732
0	624
0	600
0	636
0	604
0	603
477	1117
0	888
0	1072
0	1145
112	1014
0	420
1	620
0	1408
0	1185
0	938
0	1408
2	1488
0	917
0	1073
55	833
23	42
27	38
76	396
0	281
0	214
2	134
21	131
8	334
12	272
40	4
196	40
167	3154
60	3238
367	3090
0	2195
0	2161
6	8
0	0
0	0
109	84
3	40
45	227
1	33
21	116
0	24
7	10
0	40
1	101
6	37
4	32
64	19
6	37
0	6
7	24
1	24
0	4
59	206
1	29
1	45
0	64
0	45
0	62
0	37
0	43
0	37
1	131
0	144
0	98
0	143
0	65
0	170
0	169
24	129
3	176
0	141
0	123
0	39
0	47
12	46
0	48
0	39
0	49
0	36
0	37
0	51
0	51
0	51
266	109
25	97
0	465
2	288
1	117
0	118
8	107
0	8
0	146
0	140
0	49
209	85
0	68
0	68
0	407
0	369
27	375
0	364
0	236
0	303
0	167
66	254
148	246
0	239
0	202
0	177
0	102
0	134
0	134
0	82
0	86
0	48
1	44
365	220
20	86
0	123
90	49
324	325
12	186
1	191
0	151
0	142
48	114
12	109
7	96
10	107
5	26
2	30
2	40
1	46
0	10
0	6
95	190
0	255
0	69
0	77
2	70
0	64
5	34
0	58
12	53
67	1002
22	98
0	156
0	125
0	194
0	399
0	211
0	206
6	405
14	418
5	210
92	167
0	190
26	776
0	621
39	616
28	614
16	576
0	56
7	73
1	54
10	63
0	67
2	47
0	58
9	57
24	86
0	76
18	89
0	174
0	54
0	174
1	90
4	27
1	26
94	98
4	328
57	644
212	286
0	40
0	47
0	47
0	35
0	32
0	1
0	1
0	1
20	261
0	142
0	125
14	111
45	17
0	14
6	94
1	284
4	201
10	193
0	189
7	183
2	108
0	189
1	104
5	2
0	77
35	68
15	99
0	34
14	125
1	56
0	38
0	63
0	37
0	60
0	37
0	55
2	37
0	1
0	197
0	180
118	178
10	188
0	129
0	206
0	201
0	181
0	174
0	68
0	68
39	105
0	91
0	18
212	674
0	1142
0	445
106	297
0	73
0	19
0	13
26	797
0	587
0	642
0	508
0	634
20	517
0	1
0	1
4	5
0	2
0	4
0	3
0	3
0	3
0	3
0	4
0	4
0	689
5	912
0	698
49	425
0	175
0	234
3	226
0	233
0	234
0	233
0	233
0	218
0	129
0	124
0	114
0	151
0	144
0	141
2	135
57	104
5	66
0	24
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	4
0	0
0	42
0	22
0	42
0	19
2	13
15	48
0	29
0	29
0	66
0	66
0	66
142	151
0	98
0	500
0	500
3	496
0	500
0	457
130	341
0	0
0	109
9	187
0	120
0	117
2	206
0	0
87	29
0	62
72	0
0	112
4	123
0	141
0	123
0	118
0	118
1	40
0	33
0	20
0	20
0	9
0	0
0	0
9	107
0	107
0	98
34	61
46	30
6	89
0	1
0	30
3	25
3	18
0	17
92	100
2	44
0	269
1	169
0	163
0	183
0	168
0	169
0	159
1	154
0	190
0	241
0	138
0	241
0	75
8	264
0	235
0	59
0	50
9	94
0	94
0	52
7	34
27	167
0	95
0	83
0	61
28	3
19	212
0	148
7	151
0	66
46	85
0	105
0	119
0	97
0	74
0	87
0	73
0	60
3	19
0	0
71	262
89	110
0	0
15	163
11	127
0	127
0	0
0	0
0	0
0	20
0	12
0	14
0	8
4	18
0	8
58	81
0	81
5	62
25	44
0	16
5	5
0	24
0	22
0	22
0	76
62	76
0	77
0	46
0	39
0	51
1	41
0	52
1	31
12	136
0	93
0	28
0	3
0	48
0	50
0	41
8	45
0	24
0	417
0	267
0	14
2	1
0	19
0	1
61	51
5	214
0	213
0	135
0	181
0	189
0	212
156	310
6	235
0	163
3	221
0	167
0	161
2	165
10	127
0	139
0	139
1	36
12	185
8	34
100	915
0	1042
5	900
0	1093
0	775
0	588
0	795
0	770
3	94
0	67
5	84
0	85
13	95
0	4
77	304
0	210
0	95
3	55
0	69
0	108
51	322
30	81
69	161
15	171
80	101
19	125
22	92
0	74
38	61
0	73
0	73
0	6
0	6
0	6
0	2
0	6
114	248
0	235
12	224
0	41
0	41
0	73
0	41
0	25
0	161
0	161
0	161
0	106
0	101
0	101
0	24
0	26
0	23
0	17
6	37
0	37
11	34
0	34
249	52
21	82
0	119
0	103
0	58
0	64
0	405
262	397
5	396
0	370
0	359
67	158
0	167
0	179
2	160
0	72
0	72
0	69
18	113
33	55
0	69
0	193
0	141
1	116
0	73
0	143
0	74
0	118
0	2
1	2
0	0
1	29
49	209
1	204
4	139
4	14
10	10
203	817
0	857
257	285
0	641
0	115
0	92
0	145
28	213
0	228
0	198
12	195
0	213
0	146
0	152
0	144
9	16
0	94
0	94
3	77
0	80
0	55
1	48
2	48
39	74
0	91
0	92
15	92
3	94
1	102
2	89
19	34
0	51
5	25
22	100
0	100
2	261
18	272
0	234
0	144
0	234
148	903
127	809
11	668
101	873
0	234
1	220
0	344
0	361
0	373
0	301
0	295
0	238
0	383
0	249
0	7
0	27
33	18
0	64
0	25
0	25
21	85
0	69
0	52
1	55
