,Complete,Complete/Single-Copy,Complete/Duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc,CompleteSingleCopy_perc,CompleteDuplicated_perc,Fragmented_perc,Missing_perc
F_catanatus,3499,1583,1916,610,475,4584,76.3307155322862,34.533158813263526,41.79755671902269,13.30715532286213,10.362129144851657
F_rathbuni,3721,1551,2170,466,397,4584,81.17364746945898,33.83507853403142,47.338568935427574,10.165794066317627,8.660558464223387
F_sciadicus,3647,1939,1708,407,530,4584,79.55933682373472,42.29930191972077,37.26003490401396,8.87870855148342,11.561954624781851
F_notti,3429,2149,1280,431,724,4584,74.80366492146598,46.8804537521815,27.923211169284468,9.402268760907505,15.794066317626527
F_parvapinis,3812,1855,1957,288,484,4584,83.15881326352532,40.466841186736474,42.69197207678883,6.282722513089005,10.55846422338569
A_xenica,3656,1676,1980,483,445,4584,79.75567190226876,36.56195462478185,43.19371727748691,10.536649214659684,9.707678883071553
L_parva,3724,1694,2030,466,394,4584,81.239092495637,36.954624781849915,44.28446771378709,10.165794066317627,8.595113438045376
F_heteroclitusMDPL,3527,1584,1943,578,479,4584,76.94153577661432,34.55497382198953,42.38656195462478,12.609075043630016,10.449389179755672
F_diaphanus,3534,1783,1751,563,487,4584,77.09424083769633,38.896160558464224,38.19808027923211,12.281849912739965,10.623909249563699
F_chrysotus,3541,1529,2012,625,418,4584,77.24694589877836,33.35514834205934,43.89179755671902,13.634380453752183,9.118673647469459
F_similis,3537,1715,1822,527,520,4584,77.15968586387434,37.41273996509599,39.74694589877836,11.49650959860384,11.343804537521814
F_zebrinus,3605,1870,1735,410,569,4584,78.64310645724258,40.79406631762652,37.84904013961606,8.944153577661432,12.412739965095986
L_goodei,3676,1708,1968,492,416,4584,80.19197207678883,37.26003490401396,42.93193717277487,10.732984293193718,9.07504363001745
F_notatus,3572,1552,2020,597,415,4584,77.92321116928447,33.85689354275742,44.06631762652705,13.023560209424085,9.053228621291447
F_heteroclitusMDPP,3391,1449,1942,658,535,4584,73.97469458987783,31.60994764397906,42.36474694589878,14.354275741710296,11.671029668411867
F_grandis,3249,1343,1906,831,504,4584,70.87696335078533,29.297556719022687,41.57940663176266,18.1282722513089,10.99476439790576
F_olivaceous,3764,1750,2014,403,417,4584,82.11169284467714,38.17626527050611,43.93542757417103,8.791448516579406,9.096858638743456
