,Complete,Complete/Single-Copy,Complete/Duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc,CompleteSingleCopy_perc,CompleteDuplicated_perc,Fragmented_perc,Missing_perc
F_diaphanus,293,133,160,9,1,303,96.69966996699671,43.89438943894389,52.8052805280528,2.9702970297029703,0.33003300330033003
F_sciadicus,301,157,144,2,0,303,99.33993399339934,51.81518151815182,47.524752475247524,0.6600660066006601,0.0
F_chrysotus,294,111,183,9,0,303,97.02970297029702,36.633663366336634,60.396039603960396,2.9702970297029703,0.0
F_zebrinus,295,140,155,6,2,303,97.35973597359737,46.2046204620462,51.15511551155115,1.9801980198019802,0.6600660066006601
F_heteroclitusMDPP,292,120,172,11,0,303,96.36963696369637,39.603960396039604,56.76567656765676,3.6303630363036308,0.0
F_similis,295,139,156,7,1,303,97.35973597359737,45.87458745874587,51.48514851485149,2.31023102310231,0.33003300330033003
F_rathbuni,297,98,199,6,0,303,98.01980198019803,32.34323432343234,65.67656765676567,1.9801980198019802,0.0
F_notatus,284,100,184,18,1,303,93.72937293729373,33.003300330033,60.726072607260726,5.9405940594059405,0.33003300330033003
F_olivaceous,296,112,184,6,1,303,97.6897689768977,36.96369636963696,60.726072607260726,1.9801980198019802,0.33003300330033003
L_goodei,290,127,163,13,0,303,95.7095709570957,41.914191419141915,53.79537953795379,4.29042904290429,0.0
A_xenica,297,118,179,6,0,303,98.01980198019803,38.943894389438945,59.07590759075908,1.9801980198019802,0.0
L_parva,293,125,168,10,0,303,96.69966996699671,41.254125412541256,55.44554455445545,3.3003300330033,0.0
F_heteroclitusMDPL,292,110,182,11,0,303,96.36963696369637,36.303630363036305,60.066006600660074,3.6303630363036308,0.0
F_parvapinis,298,98,200,4,1,303,98.34983498349835,32.34323432343234,66.006600660066,1.3201320132013201,0.33003300330033003
F_notti,295,193,102,8,0,303,97.35973597359737,63.6963696369637,33.663366336633665,2.6402640264026402,0.0
F_catanatus,286,102,184,17,0,303,94.38943894389439,33.663366336633665,60.726072607260726,5.6105610561056105,0.0
F_grandis,282,97,185,20,1,303,93.06930693069307,32.01320132013201,61.05610561056105,6.6006600660066,0.33003300330033003
