UniqueCount	AmbigCount
12	238
0	216
2	137
0	85
12	147
0	233
65	141
19	252
0	175
0	45
6	57
1	44
2	54
0	26
0	26
0	9
2	3
5	2
6151	18618
10468	15026
473	4690
7	711
2237	8167
3683	6557
0	168
10	166
0	129
25	185
53	124
0	65
0	66
11	67
0	66
2	86
45	147
0	87
22	21
0	0
0	0
3	585
0	605
2	654
0	481
14	541
4	296
0	213
0	1
0	1
0	1
0	1
37	44
0	73
0	81
0	81
0	69
1	68
45	138
0	166
10	157
2	2
2	41
2	17
0	17
0	17
1	17
516	7069
79	3511
5	3569
1	1427
1	1469
38	6219
119	5949
49	270
0	271
15	138
33	142
18	146
0	70
3	70
0	51
0	106
3	78
0	57
32	149
0	150
1	58
37	2177
0	2047
0	2047
681	1429
680	1939
16	22
55	150
0	61
0	113
0	75
2	126
0	142
7	190
0	414
2	488
548	490
149	563
1	395
3	210
0	44
91	155
12	254
0	251
6	135
0	6
1	6
0	3
44	52
0	7
0	533
0	409
66	503
0	409
59	274
1	15
11	6
18	189
0	199
0	180
0	181
8	149
13	39
0	141
2	97
45	70
6	5
2	26
29	70
13	49
0	188
1	205
0	190
2	155
0	154
171	72
46	99
25	96
5	86
0	78
35	36
0	2
32	453
0	420
12	422
26	556
85	202
0	0
0	31
7	195
2	107
0	89
0	98
0	66
0	57
6	148
5	69
0	85
21	36
8	15
3	2244
132	2527
10	206
2	108
127	202
59	99
7	60
0	12
254	271
3	383
4	334
1	390
0	303
0	170
0	222
1	8
2	9
5	24
0	14
1	7
0	0
0	521
0	134
0	521
0	0
0	0
0	0
911	4032
141	3422
0	2279
759	3555
6	107
0	0
0	2
0	2
0	1
0	2
0	2
0	0
0	0
0	268
0	288
0	280
0	314
0	175
0	182
1	178
2	177
65	84
0	139
0	139
5	7
0	10
0	7
2	48
0	398
44	122
8	480
33	37
1	501
411	341
11	402
0	13
17	56
4	21
14	109
0	63
0	247
2	38
0	77
0	303
0	295
0	281
1	167
0	145
21	80
0	1
0	0
2	244
14	212
14	211
39	143
547	131
15	1062
1469	1475
245	1617
0	887
0	12
0	13
0	19
0	23
0	19
4	20
0	23
0	24
0	10
3	6
0	3
0	3
3	2
0	1
0	469
20	424
10	461
10	199
0	133
32	348
1	145
1	7
0	5
4	31
31	57
302	785
9	71
0	528
0	4
0	3
0	13
0	11
1	4
1	3
1	10
0	2
1	0
0	3
125	69
2	3
1	120
19	51
97	221
80	160
126	145
0	91
8	138
5	33
9	81
8	78
3	75
309	313
1	294
0	146
19	168
0	323
0	173
0	130
41	272
81	101
21	44
0	23
2	12
0	12
0	196
0	152
8	153
0	349
9	370
0	273
44	362
0	259
1	22
0	6
185	335
52	874
110	805
1	608
414	1116
0	729
0	687
4	692
23	730
0	730
0	660
0	630
2	635
0	679
0	699
0	656
0	717
0	724
0	549
0	688
24	1123
0	730
0	591
0	708
1	1133
0	701
0	107
3	173
1	165
9	164
6	203
21	53
3	147
0	254
0	213
59	342
1	270
0	246
0	149
37	283
0	249
0	148
0	168
3	123
128	71
0	119
88	32
4	16
0	115
69	125
33	178
0	80
0	62
17	53
6	50
0	6
0	5
0	5
0	1
0	1
0	1
0	1
5	73
0	61
2	74
1	73
0	61
0	63
0	58
0	61
615	1821
0	1219
0	1590
0	1571
4	1349
0	729
191	1009
0	1801
0	1575
0	1248
0	1795
0	1906
0	1289
0	1596
129	1364
67	108
45	68
117	419
0	201
6	132
1	160
56	60
9	326
1	205
24	8
190	70
84	1977
149	2162
153	1909
0	1423
0	1329
0	0
0	0
0	2
7	39
1	14
0	273
0	27
28	130
0	27
13	5
0	26
3	228
12	21
1	19
54	17
8	76
0	3
38	112
11	112
0	15
70	166
7	73
40	73
1	47
0	35
0	46
0	30
6	36
0	20
0	30
2	38
0	18
0	39
0	29
0	52
0	50
9	53
1	66
0	46
0	34
0	30
0	29
0	26
0	30
0	29
3	24
2	32
1	19
0	31
0	30
0	30
205	116
26	120
0	381
48	211
1	70
1	65
6	61
0	3
1	104
9	177
2	68
289	81
0	68
0	68
0	516
0	439
11	469
0	472
0	266
0	377
0	196
58	150
66	92
0	85
0	133
0	242
0	134
0	158
0	158
0	28
0	29
0	22
0	21
69	184
17	47
0	55
21	21
279	210
14	80
2	81
0	60
2	47
48	32
31	77
16	52
0	62
2	36
0	54
12	43
0	54
11	16
0	9
33	111
10	219
0	48
0	49
1	42
0	38
0	28
0	32
7	32
21	556
0	50
31	96
1	86
5	252
16	526
0	310
0	279
1	542
18	572
10	317
113	243
0	297
67	436
22	517
33	487
2	451
82	553
0	5
0	5
0	3
2	5
0	5
1	2
0	5
1	6
33	25
0	30
88	269
