UniqueCount	AmbigCount
22	254
0	236
1	165
0	106
6	170
0	256
103	171
22	269
0	210
0	52
0	56
1	43
1	59
0	33
0	33
0	7
8	3
6	1
2660	9502
8688	9505
470	3017
7	452
1501	6275
1767	5319
0	233
4	234
0	192
22	216
46	122
0	83
0	87
6	82
0	87
9	111
25	153
1	80
89	56
0	1
0	0
11	464
0	521
2	537
0	424
11	422
2	300
0	252
0	0
0	0
0	0
0	0
31	43
0	66
2	79
0	77
0	59
0	68
41	128
0	141
7	126
4	6
1	23
3	22
0	21
0	22
3	20
475	6231
88	2782
11	2858
1	1276
0	1289
41	5435
77	5454
51	197
0	196
1	79
14	78
7	87
0	39
0	37
0	24
0	96
1	78
0	76
30	94
0	94
0	46
18	2189
0	2202
0	2202
455	1317
790	2293
17	16
55	160
0	100
0	145
0	114
10	175
0	182
7	207
0	369
0	433
263	433
88	481
0	316
6	199
0	50
128	163
1	255
0	255
9	143
0	10
5	11
0	7
61	78
0	10
1	513
0	475
32	497
0	475
38	359
0	10
16	5
24	131
0	131
3	130
0	116
7	103
11	40
0	98
0	59
0	63
10	31
1	45
32	61
4	39
0	160
0	171
0	167
5	124
0	135
83	71
18	68
8	86
0	77
0	70
40	35
0	14
28	325
1	309
12	342
14	401
63	125
0	0
0	26
5	173
2	84
0	75
0	82
0	59
0	54
10	126
2	72
0	73
19	36
4	5
1	2162
107	2188
13	219
10	110
109	194
44	86
5	36
0	6
170	191
6	311
3	287
1	308
0	244
0	165
0	164
0	7
3	22
7	52
0	14
1	15
0	0
0	448
0	92
0	449
1	0
0	0
0	0
710	4507
258	3669
2	1812
853	3593
1	70
0	1
0	3
0	3
0	3
0	1
0	1
0	1
0	1
0	172
0	176
0	182
0	185
0	89
1	131
0	130
0	129
60	64
0	103
0	103
2	5
0	22
0	14
2	32
1	253
34	85
10	322
35	46
1	430
422	283
17	360
0	2
8	27
0	7
17	84
0	52
0	46
1	42
0	60
0	136
0	133
0	120
0	97
0	87
25	47
0	0
0	0
0	285
6	232
8	261
24	202
399	96
12	1049
1123	1509
278	1836
0	909
0	24
0	25
0	36
0	33
0	36
7	35
0	33
0	37
0	2
0	2
0	1
0	1
3	3
1	2
0	229
18	225
7	226
0	77
0	67
5	175
0	60
2	5
0	4
4	36
10	45
204	596
4	57
2	463
0	4
2	3
0	39
0	35
6	5
0	5
5	30
0	11
3	10
0	7
75	58
7	2
0	201
33	130
55	165
63	137
27	93
0	63
1	76
3	20
9	109
8	100
0	102
269	383
0	446
2	226
15	303
0	466
2	281
1	189
72	332
68	147
39	55
0	25
0	11
0	11
0	154
0	99
7	96
0	261
7	255
0	193
54	273
1	208
0	41
0	15
170	385
26	526
105	454
0	368
197	688
0	661
0	651
3	621
45	655
0	655
0	621
0	566
5	580
0	636
0	616
0	618
0	641
1	658
0	505
0	653
45	1066
0	656
0	580
0	653
2	1073
0	641
0	129
0	184
0	214
4	213
9	229
19	46
7	169
0	207
0	195
93	335
0	224
0	201
0	166
18	230
0	201
0	193
0	203
0	164
105	85
0	154
72	40
1	30
0	131
38	67
17	91
0	44
0	25
12	22
1	27
1	3
0	2
0	2
0	2
0	5
0	5
0	6
7	223
0	194
6	223
2	210
1	186
0	203
0	192
2	189
506	1669
0	1002
0	1426
0	1401
2	1107
0	750
209	1029
0	1425
0	1289
0	1025
0	1423
0	1508
0	1142
0	1430
67	1273
52	107
31	52
84	380
0	180
4	134
0	134
55	65
17	324
0	216
23	0
145	99
71	1900
152	1936
76	1797
0	1415
1	1309
0	0
0	0
0	1
10	37
1	12
0	204
0	9
13	51
0	8
12	6
0	43
1	125
13	29
6	34
44	19
6	45
0	3
31	111
12	111
0	25
30	128
8	21
11	21
0	60
0	45
0	59
0	48
2	56
0	26
1	61
0	74
0	39
0	72
0	45
0	92
0	91
11	81
1	112
0	90
0	73
0	19
0	18
1	23
0	18
0	18
1	16
0	24
1	11
0	28
0	30
0	30
209	114
12	108
0	250
37	124
5	172
0	166
1	126
0	8
0	94
2	119
0	58
252	68
0	63
0	63
0	328
0	274
14	276
0	280
0	194
0	217
0	140
77	214
50	121
1	114
0	200
0	247
0	188
0	202
0	204
0	53
0	53
0	37
0	41
1	371
17	74
0	84
20	35
274	212
8	51
2	56
0	41
0	35
72	24
36	116
14	69
0	100
1	35
0	44
9	27
1	44
6	12
0	9
46	120
18	207
0	66
0	64
1	47
3	47
0	41
0	41
9	42
36	714
0	48
17	93
0	84
3	222
15	333
0	272
0	252
4	346
7	368
11	276
82	191
0	248
67	581
21	399
20	389
0	368
62	428
0	12
0	13
0	16
2	10
3	14
0	10
0	10
0	13
24	37
0	40
59	236
0	137
0	86
5	137
0	64
2	53
0	23
83	59
13	186
92	660
98	326
0	16
3	20
0	20
0	16
0	14
0	1
0	1
0	1
4	249
0	101
0	96
1	83
6	6
0	6
1	70
0	134
2	79
3	62
0	60
2	60
5	76
0	60
2	74
0	7
0	4
7	2
1	20
0	2
2	16
20	102
0	89
9	119
0	87
0	92
3	87
0	108
0	88
6	16
0	130
0	137
103	83
12	141
0	130
0	144
0	140
1	97
0	78
2	38
0	38
14	59
10	71
0	21
132	341
24	742
0	258
35	123
1	95
0	37
0	5
59	1006
0	807
0	750
0	525
0	738
31	712
0	0
0	0
7	8
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	292
9	427
1	293
0	196
0	197
0	251
0	253
0	255
0	251
0	251
0	253
0	243
0	72
0	91
0	91
0	84
4	72
0	71
0	84
1	56
10	40
4	27
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	1
0	0
0	32
5	44
0	32
0	43
4	30
21	71
0	52
0	52
0	104
0	104
0	84
79	142
0	80
0	233
0	234
9	219
14	236
0	191
130	113
0	0
0	44
17	78
1	55
0	56
0	74
0	0
46	9
0	4
120	17
1	83
0	59
0	194
13	61
0	53
0	53
5	109
0	111
0	59
0	59
0	4
0	0
0	0
112	148
0	147
7	103
25	24
70	17
20	73
0	0
0	81
54	69
0	40
1	4
33	105
0	58
22	109
0	139
0	130
0	137
0	114
0	139
0	130
0	128
0	741
0	768
2	283
0	682
0	72
35	153
0	153
0	60
6	59
14	77
1	59
0	78
1	18
19	71
0	32
0	38
2	78
16	6
8	98
0	82
0	78
5	96
43	101
0	144
0	154
0	135
0	129
0	150
0	129
0	107
1	13
0	0
209	432
6	133
0	0
14	171
0	116
0	121
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
38	119
0	106
4	83
22	66
0	34
3	4
0	43
0	43
0	38
5	34
8	18
2	21
0	23
0	13
0	17
2	12
0	14
0	8
0	73
0	44
4	47
0	0
0	30
0	33
0	27
9	27
0	14
0	574
0	400
1	13
12	2
0	14
0	3
25	193
9	90
0	81
0	52
0	67
0	80
0	88
49	229
1	184
0	57
0	91
0	57
0	58
0	61
0	21
0	24
0	20
0	6
104	177
2	1
117	660
0	687
0	707
2	932
0	688
0	428
0	647
0	497
0	15
0	7
1	14
0	14
4	18
2	3
67	157
0	124
0	70
0	45
0	48
4	73
15	62
17	90
40	59
1	181
49	114
15	46
20	80
0	31
54	27
0	31
0	31
0	1
0	1
0	1
0	0
0	1
177	298
0	268
0	247
0	6
0	6
2	16
0	6
0	6
0	27
0	32
0	32
0	21
0	21
0	21
0	58
0	59
0	55
0	35
0	47
0	47
14	58
2	57
124	25
31	50
1	86
8	86
0	69
0	42
0	338
132	304
0	338
0	326
0	326
100	75
5	133
0	123
24	124
0	117
0	122
0	117
50	184
97	96
0	113
0	301
0	201
3	217
0	125
0	200
0	127
0	216
0	0
0	0
2	0
0	9
21	106
0	94
0	85
0	29
14	23
43	601
0	689
76	265
0	510
0	168
0	145
0	240
37	308
0	323
0	257
5	300
0	315
0	267
0	190
0	247
3	11
0	122
0	116
2	106
2	108
0	95
0	62
4	62
125	236
1	64
0	69
18	71
1	48
0	77
0	76
12	11
0	23
0	4
0	44
21	63
0	158
20	177
0	138
1	127
0	138
95	509
92	429
0	392
39	462
0	120
0	104
2	172
0	172
0	173
0	135
0	161
0	132
0	195
0	135
16	13
0	86
86	60
0	187
0	92
0	89
