UniqueCount	AmbigCount
11	100
12	93
0	69
4	43
1	59
0	144
50	80
0	168
0	94
0	19
1	25
0	19
8	22
0	4
0	4
0	2
0	5
0	0
1762	4110
7816	2799
434	1530
3	85
1245	1695
31	1655
3	123
0	138
0	86
13	107
29	61
0	43
0	45
2	48
2	45
5	60
17	52
6	35
11	8
3	3
2	0
7	200
11	214
0	231
0	194
3	162
2	121
0	65
0	0
0	0
0	0
0	0
23	12
0	24
0	34
0	31
1	34
7	34
8	60
0	73
11	47
1	3
1	19
0	13
1	14
0	13
1	13
278	4648
90	2314
8	1510
2	517
1	536
77	3941
65	3949
23	110
2	116
5	52
13	55
15	40
0	20
0	19
0	14
0	103
15	78
2	65
18	27
0	27
0	11
185	2395
0	2400
0	2400
141	1776
711	900
3	20
93	100
0	49
0	49
0	46
25	79
0	75
0	125
11	306
41	290
260	294
90	352
0	257
4	145
0	43
81	67
10	130
0	119
6	35
0	7
4	6
0	5
13	52
5	19
1	307
0	242
53	283
0	247
41	161
2	7
3	2
3	62
0	62
5	65
0	59
15	57
7	9
0	94
0	84
11	38
0	7
2	11
14	43
4	19
0	47
1	42
0	41
1	37
8	33
26	10
31	21
6	61
0	52
0	45
28	19
0	1
7	288
0	282
6	246
15	345
83	94
2	9
0	30
0	129
2	62
0	61
0	64
0	50
0	45
39	90
2	55
8	67
10	18
10	10
2	695
285	1143
19	92
1	64
24	50
47	18
43	30
2	11
207	111
0	200
1	181
1	189
0	156
0	109
0	89
1	1
27	3
1	21
3	13
2	5
1	0
0	94
0	24
5	100
0	1
0	1
0	1
578	2431
286	1949
10	1218
382	2068
16	17
0	0
0	9
0	11
1	5
0	5
0	3
3	3
0	5
0	42
0	49
0	68
0	50
0	30
0	83
1	83
0	84
61	31
0	47
0	47
2	1
2	6
0	3
0	17
0	124
24	68
20	186
34	9
2	159
215	101
6	137
0	18
0	41
3	11
9	24
0	13
0	13
0	4
2	14
0	98
0	95
0	92
0	44
16	65
10	21
0	5
0	3
0	89
11	70
6	87
7	59
207	55
5	575
791	759
78	803
3	435
0	20
0	14
0	21
0	26
0	21
6	20
0	26
0	30
1	2
1	1
2	1
0	1
1	0
1	0
0	303
25	315
1	310
0	146
8	146
20	256
0	100
0	2
0	0
4	28
10	25
203	458
2	36
0	352
1	5
0	3
0	40
0	33
8	14
1	8
3	25
0	2
0	1
0	1
27	33
2	9
3	22
28	62
17	33
13	14
28	17
0	17
0	19
0	6
11	56
4	50
3	52
195	131
0	126
1	64
3	100
0	162
0	95
1	51
136	93
29	19
6	7
0	13
1	6
0	6
4	113
0	68
3	72
0	112
1	101
1	79
26	123
0	95
1	29
1	5
162	242
31	261
20	53
0	192
232	151
0	284
0	273
3	274
0	281
0	279
0	252
1	207
0	239
1	283
0	264
0	246
0	272
5	293
0	204
0	276
17	550
0	282
1	222
0	278
4	542
0	270
1	54
5	88
1	125
7	123
2	124
11	25
1	71
0	114
0	89
41	188
23	133
0	135
0	75
0	124
0	136
0	105
0	114
0	73
84	48
1	70
52	7
1	48
0	54
71	20
7	33
0	18
0	10
2	6
1	13
2	30
0	27
0	16
0	18
0	5
0	5
0	4
18	157
0	143
5	163
1	160
0	140
0	141
0	139
1	125
434	795
0	474
