UniqueCount	AmbigCount
46	175
12	149
0	108
3	66
0	99
9	801
240	400
7	932
1	527
0	140
4	150
1	100
21	159
0	59
0	59
0	7
1	31
4	0
6395	11219
20380	5506
1018	3696
1	135
2756	4173
23	3348
11	333
0	360
1	249
74	307
107	209
0	114
0	107
16	120
1	113
18	392
117	311
29	195
8	13
0	0
0	0
29	861
21	912
3	970
0	819
21	742
16	468
0	309
0	2
0	2
0	4
0	2
151	55
0	134
12	150
0	144
7	150
19	203
33	258
0	327
56	218
1	3
2	54
0	22
0	23
0	22
1	23
945	12105
109	5052
14	3939
5	818
0	900
136	10432
101	10505
71	250
7	264
31	668
176	725
143	578
0	270
0	259
0	201
0	317
27	247
1	214
52	139
0	140
0	36
267	5855
0	5936
0	5936
726	4215
923	2237
8	34
146	212
0	87
0	123
0	82
41	184
0	178
0	267
56	1524
313	1935
1553	1974
520	2197
0	1630
40	672
0	128
253	143
48	377
0	333
2	65
0	49
20	47
0	37
19	223
3	13
1	1088
0	803
168	1062
0	830
166	625
1	16
10	10
18	502
0	502
60	500
1	489
103	446
66	78
0	539
5	538
153	189
6	8
3	13
18	115
37	99
0	327
2	294
2	282
8	199
67	217
201	58
52	71
51	496
0	427
0	415
108	50
1	2
27	1884
1	1836
18	1337
137	2135
525	671
33	48
0	145
0	610
3	311
15	249
1	300
0	217
4	194
102	314
4	159
54	229
59	44
20	37
2	6102
2380	9011
78	422
4	249
75	166
211	44
121	59
7	21
2878	1237
0	1874
4	1724
1	1882
3	1466
0	1085
0	736
3	5
98	43
15	143
6	86
3	37
4	6
2	812
4	155
98	854
0	1
0	1
0	1
1693	6874
278	5944
24	3280
1069	5710
18	18
0	3
0	1
0	1
0	1
0	5
0	5
4	0
0	0
0	445
0	473
0	473
0	479
0	251
5	374
2	375
0	393
315	155
0	249
0	249
24	4
0	36
0	27
3	110
2	690
65	236
88	1045
117	37
0	741
1088	564
14	616
0	740
44	1260
136	460
149	624
0	598
670	6424
19	306
105	610
0	6312
3	6216
0	6211
9	2151
66	293
41	105
0	1
0	0
0	398
24	352
26	368
31	194
1416	176
15	1012
1953	1316
110	1453
3	752
1	99
0	63
0	103
0	98
1	90
14	86
0	98
1	124
1	5
1	0
2	21
0	21
27	11
12	7
0	1665
80	1703
2	1688
1	917
91	915
90	1405
0	552
5	8
0	4
18	50
33	47
413	1099
24	152
3	660
0	0
0	1
0	10
0	9
3	4
0	3
6	8
0	6
0	4
0	2
400	306
5	28
14	103
58	125
100	438
83	161
150	65
0	51
2	56
2	26
15	172
12	146
2	160
586	397
0	382
3	216
20	260
0	515
0	297
0	186
899	528
67	47
6	17
0	29
2	22
12	21
19	382
0	194
3	193
0	532
19	592
2	428
155	597
2	498
0	34
0	10
456	612
88	1265
235	190
0	739
1186	595
0	1469
0	1297
7	1338
6	1418
0	1419
0	1187
1	1064
0	1132
0	1352
0	1375
0	1158
0	1417
60	1443
0	999
0	1298
60	3004
0	1435
5	954
0	1368
18	3030
0	1366
2	285
5	566
0	1066
25	1063
26	1044
44	209
0	442
3	1061
0	836
451	1857
122	1297
0	1284
0	502
0	1180
0	1192
3	311
0	324
4	174
225	115
9	178
904	118
2	35
0	161
381	81
36	168
2	91
0	36
36	33
2	45
0	39
0	33
1	24
0	18
0	12
1	12
0	14
20	218
0	178
6	207
1	207
0	178
0	181
0	172
0	171
1656	4431
0	2514
0	3452
0	3796
12	3393
0	1302
291	2699
0	4111
0	3599
0	2479
0	4115
3	4580
0	2462
0	3448
332	2758
285	81
103	73
425	459
12	194
1	116
13	168
68	48
4	300
5	210
42	2
1294	317
541	7507
1204	7591
1413	7433
2	5441
0	5341
0	0
0	0
0	1
227	117
8	46
2	716
3	24
128	223
0	64
47	9
0	159
2	808
11	78
9	140
203	53
59	273
1	13
36	111
37	111
0	3
63	313
15	50
105	52
6	77
0	43
0	75
6	50
5	49
0	35
0	106
0	121
0	86
4	123
0	66
0	142
0	145
33	133
5	160
2	120
1	106
1	85
0	40
42	89
4	77
0	77
5	37
0	84
2	21
0	87
0	91
0	92
245	93
35	133
14	1717
328	778
2	57
0	54
6	54
0	2
3	212
13	340
0	220
461	292
0	260
0	260
2	689
0	575
18	814
0	826
0	334
0	625
0	255
225	432
277	154
0	142
0	407
0	722
0	450
0	609
0	609
0	29
0	33
0	24
0	24
908	711
87	150
33	338
172	103
1325	842
14	93
0	117
0	103
1	63
109	37
51	114
1	101
0	107
0	36
0	51
2	58
0	56
0	11
0	7
36	187
11	373
12	148
0	120
2	97
0	114
14	97
0	98
0	65
149	1664
1	60
80	138
0	127
0	548
1	1174
0	639
0	632
1	1251
83	1290
30	629
234	398
0	582
201	1550
29	1576
0	1625
1	1508
2	1677
0	6
1	7
2	5
0	10
0	8
1	7
0	6
4	8
47	98
0	121
147	253
0	222
0	115
23	222
0	136
5	63
9	86
200	20
0	491
205	1411
448	711
0	63
0	98
0	98
4	56
0	45
0	0
0	0
0	0
14	264
0	88
2	85
3	71
55	14
1	22
2	59
0	119
6	107
0	70
0	62
0	59
3	60
0	72
2	58
5	4
0	11
7	8
8	21
0	4
21	127
15	163
0	129
16	205
0	125
1	201
0	125
1	188
27	140
0	0
0	393
0	405
539	295
51	444
0	368
0	460
0	456
43	230
0	227
0	103
0	103
45	109
72	199
0	45
679	789
0	1831
0	593
166	273
0	39
0	15
0	25
158	1089
15	842
0	824
0	719
0	829
46	901
0	1
0	1
29	34
0	6
0	13
0	12
0	9
0	9
0	5
0	7
0	13
2	973
0	2108
3	989
51	588
1	381
17	503
0	449
7	507
0	483
0	477
0	465
0	494
1	36
0	80
0	80
0	39
0	38
0	27
0	44
5	130
11	141
17	48
0	0
0	3
53	3
0	3
0	0
0	0
0	0
1	0
0	0
0	144
0	194
0	103
0	181
3	120
124	158
0	99
0	98
0	183
0	187
0	179
426	306
0	139
0	889
0	894
154	933
15	903
0	570
584	353
0	0
0	153
12	235
1	163
9	155
0	237
1	2
112	2
0	2
249	23
0	115
4	79
14	524
3	48
9	41
0	40
30	549
1	528
0	182
0	288
1	6
0	0
1	0
242	389
0	253
12	96
49	53
199	44
56	200
0	0
0	74
36	43
0	31
9	29
151	125
10	44
52	531
1	618
0	475
0	521
0	413
0	461
33	431
6	423
9	537
5	692
9	441
0	573
0	26
35	279
0	249
1	85
3	84
18	84
0	73
0	168
20	29
95	187
0	94
0	118
3	91
22	1
68	316
0	153
20	214
1	137
486	142
0	288
0	274
0	238
0	269
0	285
0	257
0	234
3	15
0	0
185	514
1	80
0	1
22	102
0	105
0	105
0	0
0	0
1	0
0	2
0	3
0	3
0	1
0	1
0	1
30	37
0	44
1	43
37	137
1	73
10	13
0	12
0	10
0	10
25	126
32	31
18	44
10	98
0	66
4	85
11	62
0	80
6	59
0	112
6	69
1	7
1	23
0	57
0	62
0	56
14	57
0	30
0	82
4	59
1	0
19	9
0	25
0	8
21	103
3	259
0	261
1	175
0	243
0	253
0	257
252	578
44	472
0	177
0	271
0	181
0	190
1	192
0	98
9	101
2	102
13	45
130	285
7	15
238	1720
0	1956
0	1876
1	2420
1	1707
2	1329
49	1713
0	1803
0	40
0	35
2	36
0	31
13	53
0	0
324	502
0	577
3	303
4	187
1	252
0	357
37	132
75	178
81	84
54	202
68	120
29	49
215	60
0	136
96	124
0	136
2	136
0	2
0	2
0	3
0	1
0	2
308	337
0	301
11	298
0	113
2	114
8	148
0	113
0	65
2	35
0	71
0	68
0	62
3	62
1	62
0	58
0	58
0	52
0	24
2	67
0	67
4	39
0	42
237	17
9	74
21	75
25	66
0	41
1	41
0	588
493	528
0	542
0	580
0	534
166	153
0	211
2	274
57	256
0	83
0	78
0	83
53	140
76	56
0	80
0	226
0	178
0	151
0	83
0	169
0	92
0	137
0	0
0	0
0	0
0	65
120	277
2	279
3	192
0	12
15	4
687	2076
2	1732
429	577
0	1527
0	500
0	414
3	485
25	749
0	804
0	748
73	739
0	721
0	596
0	565
0	546
6	6
0	169
0	169
1	164
0	164
0	133
19	143
13	143
38	100
1	17
0	22
11	21
0	16
0	30
0	38
123	25
6	99
21	53
14	115
53	157
47	623
46	577
43	576
2	375
0	576
91	1075
287	1036
12	891
6	859
0	226
6	198
6	331
0	311
0	278
0	265
0	270
0	234
0	312
0	243
0	36
0	169
347	228
1	645
0	164
0	328
181	205
0	156
0	121
75	141
0	1
27	76
43	395
0	0
20	85
0	3
5	3
0	5
58	416
21	377
0	0
0	0
0	0
0	0
0	0
0	0
54	45
5	37
67	45
0	71
6	99
0	71
0	83
100	97
42	436
0	708
0	508
12	831
1	458
1	1
0	1
11	110
1	102
35	270
79	285
3	1
0	53
0	80
0	67
11	42
1	84
0	79
0	2376
0	3323
7	2329
2303	435
0	1
0	0
1	0
0	0
38	42
1	28
0	8
2	25
137	31
85	58
12	5
0	79
0	72
0	49
14	580
594	234
0	580
0	0
0	2
0	2
0	0
0	0
0	46
9	31
1	23
0	135
4	409
25	652
1	386
1	378
4	371
78	681
0	253
0	251
0	474
0	531
17	170
0	152
1	265
5	401
0	8
0	9
0	9
1	7
29	11
13	7
6	156
21	140
2	143
0	143
17	75
1	24
0	9
0	0
0	0
0	0
0	65
0	65
3	76
7	313
0	3
0	1
0	11
0	11
6	1
0	1
0	21
0	14
0	21
0	13
50	45
8	2
19	129
0	1
3	49
0	0
6	86
7	1
411	1152
42	1970
0	1539
0	241
206	341
3	335
11	304
5	269
0	0
0	0
0	0
0	0
0	128
0	67
0	50
0	93
15	1577
4	1994
19	3269
191	3253
0	3387
7	1547
0	0
0	79
0	91
0	91
15	1
0	76
1	62
0	41
26	49
0	60
1	31
0	126
0	140
2	138
0	138
0	175
0	147
10	19
7	55
6	20
0	0
0	0
375	417
284	227
617	218
0	0
0	82
10	118
92	239
0	162
0	130
2	103
12	39
1	94
0	2
0	2
19	809
3	571
3	389
27	409
1	347
0	268
7	179
0	41
0	303
0	297
3	304
0	296
47	216
1	57
0	67
0	14
0	14
2	5
30	15
76	21
0	35
0	35
4	25
42	30
33	195
170	103
7	21
34	452
102	150
36	120
11	96
0	451
0	0
0	0
0	0
0	1
0	0
0	1299
0	1578
1	1180
0	1187
44	1071
0	969
0	256
2	193
0	0
0	2
0	4
203	67
1	68
4	58
3	68
16	68
0	2
36	123
0	111
0	103
0	102
0	82
0	71
5	2
374	731
278	574
0	223
0	215
14	171
0	163
309	14
279	38
0	208
5	126
4	182
30	224
256	607
0	383
11	586
4	310
13	399
0	30
0	33
0	35
2	913
324	945
0	856
2	864
0	775
556	575
0	707
5	693
0	30
0	34
0	18
3	28
10	598
41	234
2	2311
0	2221
136	2303
247	1402
0	1172
1	17
2	61
30	78
17	139
5	13
214	534
40	513
78	124
450	411
0	31
1	37
6	36
0	28
0	68
25	135
0	27
0	3
0	119
6	20
2	19
0	6
0	29
0	6
96	315
9	363
3	98
0	199
193	954
7	1073
5	1219
41	1052
144	322
18	38
27	4
112	302
0	401
10	363
76	267
0	361
0	69
4	54
10	67
60	58
0	67
3	66
0	64
24	71
0	0
0	0
0	0
1	0
1	0
0	0
0	16
0	0
0	0
0	0
0	0
0	14
2	38
3	26
0	35
0	43
0	44
17	79
32	288
4	255
1	232
9	7
1	2
0	82
23	72
0	80
0	82
3	266
92	3
0	0
0	56
0	62
0	56
0	51
0	56
9	65
0	23
0	16
42	32
0	33
0	14
0	9
194	696
13	99
7	90
1	48
0	100
0	95
147	40
85	22
0	44
4	52
0	25
226	1291
9	31
231	298
31	22
0	21
2	93
0	58
30	82
0	58
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	2
0	2
2	7
0	7
16	14
0	0
0	539
0	583
0	415
4	587
701	285
0	261
0	121
0	118
0	0
502	2561
103	2606
0	22
0	204
14	198
1	76
1	96
1	88
0	4
41	887
4	825
67	469
34	412
0	420
131	183
0	3
0	3
0	0
0	6
0	69
0	2
0	10
0	2
2	4
0	1
0	3
11	87
36	39
0	80
0	76
0	78
0	1
89	1298
9	1244
145	1680
1	1278
0	931
1	978
0	112
1	120
64	465
3	240
0	253
11	282
18	305
20	107
0	166
0	0
0	0
0	1
42	13
2	412
5	270
15	178
0	300
0	188
3	215
0	1
27	474
9	452
39	471
12	476
5	421
0	415
2	427
16	437
0	223
155	103
0	778
6	772
12	788
0	6
0	2
183	160
0	228
3	1761
27	1937
104	1035
143	77
255	31
0	10
0	5
0	2
8	106
0	86
1	68
0	65
0	44
266	1815
1	998
50	1066
0	426
4	399
53	166
112	140
0	91
74	318
0	127
1	129
0	129
60	135
0	22
0	345
0	294
0	342
0	294
0	286
0	223
0	208
309	113
0	129
15	105
3	102
4	518
2	662
19	223
0	718
0	666
0	582
1	671
0	681
516	291
4	657
0	657
4	271
0	193
4	151
2	538
1	284
0	168
0	204
119	717
5	90
64	124
22	67
19	107
105	66
47	236
0	0
0	0
59	217
1	201
0	260
0	127
0	334
20	396
1	243
112	343
0	253
35	364
0	174
137	596
0	720
27	1672
198	2119
1677	1037
13	1029
0	995
82	870
0	24
0	27
0	27
0	28
1	4
2	8
145	244
679	225
0	184
39	45
0	39
31	35
26	109
155	199
0	193
3	184
0	146
2	156
3	67
8	309
0	361
0	351
90	462
127	391
0	164
68	1541
0	0
5	28
0	48
0	16
0	15
3	31
12	34
65	8
143	197
0	118
0	74
50	41
80	835
0	1652
1	454
15	495
0	723
12	724
0	230
26	2113
0	1528
0	1586
207	2938
45	2677
7	2
0	0
804	268
1	283
0	222
202	350
0	2266
4	2328
129	2384
76	833
7	374
0	0
0	0
0	0
0	6
0	6
0	2
6	6
0	2
2	215
2	183
4	99
3	144
0	181
84	146
4	234
288	358
0	199
13	390
0	144
33	134
15	327
0	225
6	326
297	51
1	221
4	174
5	155
0	404
151	396
516	215
0	77
350	82
6	186
0	119
1	162
0	203
0	121
0	135
0	118
14	151
35	262
1	3
0	0
0	0
0	69
5	78
3	96
1	39
2	47
0	733
57	450
0	590
13	143
9	68
0	73
0	44
0	34
7717	6461
38	1119
0	317
0	314
0	223
30	8
0	22
4	47
0	118
0	150
0	116
0	166
3	175
0	115
6	110
14	135
0	22
9	21
9	9
0	4
0	4
306	173
0	118
0	101
22	525
16	290
31	424
3	132
0	139
13	366
2	209
15	301
0	73
0	52
0	77
0	133
0	133
5	98
4	73
10	96
45	1401
38	1390
30	1071
4	1265
14	1242
0	1054
2	54
10	48
43	101
1	98
0	84
0	83
0	82
0	84
1	48
0	455
39	634
0	446
9	554
38	84
0	153
13	91
2	153
32	127
220	154
1	153
71	153
0	342
7	249
13	2550
99	746
0	454
77	502
1	876
0	904
0	343
33	469
71	71
144	244
0	0
80	62
0	99
0	59
7	30
4	33
46	37
31	3
30	221
0	0
0	96
371	92
11	252
1162	85
0	251
10	29
0	32
