UniqueCount	AmbigCount
25	364
21	348
0	218
10	169
0	283
0	1111
400	752
134	1273
94	941
0	132
1	143
8	124
0	140
0	65
0	65
0	7
9	14
9	3
9477	25291
17101	32847
2996	10821
7	4266
4934	17818
116	18163
0	398
0	395
0	271
94	583
130	282
0	251
0	238
5	255
0	238
1	212
82	223
8	155
8	150
0	2
0	0
16	605
0	672
4	677
0	541
0	583
3	342
0	325
0	2
0	2
0	9
0	2
113	71
1	139
3	174
0	124
0	153
2	135
22	192
0	153
5	120
3	8
0	61
0	36
0	38
0	36
0	36
17	12116
67	5552
24	4956
7	1067
0	1110
55	9878
73	10014
172	227
1	229
0	376
125	413
97	357
0	168
0	157
0	127
0	319
13	250
2	212
24	94
0	94
0	36
53	6524
0	6198
0	6198
1227	4538
1635	5478
83	45
80	202
0	89
0	128
0	92
5	153
0	151
7	239
137	1099
10	1357
733	1367
307	1411
1	834
13	385
0	92
109	182
26	303
0	233
1	90
0	29
21	29
0	23
55	232
12	30
1	861
0	864
94	841
0	864
96	575
2	43
5	23
13	790
0	738
30	756
0	704
131	737
108	223
0	89
0	76
22	33
5	6
8	15
15	194
44	123
2	433
0	390
0	505
0	431
0	340
115	12
89	148
47	407
0	373
0	338
133	122
0	4
82	997
0	935
8	879
38	1147
220	318
0	27
0	104
0	464
0	224
2	241
0	236
3	153
0	134
56	178
7	113
18	137
18	58
13	19
0	5540
1477	7288
24	296
12	208
130	408
249	186
35	91
0	5
702	823
10	1260
1	1082
3	1127
6	1008
1	536
0	687
1	10
41	60
0	101
1	45
16	45
0	12
0	872
1	379
16	910
0	0
0	0
0	0
691	5198
196	5067
1	3429
547	4510
1	261
0	0
2	26
0	31
4	24
0	14
0	14
0	9
0	12
0	688
0	722
0	673
0	695
0	419
17	528
4	538
0	541
177	264
0	425
0	425
9	15
4	250
0	189
58	242
1	396
15	215
15	632
119	62
3	603
409	443
31	487
0	77
9	213
13	92
43	276
0	258
41	772
0	129
17	257
0	1039
0	906
0	1039
6	790
1	122
34	52
0	2
0	1
9	462
8	399
14	431
31	349
1561	433
0	1535
1434	2026
260	2405
0	1409
0	75
4	73
0	77
0	109
0	71
5	83
0	109
0	101
0	5
1	2
0	22
0	22
4	8
5	5
0	1159
77	1299
0	1345
0	416
20	448
1	1132
0	371
7	17
0	10
29	71
19	87
238	856
5	88
3	580
0	7
0	5
0	29
0	28
12	9
1	8
3	22
0	10
8	7
0	10
54	40
2	8
0	356
14	119
39	166
90	125
141	195
0	154
2	184
1	50
7	136
11	126
3	132
211	274
0	244
0	92
3	101
0	268
0	117
1	78
199	212
115	225
20	63
0	96
0	65
10	65
14	304
0	179
6	186
0	497
19	552
1	358
72	527
0	467
2	100
2	35
460	666
179	1343
110	251
0	713
419	906
0	1436
0	1328
3	1357
47	1399
1	1379
0	1294
1	1242
0	1300
0	1364
1	1326
0	1374
0	1383
0	1389
1	1020
0	1332
43	2381
0	1413
1	1211
0	1374
12	2452
0	1353
1	409
0	417
0	556
13	554
17	451
26	139
2	343
0	973
0	766
127	1219
181	1012
0	1068
0	420
0	997
0	1086
3	461
0	472
4	391
298	259
11	380
187	113
4	57
1	190
134	197
37	360
0	218
0	71
36	74
4	79
0	4
0	2
0	1
0	2
0	3
0	3
0	4
0	412
0	370
5	418
0	386
1	355
0	385
0	358
0	374
843	2939
3	2580
0	3194
0	3179
9	2554
0	1455
249	1599
0	3471
0	3394
0	2792
0	3479
0	3836
0	2665
0	3186
130	2895
173	96
26	90
121	674
4	358
0	240
16	246
69	101
11	496
1	373
55	20
186	150
331	5610
634	6091
363	5779
0	4674
1	4210
1	0
0	0
0	0
174	113
5	53
3	463
0	17
76	255
0	56
73	18
0	162
4	249
30	130
5	133
305	81
4	113
0	6
28	124
0	124
0	15
390	382
4	52
1	60
0	248
0	166
0	227
1	183
37	224
0	119
0	302
0	339
0	185
0	332
0	196
0	406
0	393
55	331
0	416
0	373
0	331
0	99
0	107
315	138
0	107
0	107
3	107
0	137
4	78
0	44
0	52
0	52
281	136
48	135
0	1681
151	673
6	235
1	223
10	191
3	5
0	365
12	358
0	214
319	238
0	62
0	62
0	712
0	625
31	758
0	789
0	430
0	602
0	334
244	564
154	234
0	220
0	500
0	498
0	322
0	414
0	414
0	64
0	67
0	31
0	37
402	713
18	166
0	151
205	68
927	888
1	138
0	153
0	116
0	102
67	75
19	135
0	129
0	137
1	68
4	86
6	82
0	116
1	9
0	3
59	211
10	212
0	156
0	172
2	125
0	134
16	109
0	113
29	117
102	1084
0	105
31	182
0	161
0	351
0	662
0	417
0	409
9	750
18	763
13	388
82	341
0	373
97	1292
27	1375
78	1459
0	1386
0	1454
0	20
1	21
0	22
0	21
0	23
0	17
0	19
4	23
79	150
0	59
84	383
0	218
0	130
25	218
0	169
7	47
1	73
186	26
1	309
76	851
228	430
0	115
0	167
0	167
3	93
0	73
0	2
0	2
0	2
13	458
0	182
0	197
11	154
26	12
0	9
0	23
1	45
2	41
1	22
0	22
2	22
4	23
0	22
1	23
19	22
0	63
28	76
18	98
0	15
34	207
4	103
2	111
0	116
0	108
0	103
1	108
0	117
4	98
13	27
0	317
0	391
383	281
0	392
0	271
1	383
0	379
49	212
0	210
0	133
0	133
8	115
56	152
0	49
1	491
0	970
3	317
19	168
0	54
0	29
0	3
81	1227
0	934
0	1049
1	837
0	964
78	804
0	0
0	0
1	9
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
2	542
0	1050
0	544
6	356
0	368
0	469
0	416
0	475
0	469
0	469
0	444
0	456
0	265
1	243
0	226
0	284
1	268
0	256
0	260
75	182
17	107
0	56
0	0
0	1
23	5
0	5
0	1
0	1
0	1
0	0
0	0
0	164
5	119
0	146
0	116
13	149
43	198
0	137
0	137
0	159
0	163
0	154
176	267
0	125
0	410
0	429
52	470
4	429
