UniqueCount	AmbigCount
26	368
20	347
0	194
3	142
1	273
0	355
110	182
44	421
25	251
0	69
5	72
8	62
0	72
0	37
0	37
0	3
2	7
9	3
6373	17456
12255	18417
1222	4839
0	1613
2920	5350
41	5446
0	320
0	313
0	234
44	291
126	169
0	111
0	79
2	105
0	79
1	149
55	118
2	73
22	173
0	1
0	0
22	451
1	506
1	509
0	395
0	459
0	184
0	182
0	1
0	1
0	17
0	2
54	35
0	60
4	84
0	62
1	78
1	63
25	113
0	92
2	61
5	3
2	73
1	39
0	41
0	39
0	38
23	10965
51	4883
9	3738
5	772
0	824
82	8446
119	8734
197	241
1	235
0	104
44	114
35	111
0	47
0	40
0	35
0	196
8	132
0	108
17	49
0	50
0	21
102	6891
0	6807
0	6807
773	4801
1355	4144
15	20
86	242
0	127
0	181
0	126
6	221
2	220
8	301
0	783
8	730
906	734
196	787
0	599
4	309
0	65
159	241
14	448
0	349
6	135
0	23
8	24
0	16
21	62
15	63
0	603
1	507
108	575
0	507
86	325
0	23
2	14
5	322
0	283
23	300
0	264
67	312
27	105
0	14
0	12
1	7
3	6
1	19
15	90
16	56
1	313
1	282
0	357
0	319
0	200
104	11
56	77
31	148
0	134
0	122
156	100
0	9
40	449
0	416
10	417
26	513
107	136
0	2
1	63
0	337
0	174
0	182
0	188
0	113
0	95
50	145
8	98
14	102
11	48
8	11
0	1807
578	2768
12	171
2	101
82	165
160	64
28	53
0	4
294	313
3	486
1	413
0	420
2	373
0	173
0	283
0	12
44	36
0	63
2	30
4	29
0	3
5	800
2	337
49	878
0	9
0	9
0	9
1437	6878
237	6072
4	4022
1131	5977
2	227
0	0
4	10
0	13
9	10
0	13
0	11
0	6
0	8
0	205
0	218
0	263
0	213
0	117
10	280
5	289
0	290
97	127
0	228
0	228
6	5
0	49
0	27
18	272
1	387
20	249
24	678
113	45
5	350
237	270
22	295
0	0
56	58
4	10
3	38
0	31
5	17
0	12
3	31
0	169
0	145
0	169
2	127
0	100
27	52
0	9
0	3
2	194
6	170
17	182
32	114
855	187
0	1183
1747	1542
203	1828
0	1059
0	17
0	16
0	21
0	30
0	21
2	23
0	30
0	27
0	19
6	6
0	16
0	13
6	4
0	4
0	667
85	786
0	808
0	239
6	266
0	720
0	202
4	17
0	12
30	72
9	59
231	560
8	66
2	389
1	7
1	8
0	71
0	59
9	19
4	13
19	51
0	8
6	4
0	6
215	99
4	12
0	228
26	154
18	152
108	110
145	104
0	81
4	96
1	34
15	238
17	229
2	227
173	245
0	232
0	104
6	115
0	250
0	115
1	102
163	79
87	108
13	25
0	31
0	16
6	16
3	140
0	83
1	88
0	297
14	335
3	205
53	318
2	266
2	72
1	22
314	557
93	728
75	119
0	476
204	549
0	809
0	790
0	805
27	819
1	808
0	769
4	630
0	669
0	765
0	781
0	706
0	810
0	791
0	628
0	795
23	1213
0	832
0	646
0	809
5	1229
0	762
0	168
0	179
0	218
16	215
14	183
42	54
1	146
0	562
0	376
62	606
64	569
0	600
0	189
0	535
0	610
3	332
0	346
1	214
254	155
10	208
145	118
14	165
0	121
57	81
14	119
0	57
0	24
4	18
6	29
0	18
0	13
1	11
1	7
0	0
0	0
0	0
4	596
0	497
27	629
2	579
3	482
0	549
0	468
0	504
487	1625
0	1432
0	1812
0	1814
0	1467
0	795
99	814
0	2017
0	1904
0	1518
0	2019
0	2232
0	1501
0	1809
72	1610
188	223
112	218
126	446
2	207
0	133
4	172
60	65
33	471
0	366
40	17
112	51
150	2859
355	3299
314	3007
0	2249
3	2122
0	9
0	0
0	0
131	60
4	35
2	210
2	9
39	134
0	22
57	7
0	117
4	462
25	97
0	93
203	65
14	202
1	5
15	76
0	76
0	7
311	248
10	35
2	42
0	119
0	67
0	113
1	81
15	89
0	50
0	240
0	258
0	142
0	264
0	147
0	303
0	294
43	274
0	324
0	299
0	273
0	46
0	46
409	80
0	47
0	47
1	48
0	80
4	32
0	28
0	26
0	26
138	79
24	80
0	1009
86	377
4	145
1	136
13	134
1	12
1	89
11	188
0	61
187	72
0	62
0	62
1	977
0	802
15	973
0	968
0	495
0	758
0	382
85	177
103	74
0	65
0	166
0	341
0	201
0	239
0	239
0	67
0	67
0	40
0	39
137	242
13	57
0	64
81	25
694	633
1	81
0	86
0	70
0	58
53	38
72	190
5	186
0	193
0	27
5	32
0	29
0	36
0	5
0	4
42	168
4	182
0	39
0	45
1	39
0	39
10	32
0	33
3	36
54	491
3	75
46	167
0	154
0	173
0	394
0	217
0	203
11	427
19	459
11	203
26	168
0	191
39	468
17	663
20	673
0	639
0	702
0	21
0	33
0	37
0	32
0	38
2	20
0	19
1	26
37	58
0	57
62	241
0	86
0	68
2	86
3	47
1	37
2	31
102	49
0	166
35	393
128	203
0	148
0	206
0	206
0	130
0	104
0	9
0	22
0	9
19	242
0	94
0	96
12	76
39	12
2	13
0	22
0	90
3	75
5	71
0	70
3	70
0	25
0	70
1	22
1	3
0	64
26	64
14	134
0	18
10	114
7	81
0	70
0	90
0	69
0	80
1	69
0	92
0	65
18	59
0	524
0	652
688	504
0	657
0	481
0	623
0	620
50	102
0	99
0	58
0	58
8	75
14	72
0	44
54	301
0	671
0	183
17	102
1	139
0	63
0	6
83	907
0	656
0	725
0	627
0	673
71	630
0	43
0	41
10	52
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
3	274
1	409
2	280
7	178
0	124
0	148
0	135
0	158
0	148
0	148
0	144
0	148
0	118
0	75
0	69
1	119
3	119
1	110
0	115
13	50
11	28
1	37
0	0
0	1
48	2
0	2
0	0
0	0
0	0
3	2
0	0
0	143
0	96
0	126
0	96
12	135
40	137
0	78
0	78
0	51
0	51
0	46
82	103
0	54
0	153
0	160
24	170
1	160
0	113
127	127
0	0
0	207
14	335
0	117
0	176
0	276
0	0
130	10
0	16
251	0
0	72
1	70
0	219
9	81
1	61
0	54
9	127
0	123
0	55
0	55
0	2
8	35
0	35
98	251
0	251
63	181
1	22
79	20
0	8
0	1
0	42
10	33
0	20
4	9
149	181
2	58
26	283
0	164
0	128
0	148
0	138
0	153
0	150
2	137
0	435
0	500
2	211
0	354
0	17
41	278
0	233
0	80
2	40
4	97
0	72
0	114
0	37
81	107
4	45
0	53
0	48
17	2
16	186
0	85
0	119
0	81
95	90
0	129
0	128
1	83
0	94
0	99
0	86
0	82
0	21
0	0
793	878
135	116
0	0
9	168
0	122
0	122
2	4
0	2
3	2
0	8
0	4
0	4
0	2
0	5
0	2
73	136
0	155
3	128
11	46
15	26
1	6
0	13
0	13
0	13
6	40
29	25
13	21
0	32
1	18
0	36
0	19
0	31
3	18
0	91
3	62
4	30
0	13
0	92
0	118
0	96
12	102
0	63
0	116
11	83
0	9
23	15
0	27
1	15
100	167
2	246
0	244
0	159
0	223
0	233
0	244
224	486
16	374
0	169
0	244
0	168
0	187
0	188
0	94
0	95
0	94
5	46
15	688
9	10
102	518
0	652
2	584
3	718
0	589
0	384
5	507
0	458
0	40
0	14
1	35
1	26
4	44
0	1
131	229
0	259
5	106
3	67
0	74
0	111
12	80
28	63
17	43
1	144
56	90
33	25
120	90
0	44
40	37
0	44
0	44
0	1
0	1
0	1
0	1
0	1
251	207
0	184
10	179
0	55
10	55
0	68
0	55
0	31
0	40
0	69
0	65
0	48
0	46
0	46
0	86
0	86
0	76
0	20
4	28
0	28
13	35
0	29
170	37
15	89
13	64
25	61
0	15
0	39
0	257
232	244
0	255
0	237
0	236
50	92
0	81
0	85
1	88
0	66
0	62
0	67
37	186
44	98
0	61
0	224
0	131
14	163
0	74
0	137
0	71
0	154
6	11
2	9
3	7
3	47
96	204
0	191
2	131
0	20
21	10
134	616
1	625
43	202
0	489
0	417
0	359
11	346
46	559
0	594
0	593
35	497
0	556
0	445
1	476
0	423
1	14
0	75
0	75
0	69
0	69
0	56
11	45
0	45
30	73
10	358
3	353
57	391
15	313
2	400
4	443
25	16
5	36
0	13
0	67
16	67
0	208
20	213
0	196
1	148
0	196
148	1199
97	932
11	801
121	943
0	160
0	143
13	274
0	273
0	253
0	238
0	229
0	191
0	307
0	199
0	5
0	49
50	42
0	96
0	57
0	47
33	68
0	55
0	44
15	62
0	1
161	915
19	241
0	4
13	73
1	1
7	0
0	2
34	205
5	189
0	0
0	1
0	0
0	0
0	0
0	0
25	33
3	25
100	128
12	235
3	318
0	241
1	260
167	220
14	138
0	223
0	135
6	308
5	247
0	6
0	6
1	36
0	26
0	44
37	57
6	4
0	6
0	9
0	9
2	5
0	11
0	9
7	994
1	1497
0	935
1387	529
4	87
1	71
0	63
0	38
40	54
0	28
0	13
3	17
506	236
214	283
12	8
0	15
0	91
0	55
3	492
231	185
0	492
3	18
0	0
0	0
0	0
1	21
0	17
0	22
1	80
0	21
7	179
1	242
0	170
0	173
0	164
45	272
0	126
0	126
0	160
0	141
68	72
0	73
0	85
0	137
0	79
0	80
0	80
0	40
61	13
4	30
10	396
62	385
0	337
0	280
26	201
22	80
0	32
0	0
0	0
0	0
0	114
5	114
32	83
3	337
0	7
0	4
0	19
0	19
23	9
0	9
0	43
0	27
0	43
1	33
0	51
0	4
31	119
0	0
0	0
0	0
1	49
1	7
1	623
0	1095
1	900
0	143
133	129
3	117
8	127
0	74
1	1
0	1
0	0
0	1
0	64
0	41
1	28
0	57
7	1088
15	1599
12	1377
76	1470
0	1445
1	948
3	25
0	18
0	12
0	12
14	0
0	18
0	198
0	80
52	119
0	182
4	98
0	312
0	381
1	355
0	385
3	408
0	375
11	20
0	46
0	17
0	0
0	0
143	303
107	121
222	226
0	0
0	90
0	88
71	141
0	130
0	57
2	100
17	40
0	57
0	3
0	3
16	636
0	532
0	285
24	472
19	434
0	206
0	62
0	37
3	234
0	150
4	234
0	228
88	76
0	15
0	15
0	18
0	18
4	11
33	26
1	24
0	32
0	32
0	27
7	33
20	70
45	39
0	15
10	143
27	54
13	38
5	34
1	143
0	2
0	0
0	0
1	0
0	0
0	449
0	460
0	390
0	387
51	247
0	276
0	54
2	315
0	0
1	8
0	4
180	117
3	34
0	41
0	33
2	35
0	15
74	320
0	284
0	292
0	327
0	245
0	218
8	5
2	196
121	153
0	207
0	203
0	147
0	145
83	33
139	100
0	172
12	108
5	203
22	187
59	95
0	107
1	96
1	69
0	169
0	19
0	20
0	20
0	394
55	449
0	373
1	352
0	326
170	307
0	298
0	288
0	6
0	3
0	1
3	4
8	224
21	80
1	1000
1	910
7	1008
124	776
0	424
0	3
0	32
13	47
5	75
4	17
86	244
4	357
37	139
424	328
0	75
1	97
41	95
0	67
0	17
0	8
1	35
0	11
0	48
3	34
0	32
0	17
1	52
0	15
51	198
4	207
0	57
5	121
0	20
2	229
0	283
4	278
28	88
13	22
13	2
61	193
0	232
4	198
31	154
0	200
0	52
0	44
2	69
30	74
0	49
0	49
0	45
4	32
0	5
0	1
0	1
17	10
12	69
0	57
0	10
0	4
0	4
0	1
0	0
0	7
0	74
5	66
0	37
0	30
0	34
7	60
28	143
4	106
0	95
6	16
3	8
0	314
44	296
0	313
0	314
7	131
50	15
0	11
0	52
0	58
0	56
0	56
0	56
3	66
0	23
0	20
74	34
0	30
0	1
0	9
48	462
1	25
2	55
0	43
0	20
0	20
145	42
40	31
0	38
2	25
3	24
105	543
2	32
91	229
39	28
0	0
2	110
3	10
2	12
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
1	16
6	20
2	0
0	0
4	76
0	65
32	48
0	0
0	389
0	414
1	317
0	390
101	82
0	77
0	13
0	13
0	0
77	321
2	282
0	30
0	96
12	229
0	80
1	105
0	80
0	0
0	918
2	726
89	718
0	236
0	296
43	119
0	1
0	4
0	0
1	2
0	32
0	3
0	3
0	3
0	4
0	2
0	0
0	111
2	59
0	103
0	111
0	103
1	3
0	1479
1	1404
1	1622
3	1333
0	950
1	940
2	24
0	24
52	163
0	70
0	75
0	89
9	86
1	24
0	47
0	30
2	30
4	0
5	18
0	175
1	152
0	123
0	143
0	122
0	95
3	1
17	228
15	218
11	225
11	212
0	205
0	143
0	173
0	158
0	92
50	58
0	241
0	234
0	234
0	15
1	13
82	60
0	118
170	1111
4	1225
19	624
145	112
159	164
0	20
0	8
0	7
0	28
0	25
0	19
0	18
0	21
1	752
7	523
35	428
0	143
2	142
28	68
30	48
0	35
8	274
0	143
1	135
0	138
46	96
0	38
0	420
0	315
0	374
0	315
0	362
0	286
0	237
445	178
1	221
9	198
14	157
3	145
0	211
3	49
0	300
