UniqueCount	AmbigCount
39	410
21	390
0	219
14	175
1	318
0	471
179	303
40	580
28	376
0	109
7	124
11	107
0	119
0	62
0	62
0	10
3	9
13	2
3048	9688
6389	11351
1123	4055
6	1348
2282	5524
26	5528
0	840
0	808
0	610
101	577
129	274
0	237
0	194
1	233
0	194
0	203
81	177
3	103
4	29
0	2
0	0
26	2299
0	2592
10	2611
0	2064
0	2295
43	1456
0	1349
0	0
0	0
0	20
0	0
59	60
1	98
2	131
0	95
0	116
6	109
24	161
0	180
17	134
4	2
3	49
1	31
0	34
0	31
0	31
29	10761
65	5232
24	4386
3	902
0	938
58	8703
100	9018
290	303
0	301
0	113
46	120
43	111
0	62
0	60
1	51
0	223
20	151
0	126
21	58
0	58
0	21
34	3975
0	3840
0	3841
762	2805
802	2933
45	23
43	94
0	57
0	69
0	66
1	90
0	100
3	129
3	1331
5	1475
797	1476
521	1723
0	1031
22	598
0	138
54	97
3	156
0	124
1	49
0	11
10	11
0	5
42	167
4	10
0	803
0	779
68	781
0	779
102	537
0	33
3	16
4	110
0	100
6	97
0	89
20	100
15	33
0	15
0	13
1	6
11	13
6	33
20	365
73	318
1	301
0	277
0	334
0	256
0	257
135	11
105	123
35	263
0	237
1	211
99	84
0	5
91	949
0	883
5	843
46	1105
258	288
0	0
0	48
0	266
0	134
2	148
0	135
0	78
0	63
76	258
13	147
28	159
22	75
18	14
0	2702
682	3878
13	315
8	182
80	234
224	79
19	62
0	5
922	855
1	1402
8	1207
2	1304
6	1099
1	588
0	784
0	3
18	19
0	31
0	12
11	17
0	2
6	506
3	195
18	526
0	2
0	2
0	2
864	5539
231	5052
1	3289
432	4601
0	223
0	0
2	8
0	7
0	5
0	5
0	5
0	4
0	4
0	468
0	496
0	482
0	484
0	277
18	611
6	618
0	623
166	248
0	437
0	438
11	25
0	39
0	24
9	100
0	253
26	148
15	419
111	38
2	562
340	420
11	451
0	17
8	56
10	33
13	81
2	67
0	0
0	32
1	64
0	119
0	99
0	119
0	90
2	71
17	37
0	0
0	0
17	624
9	578
40	617
52	408
1298	309
0	487
582	679
37	706
0	451
0	31
2	32
0	33
0	43
0	32
2	31
0	43
0	42
0	4
1	2
0	1
0	1
5	3
3	2
1	1130
42	1310
0	1344
0	475
34	509
0	1127
0	350
2	26
0	24
20	41
5	60
149	532
4	92
0	337
1	1
0	1
0	12
0	12
1	4
0	3
3	11
1	12
3	7
1	9
44	30
3	5
0	214
8	91
90	577
322	405
146	200
0	153
4	179
0	58
11	235
30	225
8	235
169	218
0	190
0	92
2	90
0	206
0	101
0	73
347	217
83	119
25	40
0	50
0	23
1	23
4	204
0	119
5	118
0	382
12	442
4	292
68	405
1	358
2	136
0	34
262	546
122	876
43	178
1	471
296	560
0	1411
0	1284
6	1333
51	1388
4	1355
0	1244
4	1242
1	1340
0	1323
0	1324
0	1346
0	1375
0	1380
0	962
0	1282
43	2308
0	1400
0	1184
0	1349
13	2370
0	1359
0	341
0	318
0	386
21	389
20	418
34	138
2	251
0	889
0	691
109	1059
185	920
0	963
0	330
1	903
0	975
16	504
0	502
8	387
435	274
8	384
128	377
1	41
0	173
136	233
53	407
0	223
0	83
35	90
11	96
0	3
0	3
0	3
0	0
1	1
0	1
1	1
6	66
0	56
4	67
0	59
0	56
0	58
0	54
0	59
1612	5861
0	4661
0	6004
0	6013
8	4341
0	2904
394	3274
0	6052
0	5840
0	4835
0	6068
0	6674
0	5035
0	5988
264	5405
158	117
44	97
92	648
0	350
1	239
9	259
87	99
4	283
0	229
40	11
277	172
194	3219
443	3561
178	3366
1	2635
0	2400
1	3
0	0
0	0
68	67
6	34
1	305
1	12
26	96
0	23
70	12
0	186
2	218
29	162
0	151
273	99
2	125
1	12
14	77
0	77
0	6
210	216
16	17
0	20
0	248
0	136
0	230
0	159
39	192
0	98
5	364
0	441
0	227
0	445
0	302
0	535
0	529
33	448
0	547
0	486
0	400
0	40
0	45
314	60
0	45
0	47
0	46
0	60
2	39
0	33
0	32
0	32
154	83
31	80
0	1318
127	545
0	46
2	45
2	43
0	1
0	182
13	276
0	129
218	154
0	99
0	99
0	565
0	453
18	568
0	577
0	341
0	422
0	289
138	392
112	152
0	136
0	353
0	267
0	174
0	220
0	220
0	71
0	72
0	43
0	43
171	247
11	69
0	84
105	35
972	853
4	105
0	110
0	96
2	79
66	57
31	153
1	101
0	137
0	20
3	26
1	31
0	35
0	1
0	1
32	199
11	409
0	26
0	31
0	23
0	28
4	21
0	21
4	21
116	1269
1	44
24	80
0	73
0	371
0	747
0	440
0	426
10	813
22	840
13	447
75	356
0	418
60	937
19	728
27	777
0	739
0	736
0	5
0	10
0	7
0	6
0	7
0	3
0	3
3	4
52	61
0	59
76	280
0	190
0	123
11	190
2	114
2	58
7	68
123	32
1	396
103	925
222	514
0	89
0	149
0	149
1	89
0	62
0	6
0	8
0	5
24	506
0	214
0	230
7	180
16	4
1	5
2	121
0	234
6	194
7	124
0	119
0	114
2	126
0	121
7	121
1	2
0	35
23	43
7	68
0	8
38	147
9	100
0	115
0	128
0	111
0	111
1	111
0	122
0	98
1	4
0	264
0	326
377	248
25	329
0	217
0	321
0	315
30	160
0	158
0	95
0	96
20	245
66	278
0	137
58	289
0	534
2	188
25	99
0	32
0	16
0	1
129	1268
0	934
0	1062
1	871
0	966
65	876
0	2
0	2
10	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	495
0	961
0	500
7	341
0	58
0	67
0	62
0	67
0	67
0	67
0	64
0	62
0	77
1	62
0	61
0	64
4	78
2	59
0	63
15	41
6	30
1	13
0	0
0	0
26	3
0	3
0	0
0	0
0	0
0	0
0	0
0	106
6	71
0	103
0	70
4	94
30	151
0	89
0	89
0	121
0	123
0	116
210	237
0	132
0	491
0	506
45	561
12	506
0	377
367	447
0	0
0	241
9	415
0	129
0	203
1	339
0	0
148	25
0	35
176	0
0	189
1	98
0	261
15	99
1	82
0	73
