UniqueCount	AmbigCount
3	16
0	12
0	31
0	9
0	11
0	28
27	21
4	32
1	16
0	18
1	22
0	14
1	22
0	7
1	7
0	1
0	0
1	0
309	1324
8520	1504
128	1026
0	31
3467	1169
150	1239
1	49
0	51
0	40
14	49
11	17
0	11
0	10
2	10
0	10
1	10
3	13
0	5
2	1
0	0
0	0
3	95
3	102
1	91
0	99
2	90
1	55
4	48
0	0
0	0
0	0
0	0
13	7
0	11
1	17
0	13
2	9
0	12
7	31
0	14
0	12
1	0
0	16
1	3
0	5
0	3
0	5
177	2477
5	986
1	712
0	245
0	243
5	1684
42	2023
0	88
28	105
1	60
17	65
15	58
0	28
0	27
0	17
0	47
2	28
1	23
7	13
0	13
0	5
66	1502
0	1574
0	1574
240	1054
469	604
1	4
39	60
0	13
0	10
0	12
0	20
0	19
5	70
0	70
39	178
113	155
44	204
4	124
1	29
0	9
84	21
0	12
0	7
27	18
0	3
0	3
0	1
1	14
0	3
3	64
0	55
18	61
0	55
34	40
0	0
1	0
3	32
0	31
0	33
0	30
3	27
1	9
0	5
0	5
9	2
8	2
1	3
15	14
1	3
0	16
1	12
0	13
4	8
0	15
51	0
0	7
3	29
0	19
0	16
3	6
0	1
1	152
3	146
0	56
7	159
50	40
2	2
0	6
2	96
0	18
0	13
0	12
0	14
0	10
19	48
0	29
0	33
7	9
10	3
1	254
108	365
11	45
3	34
31	21
7	3
4	11
5	2
159	26
0	27
0	19
0	27
0	23
0	13
0	16
1	0
13	1
1	1
0	1
0	0
0	0
2	46
1	27
40	64
0	0
0	0
0	0
192	544
12	173
7	230
134	501
2	11
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
1	64
0	68
0	59
0	63
0	38
2	25
3	26
0	26
55	11
0	13
0	12
2	0
1	6
1	4
0	6
2	46
1	23
27	67
48	4
0	26
209	24
1	22
0	1
1	5
3	1
5	4
0	0
0	6
0	0
0	0
0	11
0	9
0	9
0	6
0	7
28	7
0	0
1	0
12	84
2	63
2	85
14	63
94	29
0	84
341	209
45	244
6	41
0	3
1	1
0	3
0	3
0	2
0	2
0	3
0	3
0	0
0	0
0	0
0	0
1	0
0	0
3	61
11	66
0	67
0	97
14	96
13	72
0	24
2	2
0	2
1	3
10	19
47	153
0	24
0	87
0	0
0	1
0	13
0	10
7	4
0	3
2	10
0	5
2	4
0	2
12	6
0	2
5	5
4	18
65	77
26	66
11	5
0	4
0	6
0	3
4	34
1	30
1	31
110	9
0	12
0	9
1	11
0	13
0	11
0	5
23	16
11	7
7	3
0	5
0	3
0	3
