UniqueCount	AmbigCount
5	93
0	77
1	146
0	56
0	73
0	89
152	67
18	102
0	58
0	70
2	87
0	51
7	77
0	32
0	31
0	4
0	0
1	0
423	2149
24992	4253
294	1672
1	82
12688	2638
335	3822
16	407
6	423
1	283
40	267
40	40
0	43
0	29
7	42
0	29
5	47
28	59
4	35
22	5
1	0
0	0
11	285
10	285
2	228
0	257
1	231
9	187
1	119
0	2
0	2
0	4
0	2
73	23
2	52
10	65
0	58
4	53
0	39
29	117
0	51
4	36
10	3
7	108
0	42
2	43
0	42
0	43
815	10352
42	3544
6	2525
9	787
0	782
10	6941
191	8578
1	202
139	249
11	131
39	170
38	129
0	80
0	74
0	39
0	271
8	188
1	156
18	37
0	39
0	16
261	4719
0	4975
0	4975
932	3436
1663	1903
1	20
212	440
0	52
0	39
0	51
0	68
0	65
29	490
0	275
199	879
298	770
171	916
27	577
17	88
0	25
291	60
4	27
0	24
65	57
0	19
7	20
0	16
16	83
5	25
15	277
0	244
39	264
0	234
83	125
0	5
2	5
12	97
0	93
7	94
0	86
11	84
4	27
0	14
0	10
49	5
7	10
2	16
49	71
13	47
0	44
13	41
0	46
6	31
0	49
309	3
0	26
12	113
0	101
0	90
29	27
0	7
28	649
8	603
4	228
47	689
228	211
11	6
0	22
11	263
5	51
0	51
0	46
0	55
1	41
89	149
0	94
0	108
19	29
28	16
12	1050
482	1548
57	287
23	177
155	99
29	19
31	44
2	4
788	108
1	103
0	91
0	109
4	67
0	55
0	41
5	4
63	3
0	3
0	2
2	2
0	0
5	204
0	93
205	256
0	2
0	2
0	2
832	2432
92	686
22	1049
588	2252
2	21
0	0
0	1
0	1
0	1
0	5
0	5
1	0
1	0
3	203
0	218
0	244
0	217
0	97
7	85
6	84
0	79
172	19
0	27
0	26
6	1
4	35
0	18
1	19
39	211
21	55
124	312
197	30
0	128
712	105
1	101
0	7
6	18
42	6
16	27
0	7
2	64
0	3
0	14
0	69
0	62
0	54
1	28
8	28
75	37
0	6
2	5
15	260
18	158
8	228
52	174
321	84
0	286
1015	675
108	871
15	144
0	7
1	8
0	10
0	23
0	9
4	9
0	23
2	16
0	1
2	1
0	1
0	1
6	4
1	3
28	213
27	232
3	220
5	301
0	293
54	259
5	78
2	8
0	3
22	43
38	54
285	573
7	77
0	352
0	6
0	4
0	31
0	23
6	9
1	6
3	23
1	23
6	13
2	16
23	9
2	2
7	19
23	102
323	344
240	268
45	28
0	23
0	21
3	10
9	109
5	112
2	113
487	56
2	47
0	34
5	41
0	65
0	46
0	23
180	68
18	13
18	5
0	7
0	2
0	2
8	169
0	122
4	123
0	100
64	335
0	57
1	132
0	294
1	50
0	3
327	463
298	833
10	42
1	567
137	94
0	400
0	327
1	339
0	384
0	384
0	302
0	355
0	375
0	376
0	358
0	391
0	375
0	386
0	227
0	330
20	2012
0	388
1	299
0	361
79	2010
0	384
0	48
10	98
10	231
23	229
22	298
30	29
0	76
0	85
0	87
143	404
2	90
0	88
0	79
0	92
0	90
1	59
11	69
5	23
210	24
1	25
5	29
5	106
0	41
226	58
9	197
3	133
0	32
32	25
0	33
3	60
0	58
7	44
0	24
0	6
0	6
1	7
14	208
0	198
0	205
2	192
0	194
1	197
2	192
1	186
932	1255
2	476
0	545
0	546
1	452
0	104
209	922
0	813
0	615
0	484
0	804
0	846
0	484
0	551
43	449
637	76
4	68
200	168
13	53
3	28
3	77
191	39
22	458
18	312
106	0
197	21
140	1887
267	1912
175	1685
3	1472
1	1395
4	2
0	0
0	6
83	88
8	39
0	185
0	3
29	74
0	6
42	2
0	13
0	64
3	11
0	11
72	9
5	16
2	20
19	45
5	45
0	1
16	31
5	3
55	3
1	157
0	48
0	155
1	59
35	64
0	33
0	80
3	83
0	68
1	85
0	34
0	99
0	104
21	78
6	112
2	90
1	79
1	38
0	26
61	68
0	37
0	38
2	25
2	69
6	16
5	52
