UniqueCount	AmbigCount
4	42
5	41
0	16
1	19
6	37
0	23
8	9
7	27
1	17
1	7
0	8
2	9
3	10
0	6
0	5
0	1
0	0
1	0
4291	2215
325	356
272	1434
0	6
963	738
0	208
1	48
5	52
0	34
0	12
11	20
1	19
0	15
4	18
0	15
7	19
17	23
15	12
3	0
0	1
0	0
1	91
6	100
1	92
4	100
7	87
3	51
0	33
0	0
0	0
0	1
0	0
0	3
0	16
2	16
2	16
4	16
1	16
2	26
0	7
10	12
0	0
0	13
0	10
0	10
0	10
0	9
1	1036
187	1008
4	621
1	163
0	165
200	1483
2	899
20	45
0	45
2	53
6	44
0	25
0	28
0	30
0	34
0	24
0	8
0	5
3	10
1	10
0	5
16	376
0	599
0	599
114	347
1044	463
12	22
20	37
0	17
0	19
0	17
0	28
0	27
1	43
22	65
0	50
92	50
27	64
0	44
1	47
1	13
7	4
13	56
0	51
0	2
0	4
2	4
0	2
14	7
1	2
8	136
2	116
26	126
0	113
23	82
0	0
0	0
7	29
0	34
0	30
0	32
2	29
2	4
0	20
1	12
0	0
0	3
1	6
3	11
7	8
0	46
4	41
3	39
3	29
6	36
2	1
36	3
1	20
0	16
0	15
7	8
1	1
0	28
0	29
8	44
2	33
0	13
2	1
2	10
0	8
3	30
0	16
7	27
0	12
1	10
11	43
0	25
0	32
4	12
0	4
4	176
60	239
2	26
2	12
8	11
30	8
37	21
0	9
15	14
0	94
0	71
1	86
2	86
0	48
0	51
0	1
1	0
0	5
0	0
1	6
0	1
0	28
0	7
0	28
0	0
0	0
0	0
230	780
58	419
26	389
163	442
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	1
0	0
0	30
0	35
0	39
0	35
0	18
1	41
0	36
0	34
2	6
0	31
0	31
0	1
0	8
0	5
0	5
0	24
2	6
2	32
0	1
2	101
26	25
1	79
0	0
2	2
2	0
3	7
1	2
3	6
0	3
1	2
1	14
0	15
0	11
0	10
6	14
2	5
0	1
0	0
3	60
2	44
1	51
3	30
288	8
18	244
356	333
54	329
16	166
0	0
0	0
0	2
0	2
0	2
0	1
0	2
0	2
0	0
0	0
0	4
0	4
0	1
1	0
9	82
7	66
3	77
0	8
0	8
11	43
0	12
0	3
0	1
4	3
6	5
62	82
0	13
12	37
0	1
1	2
0	5
0	5
2	1
0	1
2	5
0	1
0	1
0	0
8	4
2	3
1	5
6	15
3	13
3	6
14	8
0	5
0	7
0	1
3	21
2	19
2	22
2	16
1	69
1	57
2	65
1	86
0	48
8	35
44	13
7	6
0	0
0	4
0	1
0	1
0	20
1	16
1	16
1	48
1	27
1	39
1	49
0	27
1	17
0	6
51	98
3	42
12	10
0	27
120	20
0	187
0	176
3	182
4	189
0	186
0	174
1	127
0	149
4	185
0	174
0	164
0	182
2	183
0	145
1	172
0	51
0	185
0	163
0	185
0	48
0	184
0	48
4	54
1	10
7	11
0	3
10	23
0	34
0	97
2	84
0	14
3	106
0	107
0	67
0	102
0	111
1	39
0	35
0	28
6	5
2	23
26	10
1	12
4	12
106	16
0	6
0	4
1	16
7	15
1	14
0	4
0	3
3	3
0	2
0	0
0	0
0	0
10	56
0	48
0	54
0	54
1	48
0	47
0	49
1	46
39	161
2	332
0	366
0	371
4	275
0	180
10	66
0	468
2	390
0	344
0	466
0	476
0	334
1	367
34	319
12	16
1	7
30	46
15	26
2	21
0	15
7	2
2	59
4	37
6	2
23	1
12	225
40	219
51	228
2	185
0	173
0	0
0	0
0	0
26	15
0	7
1	39
0	0
11	11
0	1
0	0
0	7
0	15
2	3
0	6
2	2
2	6
0	2
2	3
0	3
0	1
14	11
2	1
4	1
0	23
0	8
0	22
0	7
0	6
0	6
0	9
1	13
0	8
0	13
0	7
0	16
0	16
2	11
1	15
0	13
0	10
0	4
0	2
2	3
0	4
0	4
0	2
0	3
1	1
2	3
0	4
0	5
18	10
3	21
10	102
9	52
2	14
0	13
0	14
0	0
0	2
0	28
3	18
67	21
0	11
1	11
1	82
0	70
1	26
0	27
0	50
0	22
0	47
1	8
9	38
1	37
0	7
0	21
0	19
0	26
2	23
0	11
0	11
0	6
0	10
29	20
6	5
7	26
0	1
39	31
2	33
0	39
0	18
1	30
6	5
4	22
3	17
2	18
1	3
0	4
0	5
1	2
0	2
0	1
8	35
2	50
0	7
0	8
0	10
0	5
0	5
0	6
0	5
21	141
3	8
13	17
0	17
0	40
4	82
0	46
2	44
4	88
2	90
1	48
1	19
1	45
57	69
5	80
7	80
0	68
8	92
0	2
0	3
0	2
0	3
0	3
0	2
0	2
2	2
20	4
0	1
12	27
0	11
0	11
1	11
0	16
1	7
2	9
17	2
40	23
11	40
31	9
0	23
0	26
0	24
1	11
0	14
0	3
0	3
0	3
2	47
0	19
1	22
0	15
0	0
0	4
2	4
0	16
1	14
1	12
0	12
0	11
0	4
0	12
0	3
1	0
0	5
0	5
0	0
0	2
2	13
3	13
0	15
1	16
0	14
0	14
0	14
1	16
0	14
0	0
3	27
0	25
2	5
3	30
0	20
0	29
0	31
3	47
4	44
0	23
1	23
25	12
1	1
0	11
33	44
0	174
1	37
63	18
1	24
0	6
0	2
38	166
7	106
0	107
0	95
0	108
11	130
0	2
0	2
1	5
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	75
0	14
1	75
1	59
0	25
2	30
0	27
0	31
0	27
0	26
0	29
0	32
0	16
0	12
0	12
0	13
2	18
0	12
0	12
1	10
2	6
1	7
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
2	24
0	3
0	23
1	3
19	18
0	13
0	12
0	8
0	8
0	6
7	32
0	10
0	125
0	125
22	110
5	127
0	103
3	22
0	0
0	3
4	30
0	7
0	9
0	20
9	0
1	0
0	1
43	0
1	48
4	28
0	4
1	27
0	23
0	23
1	18
0	17
0	5
0	7
0	1
0	1
0	1
6	10
0	8
1	10
11	4
7	1
1	6
0	0
0	11
10	4
0	4
1	3
35	27
6	14
3	14
1	54
1	38
0	41
0	32
0	37
0	36
0	38
21	61
0	68
0	40
0	74
0	3
3	13
0	10
0	6
0	19
4	39
10	28
0	13
3	14
12	22
0	13
0	16
1	25
1	0
30	63
0	13
2	58
1	20
4	7
0	28
0	35
0	22
0	20
0	24
0	20
0	18
0	1
0	0
18	36
18	30
0	0
5	45
2	27
0	27
0	0
0	1
0	1
0	1
0	0
0	0
0	3
0	1
0	4
7	10
1	10
1	8
1	9
0	3
4	2
0	3
0	3
0	2
2	6
0	0
6	4
0	5
