UniqueCount	AmbigCount
23	224
13	198
0	97
6	130
57	182
3	275
21	73
63	286
0	178
0	62
2	71
2	52
12	75
0	19
1	20
0	5
3	8
8	2
14135	18731
819	1230
1132	17251
0	43
7906	4347
2	670
17	276
6	293
0	220
0	56
167	209
8	163
0	209
24	181
0	209
143	115
91	127
26	80
12	1
1	1
1	0
0	506
30	532
12	538
0	485
49	571
18	309
1	205
0	1
0	1
1	9
1	1
2	19
0	82
9	90
11	90
14	76
23	84
18	137
0	54
70	60
0	7
1	63
3	12
1	12
0	12
1	11
8	7303
847	8838
63	6248
6	1676
1	1668
2116	11877
0	6487
210	331
11	330
0	282
59	277
38	235
0	171
1	165
5	166
0	244
11	144
1	108
31	54
0	64
1	37
256	2146
0	3687
0	3687
903	2310
8451	3083
128	177
73	208
2	112
0	150
0	123
8	185
2	200
7	259
43	522
0	236
361	244
167	259
0	184
25	668
0	157
35	26
56	392
2	358
0	9
0	19
1	20
4	14
76	88
4	3
52	944
11	896
127	922
1	866
110	587
0	3
0	2
40	217
0	220
13	218
0	222
34	178
19	65
0	63
1	33
0	1
0	14
28	53
9	47
18	32
1	288
58	262
2	310
5	236
12	186
6	6
173	43
10	104
0	91
0	86
37	33
0	5
0	208
1	220
21	353
24	255
1	29
41	11
11	57
4	93
23	143
0	119
7	117
0	72
1	71
123	260
1	173
0	221
44	81
0	13
21	1122
521	1805
0	190
10	123
37	26
52	12
212	69
6	47
47	77
20	692
3	514
23	593
2	609
0	334
0	377
2	4
3	1
4	19
0	6
9	10
1	2
2	82
0	12
0	84
1	1
0	1
0	1
1703	4289
1985	3570
8	2033
688	2927
0	21
0	1
0	7
0	7
1	3
0	0
0	0
6	0
2	0
3	132
0	145
0	258
0	150
0	85
4	149
5	151
2	145
76	29
0	92
0	92
1	1
1	43
0	22
1	20
18	133
23	42
24	147
1	13
33	538
207	141
8	431
0	1
2	9
3	1
15	53
2	25
2	26
3	8
0	30
3	59
1	54
0	48
0	21
23	72
4	36
0	0
3	0
16	276
15	238
8	286
35	135
1489	57
69	1501
1878	1988
245	1932
160	895
2	18
1	10
0	15
0	19
0	13
1	8
0	19
0	13
1	0
2	0
0	4
0	4
0	1
1	1
42	502
46	433
61	503
0	63
0	63
107	305
0	98
0	8
0	5
19	33
13	36
281	609
2	67
222	279
1	5
0	4
0	20
0	16
3	7
1	7
0	16
1	11
0	5
3	9
20	17
3	6
12	23
50	83
11	47
35	22
81	52
0	37
5	46
8	13
3	134
5	124
3	137
29	48
2	167
1	101
4	123
13	264
6	126
82	95
299	116
58	49
0	13
0	23
1	18
0	19
7	166
2	99
3	96
3	227
5	160
2	185
29	250
0	151
4	57
0	9
306	439
15	176
68	71
0	73
1008	128
0	1831
0	1767
1	1732
9	1923
0	1856
1	1754
2	1307
0	1553
23	1903
1	1732
0	1735
0	1854
0	1780
1	1492
1	1733
0	445
0	1849
4	1647
0	1740
14	435
0	1901
0	266
22	283
1	71
23	76
17	101
55	104
4	194
0	459
16	393
50	151
39	549
0	562
0	323
1	526
0	565
0	230
18	205
1	160
31	33
13	147
219	30
3	54
14	90
536	123
0	46
0	30
0	100
68	94
13	90
1	10
0	11
3	9
0	6
1	3
0	3
0	2
7	106
0	96
0	99
3	86
6	90
0	92
0	84
0	80
205	897
3	1812
0	1927
0	1947
340	1260
0	629
27	363
0	2215
5	1875
0	1673
0	2366
0	2440
0	1666
6	1767
261	1596
228	85
0	60
194	283
1	153
11	102
26	121
30	23
4	399
39	272
24	0
83	17
146	2090
300	2193
461	1924
54	1584
11	1525
0	1
0	0
0	2
136	64
0	24
2	194
0	2
78	40
0	8
0	1
0	107
0	142
13	71
17	84
38	22
34	60
0	7
15	14
0	14
1	3
77	39
5	3
12	3
2	161
0	79
0	150
2	58
0	61
0	49
1	69
3	85
0	57
1	64
0	22
0	93
0	84
26	91
1	90
2	81
2	70
1	27
0	20
1	8
0	27
0	27
3	20
0	14
3	11
5	31
0	39
0	40
29	36
129	152
23	465
40	192
1	91
7	82
4	80
0	2
0	14
24	214
22	136
333	155
0	83
3	84
3	564
11	481
7	175
0	180
0	369
0	134
0	342
3	68
116	235
1	210
0	61
1	182
7	206
0	243
8	241
0	41
0	46
0	27
0	33
183	214
0	43
33	151
0	9
199	138
21	125
4	157
0	96
1	101
49	30
18	75
1	88
4	92
6	15
0	21
9	30
15	35
0	4
0	1
29	115
8	269
0	37
0	31
2	29
2	22
4	19
2	22
3	18
108	1012
3	26
46	51
2	44
1	199
40	430
0	246
0	226
9	476
21	471
14	245
11	88
0	237
363	367
15	555
48	508
0	427
31	563
0	7
1	7
6	8
0	5
0	8
0	8
0	7
2	9
139	28
0	38
121	167
5	56
1	77
11	56
0	90
3	44
7	42
123	9
202	225
108	345
144	89
0	138
20	142
1	152
2	52
0	73
0	5
0	6
0	5
14	212
2	105
1	94
7	74
11	7
2	8
2	32
0	89
10	79
7	65
2	65
0	56
0	32
0	67
2	31
13	3
0	78
33	67
2	16
19	44
11	77
23	121
0	116
16	158
0	116
2	151
0	117
4	151
4	126
0	29
10	285
0	287
