UniqueCount	AmbigCount
46	267
24	217
0	98
7	103
34	187
2	190
60	73
45	221
9	156
1	74
5	85
1	54
11	87
0	37
0	40
0	4
0	2
6	2
17451	11098
1217	2010
179	8003
0	27
13089	5240
5	1378
14	454
5	481
0	365
3	92
111	149
3	126
0	146
23	148
0	146
109	88
66	92
6	61
12	4
3	2
0	0
1	609
15	600
4	697
0	561
30	716
11	342
1	219
0	3
0	3
1	10
0	3
0	26
10	88
9	81
3	88
5	79
6	81
48	163
0	106
85	101
5	6
5	100
5	39
0	43
0	39
1	37
12	5506
417	6089
33	4777
8	1236
1	1247
1643	8824
2	5336
145	225
0	226
11	235
58	275
52	206
0	98
0	94
7	61
0	232
5	155
1	105
34	115
1	128
1	56
159	1824
0	2482
0	2482
884	1526
7488	2438
88	104
157	199
2	326
1	389
0	386
13	447
2	534
6	255
126	374
7	356
770	362
200	418
1	282
13	288
16	87
30	43
131	760
0	691
0	15
3	36
3	27
2	27
63	71
4	34
18	870
0	777
145	902
0	779
123	527
0	3
3	1
12	122
0	128
4	120
0	120
13	94
12	28
0	185
2	101
0	10
0	8
19	39
2	51
17	31
0	322
29	291
18	367
24	274
32	236
6	9
223	30
16	133
2	114
6	108
106	25
0	5
0	239
0	232
3	364
21	281
4	41
19	6
9	69
8	117
17	159
1	146
0	136
0	105
1	96
79	111
15	80
10	109
20	29
1	3
41	1465
750	2068
7	195
11	118
79	51
79	33
187	60
3	32
91	94
7	724
1	548
14	662
0	664
0	357
0	423
3	9
0	6
1	62
0	22
11	30
1	0
12	281
2	35
17	287
0	2
0	2
0	2
1034	3084
1077	1753
100	1227
667	2267
1	14
0	0
0	9
0	7
1	6
0	3
0	4
1	4
0	3
6	238
0	252
0	262
0	248
0	130
3	243
1	237
4	234
34	29
0	179
0	177
0	1
2	44
1	21
0	61
4	183
26	63
18	236
5	17
21	678
176	175
19	543
0	5
8	31
6	8
35	43
0	23
14	60
0	11
1	27
0	73
0	73
0	69
0	22
16	59
15	23
0	0
0	0
10	259
12	214
16	226
40	146
1679	84
106	1232
1711	1606
224	1664
103	766
0	12
3	8
0	14
0	11
1	12
1	12
0	11
0	11
0	1
1	1
1	1
1	1
1	0
1	0
38	522
98	464
29	478
1	57
0	56
12	250
1	82
1	24
0	8
18	23
33	53
99	398
3	51
195	230
0	14
1	12
0	21
0	14
3	10
2	10
6	14
1	26
4	13
0	15
67	49
6	15
9	27
39	58
10	46
27	26
93	44
0	32
3	48
2	15
11	111
1	99
3	113
13	61
1	289
2	206
10	236
2	384
0	197
18	111
298	102
41	38
0	12
0	26
1	14
0	14
15	103
0	60
9	59
1	308
2	192
3	266
33	333
0	181
1	58
4	10
304	445
9	115
87	122
0	54
912	153
0	1652
0	1619
2	1577
27	1719
5	1643
0	1517
6	1167
0	1416
8	1641
0	1601
0	1574
0	1653
0	1624
1	1246
0	1600
0	414
0	1660
0	1413
0	1589
7	413
0	1675
0	322
17	318
2	44
21	45
5	31
51	178
0	165
0	565
32	515
8	95
27	727
0	711
0	410
7	692
0	714
5	273
0	225
3	169
43	52
24	151
175	55
6	51
8	62
517	87
0	35
2	17
0	70
30	64
4	57
1	36
0	32
3	22
1	15
0	4
0	4
1	5
14	205
0	175
1	190
1	169
2	167
0	187
1	164
0	157
76	800
1	2081
5	2057
0	2212
222	1545
0	997
10	330
0	2663
0	2042
2	2028
0	2748
17	2806
1	1994
0	1952
175	1810
16	27
0	24
149	343
4	157
8	123
13	77
19	35
23	466
30	327
45	0
184	37
312	1853
214	1952
553	1844
21	1557
16	1448
1	1
0	0
0	1
147	113
5	54
23	237
5	1
60	87
0	9
0	1
0	67
4	144
19	56
7	55
11	16
27	55
1	6
17	7
0	8
1	2
109	51
8	4
18	5
3	175
0	121
0	168
0	82
0	74
3	92
0	54
3	62
0	30
1	55
0	46
0	82
0	78
7	57
0	54
0	53
0	49
0	37
0	26
2	18
0	32
1	38
2	24
0	19
2	15
4	20
0	23
0	22
61	53
48	101
31	649
52	331
3	123
1	119
2	84
2	3
0	14
14	218
33	160
334	185
0	84
1	84
2	628
9	559
10	160
0	164
1	383
0	122
0	309
2	62
134	231
4	197
0	58
1	220
2	185
0	236
13	214
0	31
0	32
0	30
0	22
139	161
32	52
25	184
2	12
202	143
16	142
5	182
0	93
2	127
48	21
26	89
1	122
4	121
4	20
0	22
11	17
8	23
2	6
0	3
30	120
1	339
0	30
1	22
1	20
0	31
11	25
2	26
1	13
70	1124
4	52
38	95
0	84
0	311
56	606
0	396
12	360
2	675
25	700
27	411
13	138
8	400
510	468
48	604
39	570
0	453
60	573
0	11
1	13
0	11
1	12
2	14
0	8
0	12
4	12
49	29
0	40
75	166
0	65
0	103
7	65
0	109
16	67
6	65
79	3
259	210
80	387
135	69
0	161
1	170
0	189
4	79
1	95
0	3
0	10
0	3
9	284
1	102
5	133
4	76
13	6
1	9
4	56
0	178
10	144
16	128
6	128
2	121
3	62
0	136
4	61
17	6
0	65
11	43
5	16
15	38
16	77
27	125
0	107
9	129
0	98
2	124
0	98
4	133
10	82
2	1
35	328
0	300
26	79
51	363
0	281
0	386
0	377
104	270
43	256
0	157
3	158
151	104
14	34
0	77
247	312
0	1066
0	260
544	119
3	166
0	62
1	35
332	1062
19	817
0	843
0	729
4	822
49	853
0	4
0	3
5	11
0	3
0	3
0	3
0	3
0	3
0	3
0	4
0	3
6	556
0	168
2	533
30	360
0	95
0	108
0	101
0	117
7	109
0	109
0	109
0	106
3	61
0	64
0	64
1	53
8	75
3	47
4	56
4	36
15	37
9	32
0	1
0	2
13	2
0	2
0	0
0	0
0	0
0	4
0	1
0	15
7	118
0	14
0	110
14	14
80	65
0	37
0	33
0	65
0	72
0	61
90	124
0	43
0	564
0	577
61	536
45	586
0	469
8	72
0	0
0	46
47	179
0	57
5	58
5	154
11	0
17	2
0	17
143	1
10	199
5	171
4	13
14	171
0	107
4	105
22	218
0	210
0	69
0	123
0	3
0	2
0	2
11	54
0	31
10	65
66	57
9	11
29	74
0	3
0	75
62	36
0	27
2	13
317	217
8	102
9	112
28	263
3	202
0	219
0	142
0	181
15	212
0	214
146	238
2	322
6	244
4	316
0	8
14	93
4	69
1	40
3	78
34	173
28	132
0	41
32	73
113	162
8	94
0	105
13	131
0	1
211	243
0	38
3	209
11	101
43	22
0	170
1	183
1	125
0	129
0	132
0	120
0	113
4	12
0	0
4	422
142	170
0	0
14	287
0	185
1	188
0	1
0	1
0	1
0	12
0	11
0	11
1	2
1	4
4	2
83	94
1	103
16	81
7	59
7	11
25	13
0	19
0	17
0	17
20	32
6	3
22	28
2	29
11	28
2	35
6	28
0	36
4	22
10	120
1	68
4	21
1	12
0	33
0	38
0	32
23	33
5	22
0	220
49	134
0	4
31	22
0	86
1	20
191	5
17	270
0	261
1	154
0	191
0	200
0	263
111	140
1	101
0	221
1	264
0	218
1	226
0	229
0	54
3	49
1	53
4	11
31	117
0	4
108	348
6	606
3	580
32	677
1	516
55	427
1	499
0	494
1	143
0	85
3	128
0	114
27	147
1	4
174	249
0	322
10	144
5	70
9	121
0	158
39	114
14	63
35	58
53	137
59	87
56	41
97	15
1	39
11	32
0	39
0	37
0	4
0	5
0	5
0	4
0	4
302	201
0	192
14	180
0	37
0	42
0	21
0	42
0	12
43	98
0	94
4	97
0	81
2	81
0	80
1	67
0	71
0	66
0	50
1	4
0	4
4	54
0	60
89	5
8	50
11	44
8	42
0	27
0	27
0	300
230	250
2	297
3	271
0	270
37	56
6	221
3	274
59	253
0	200
0	197
0	186
29	331
44	72
0	196
0	555
0	404
2	333
0	196
0	396
0	207
0	336
0	0
0	0
0	0
2	30
137	384
7	429
9	266
4	26
34	9
356	1170
136	1189
1	282
0	813
0	245
0	172
13	272
25	382
0	409
0	367
48	341
0	355
0	256
1	266
0	244
2	1
0	212
0	210
0	153
4	156
0	134
0	8
0	8
154	71
14	169
5	190
57	164
6	166
6	198
0	58
4	7
15	36
8	13
0	46
4	60
5	227
4	141
0	219
0	78
0	219
112	809
260	670
15	694
100	787
0	166
28	214
3	253
0	251
0	260
0	271
0	159
5	250
3	270
1	176
1	1
0	93
19	8
11	125
0	98
0	50
102	134
0	109
10	80
18	91
0	1
58	194
50	139
0	0
10	151
0	0
0	0
0	0
86	380
12	350
0	2
3	2
0	2
0	2
0	2
0	2
9	16
18	29
12	17
0	44
2	65
1	52
0	58
119	86
4	247
0	409
1	258
3	149
1	69
1	3
1	6
10	69
16	59
0	4
0	8
2	0
0	6
0	20
0	10
0	5
1	16
0	20
36	1403
3	1795
0	1152
565	173
3	30
2	18
2	15
0	10
62	65
0	43
5	18
21	10
284	34
1	19
4	2
0	22
0	84
5	63
10	967
148	144
17	967
0	0
0	1
0	1
0	0
18	1
0	7
3	16
2	19
3	19
4	307
7	163
2	300
0	298
7	295
56	173
0	169
0	164
0	192
0	189
14	74
0	25
61	25
9	96
0	2
0	2
0	2
0	4
253	2
0	5
1	59
2	49
10	423
0	369
11	23
0	1
0	1
0	1
1	3
0	1
7	273
7	273
118	77
10	267
0	2
0	0
4	4
0	4
7	7
0	7
0	49
0	32
0	47
0	33
42	15
14	0
26	66
0	0
0	1
0	0
1	56
0	4
4	62
26	143
6	100
0	92
154	186
4	159
9	211
1	106
0	2
0	1
0	1
0	1
0	128
0	61
1	45
0	74
29	1173
76	1549
0	346
1	400
0	379
8	1027
0	10
0	16
0	18
0	17
3	0
1	14
2	31
3	93
109	94
1	31
0	14
0	195
0	236
8	224
1	235
2	263
4	240
26	16
5	30
5	29
0	1
0	0
575	249
150	227
2	39
0	0
1	39
3	43
6	55
0	64
5	29
5	37
2	11
1	31
0	17
0	17
24	481
11	341
1	229
44	292
0	236
0	159
9	60
0	16
4	198
0	54
2	198
0	181
0	43
21	14
1	20
0	16
0	14
1	11
7	10
22	22
0	28
0	25
2	22
32	26
9	132
6	22
16	21
5	26
30	43
10	20
8	38
0	26
2	0
0	0
0	0
3	0
0	0
72	345
0	432
7	307
0	315
3	253
0	261
7	100
112	262
0	0
9	11
0	3
711	62
1	33
31	106
0	33
0	39
0	11
16	192
0	191
0	192
0	175
0	165
0	148
14	3
132	420
53	234
0	265
0	263
2	214
0	208
127	2
42	3
0	249
24	115
2	213
26	277
131	256
11	173
13	242
13	135
7	180
0	23
4	73
8	75
4	516
205	548
0	479
1	452
0	426
35	206
0	388
4	379
1	11
0	7
0	2
2	7
9	237
29	68
11	975
2	1008
46	1017
38	601
0	430
1	2
54	43
43	50
0	20
2	9
42	36
2	277
32	103
332	152
13	136
2	152
36	145
0	119
9	34
33	124
3	25
0	7
0	110
1	24
1	24
0	20
3	27
1	19
231	239
34	234
19	67
0	129
4	13
43	340
0	311
8	274
32	87
2	11
40	4
81	213
1	265
0	240
27	189
7	233
0	58
4	52
0	20
1	19
3	43
3	36
1	47
14	33
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	5
0	38
3	33
0	27
0	27
0	24
19	24
21	84
18	63
12	49
16	33
2	5
0	158
35	144
7	158
0	157
19	377
46	4
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
21	9
0	21
3	6
0	10
271	266
0	10
13	78
0	30
0	6
0	6
579	128
69	44
0	126
4	148
15	106
93	560
238	45
11	14
146	38
0	12
0	4
5	11
10	24
1	18
0	7
0	7
3	4
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	1
0	1
1	4
0	3
2	15
0	12
12	27
0	0
10	327
0	341
6	294
1	326
189	71
0	70
0	8
0	5
0	0
46	168
226	373
34	3
0	54
18	91
0	40
3	57
0	61
0	7
3	618
5	606
29	164
28	230
0	251
45	113
0	18
33	149
0	2
0	16
0	17
1	151
0	16
14	121
40	204
49	33
1	18
18	117
30	52
2	116
0	98
1	123
2	1
12	1311
18	1263
115	1439
1	1357
0	1012
1	674
1	42
0	41
15	130
0	88
0	91
0	84
10	103
14	34
0	63
0	21
2	19
8	2
0	6
8	171
2	129
5	107
0	134
0	100
10	68
4	0
8	216
7	203
6	198
16	247
9	224
0	106
2	297
44	315
1	220
1	39
9	149
4	150
24	166
0	1
1	0
159	78
0	86
33	1363
4	1555
1	174
90	35
110	126
0	33
0	6
0	4
0	33
0	32
4	25
0	25
0	34
0	113
102	534
94	622
43	218
9	217
5	20
48	115
0	91
3	42
1	274
5	284
0	291
43	200
1	110
0	262
0	219
12	259
0	224
0	227
0	197
0	167
116	148
55	617
45	452
17	339
1	576
7	823
3	340
0	605
0	564
0	442
1	568
25	630
49	72
32	771
3	675
5	639
10	477
3	349
1	235
53	86
0	53
0	75
26	52
1	39
0	9
58	31
0	8
152	26
34	355
1	0
0	0
13	44
3	69
0	91
1	49
0	142
0	150
0	102
38	105
5	85
2	135
0	61
37	103
6	92
19	1482
186	1863
131	511
1	937
0	930
210	908
2	39
0	51
2	48
1	45
1	3
2	3
54	216
177	68
0	128
79	71
0	70
8	26
39	93
151	150
3	140
4	129
2	106
7	107
14	41
4	171
1	240
6	231
4	46
5	49
0	111
137	665
0	13
5	14
1	17
0	4
0	10
0	3
0	11
1	6
81	70
0	53
0	47
19	14
8	92
0	407
0	421
4	456
6	603
69	603
0	201
27	1312
0	1158
3	1200
15	1570
78	1471
0	0
4	0
222	50
76	65
30	45
128	233
9	2445
344	2516
58	2172
120	720
0	287
0	8
0	8
0	8
4	9
4	9
0	4
4	11
1	4
1	94
0	79
4	72
0	81
0	123
0	26
0	146
26	110
1	151
26	166
10	78
6	110
23	276
6	241
8	282
1	21
8	85
5	57
3	46
17	91
14	58
41	25
2	59
151	60
10	192
9	187
1	212
13	233
2	191
2	131
1	107
23	124
59	198
1	3
0	0
0	0
0	14
2	19
0	17
2	6
1	10
17	322
9	221
8	250
2	5
7	13
0	15
0	8
0	8
2659	2302
59	365
7	243
1	213
5	155
11	1
5	16
2	19
1	197
20	269
8	201
0	277
0	282
0	211
16	191
1	215
0	42
11	38
1	4
14	47
0	48
10	35
0	133
7	71
4	367
0	152
10	262
2	122
0	130
1	212
0	171
2	122
0	100
3	71
1	108
0	63
14	63
9	43
16	59
1	28
31	712
6	729
15	875
41	677
6	657
0	555
0	20
2	22
31	58
0	56
0	42
3	45
0	50
0	51
0	15
6	148
6	223
19	182
13	191
16	11
0	144
0	14
0	133
9	59
211	152
2	144
63	107
2	420
18	298
4	189
52	641
114	513
99	491
0	91
0	98
0	466
37	368
52	18
225	49
0	0
36	33
0	24
0	20
11	83
16	85
11	6
11	1
20	205
0	0
23	114
32	29
20	924
2166	48
23	901
3	14
0	14
9	5
1	12
11	299
0	215
17	225
187	28
37	21
23	7
12	97
22	33
22	738
0	790
0	730
6	745
21	313
12	208
33	64
8	77
5	78
8	612
43	697
2	539
0	556
0	562
0	721
80	241
14	680
5	1009
0	1045
84	907
0	1033
7	15
10	42
0	42
4	12
0	30
0	22
2	1
1	19
1	36
116	137
3	27
0	14
5	15
0	16
8	146
8	137
0	129
43	8
174	14
0	0
0	0
0	0
0	0
3	107
147	136
54	10
11	112
3	105
29	110
0	79
0	23
1	2
0	1
29	236
21	171
4	159
0	45
0	19
0	45
1	13
1	8
1	9
0	47
0	21
0	47
0	44
0	47
0	20
0	21
0	44
801	1272
2475	1163
304	1069
131	200
29	175
0	156
1	21
0	152
9	156
0	169
128	10
0	10
1	356
0	372
7	232
32	285
25	341
61	131
26	39
2	19
0	305
2	271
0	315
5	0
7	0
0	1
1	4
45	128
16	70
13	183
0	147
4	205
4	286
16	65
17	217
4	209
0	118
14	86
3	10
6	7
2	183
1	94
0	96
0	176
5	84
11	57
1	973
48	956
95	895
1	2
2	4
2	2
0	3
0	3
0	1
12	30
96	71
4	63
0	65
2	52
281	96
0	27
72	22
2	23
15	40
0	25
2	199
0	341
7	74
1	4
0	90
4	91
0	70
143	127
85	95
0	80
3	21
0	7
0	5
0	7
5	1
0	4
63	44
0	167
43	162
46	181
0	185
7	117
0	11
0	12
0	11
0	6
15	42
3	3
156	971
284	423
146	516
15	513
33	92
8	7
21	116
47	270
18	263
13	1
14	173
0	82
14	10
31	32
179	143
0	149
0	139
0	128
0	130
1	6
3	3
1	40
1	118
4	112
11	100
0	21
