UniqueCount	AmbigCount
24	130
16	102
0	60
1	68
17	95
1	301
7	45
67	303
3	171
1	30
0	43
1	27
13	46
0	15
1	22
0	0
7	9
10	0
13410	5818
4554	2057
588	3271
2	27
5854	3773
4	1608
8	204
4	213
1	163
1	32
91	104
3	81
0	93
13	90
0	93
55	39
41	57
66	54
19	1
0	1
0	0
3	309
61	277
2	244
3	344
21	228
4	105
37	150
0	0
0	0
1	3
0	0
2	15
2	75
3	91
0	82
4	65
14	55
14	108
0	36
32	33
0	0
0	15
0	3
0	4
0	3
0	4
2	5143
433	5659
18	4431
1	1043
3	1049
1421	8317
5	5163
149	129
0	129
11	288
27	205
1	150
1	132
1	145
7	164
0	110
19	65
3	50
33	79
1	86
1	54
112	1497
0	2405
0	2405
356	1316
4870	1994
53	65
47	75
0	82
0	112
0	102
4	137
3	163
2	98
48	322
1	167
317	167
140	219
0	140
9	305
8	88
24	16
49	320
0	288
2	10
0	16
5	13
0	12
53	62
3	1
40	736
8	710
109	743
1	689
104	480
0	4
3	1
56	274
0	275
9	295
77	312
63	227
1	43
0	33
1	17
0	2
2	3
18	22
11	28
14	11
2	224
40	213
23	249
18	191
10	173
0	7
136	21
1	90
3	77
9	77
126	10
1	5
0	103
0	114
26	304
5	141
7	22
4	3
7	42
0	34
17	85
3	70
19	70
0	50
1	43
54	133
6	80
14	98
25	26
0	2
16	1046
516	1563
7	83
4	62
22	18
49	9
139	30
9	22
44	62
3	557
6	415
4	478
1	503
0	258
0	325
0	9
3	8
3	44
0	16
13	23
1	3
0	115
0	15
0	118
0	3
0	2
0	3
862	2524
571	1433
169	1344
307	1303
1	8
0	0
0	1
0	1
2	1
0	2
0	2
0	0
0	0
3	178
0	189
0	205
0	190
0	100
1	143
9	145
7	134
16	17
0	103
0	100
1	0
3	36
0	18
3	27
0	131
7	32
21	171
1	8
9	461
92	97
64	411
0	4
3	7
1	0
10	17
0	2
4	27
0	1
1	2
3	34
6	29
0	26
0	19
16	91
1	26
0	0
0	0
7	212
4	176
13	190
30	107
1844	54
75	1357
1246	1595
160	1572
88	1021
0	15
0	10
0	18
0	24
0	12
3	17
0	24
0	21
0	0
1	0
0	7
0	7
4	0
1	0
12	217
7	235
8	277
0	51
0	47
180	306
20	119
0	10
0	2
18	34
14	32
122	563
5	51
208	348
0	0
0	1
0	9
0	9
0	2
1	0
1	7
1	6
0	3
0	4
25	22
1	6
7	15
23	51
4	33
15	11
71	43
0	38
4	38
1	17
4	66
0	62
1	65
9	43
2	331
1	257
21	275
11	476
1	248
0	107
233	89
52	45
0	14
0	42
0	23
3	21
1	116
2	75
3	72
26	230
0	82
0	202
47	241
0	80
1	21
1	0
190	246
8	135
53	49
2	59
715	87
0	955
0	934
1	954
0	1005
0	968
0	919
0	611
0	741
0	947
0	908
0	843
0	983
0	921
0	784
0	915
1	222
0	981
1	797
0	958
0	218
0	982
0	233
21	222
0	31
15	35
5	33
29	119
0	144
0	420
20	396
17	71
27	475
0	492
0	302
1	474
0	494
1	191
0	162
1	129
21	31
18	125
138	8
2	15
13	55
332	104
1	19
2	8
5	83
25	82
8	72
0	5
0	5
0	3
0	3
0	2
0	2
0	2
16	83
0	68
0	68
2	61
0	63
0	61
0	60
3	56
50	475
2	1643
0	1629
0	1731
16	969
0	811
0	216
0	1804
8	1531
0	1487
0	1981
1	2039
0	1460
3	1456
115	1341
37	34
0	26
137	228
3	138
3	88
11	102
19	30
2	197
13	136
11	0
78	18
53	1142
188	1177
382	1216
1	946
0	876
0	1
0	0
0	0
91	41
0	8
5	230
8	0
45	50
1	9
1	1
1	55
0	85
12	38
15	48
13	6
14	28
1	1
10	9
0	9
0	2
168	44
5	0
3	0
0	102
0	62
0	93
1	42
0	51
0	42
0	26
0	32
0	19
2	33
0	30
0	52
0	50
13	37
0	38
0	26
1	24
0	32
0	24
2	8
1	32
0	32
1	21
0	9
2	8
2	17
0	19
0	15
0	31
135	90
40	389
21	156
0	53
0	48
5	55
1	1
0	8
11	138
20	108
271	123
0	48
2	49
0	377
2	325
2	106
0	107
0	224
0	82
0	175
5	34
61	140
0	133
0	30
0	110
4	100
0	126
3	114
0	29
0	31
0	21
0	24
132	174
0	29
9	148
0	4
119	86
18	123
3	145
0	83
1	106
37	29
19	44
0	45
12	49
4	17
0	22
8	24
9	22
0	5
0	0
30	84
11	149
1	33
4	47
0	46
0	22
6	22
5	26
0	31
66	543
3	35
38	82
0	81
2	203
49	372
0	216
0	207
2	361
6	314
1	123
0	58
0	136
297	294
15	382
23	318
1	252
30	372
1	1
0	2
1	2
0	1
0	1
0	2
0	1
3	2
160	27
0	15
68	106
0	63
8	83
6	63
0	86
12	43
4	27
95	0
207	146
76	229
105	53
0	107
8	131
0	135
0	46
2	47
0	71
0	92
0	80
7	212
0	85
2	91
7	59
2	2
4	17
1	34
0	85
1	68
5	60
1	58
0	51
2	35
0	61
2	35
1	0
0	22
7	18
1	8
4	14
6	27
16	47
0	45
5	56
0	40
0	61
0	40
3	56
2	43
0	0
11	161
0	157
9	44
10	169
0	148
0	179
0	169
77	213
30	202
2	100
1	102
144	47
5	30
0	30
197	252
0	755
2	214
404	84
4	70
0	23
0	2
191	657
5	463
0	457
0	434
2	453
32	578
0	0
0	0
3	1
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
8	460
0	66
0	445
4	309
0	127
0	156
6	148
0	153
0	154
0	154
0	154
0	155
1	73
0	60
0	56
2	57
12	77
1	44
4	60
5	36
3	30
8	21
0	0
0	1
6	1
0	2
0	0
0	0
0	0
0	0
0	0
0	11
9	101
0	9
0	88
6	11
48	57
0	30
0	29
0	54
0	60
0	56
66	98
0	33
0	508
0	521
83	450
26	529
0	364
12	76
0	0
0	39
53	158
0	45
2	42
0	119
8	0
15	1
0	18
166	0
2	86
8	192
3	13
23	195
6	155
2	148
6	96
0	91
0	50
0	66
0	2
0	0
0	0
8	43
0	19
5	30
31	23
6	3
2	45
0	1
0	53
52	35
0	21
1	4
243	157
28	97
8	103
23	177
0	134
0	145
0	98
0	117
11	164
0	151
147	180
1	341
3	127
0	331
0	2
4	20
1	14
0	9
3	45
62	158
15	124
0	15
40	63
68	105
3	46
0	55
0	95
0	2
130	202
0	33
8	176
0	68
23	22
0	123
0	134
0	82
0	84
0	96
0	82
2	77
1	8
0	0
89	243
92	105
0	0
1	117
0	89
1	90
0	2
0	2
0	2
0	2
0	1
0	1
0	2
0	3
0	2
35	32
3	32
3	24
2	25
0	7
4	4
0	7
0	7
0	6
18	15
3	3
4	4
0	11
2	18
0	14
3	20
0	23
1	15
2	51
0	33
8	13
0	2
0	24
0	23
0	24
20	18
6	15
0	127
9	71
0	5
6	4
0	40
0	6
272	7
5	195
0	194
0	124
0	166
2	158
0	190
27	40
0	29
0	147
0	184
0	141
0	153
0	153
0	49
19	47
0	46
0	0
45	126
0	4
9	288
3	595
2	586
12	623
1	477
0	420
29	495
0	519
5	219
0	128
2	195
0	168
16	220
0	0
126	199
0	147
1	80
3	28
6	69
5	94
33	92
29	53
13	19
34	101
37	65
12	8
113	29
0	61
0	18
0	62
5	61
0	1
0	0
0	1
0	0
0	1
70	112
1	124
4	124
0	16
1	14
0	4
0	16
0	6
11	180
2	206
5	204
0	183
7	180
1	179
0	52
0	53
0	40
0	55
0	2
0	2
6	16
0	16
41	4
22	63
15	73
10	67
0	37
0	40
0	306
229	268
7	302
0	266
1	268
6	27
4	159
0	188
43	185
0	123
0	131
0	118
11	187
22	47
0	118
0	258
0	193
2	180
0	123
0	178
0	131
0	194
0	0
0	0
0	0
6	29
45	72
1	94
4	58
1	13
13	6
109	560
70	552
2	140
1	401
0	174
0	131
16	108
4	203
0	270
0	214
29	227
0	231
0	208
4	173
0	196
0	8
0	122
0	119
1	77
1	79
0	63
0	6
0	6
189	37
0	168
5	172
25	150
3	198
8	207
2	29
0	2
2	13
22	5
0	18
4	26
13	137
7	100
1	120
1	66
0	120
57	496
111	409
2	461
28	486
4	220
12	211
5	299
0	313
0	296
0	300
1	216
11	223
0	294
0	213
0	0
0	78
11	20
21	92
1	71
0	37
60	88
0	76
6	55
28	65
0	1
16	42
22	111
0	1
3	18
0	0
0	0
0	0
53	336
8	314
0	1
0	0
0	1
0	1
0	1
0	1
18	18
6	20
9	18
0	27
0	33
0	32
0	31
50	31
0	133
0	228
0	154
6	97
1	39
1	0
0	2
4	99
17	69
0	2
3	5
0	1
0	7
0	9
1	7
0	2
0	9
0	9
127	1300
1	1625
0	964
184	141
0	3
0	2
0	3
0	2
46	41
0	27
8	13
17	9
123	11
0	7
10	1
0	10
0	59
7	49
2	671
12	74
9	669
0	0
0	0
0	0
0	0
12	4
0	5
2	10
0	7
0	8
13	308
0	44
0	298
0	296
3	286
1	50
0	247
0	246
0	211
0	188
11	72
0	21
26	23
4	112
0	0
0	0
0	0
0	0
74	1
2	1
0	42
1	37
4	232
0	198
2	20
0	4
0	2
1	0
0	1
0	0
0	22
1	22
54	53
12	162
0	3
0	1
0	3
0	3
1	2
0	2
0	25
3	9
0	20
0	20
26	6
12	0
21	53
0	0
0	2
1	0
5	43
0	2
2	16
7	55
4	47
0	65
149	157
4	140
2	173
2	118
0	0
1	0
0	0
0	0
2	112
0	58
0	38
0	58
12	773
29	972
0	232
0	278
0	263
2	687
0	6
0	42
0	35
0	32
0	0
3	37
0	19
7	56
75	57
0	19
0	10
5	190
0	224
3	214
0	219
3	216
2	211
19	15
2	34
4	13
0	1
0	0
433	199
134	181
1	24
0	0
0	74
2	88
0	49
0	100
0	12
9	60
0	11
0	46
0	1
0	1
3	350
60	295
0	190
17	238
0	176
0	123
0	50
0	11
5	181
0	36
7	181
0	160
0	32
14	13
0	19
0	9
0	8
1	5
1	2
24	15
4	21
0	19
2	17
27	37
13	108
3	20
10	10
2	14
16	33
3	22
7	28
0	14
0	0
0	3
0	1
0	0
0	0
25	388
1	450
2	323
0	339
6	237
0	248
0	93
0	137
0	0
0	1
0	1
385	26
0	11
0	27
0	11
0	11
0	7
9	29
0	29
0	29
0	26
0	20
0	20
3	0
90	174
33	94
0	123
0	114
3	97
3	89
47	3
26	5
0	152
3	53
9	201
11	186
62	153
1	108
8	153
2	69
6	137
0	16
0	20
0	21
2	286
108	303
0	264
3	246
0	230
46	112
0	215
1	211
1	1
0	1
0	1
0	1
1	87
7	32
11	617
4	610
48	632
35	404
0	290
1	1
33	50
48	68
0	17
18	26
74	31
1	182
14	45
165	94
1	25
0	39
8	34
0	33
0	54
47	125
0	16
0	5
0	54
0	9
0	10
0	11
0	18
1	11
156	232
34	239
3	31
4	130
15	15
46	275
2	269
11	238
19	85
0	1
37	1
36	176
1	208
6	167
34	154
3	167
2	78
2	59
0	14
0	14
6	61
2	54
0	55
0	24
0	1
0	1
0	0
0	1
1	11
0	10
0	7
0	0
0	1
0	1
0	0
4	1
0	14
0	15
0	13
1	20
0	20
2	12
3	20
8	18
9	12
15	17
0	2
0	39
8	34
1	38
0	39
17	190
39	1
0	1
0	4
0	5
0	4
0	4
0	4
0	5
0	2
0	1
7	2
0	7
8	0
0	3
144	225
3	6
4	56
0	16
2	4
0	4
331	122
11	30
0	122
17	104
12	106
66	344
224	26
0	4
107	26
0	6
0	2
0	12
6	22
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
1	2
0	0
23	235
0	238
7	203
0	247
164	45
0	42
0	5
0	5
0	0
82	99
179	230
34	6
0	51
3	57
0	19
0	33
0	23
34	126
0	472
4	461
33	135
14	156
0	175
29	70
0	5
0	72
0	0
0	2
0	9
7	154
0	6
9	103
24	169
0	6
0	7
12	70
5	23
2	50
0	67
1	63
0	2
1	705
7	878
0	817
8	880
0	675
3	440
0	29
0	32
15	76
3	67
0	63
1	62
2	75
4	31
0	47
1	17
0	15
0	0
0	0
8	91
0	41
0	34
0	70
0	36
3	44
1	0
7	113
2	102
9	102
4	97
6	91
0	52
2	96
2	94
0	37
37	18
0	81
2	80
17	93
1	5
1	5
87	19
0	33
6	768
11	925
0	117
83	37
100	93
0	1
0	0
0	0
0	39
0	38
1	32
0	30
0	12
0	90
135	492
53	521
29	149
2	140
0	17
27	87
0	71
1	33
2	190
2	199
0	203
35	143
1	74
0	158
0	133
13	148
0	136
0	119
0	113
0	101
61	112
39	426
36	305
6	240
0	433
22	676
4	289
0	364
0	365
0	224
3	362
8	444
12	37
11	585
1	523
0	138
2	117
2	59
2	225
43	93
0	58
0	88
21	146
3	28
1	17
33	20
1	16
106	10
26	112
0	0
0	0
3	25
1	48
0	93
0	64
0	119
0	128
0	93
21	64
4	53
0	91
0	64
52	81
1	65
12	872
115	1107
33	243
2	452
0	451
83	469
1	22
0	24
0	23
0	24
0	3
0	3
19	99
110	38
0	81
38	59
0	56
7	18
39	113
162	198
3	192
2	180
4	149
0	145
6	61
2	184
0	210
9	224
0	22
1	16
0	135
123	526
0	1
0	7
0	8
0	6
0	5
0	7
0	13
0	2
73	58
0	33
1	15
16	4
15	82
1	317
0	183
7	200
0	247
23	249
1	82
6	537
0	453
0	470
12	799
44	774
0	0
0	0
9	23
68	41
40	28
49	133
2	1944
242	1997
109	1883
63	488
0	174
0	5
0	3
0	3
0	1
1	1
0	0
0	1
0	0
1	70
0	61
2	68
0	62
0	112
1	30
0	132
21	102
1	135
2	127
0	65
3	77
22	380
0	338
5	382
0	22
6	77
3	55
0	29
15	82
2	54
20	21
2	40
86	42
7	177
2	139
8	159
1	161
1	142
0	125
3	112
9	80
41	128
0	0
0	0
0	0
0	16
0	13
2	17
0	7
2	8
1	201
21	163
6	175
1	5
7	25
0	25
1	16
0	14
2161	1858
74	254
0	193
0	179
0	144
4	2
1	10
5	17
0	133
0	153
0	135
0	165
0	168
0	124
5	121
0	157
0	37
6	30
2	4
6	3
0	3
6	31
0	165
0	90
10	412
3	203
2	349
9	169
0	174
0	296
3	230
2	113
0	173
0	87
0	176
1	27
5	27
2	9
1	66
0	9
0	565
0	598
4	472
41	549
2	531
0	485
1	12
6	9
21	28
0	27
0	25
0	23
0	26
0	28
1	7
0	147
4	262
19	212
21	202
1	9
0	196
0	8
6	146
2	35
108	189
0	217
59	197
2	320
19	224
1	83
26	543
16	374
10	308
0	35
0	39
0	364
30	334
44	7
104	20
0	0
124	59
0	9
10	56
14	57
8	69
20	24
3	0
15	121
0	1
15	70
10	21
12	487
1146	16
13	470
1	11
