UniqueCount	AmbigCount
32	229
7	209
0	78
3	128
35	190
1	372
7	71
93	365
0	235
0	108
0	114
5	99
11	132
2	60
0	58
0	7
4	1
5	0
19800	16501
1162	1014
838	13814
0	24
7978	5805
4	534
11	349
5	364
0	271
2	82
142	178
1	142
0	166
25	161
0	166
79	70
63	77
79	81
16	2
0	0
0	0
5	564
8	604
6	546
0	531
23	507
10	382
20	182
0	1
0	1
0	6
0	1
0	26
4	107
7	111
6	122
10	104
5	81
24	150
0	129
73	118
0	4
1	28
2	10
0	11
0	10
1	11
8	7386
582	7546
25	6150
5	1271
0	1280
1657	11489
10	7383
237	284
2	284
0	384
9	280
9	230
0	277
0	276
20	302
0	269
27	168
1	131
45	85
0	90
0	36
243	2438
0	4069
0	4069
651	2335
8250	3107
25	205
118	190
0	162
0	198
0	190
12	267
4	301
15	233
25	676
0	239
475	241
168	287
0	194
11	996
0	232
59	28
59	634
0	576
1	9
0	17
3	17
0	17
103	86
2	6
43	1222
15	1167
184	1263
0	1125
118	827
0	5
1	0
63	380
0	379
27	390
71	413
82	328
0	87
0	40
0	25
0	2
0	13
25	39
23	65
26	45
2	289
47	271
2	321
16	254
4	239
5	10
244	25
2	182
2	157
12	157
131	12
2	4
1	179
1	186
30	365
12	232
0	30
9	4
15	74
4	53
16	138
1	91
16	137
0	87
6	87
126	276
2	162
3	218
41	67
0	13
41	1623
778	2429
53	180
16	101
35	35
150	23
181	37
30	23
90	82
12	728
2	583
7	688
2	668
0	426
0	366
3	9
1	10
1	71
1	23
34	54
5	7
5	225
1	30
1	227
0	5
0	7
0	5
1965	6425
803	3688
447	3369
1102	3356
0	10
0	1
1	7
0	9
3	8
0	8
0	8
0	6
0	6
1	214
0	226
0	324
0	224
0	106
0	322
12	315
1	320
20	38
0	231
0	227
3	1
2	87
0	58
0	27
1	127
6	38
18	176
1	23
18	708
132	163
38	602
0	16
2	37
4	11
28	52
4	27
6	40
0	14
0	31
1	89
14	69
0	54
1	65
17	103
1	31
0	0
0	0
21	372
23	289
4	341
40	171
2181	77
128	1554
1556	2030
204	2263
168	956
0	3
5	2
0	3
0	3
0	3
9	5
0	3
0	4
1	1
4	0
0	8
0	8
1	1
3	0
12	347
8	371
12	427
0	63
0	60
195	417
12	166
3	9
0	5
29	32
28	47
158	642
8	48
274	357
1	2
0	1
0	31
0	26
3	7
0	6
5	25
3	13
0	10
1	7
26	18
3	2
5	53
43	104
0	52
5	13
85	59
5	44
5	56
2	18
12	157
3	122
4	147
7	68
4	472
0	375
31	403
7	666
0	360
11	154
334	115
71	73
0	22
0	54
0	29
2	29
8	167
5	112
10	112
60	339
0	164
2	281
67	357
0	164
2	63
0	13
364	501
7	147
90	68
0	60
935	93
0	1734
0	1683
2	1592
29	1817
1	1752
2	1615
0	1209
0	1448
0	1705
1	1651
0	1615
0	1759
1	1679
2	1367
0	1666
0	432
0	1764
0	1464
0	1602
9	442
0	1780
0	378
9	358
0	45
21	45
5	83
47	200
1	200
0	625
39	617
11	119
31	721
0	731
0	451
4	708
0	736
1	298
0	253
0	188
51	45
20	174
263	35
0	37
11	92
630	202
1	63
11	18
22	155
77	147
6	123
0	18
0	21
2	16
0	10
0	3
0	2
0	2
6	154
0	130
0	142
0	129
2	128
0	129
0	120
0	107
7	758
