UniqueCount	AmbigCount
17	96
6	80
0	40
0	32
28	69
2	132
4	19
56	131
0	68
0	57
0	66
3	50
13	69
1	35
0	35
0	1
0	3
3	0
5236	9162
575	710
979	8377
0	11
604	1607
5	318
2	78
3	83
0	62
2	30
98	65
0	42
0	58
8	48
0	58
48	49
22	47
15	25
4	5
1	4
0	1
2	200
27	196
4	187
3	219
8	201
2	64
17	69
0	1
0	1
0	12
0	4
5	13
1	48
1	39
1	44
6	42
4	47
62	161
0	21
23	27
0	0
1	39
0	13
2	17
0	13
0	12
6	3241
393	4466
49	3428
0	1044
0	1063
971	5506
3	2616
88	90
1	90
0	81
5	52
10	53
0	42
0	43
7	47
0	81
14	52
0	39
9	38
0	40
0	9
69	875
0	1387
0	1387
550	1027
3512	1070
77	70
10	52
0	62
0	74
0	68
1	94
0	105
3	73
23	316
0	82
266	86
85	124
0	89
14	387
0	96
9	7
27	227
0	204
0	10
0	9
4	9
0	7
16	29
3	17
39	307
3	264
106	298
1	263
29	162
0	6
0	2
18	153
0	150
7	162
21	162
15	98
0	24
0	13
0	8
0	1
0	7
22	21
2	14
6	10
3	117
27	121
0	139
8	113
4	80
3	5
83	14
4	64
2	52
3	53
87	20
2	11
0	79
0	74
14	165
8	90
0	14
3	0
8	41
0	26
15	100
0	50
19	100
0	34
4	34
32	109
3	49
4	83
4	18
0	6
3	448
277	793
0	54
3	32
20	19
14	11
46	37
23	25
34	69
0	373
1	252
3	340
2	361
0	160
0	239
2	4
2	3
0	31
0	10
10	20
1	0
2	29
0	11
0	36
0	6
1	6
0	6
841	2384
394	1164
59	1123
804	1458
1	7
0	0
1	3
0	3
3	3
0	4
0	4
1	2
5	2
0	49
0	53
0	96
0	61
0	32
0	73
1	74
0	74
17	11
0	63
0	63
0	2
4	15
0	8
1	19
1	43
1	19
5	56
0	13
16	315
33	65
16	301
0	0
15	29
0	2
12	9
0	3
1	6
0	1
0	3
0	9
0	9
0	9
0	4
26	49
2	13
0	1
0	1
4	135
10	99
5	100
11	63
1010	42
26	607
912	837
46	768
53	493
0	11
0	11
0	10
0	19
0	10
1	10
0	19
1	15
1	0
3	0
1	4
0	4
0	3
0	3
1	102
26	125
4	123
0	18
0	17
52	119
9	49
0	7
0	2
4	9
5	8
157	335
15	35
225	221
3	8
0	7
0	6
0	4
0	10
0	10
0	4
22	25
1	6
1	19
78	62
7	18
7	11
16	20
3	30
9	19
47	29
8	24
0	21
4	12
3	71
6	45
0	60
8	37
3	159
2	133
11	135
3	233
0	137
3	79
95	50
52	21
0	2
0	6
1	3
1	3
0	71
2	36
5	35
8	151
1	87
1	124
23	157
0	82
9	68
0	9
95	163
4	76
18	20
0	45
203	39
9	563
0	527
1	519
1	561
1	551
0	532
1	313
0	378
7	547
0	502
0	463
0	549
0	523
0	460
0	508
0	152
0	548
0	455
0	522
3	152
0	548
0	117
17	133
6	33
10	29
5	29
14	63
1	85
0	283
10	206
19	51
6	288
0	286
0	161
2	282
0	292
3	116
0	106
0	75
19	34
13	76
108	15
6	34
3	47
267	16
0	13
1	12
0	10
19	9
0	12
0	13
0	13
2	11
0	9
0	0
1	0
0	1
20	40
0	20
0	26
0	26
0	19
1	21
0	20
0	18
20	274
3	955
0	981
0	1114
16	910
0	494
0	120
0	1359
2	958
0	872
0	1445
0	1497
0	864
4	922
41	823
25	43
1	22
107	332
0	99
3	65
5	70
2	19
6	84
7	60
7	0
38	10
33	565
73	599
264	555
1	435
0	437
0	1
0	0
0	5
109	46
0	13
4	88
2	1
31	35
0	1
0	0
0	33
2	129
6	22
6	25
5	5
15	56
0	7
2	4
0	4
0	1
110	26
0	0
1	2
0	94
0	61
0	87
4	50
0	36
0	49
1	23
0	30
0	17
3	30
0	18
0	38
0	35
13	33
4	37
1	30
0	25
2	17
0	10
1	6
0	16
1	16
2	9
0	7
1	2
2	9
0	11
0	9
19	28
49	64
24	231
7	98
2	77
0	71
4	64
0	2
0	13
4	83
5	42
189	56
0	28
0	28
0	275
2	266
2	80
0	77
0	123
0	64
0	89
0	29
86	64
2	58
0	28
1	76
2	66
0	75
3	74
0	10
0	12
0	10
0	8
62	87
1	19
18	105
0	3
110	62
7	88
6	110
0	58
0	72
11	10
9	22
2	17
2	18
2	3
0	5
1	7
6	8
1	5
0	1
14	60
7	76
1	9
0	10
4	13
0	7
0	7
1	8
2	7
32	307
2	24
48	52
0	48
0	41
35	174
0	44
0	43
6	172
5	168
1	28
1	22
0	27
107	108
5	181
9	174
0	150
17	208
0	0
1	3
3	2
0	1
0	1
0	2
0	1
11	2
53	7
0	29
62	77
0	20
1	25
0	20
0	24
3	12
2	14
36	17
128	122
35	157
70	70
0	75
20	103
0	100
0	38
0	41
0	8
0	25
0	12
10	103
0	38
1	36
3	34
1	1
0	5
0	22
0	55
3	50
2	37
1	38
0	33
1	23
0	43
0	23
1	2
0	23
8	16
1	7
5	13
0	23
37	102
1	93
3	119
0	86
2	115
0	87
4	118
8	79
10	2
10	70
0	65
3	18
2	70
0	63
0	77
0	71
52	115
15	109
0	60
1	64
72	36
5	15
0	27
87	153
0	553
1	120
206	62
1	99
0	33
1	19
144	260
2	187
0	178
0	183
1	180
8	230
0	13
0	13
4	31
0	1
1	3
1	1
0	1
0	1
0	1
0	1
0	6
2	399
0	67
5	401
5	275
0	41
0	55
0	48
2	55
0	52
0	52
0	55
0	53
1	44
1	16
0	16
0	37
6	46
0	27
1	34
4	21
11	25
5	14
0	5
0	9
9	7
0	9
1	7
0	7
0	7
1	6
0	5
0	13
8	92
0	12
0	88
3	13
35	36
0	11
0	9
0	18
0	18
0	18
21	40
0	24
0	337
0	354
70	314
31	354
0	239
11	37
1	1
0	20
32	89
0	24
1	23
0	60
3	1
5	1
2	4
142	0
0	29
7	139
2	13
16	140
4	98
0	94
2	49
0	49
0	16
0	19
1	0
0	7
0	7
1	30
0	21
5	32
28	17
2	8
0	14
0	2
0	39
24	21
0	14
1	1
216	65
12	38
3	77
4	82
4	69
0	81
0	61
0	70
2	65
0	65
64	156
6	296
2	136
21	281
1	7
2	19
0	18
2	10
1	12
19	87
26	68
0	24
10	26
66	64
0	23
0	29
3	30
