UniqueCount	AmbigCount
21	112
3	95
0	55
0	45
18	72
0	201
71	116
0	238
0	131
0	47
2	52
1	36
1	50
0	17
0	17
0	3
1	0
0	2
4168	4952
6750	3394
175	1330
2	202
2449	2098
7	1575
0	137
0	134
0	103
16	109
32	72
0	39
0	31
1	38
0	31
18	114
26	103
5	59
148	121
0	1
0	1
2	838
5	924
5	917
0	793
20	788
6	337
124	352
0	0
0	0
0	1
0	1
18	19
0	27
0	43
0	28
2	53
1	34
9	51
0	69
20	71
1	0
0	34
1	18
0	21
0	18
0	20
386	3698
57	1893
5	1481
3	315
0	363
49	3142
39	3334
80	103
0	102
0	56
15	64
16	53
0	23
0	21
0	18
0	105
3	76
0	69
12	29
0	29
0	12
244	2002
0	2425
0	2425
153	1593
407	1537
31	26
44	121
0	74
0	93
0	68
2	101
0	93
1	132
0	240
8	281
267	284
64	328
0	226
1	81
0	25
20	63
6	104
0	103
9	25
0	9
2	9
0	9
10	36
5	13
0	242
0	191
30	224
0	191
18	132
1	3
4	3
5	196
0	193
15	193
0	170
17	181
25	65
0	0
0	0
0	0
8	12
4	30
15	39
4	17
0	119
0	106
0	102
0	84
3	80
26	4
15	40
8	75
0	68
0	62
18	13
0	5
15	327
0	331
3	252
14	371
44	89
2	0
0	24
1	121
1	76
0	48
0	76
0	39
0	34
36	151
3	77
26	111
23	26
2	6
0	847
332	1176
12	117
0	56
34	187
63	20
13	58
0	9
89	105
0	169
0	132
1	164
0	138
0	86
0	70
0	3
18	30
13	64
0	36
0	24
0	1
0	322
2	86
14	340
0	0
0	0
0	0
564	2424
124	1584
3	1201
543	1843
10	100
0	0
0	2
0	3
0	2
0	3
0	3
1	1
1	2
0	30
0	33
0	55
0	29
0	15
0	133
0	131
0	131
63	57
0	95
0	95
6	1
1	19
0	9
2	49
0	106
14	60
8	134
51	16
0	162
170	109
7	167
0	3
17	40
6	7
0	18
0	16
0	17
0	11
0	20
0	146
0	135
0	134
0	142
0	58
6	24
0	1
0	1
3	125
7	103
10	112
2	81
569	474
4	545
504	711
60	829
0	438
0	9
0	7
0	9
0	10
0	6
4	9
0	10
0	12
0	1
1	0
2	3
0	3
4	5
0	5
0	342
28	328
39	368
0	117
60	119
25	289
0	101
4	7
1	4
15	31
6	26
102	567
7	106
26	427
0	3
1	3
0	9
0	9
0	0
0	0
1	8
0	5
1	2
0	5
83	47
3	12
0	46
16	69
15	65
26	54
40	32
0	22
4	28
0	8
2	76
6	69
0	72
101	37
0	62
0	64
3	54
0	112
0	65
0	61
66	54
24	26
5	8
0	15
0	14
2	14
1	57
0	35
2	34
0	156
2	152
0	128
30	173
0	107
1	12
0	2
170	278
22	272
17	33
0	140
106	63
0	403
0	387
0	400
12	402
1	402
0	369
0	311
2	339
0	387
0	390
0	351
0	403
6	399
0	316
0	388
11	702
0	411
0	321
0	402
4	702
0	386
0	23
0	39
1	64
2	64
5	75
11	19
0	31
0	168
0	132
18	176
11	172
0	158
0	44
0	140
0	167
0	117
0	125
1	79
78	44
1	73
54	11
0	61
0	65
44	54
12	91
1	38
0	15
10	16
2	19
0	7
0	6
1	6
0	1
0	4
0	4
0	6
14	163
0	142
0	163
0	146
0	139
0	146
0	122
2	128
126	805
0	644
0	924
0	873
1	883
0	402
80	394
0	1077
0	1008
0	726
0	1077
