UniqueCount	AmbigCount
4	54
2	41
0	31
0	24
7	36
0	134
31	39
0	199
0	55
3	122
4	127
4	87
2	129
0	41
0	42
0	5
0	4
3	4
5178	4830
5412	3135
101	926
0	155
1356	1286
19	983
0	89
0	81
0	47
33	158
74	110
0	62
0	58
0	57
0	58
14	191
56	162
25	100
106	81
0	0
0	0
2	454
10	484
4	509
0	429
15	453
4	151
14	151
0	2
0	2
0	2
0	2
60	58
3	61
0	80
0	65
1	89
0	82
6	111
0	45
6	44
0	0
1	18
0	10
0	10
0	10
0	10
861	8349
243	4681
10	3193
4	866
1	935
60	6640
172	7138
146	122
0	123
0	122
26	139
34	113
0	46
0	44
0	32
0	102
5	68
2	59
17	40
0	40
0	3
669	6302
0	7713
0	7713
469	5005
961	3006
96	69
34	79
0	55
0	38
0	47
3	48
0	38
0	88
0	430
5	363
661	365
191	514
1	376
3	107
0	41
61	75
18	167
0	166
9	29
0	24
2	24
0	12
4	41
0	7
1	427
0	284
61	392
0	283
30	130
0	3
2	0
3	100
0	100
10	104
0	90
5	68
10	36
0	2
0	2
0	1
11	9
5	18
29	39
6	24
2	143
0	118
0	141
0	126
1	76
95	43
14	35
8	84
0	74
0	59
37	35
0	4
56	449
0	444
5	386
27	511
56	114
0	1
0	25
4	154
6	138
0	68
0	132
1	48
0	47
43	324
3	184
39	249
44	71
12	22
2	1248
707	2165
4	83
0	43
18	116
59	31
10	51
0	15
465	435
3	647
1	402
0	619
0	486
0	200
0	363
0	2
4	10
6	28
0	15
0	6
0	1
2	406
1	114
30	422
0	0
0	0
0	0
1485	4307
262	2658
10	1967
1388	3464
5	201
0	0
2	5
0	8
0	5
0	4
0	1
5	0
0	3
0	174
0	188
0	203
0	185
0	131
0	203
0	184
0	184
95	71
0	158
0	158
7	10
0	17
0	9
9	102
0	187
41	126
6	262
46	13
0	295
204	212
8	318
0	8
12	30
2	10
5	4
0	4
1	66
0	3
0	4
0	116
0	106
0	106
0	112
0	51
6	23
0	0
0	0
13	315
11	256
19	296
15	172
1010	940
7	551
886	907
50	969
6	494
0	11
0	9
0	15
0	18
0	14
1	15
0	18
0	20
1	2
0	1
0	18
0	18
10	19
2	7
0	515
55	509
44	575
0	108
91	109
35	447
1	95
4	7
0	0
6	19
2	30
92	275
9	45
20	234
0	0
0	0
0	4
0	4
0	0
1	0
2	3
0	2
0	2
0	1
58	32
11	4
0	51
7	43
40	146
36	86
109	70
0	37
1	75
0	10
8	39
2	32
11	40
160	66
0	94
0	86
2	91
0	126
0	98
0	71
137	105
24	31
2	9
0	15
0	10
0	10
3	50
0	23
2	23
2	302
2	244
0	210
65	328
0	208
0	8
0	2
303	597
31	630
28	63
0	352
358	225
0	481
0	490
0	499
30	499
0	502
0	482
0	298
15	505
0	476
0	475
0	385
0	505
32	494
0	434
0	484
21	968
0	511
0	356
0	505
7	969
0	459
4	144
1	175
0	290
10	290
11	244
32	47
0	153
0	600
1	449
60	565
45	608
0	559
0	173
0	508
0	598
1	107
0	128
2	65
76	36
1	58
97	59
6	113
0	132
117	115
13	213
0	85
0	26
11	24
3	30
0	0
0	0
0	0
0	0
0	6
0	6
1	5
12	151
0	127
1	142
0	136
3	126
0	129
0	124
5	114
155	879
1	593
0	1060
0	951
5	1075
0	461
64	378
0	1172
1	1107
0	717
0	1181
0	1302
0	696
0	1051
100	817
92	65
105	65
151	384
5	199
0	121
4	145
43	44
32	148
6	121
3	6
55	24
16	1147
175	1228
486	1342
