UniqueCount	AmbigCount
18	174
20	146
0	94
1	48
16	102
0	228
124	144
0	291
0	164
3	129
6	143
4	96
7	137
0	54
0	54
0	8
0	0
5	1
9145	11858
11684	6915
384	3144
2	286
4520	5383
9	2896
1	332
0	318
0	219
29	175
65	86
0	62
0	46
2	61
0	46
45	115
30	116
7	74
26	27
0	0
0	0
2	323
7	404
0	374
0	318
5	337
4	128
16	129
0	1
0	1
0	1
0	1
40	56
6	93
9	95
0	90
5	113
5	90
19	123
0	129
10	95
2	4
3	51
0	14
0	17
0	14
1	17
427	4231
95	2347
5	1913
3	430
0	464
27	3357
110	3543
103	118
0	119
9	82
24	93
15	73
0	40
0	37
2	29
0	168
7	117
0	108
18	69
0	69
0	9
81	3120
0	2994
0	2994
449	2090
880	2210
37	34
58	95
0	51
0	85
0	54
6	82
0	84
4	117
0	305
52	272
353	274
102	304
0	226
7	110
0	38
63	73
13	133
0	131
1	45
0	15
3	14
0	10
26	49
4	32
1	383
0	290
57	338
0	290
66	184
0	21
10	19
7	154
0	149
16	159
0	138
47	140
21	35
0	147
0	103
0	81
26	29
1	45
20	61
7	52
0	132
0	118
1	127
0	98
2	99
21	12
20	58
11	100
0	89
0	70
13	55
1	4
20	409
0	411
5	297
18	459
67	113
6	0
0	40
5	175
1	114
0	89
0	111
0	76
0	66
40	193
8	104
17	150
30	44
15	15
0	1153
581	1692
42	242
0	141
68	248
152	44
19	65
0	24
270	247
1	392
2	315
0	372
0	301
0	197
0	154
1	8
20	42
19	87
0	34
8	26
0	1
0	625
1	217
0	682
0	0
0	0
0	0
788	2751
135	1761
12	1174
878	2080
4	81
0	1
4	13
0	16
5	16
0	6
0	6
0	5
1	6
0	189
0	203
0	277
0	210
0	93
0	206
0	201
0	200
76	77
0	143
0	143
5	4
3	32
0	12
3	72
1	111
17	55
17	160
86	16
0	220
248	166
5	199
0	2
4	35
5	11
1	6
0	2
0	12
0	2
0	4
0	23
0	22
0	23
1	18
0	38
3	12
0	2
0	2
7	274
7	219
2	239
10	144
684	176
7	830
882	1103
122	1185
0	625
0	14
0	8
0	18
0	20
1	18
1	15
0	20
0	20
2	8
3	7
0	8
0	9
7	12
2	7
0	678
51	606
0	699
0	265
253	268
8	534
0	212
2	9
1	3
31	48
18	97
229	483
5	50
4	327
0	6
0	4
0	19
0	14
2	12
0	11
6	13
2	15
1	6
0	16
57	36
6	11
0	102
20	64
32	63
15	53
129	81
0	52
1	72
7	24
11	98
8	97
2	101
58	32
14	74
0	41
0	54
1	123
0	52
0	38
27	99
29	32
6	7
0	8
0	5
0	5
4	81
0	48
2	45
0	261
3	346
0	198
41	320
0	269
3	31
0	6
217	400
68	479
2	153
0	185
325	251
0	449
0	414
0	434
10	443
0	444
0	394
0	379
0	434
0	426
0	430
0	421
0	441
0	460
0	336
0	417
1	901
0	449
0	368
0	436
7	904
0	434
2	90
5	135
0	152
5	152
6	115
22	42
0	119
0	312
0	200
52	323
27	317
0	311
0	131
4	276
0	314
1	131
0	142
3	79
86	32
7	75
35	41
3	31
0	86
126	49
25	155
0	89
0	15
19	18
1	18
0	7
0	6
1	5
0	2
0	2
0	2
0	2
3	205
0	167
2	197
1	182
0	163
0	184
0	153
1	166
210	924
0	756
0	1104
0	1028
8	1089
0	524
107	443
0	1317
0	1133
0	824
0	1317
1	1365
0	797
0	1062
73	894
52	68
51	62
59	299
0	175
0	115
24	145
33	66
11	348
3	250
41	22
128	40
49	1919
162	2044
336	1853
57	1321
1	1305
0	0
0	0
0	0
113	59
2	19
1	177
2	6
31	78
0	7
11	5
0	35
0	95
7	31
3	25
76	10
3	39
2	10
21	41
0	43
0	1
50	109
10	58
0	62
0	53
0	21
0	53
2	19
4	31
0	13
0	20
0	22
0	15
0	30
0	16
0	32
0	30
4	28
1	35
0	26
0	22
0	16
0	18
0	24
0	17
0	16
0	18
0	33
2	10
0	48
0	53
0	53
128	80
24	74
0	352
64	160
3	93
0	87
7	72
3	4
1	50
3	129
0	34
228	51
0	47
0	47
0	350
0	296
13	357
0	359
0	152
0	282
0	118
80	132
82	48
0	41
0	124
0	244
0	162
0	191
8	191
0	37
0	41
0	21
0	30
149	115
10	32
0	78
74	22
329	187
8	77
0	82
0	70
1	45
34	31
29	58
5	53
5	59
0	34
8	41
6	36
0	37
3	4
0	2
22	107
6	169
0	44
0	44
1	40
4	37
0	32
4	35
0	26
67	550
0	59
40	110
2	101
3	171
14	371
0	199
0	192
1	373
7	390
9	175
73	141
0	161
48	448
31	583
14	585
0	563
1	621
0	9
0	10
1	7
2	10
0	11
0	6
0	7
3	9
24	86
0	10
27	141
0	105
0	45
27	105
0	63
14	14
3	40
47	31
8	119
26	383
183	235
0	46
0	67
0	67
1	38
0	35
0	3
0	3
0	3
12	161
1	67
0	62
8	56
25	8
0	9
1	13
0	52
3	45
0	39
0	39
0	39
0	15
0	42
0	15
1	6
0	16
6	9
5	30
0	12
6	70
13	109
0	104
2	134
0	101
0	123
1	101
0	118
4	86
4	2
0	149
0	149
124	103
1	143
0	119
0	154
0	153
25	113
0	94
1	47
0	47
12	38
5	54
0	20
86	294
0	645
2	253
54	120
2	84
0	47
0	12
57	552
0	394
0	445
0	365
0	412
8	390
0	2
0	2
3	7
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	230
1	412
0	228
14	137
0	57
3	80
1	67
0	76
0	80
0	76
0	71
0	76
0	52
0	42
0	37
0	53
3	57
0	53
0	48
18	39
3	32
8	51
0	1
0	3
9	5
0	5
0	2
0	1
0	1
0	2
0	1
0	41
0	26
0	31
0	23
3	34
31	79
0	30
0	30
0	60
0	63
0	61
74	103
0	50
0	184
0	189
18	188
0	191
0	138
150	97
0	0
1	44
6	106
0	55
0	59
15	105
0	0
53	8
0	7
124	4
0	154
0	25
0	128
0	31
0	24
0	18
9	99
0	97
0	33
0	33
2	10
0	5
4	5
56	134
0	107
1	82
22	15
46	14
22	34
0	0
0	9
1	12
0	5
9	18
184	495
0	232
17	131
0	179
1	121
0	138
0	122
0	133
0	145
0	136
8	561
2	546
2	299
0	510
0	68
58	222
0	194
3	58
2	45
28	148
1	124
0	140
0	20
36	113
1	88
0	80
1	82
15	0
18	137
0	63
1	100
3	78
150	116
0	136
0	143
0	116
0	119
0	132
0	115
1	98
2	12
0	0
437	399
81	84
0	0
41	129
0	119
1	119
0	4
0	2
0	2
0	5
0	5
0	5
0	2
0	5
0	3
60	70
0	68
1	57
25	46
0	20
0	4
0	15
0	13
0	15
8	49
15	29
9	27
0	34
0	18
0	24
0	23
0	22
0	13
8	29
1	16
0	6
0	6
0	49
0	55
0	46
12	45
0	25
0	123
6	83
0	1
5	6
0	21
0	6
101	32
3	183
0	165
2	94
0	146
0	163
0	163
150	326
14	247
0	99
0	159
0	99
0	103
0	104
0	44
0	59
0	57
7	39
65	197
7	10
77	432
0	551
1	542
1	635
0	564
0	404
1	487
0	469
1	88
0	49
6	83
0	73
14	86
0	14
83	229
0	147
0	77
0	41
0	57
0	88
16	86
25	59
49	80
2	162
49	103
63	63
90	54
0	26
22	24
0	26
0	30
0	13
0	12
0	14
0	2
0	14
214	182
0	163
12	169
0	21
0	21
2	20
0	21
