UniqueCount	AmbigCount
13	91
11	84
0	65
3	35
12	61
0	163
93	93
0	195
0	111
2	62
3	70
7	40
2	66
0	22
0	23
0	3
0	2
1	0
5349	7080
6795	4388
311	2007
3	195
2729	3431
0	1887
0	191
0	181
0	128
18	96
33	54
0	44
0	34
2	44
0	34
20	64
29	74
2	42
25	44
0	0
0	0
0	207
5	256
0	231
0	202
5	218
0	90
13	92
0	2
0	2
1	2
0	2
12	12
0	36
1	36
0	29
3	37
4	32
8	53
0	99
2	70
2	0
2	42
2	16
0	18
0	16
2	18
238	2587
51	1457
3	1121
0	261
0	269
13	2013
92	2087
69	62
0	61
4	93
14	110
14	94
0	47
0	46
0	37
0	116
6	77
0	56
12	41
0	41
0	7
59	1517
0	1464
0	1464
134	1074
365	1114
23	18
45	69
0	34
0	55
0	33
2	59
0	55
0	82
0	240
61	196
202	196
66	235
0	175
7	90
0	21
40	55
10	95
0	93
4	30
0	16
3	15
0	10
13	28
4	17
0	258
0	213
35	230
0	213
39	155
0	6
9	5
1	97
0	96
4	95
0	85
22	91
9	29
0	87
0	57
0	57
3	5
0	7
11	49
13	34
0	116
0	98
0	102
0	83
0	70
5	4
13	30
7	85
0	75
0	63
5	35
0	5
6	331
0	333
1	251
3	381
91	121
2	0
0	33
2	114
1	94
0	60
1	90
0	46
0	41
32	95
6	57
5	77
15	19
1	8
2	582
285	909
21	132
0	73
25	113
62	20
5	23
0	5
166	143
1	239
1	193
2	219
0	181
0	120
0	98
0	6
30	44
16	79
0	43
3	23
0	1
0	313
2	112
0	350
0	0
0	0
0	0
431	1732
139	1103
7	726
370	1374
1	35
0	0
1	1
0	1
0	1
0	2
0	2
0	1
0	1
0	160
0	173
0	189
0	170
0	82
0	139
1	134
0	140
50	55
0	91
0	91
5	4
2	45
0	29
1	51
0	93
14	58
6	130
34	9
1	151
165	109
4	141
0	1
10	13
0	2
1	3
0	0
1	3
0	0
0	1
0	5
0	5
0	5
0	5
0	43
7	12
0	0
0	0
0	142
5	109
7	127
9	78
423	84
4	518
520	672
88	725
2	400
0	18
0	16
0	23
0	23
0	23
2	19
0	23
0	20
0	7
1	5
0	10
0	10
7	12
1	7
0	419
29	371
0	428
0	164
143	168
4	314
1	132
2	4
0	1
15	30
12	77
207	397
3	49
2	251
0	2
0	1
0	11
0	8
4	8
0	6
1	8
0	3
1	1
0	3
33	24
1	5
0	77
20	44
25	55
17	47
83	69
0	47
0	57
3	18
2	40
5	34
0	36
45	23
9	44
0	33
0	37
0	75
0	38
0	31
19	50
20	29
7	6
0	7
0	6
0	6
8	58
0	29
1	26
0	172
4	201
0	123
24	197
0	152
1	23
0	7
135	276
47	264
1	72
0	120
211	140
0	345
0	343
0	335
12	354
0	355
0	325
1	302
0	332
0	335
0	320
0	334
0	336
2	350
0	247
0	344
1	766
0	354
0	315
0	345
6	765
0	346
0	43
3	65
0	67
4	66
4	62
6	30
1	52
0	156
1	102
51	154
10	161
0	153
0	68
1	147
0	158
1	89
0	92
1	53
27	20
2	50
25	14
4	46
0	61
50	27
11	82
0	55
0	13
5	10
2	15
0	4
0	3
0	3
0	2
0	1
0	1
0	2
9	228
0	209
1	231
0	215
4	201
0	211
0	196
4	212
125	562
0	473
0	641
0	616
2	598
0	312
76	301
0	735
0	673
0	515
0	734
1	789
0	510
0	630
34	550
28	43
30	32
52	179
2	112
0	71
12	90
25	42
22	185
6	139
28	12
114	34
29	1202
85	1259
201	1136
28	806
0	790
1	5
0	0
0	0
82	39
0	19
0	84
0	3
22	29
0	4
5	3
0	16
0	76
2	13
2	9
57	8
0	31
0	4
8	24
0	24
0	0
44	72
8	33
0	41
0	21
0	11
0	17
1	9
1	13
0	4
1	21
0	23
0	18
0	26
0	7
0	27
0	26
7	25
1	30
0	29
0	24
0	10
0	14
1	17
0	14
0	14
0	14
0	18
0	11
0	26
0	27
0	27
50	36
14	39
0	292
49	119
2	47
0	46
5	44
1	6
1	34
5	78
0	31
168	43
0	24
0	24
0	174
0	147
7	219
0	223
0	87
0	159
0	68
34	85
44	32
0	30
0	83
0	163
0	92
0	123
3	123
0	22
0	22
0	17
0	19
101	79
8	24
0	40
34	13
222	131
4	39
0	46
0	41
0	25
20	11
12	32
2	29
4	32
0	18
5	23
1	23
0	22
0	8
0	5
20	75
5	95
0	45
0	37
2	37
5	40
0	36
5	46
0	27
57	479
0	37
19	75
3	68
0	156
25	309
0	175
0	171
0	311
4	333
2	150
73	128
0	141
31	228
4	336
22	327
0	316
0	351
0	11
2	10
2	12
1	10
0	14
0	13
1	8
5	12
21	23
0	6
17	89
0	69
0	33
10	69
0	34
4	12
2	25
30	21
3	103
27	263
118	159
0	26
0	36
0	36
0	19
0	19
0	3
0	4
0	3
10	115
0	47
0	50
6	34
6	7
0	3
0	12
0	28
2	24
0	16
0	15
0	15
0	14
0	17
