UniqueCount	AmbigCount
7	79
5	62
1	42
0	27
9	48
0	146
76	98
0	180
0	93
1	64
4	70
1	50
5	66
0	25
0	25
0	2
0	3
2	1
3482	4677
4169	2785
219	1414
2	111
1731	2191
1	1148
0	161
0	152
0	116
17	81
25	37
0	35
0	25
1	34
0	25
15	65
30	80
3	45
11	18
0	0
0	0
1	198
1	232
0	228
0	183
3	207
2	66
14	68
0	3
0	3
3	3
0	2
22	26
4	66
2	65
0	61
7	78
2	55
8	71
0	73
2	54
0	1
1	39
0	19
1	20
0	19
2	20
152	1967
45	1152
2	896
0	189
0	198
14	1547
59	1648
37	48
1	50
5	59
8	71
10	61
0	27
0	24
1	19
1	64
2	43
0	28
12	35
0	35
0	6
41	1677
0	1652
0	1652
95	1189
406	1114
28	31
26	38
0	26
0	42
0	29
0	41
0	43
1	54
0	251
62	169
231	171
83	226
0	159
2	96
0	21
10	13
8	21
0	19
0	16
0	7
3	7
0	6
14	39
3	14
0	216
0	170
37	191
0	170
29	125
1	6
7	5
1	77
0	75
13	76
0	66
24	70
5	24
0	74
0	48
0	49
3	6
1	6
1	29
6	18
0	81
0	74
0	68
0	56
0	56
11	5
12	19
7	66
0	59
0	51
7	12
0	4
14	361
0	360
4	240
8	411
65	129
1	0
0	22
2	98
1	71
0	44
1	66
0	44
0	42
12	80
4	47
5	62
11	25
8	6
2	761
326	1179
11	99
0	49
15	84
74	27
4	25
0	6
280	227
2	405
1	323
1	382
1	313
1	212
0	146
1	4
16	33
12	67
0	33
3	21
0	0
0	255
0	127
0	283
0	0
0	0
0	0
279	1076
61	671
6	462
255	817
1	30
0	0
2	8
0	8
3	8
0	3
0	3
0	2
0	2
0	123
0	124
0	168
0	131
0	58
0	127
0	127
0	130
49	53
0	88
0	88
0	2
2	20
0	6
1	29
0	78
10	38
1	105
38	8
0	141
178	99
2	118
0	0
6	21
0	8
2	7
0	1
0	3
0	0
0	1
0	22
0	19
0	21
0	11
0	28
5	9
0	1
0	1
5	140
10	109
5	118
7	81
445	120
4	318
362	418
36	458
1	249
0	7
0	6
0	8
0	10
0	7
2	8
0	10
1	10
0	7
1	3
0	6
0	6
5	5
1	3
0	266
19	244
0	268
0	97
111	98
2	206
0	69
0	2
0	3
6	16
12	31
117	247
1	41
2	160
0	3
0	3
0	5
0	5
0	0
0	0
4	5
0	6
3	6
0	5
39	27
0	2
0	46
17	38
11	28
11	21
58	33
0	18
0	32
5	9
2	30
3	29
3	30
27	13
3	23
0	15
0	20
1	47
0	19
0	17
16	43
11	21
1	6
0	6
0	2
0	2
5	37
0	36
2	33
0	134
8	167
0	105
22	160
0	133
0	17
0	4
82	134
35	220
0	64
0	90
176	109
0	319
0	291
0	299
12	318
0	317
0	277
2	273
3	302
0	295
0	299
0	288
0	308
0	314
0	218
0	291
0	593
0	318
0	251
0	304
6	597
0	305
0	48
2	70
0	76
6	73
5	67
16	16
0	63
0	174
0	108
34	182
17	179
0	169
0	73
3	159
0	175
0	44
0	47
0	28
34	12
4	28
39	30
2	24
0	60
76	45
19	120
0	76
0	23
17	19
1	23
0	1
0	0
0	0
0	0
0	1
0	1
0	0
