UniqueCount	AmbigCount
2	15
0	10
0	3
0	4
1	8
0	77
10	27
17	76
0	35
0	10
2	16
0	15
4	11
0	2
0	2
0	1
0	1
0	0
492	14230
2512	6834
283	1484
1	19
356	1051
10	617
0	16
0	16
0	11
1	45
68	51
0	7
0	7
1	7
0	7
11	49
2	12
2	29
0	3
1	3
0	0
10	97
9	114
0	117
0	78
0	105
1	43
0	31
0	0
0	0
0	0
2	0
2	29
0	32
0	29
0	35
0	27
0	35
66	145
0	9
0	9
0	0
0	9
0	2
0	3
0	2
0	3
293	4804
122	3573
4	2162
5	586
0	658
59	3901
153	3583
12	28
15	31
0	187
6	203
5	141
0	17
0	16
0	9
0	18
2	12
0	4
7	50
0	50
0	5
58	2049
0	2183
0	2183
95	1616
54	233
22	27
2	32
0	31
0	43
0	31
0	55
0	55
0	41
9	143
8	89
400	97
26	94
0	72
11	64
0	34
35	28
5	77
0	73
0	9
0	3
0	3
0	2
2	7
0	6
1	91
0	26
83	91
0	26
12	9
0	9
2	4
1	21
0	19
0	20
0	17
4	11
2	9
0	6
0	5
5	4
0	1
2	20
2	5
0	2
0	114
0	86
0	119
11	104
0	38
68	49
2	4
1	12
0	11
1	10
24	44
0	3
4	372
0	371
5	375
16	352
13	122
0	19
0	17
0	38
0	34
0	25
0	34
0	20
0	17
3	77
0	27
0	73
3	33
17	23
32	244
57	447
3	5
1	3
20	56
0	28
4	16
0	6
141	219
0	253
0	66
0	252
0	239
0	18
0	152
0	1
10	13
0	17
0	13
0	6
0	0
2	950
0	273
0	951
0	0
0	0
0	0
1526	2681
43	1060
2	661
505	2637
0	33
0	0
1	1
0	1
0	1
0	3
0	3
1	0
0	0
0	101
0	125
0	120
0	144
0	117
0	11
0	13
0	13
0	8
0	10
0	9
0	1
0	6
2	4
8	196
1	387
56	178
1	450
23	2
0	105
48	77
1	112
0	1
74	64
7	13
5	9
0	10
1	22
0	2
0	11
0	579
0	430
0	415
0	396
12	73
4	22
4	1
0	0
6	91
2	87
3	81
2	10
699	384
1	46
781	154
2	155
0	46
0	6
0	8
0	6
0	22
0	4
0	13
0	22
0	21
0	4
0	4
0	11
0	11
4	2
0	2
0	249
29	230
0	247
0	10
0	10
78	268
0	10
6	13
0	3
0	3
0	0
137	798
17	61
10	674
0	6
0	6
0	12
0	11
0	3
0	3
0	11
2	12
3	2
0	11
183	80
5	54
0	94
0	2
1	31
1	7
28	20
0	6
0	8
2	0
3	41
2	25
0	43
72	62
0	108
0	91
1	100
0	109
0	61
0	96
1	96
11	13
1	7
0	7
0	7
0	7
0	16
0	4
0	4
0	200
4	174
0	56
45	204
0	171
6	23
0	2
39	37
8	270
2	151
0	234
308	240
0	110
0	127
0	129
2	122
0	123
0	122
0	14
0	23
0	103
0	122
0	28
0	127
14	118
0	136
0	126
1	229
0	128
0	30
0	129
0	229
0	104
0	20
0	16
2	71
3	67
0	57
10	2
0	17
0	240
0	94
48	231
1	242
0	245
0	19
0	180
0	239
0	31
0	31
0	10
24	7
0	10
36	17
5	12
0	26
61	4
0	5
0	3
0	2
1	2
0	2
0	3
0	2
1	2
0	3
0	2
0	2
0	1
3	37
0	17
3	36
0	35
0	16
0	31
0	21
0	16
80	158
0	81
0	187
0	182
16	318
0	77
0	67
0	392
0	173
0	83
0	392
0	417
0	98
0	187
69	150
6	30
0	27
87	194
0	28
0	12
0	22
5	6
0	7
0	3
2	0
0	2
4	99
81	352
444	347
0	87
0	90
0	0
0	3
0	0
93	12
0	2
0	21
0	13
28	76
0	13
1	1
0	11
2	202
0	8
1	9
6	6
19	60
1	11
1	10
0	10
0	2
3	48
0	31
80	33
0	15
0	12
0	14
0	10
3	9
0	7
0	4
0	10
0	6
0	10
0	10
0	16
0	14
5	41
5	30
0	11
0	7
0	11
0	10
0	11
0	11
0	11
4	11
0	11
0	7
0	98
0	98
0	98
39	70
7	71
0	41
0	16
1	27
1	27
0	14
0	8
0	34
1	31
0	11
176	22
0	11
0	11
0	132
0	131
0	48
0	48
0	6
0	45
0	5
14	10
62	5
0	5
0	10
1	125
0	30
0	43
0	44
0	7
0	7
0	4
0	5
20	18
14	8
0	48
24	20
127	47
7	99
0	120
0	120
0	48
38	17
0	4
0	4
0	4
0	3
0	4
1	4
0	4
0	5
0	2
0	9
0	11
0	16
0	7
0	8
0	15
0	14
0	15
0	8
1	45
0	10
38	14
0	12
0	12
0	38
0	13
0	13
0	39
4	38
0	12
6	6
0	11
0	10
0	32
0	38
0	38
0	42
0	2
0	4
0	4
0	4
0	4
0	3
0	4
1	4
4	7
0	12
21	19
0	17
0	9
0	17
0	4
1	8
2	5
9	3
1	17
1	18
50	18
0	25
0	31
0	31
0	14
0	24
0	5
0	6
0	5
0	15
0	11
0	9
5	11
6	13
2	0
0	8
0	65
0	59
0	59
0	57
1	56
0	12
0	57
2	10
0	1
0	33
3	13
0	34
0	27
0	9
0	12
0	3
0	12
0	3
0	12
0	3
0	12
0	4
0	0
0	4
0	5
3	2
0	4
0	4
0	3
0	4
30	37
0	21
0	7
0	7
3	25
0	10
0	9
22	189
0	823
0	157
48	52
33	142
0	70
0	1
10	17
0	13
0	12
0	15
0	12
1	14
0	1
0	1
8	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	102
0	117
3	114
1	77
0	67
5	72
0	72
0	61
0	72
0	71
0	72
0	72
0	82
0	31
0	29
0	83
0	82
0	82
0	83
0	14
29	22
0	9
0	2
0	2
36	2
0	2
0	2
0	2
0	2
0	2
0	2
0	27
2	47
0	27
0	47
0	26
249	53
0	4
0	4
0	10
0	10
0	10
2	5
0	5
0	66
0	66
0	68
0	66
0	23
36	21
0	0
0	70
0	59
0	42
0	53
0	90
0	0
8	14
0	11
104	0
0	3
0	30
0	104
0	28
0	28
2	12
23	130
1	130
0	28
0	28
0	2
0	0
0	0
96	51
0	50
2	31
1	5
20	5
1	4
0	1
0	0
0	4
0	0
0	0
73	94
3	6
8	132
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	237
0	275
0	168
0	171
0	34
0	9
0	10
0	4
0	2
2	47
0	39
0	40
0	6
22	20
0	9
0	11
0	5
0	0
1	50
0	28
0	16
0	3
5	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
3	54
0	0
287	790
17	541
0	0
0	4
0	4
0	4
0	0
0	0
0	0
0	9
0	6
0	6
0	3
1	5
0	3
19	2
0	2
1	2
15	28
0	8
3	8
0	5
0	5
0	3
4	71
51	52
27	39
0	27
6	18
1	23
1	16
0	23
0	11
0	5
0	3
0	8
4	5
0	8
0	8
0	7
1	7
0	6
0	3
0	3
1	15
21	19
0	10
0	19
0	83
25	71
0	51
1	34
0	44
0	46
0	51
129	72
0	47
0	40
0	49
0	39
0	41
0	41
0	103
0	105
24	103
4	57
236	541
0	11
15	173
0	430
0	452
0	415
0	397
1	81
0	424
0	50
0	16
0	7
0	14
0	7
8	19
0	2
63	21
0	55
1	26
0	10
0	25
0	26
26	5
