UniqueCount	AmbigCount
10	60
0	51
0	23
1	11
2	20
0	265
27	82
59	261
0	106
0	11
0	19
0	19
4	16
0	7
0	7
0	5
0	4
0	0
2177	65914
10164	32108
1541	8856
4	81
1350	6526
31	3333
0	24
0	24
0	19
1	127
258	487
0	8
0	6
0	8
0	6
22	181
3	44
2	99
1	2
1	1
0	0
46	266
16	257
0	263
0	200
0	247
1	38
0	31
0	1
0	0
0	1
0	2
10	80
1	93
0	73
0	97
0	62
0	92
166	587
0	2
3	1
0	1
0	40
0	2
0	2
0	2
0	0
944	16862
203	10578
15	7390
15	1699
1	1946
235	13809
407	13073
32	87
35	96
0	447
6	486
8	335
0	50
0	53
0	27
0	61
2	36
0	16
5	24
0	24
0	6
406	8075
0	8308
0	8308
275	6609
318	1045
127	178
6	31
0	28
0	36
0	28
0	52
0	52
1	45
31	359
11	215
1090	251
43	237
0	207
3	142
0	67
96	134
7	285
0	255
2	51
0	11
0	12
0	7
1	8
0	29
0	419
0	75
253	408
0	75
31	16
0	2
0	2
6	53
0	52
0	54
0	50
8	34
0	18
0	51
0	39
20	17
1	8
0	35
0	4
1	1
0	292
0	189
0	293
7	259
0	91
175	102
4	4
1	48
0	39
0	38
110	143
0	2
9	199
0	199
88	351
10	212
12	56
0	36
0	12
0	43
0	47
0	24
0	48
0	10
0	8
9	271
0	133
0	274
11	164
51	97
75	716
129	1293
1	2
0	3
61	214
2	80
4	58
0	20
384	411
0	485
1	147
0	482
1	444
0	43
0	310
0	3
43	32
3	89
0	70
4	32
0	8
8	3428
1	1025
1	3431
0	1
0	1
0	1
5048	8872
139	3473
5	2169
1197	8501
6	147
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	228
0	288
0	333
0	356
0	299
0	44
0	40
0	44
6	32
0	43
0	43
0	0
0	10
0	1
43	646
1	1604
255	717
5	1869
46	16
0	370
138	263
7	389
0	5
1136	685
16	36
9	35
1	37
0	38
0	6
0	30
1	1161
0	850
0	860
0	753
31	148
33	59
0	0
0	0
28	391
5	370
57	341
3	75
2199	1368
0	282
2878	677
3	690
0	279
0	16
0	19
0	18
0	41
0	14
2	27
0	41
0	40
0	4
1	2
0	16
0	16
4	3
0	0
1	758
49	753
0	738
0	49
0	49
289	765
0	35
2	11
0	4
1	9
0	2
495	2936
81	276
46	2297
0	2
0	0
0	6
0	6
0	0
0	0
0	6
1	0
1	4
0	0
2658	1188
18	215
0	337
1	2
4	51
4	19
74	41
0	14
0	18
0	3
17	86
3	57
4	101
229	293
0	460
0	417
5	437
0	486
0	307
0	435
11	390
47	46
7	8
0	11
0	5
2	5
1	48
0	7
0	7
0	702
17	587
0	296
109	730
0	562
0	13
0	0
157	188
56	783
7	426
0	651
1076	680
0	307
0	364
0	376
6	357
0	358
0	352
0	47
0	95
0	285
0	364
0	85
0	375
39	349
0	379
0	361
0	651
0	376
1	94
0	377
0	651
0	322
0	40
0	50
1	138
1	133
7	128
1	17
1	41
0	597
0	287
103	581
0	600
0	605
0	54
1	480
0	574
3	96
0	118
2	38
76	24
0	39
44	23
11	93
0	40
217	10
3	13
0	8
0	6
0	6
1	5
0	14
0	10
3	9
0	10
0	1
0	0
0	0
4	108
0	70
8	113
2	106
1	66
0	100
1	86
0	67
197	357
0	155
0	422
0	403
20	777
0	114
1	120
0	861
0	423
0	150
0	861
1	935
0	157
0	422
149	269
38	80
1	64
504	606
0	90
0	40
0	67
22	27
3	21
0	21
7	2
8	2
10	317
257	1246
1469	1241
0	281
0	296
0	3
0	0
0	0
405	13
2	4
0	51
4	29
91	313
0	49
1	1
0	7
23	3913
0	6
0	5
11	4
138	1225
0	1
1	19
0	19
0	4
10	236
0	112
286	122
0	56
0	18
0	51
0	19
3	25
0	6
0	5
0	7
0	4
0	15
0	12
0	17
0	15
14	81
20	43
0	14
0	6
0	7
0	7
0	12
0	9
0	7
4	9
0	12
0	3
0	221
0	221
0	221
183	220
21	226
0	59
2	25
0	7
1	7
3	11
1	14
0	66
0	72
0	12
568	42
0	40
0	40
1	412
0	405
1	81
0	81
1	18
0	79
0	8
49	17
281	9
0	7
0	12
1	326
0	84
0	110
0	106
0	5
0	5
0	4
0	0
50	31
47	21
0	83
41	23
413	93
12	279
0	366
0	365
0	129
88	77
1	6
2	4
1	5
0	4
0	5
0	6
0	5
0	11
0	9
6	35
1	14
1	13
0	5
0	5
0	12
0	12
0	12
0	4
1	100
0	20
108	31
0	28
0	15
1	76
0	20
0	20
0	78
3	75
0	16
9	7
0	14
0	34
0	111
0	110
0	110
2	109
0	9
4	24
0	12
2	16
0	15
0	13
0	8
4	11
17	24
0	6
73	126
0	26
0	15
0	26
0	11
1	8
0	1
44	8
0	78
11	102
83	75
0	61
0	67
0	67
0	37
0	58
0	0
0	0
0	0
2	19
0	5
0	3
4	4
10	40
0	0
0	22
0	225
0	211
1	206
0	203
2	203
1	33
0	203
3	26
0	6
0	108
3	53
0	123
1	87
0	8
1	50
0	18
0	50
0	17
0	51
0	17
0	49
0	15
0	0
