UniqueCount	AmbigCount
12	92
16	82
0	81
3	40
14	64
0	155
55	75
12	175
0	107
0	194
14	188
2	127
2	211
0	77
0	77
0	9
1	0
6	3
3657	4844
9115	2168
507	2297
2	60
3785	2541
6	1144
5	164
0	161
0	100
20	133
63	66
0	39
0	40
4	43
0	40
5	87
65	98
12	74
33	44
0	0
0	0
13	371
2	373
5	389
0	339
10	310
1	182
0	111
0	1
0	1
0	1
0	1
15	10
0	18
1	17
0	16
0	19
2	10
23	69
0	99
2	73
0	6
2	72
1	28
1	29
0	28
0	28
432	6793
89	2724
7	2556
5	529
0	543
42	5349
56	5866
32	111
43	113
0	67
18	74
15	66
0	33
2	33
0	25
0	155
5	119
2	94
16	48
0	48
0	12
307	3379
0	3489
0	3489
709	2089
1293	1605
7	2
131	152
0	92
0	86
0	111
1	127
5	151
9	175
1	245
5	339
299	341
80	352
0	232
5	122
0	30
179	118
20	299
0	297
13	100
0	37
11	33
0	27
8	38
8	13
10	418
0	358
53	404
3	369
103	237
0	8
8	6
19	128
0	127
9	119
0	115
16	118
16	20
0	31
0	26
23	7
8	9
0	14
17	48
6	22
1	144
0	122
0	132
1	110
32	81
9	2
35	45
12	90
0	80
0	74
75	33
0	4
39	318
5	316
5	242
8	375
85	126
0	29
0	28
0	195
0	84
2	51
1	71
0	44
0	40
60	174
3	93
21	130
27	30
18	15
1	1034
461	1646
53	222
9	140
12	17
59	7
7	14
1	4
247	124
0	195
2	180
0	195
0	150
1	85
0	112
3	7
26	16
13	49
2	33
1	17
1	1
0	282
0	66
10	292
0	3
0	3
0	3
1111	5276
551	2882
23	1436
728	5376
24	46
0	0
0	11
0	18
0	10
0	11
0	8
0	6
0	9
7	86
0	94
0	138
0	97
0	57
0	122
5	115
0	125
60	44
0	84
0	84
5	1
0	35
1	22
0	11
0	91
26	37
15	149
67	12
0	116
179	86
4	127
0	0
1	5
0	0
11	21
0	14
2	40
0	7
1	14
0	43
0	41
0	41
0	16
23	70
6	19
0	1
0	1
2	141
3	138
7	154
26	70
400	108
7	600
1300	882
165	1024
2	388
0	11
0	11
0	16
0	14
1	15
1	12
0	14
0	15
0	2
0	2
0	7
0	7
2	6
0	1
0	359
25	379
2	386
0	226
20	227
15	332
1	124
8	25
2	11
23	56
6	18
275	586
3	87
5	377
1	1
0	2
0	23
0	21
0	3
2	2
1	18
0	13
5	7
2	12
32	20
3	1
0	126
27	59
14	53
24	34
21	27
0	23
0	26
3	9
17	101
13	95
1	94
164	63
0	75
4	39
8	53
4	165
0	51
9	43
175	53
40	30
13	9
0	7
0	6
0	6
8	79
0	44
1	44
0	157
22	208
10	129
5	185
0	170
1	23
0	6
349	454
87	324
47	70
0	184
360	202
0	344
0	293
2	287
2	323
0	323
0	266
1	280
0	292
0	299
0	312
0	304
0	318
9	320
0	208
0	293
12	820
0	328
3	239
0	302
3	851
0	320
1	57
6	116
1	176
15	172
10	165
30	43
0	83
0	167
11	122
41	291
17	175
0	166
0	101
0	146
0	167
1	110
11	119
2	70
94	53
1	73
65	16
3	79
0	64
127	37
7	63
2	33
0	20
6	17
4	28
1	13
0	9
0	7
0	8
0	9
0	7
1	7
19	323
0	296
16	337
0	320
0	286
0	306
25	306
0	281
293	913
0	539
0	850
0	811
6	885
0	302
69	467
0	1017
0	890
0	562
0	1017
0	1148
0	553
0	850
79	638
100	38
79	40
138	219
4	139
4	93
1	74
19	27
21	327
10	227
40	7
300	139
150	2018
192	2036
152	2023
4	1477
0	1566
5	9
0	0
0	0
99	92
4	34
1	187
2	9
45	70
0	18
17	1
0	26
0	59
7	18
2	23
40	12
10	22
0	15
40	52
24	52
0	1
55	132
7	22
34	23
3	29
0	20
0	29
4	13
1	14
0	10
0	67
0	78
0	55
3	72
0	29
0	84
0	79
17	63
5	89
1	79
0	69
0	14
0	11
24	19
0	17
0	11
0	9
0	20
3	2
0	25
0	33
0	33
155	58
11	50
9	365
52	188
7	106
0	100
6	96
0	1
0	47
33	161
9	114
216	126
0	113
0	113
1	276
0	217
5	383
0	383
0	124
0	307
0	92
76	159
73	71
0	64
0	155
0	157
0	103
0	132
0	132
0	38
0	41
0	27
1	29
175	132
14	48
1	116
98	34
340	143
8	69
0	74
0	63
1	39
80	23
21	44
3	36
0	38
1	27
1	28
4	29
0	30
2	6
0	5
35	182
3	153
1	28
0	27
1	23
0	25
0	21
1	18
0	18
51	478
1	66
50	137
0	125
1	131
18	261
0	156
0	154
1	301
12	307
10	136
70	105
0	128
65	278
9	278
14	274
15	262
25	319
0	22
0	26
1	22
1	21
0	21
0	27
2	22
7	29
5	32
0	37
28	80
0	77
0	43
9	77
1	51
1	23
1	20
104	6
0	96
51	310
101	172
0	23
0	46
0	46
0	28
0	14
0	1
0	1
0	1
0	192
1	67
1	58
1	47
16	3
0	8
4	42
0	74
6	69
1	35
0	34
0	32
0	43
0	36
1	40
0	1
0	5
12	3
11	37
0	2
5	130
3	54
2	38
0	65
0	38
0	67
0	38
1	65
5	40
23	21
0	88
0	100
106	63
0	104
0	90
0	109
0	108
5	61
0	58
1	27
0	28
10	29
35	53
1	14
205	318
0	669
0	253
63	92
1	92
0	24
0	7
85	554
7	492
0	486
0	432
0	474
30	445
0	15
0	14
1	19
0	1
0	2
0	2
0	1
0	1
0	1
0	1
0	2
0	191
3	399
1	189
18	117
0	99
5	137
0	121
0	141
0	128
0	126
0	132
0	137
0	38
0	34
0	34
0	29
2	44
0	26
0	27
2	20
4	17
4	31
0	1
0	1
44	3
0	3
0	1
0	1
0	1
0	1
0	1
0	58
0	77
0	54
0	71
13	52
133	126
1	107
0	107
0	34
0	34
0	34
74	53
0	32
0	176
0	176
19	180
2	176
0	106
129	67
0	0
1	82
3	89
0	61
17	90
0	101
4	2
51	2
0	4
85	0
0	193
1	29
0	201
3	26
0	14
0	12
7	117
0	112
0	32
0	66
0	0
8	50
1	50
74	131
0	66
5	35
23	20
101	13
7	25
0	1
0	23
6	18
0	16
3	10
36	48
1	25
15	194
8	205
1	111
0	129
0	114
0	123
8	128
1	121
2	360
0	412
0	285
0	375
0	35
46	259
9	222
1	87
4	55
2	36
1	33
0	67
4	11
60	108
2	55
0	69
0	41
10	0
6	139
0	73
12	83
6	18
135	42
0	52
0	60
0	53
0	43
0	54
0	38
0	36
3	12
0	0
111	172
0	27
0	0
6	141
0	107
0	107
1	4
0	4
0	4
0	4
0	0
0	0
0	2
0	4
0	2
89	80
0	80
2	74
18	58
0	32
11	4
0	3
0	3
0	3
23	54
18	18
0	18
9	36
0	26
3	41
3	23
0	44
2	20
4	94
0	56
0	12
1	10
0	55
0	68
0	64
5	53
0	29
0	179
11	112
0	0
12	5
0	5
0	4
38	31
4	60
0	60
0	44
0	53
0	54
0	58
60	166
17	148
0	45
0	61
0	49
0	51
0	51
0	70
0	65
0	71
3	18
25	110
5	13
120	349
0	428
0	405
1	523
0	382
0	286
1	346
0	368
3	169
0	109
3	155
0	134
20	169
0	1
176	199
0	259
0	142
6	89
0	105
0	139
9	71
19	51
25	44
21	96
40	59
10	35
58	36
0	29
29	22
0	29
0	28
0	0
0	0
0	0
0	0
1	0
251	205
0	207
17	204
0	33
1	34
1	42
0	33
0	21
0	31
0	47
0	47
0	35
0	33
0	32
0	47
0	48
0	46
0	19
4	53
0	52
1	13
0	13
72	18
5	34
3	23
11	21
0	11
0	17
0	163
121	144
0	157
0	160
0	154
66	43
3	76
0	84
16	105
0	95
0	92
0	93
6	154
68	49
0	92
0	260
0	189
0	161
0	94
0	184
0	94
0	160
0	0
0	0
0	0
1	30
50	107
0	117
1	66
0	17
10	8
115	402
1	342
98	135
0	259
0	211
0	206
10	182
58	293
0	323
0	316
11	272
1	331
0	258
0	271
0	233
1	3
0	74
0	74
0	71
0	71
0	56
4	59
2	59
20	52
0	73
0	87
27	75
1	69
8	100
3	106
27	11
1	35
6	8
16	62
19	62
17	395
31	416
20	355
2	219
0	355
129	1203
190	1056
8	914
21	1007
0	127
0	119
6	203
0	200
0	192
0	170
0	149
0	128
0	187
0	132
0	11
0	68
222	59
1	295
0	75
0	170
69	60
0	56
0	38
33	60
0	4
46	360
21	92
0	0
2	12
0	0
0	0
0	0
22	243
12	225
0	1
0	0
0	0
0	0
0	0
0	0
8	16
6	10
41	37
0	70
1	85
2	70
0	75
97	86
18	81
0	145
0	98
4	120
7	66
1	4
0	7
2	40
2	37
0	92
31	100
1	0
0	30
0	39
0	32
6	25
0	38
0	37
0	939
2	1284
0	845
496	172
0	18
2	15
0	15
0	9
42	51
0	39
0	10
0	7
84	34
59	90
5	5
0	18
0	39
0	19
8	378
276	133
0	378
0	0
0	0
0	0
0	0
0	2
0	6
4	41
0	12
1	32
0	164
7	232
1	154
0	158
1	147
16	245
0	110
0	108
0	196
0	213
17	48
0	89
27	138
10	193
0	0
0	0
0	0
2	2
24	11
4	1
3	85
11	72
8	106
0	81
9	39
0	6
0	1
0	0
0	0
0	0
4	192
3	192
1	69
1	272
0	4
0	2
0	5
0	5
0	2
0	2
0	43
0	29
0	39
0	25
12	20
1	0
8	39
1	8
0	20
0	5
7	46
0	3
74	331
5	475
1	370
0	85
92	111
2	91
4	104
1	62
0	0
0	0
0	0
0	0
0	91
0	46
0	35
0	43
4	296
13	376
6	647
35	689
0	681
8	296
0	11
0	52
0	70
0	69
11	1
0	51
2	44
0	32
25	34
1	45
1	25
0	115
0	143
0	133
0	135
0	167
0	145
11	13
7	32
2	14
0	0
0	0
167	505
0	154
1	317
0	0
0	54
0	70
38	151
0	112
0	79
1	27
3	6
0	25
0	22
0	22
9	434
0	329
0	201
13	285
2	193
0	116
1	80
0	11
3	163
0	129
0	164
0	151
55	92
0	28
0	32
0	20
0	18
5	18
5	0
4	4
0	13
0	10
5	6
26	24
5	71
41	38
4	15
15	60
5	24
2	19
4	18
0	59
0	0
0	0
0	0
0	1
0	0
17	304
0	328
1	260
0	269
0	206
0	176
0	44
12	157
0	0
6	12
0	13
157	59
3	43
1	35
2	43
1	44
0	1
41	157
0	160
0	146
0	150
0	108
0	100
3	0
76	166
181	127
0	164
0	167
1	89
0	91
44	4
54	7
0	336
25	156
6	343
47	397
73	147
0	97
1	138
0	72
3	116
0	11
0	39
2	39
2	336
93	375
0	312
2	297
0	287
135	240
0	259
4	252
0	32
0	41
0	35
5	27
12	238
16	89
1	944
0	988
56	1047
51	625
0	549
0	5
0	19
30	33
3	31
5	9
38	108
34	207
24	60
184	78
4	87
3	106
34	99
0	70
0	55
18	85
1	17
0	14
0	63
2	27
3	26
0	15
0	24
1	14
93	167
0	186
4	47
0	80
3	33
2	227
0	271
24	252
26	89
12	10
14	0
71	217
2	235
4	199
32	180
0	200
0	50
13	38
11	45
17	34
0	47
8	47
0	47
11	34
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	9
0	38
1	34
