UniqueCount	AmbigCount
18	76
6	69
0	57
1	30
13	49
2	232
85	132
20	268
0	147
2	237
13	253
3	187
3	263
0	109
0	114
0	12
0	3
7	1
8903	9938
16649	4346
1079	4813
7	112
6912	4604
4	2181
13	258
0	250
0	162
33	197
79	87
0	74
0	63
15	74
0	63
5	122
111	156
11	105
8	18
0	0
0	0
24	668
0	652
7	667
0	578
11	533
9	332
0	203
0	1
0	1
0	1
0	1
74	39
0	75
4	87
0	93
8	88
4	68
28	166
0	101
7	49
2	1
1	39
0	12
0	12
0	12
0	12
424	6659
89	2952
4	2448
5	577
0	598
42	5300
96	5792
50	156
52	167
0	102
19	114
34	83
0	50
4	50
2	37
0	173
13	126
1	104
18	61
0	61
0	18
361	4004
0	3984
0	3984
716	2520
1789	2011
13	12
111	97
0	40
0	69
0	55
4	83
1	108
12	129
1	361
3	457
434	458
129	464
0	322
10	165
1	50
231	151
22	409
0	409
18	161
0	38
4	38
0	22
14	81
3	6
14	591
0	486
81	553
3	498
133	319
0	12
3	10
62	240
0	233
46	215
0	197
30	212
4	47
0	90
0	84
49	19
10	7
1	9
15	62
12	36
1	187
0	162
0	170
2	138
25	99
22	3
26	52
8	99
0	92
0	80
67	32
2	5
53	510
3	487
7	367
4	561
184	177
0	65
0	36
0	282
1	122
6	83
2	105
0	78
0	65
73	172
7	84
33	131
21	49
9	23
0	1278
622	2154
76	273
6	150
14	34
115	16
13	18
1	5
375	208
0	322
4	313
0	320
0	248
0	189
0	135
7	11
34	27
18	89
7	36
2	33
1	3
3	337
1	71
27	354
0	4
0	5
0	4
1269	5225
412	2820
24	1556
908	5290
40	54
0	0
1	5
0	6
0	3
0	6
0	6
0	4
0	4
3	237
0	248
0	287
0	252
0	139
0	173
6	171
0	184
120	63
0	120
0	120
18	2
0	24
0	13
0	25
2	107
13	37
18	155
84	19
0	209
325	141
13	235
0	1
4	11
2	5
31	26
1	13
0	9
1	5
3	17
0	61
0	61
0	60
2	20
48	134
9	36
0	2
0	0
3	191
3	171
8	194
19	100
583	145
9	751
1635	1129
275	1280
4	490
1	26
2	21
0	31
0	33
0	28
0	27
0	33
0	38
0	3
2	1
0	2
4	2
4	2
2	1
0	801
45	805
3	865
0	510
31	519
35	746
0	313
6	13
1	6
22	57
22	24
545	940
10	81
9	593
0	0
0	1
0	14
0	10
2	4
0	4
3	10
0	12
2	4
0	9
27	28
2	10
0	151
30	65
32	83
31	54
43	51
0	41
0	46
2	18
11	74
15	68
3	67
208	95
1	120
2	66
7	87
6	238
0	81
11	77
189	92
70	46
15	13
0	13
3	3
0	3
16	131
0	82
0	78
0	219
56	326
16	173
3	274
7	264
0	42
0	11
257	379
112	628
58	122
0	351
622	385
0	466
0	408
0	418
1	454
0	454
0	387
3	379
0	405
0	429
0	411
0	410
0	436
30	443
0	287
0	404
15	1142
0	454
2	347
0	428
9	1152
0	444
0	50
13	111
2	234
18	234
13	201
19	36
0	92
0	193
13	142
60	361
26	207
0	203
0	99
2	178
0	203
2	121
24	134
0	66
112	48
4	62
51	14
0	17
0	79
166	41
12	102
2	55
0	18
7	17
3	23
1	27
0	18
0	13
0	15
0	6
0	5
0	6
17	125
0	97
9	118
0	112
0	92
0	94
9	96
0	89
451	1527
0	900
0	1390
0	1303
9	1374
0	494
142	820
0	1642
0	1454
0	930
0	1645
0	1850
0	938
0	1387
133	1098
158	72
95	62
215	306
4	180
3	123
3	84
40	29
0	418
1	254
45	10
600	156
200	3129
329	3201
341	3121
8	2289
0	2435
2	15
0	0
0	12
186	115
3	54
1	275
1	2
44	60
0	7
16	1
0	48
1	100
8	36
9	45
80	28
10	41
0	8
62	83
23	83
0	7
88	153
3	30
42	31
0	42
0	25
0	42
3	36
9	38
0	19
0	52
0	62
0	35
3	56
0	30
0	67
0	64
21	53
3	62
1	56
2	53
0	22
0	18
30	20
0	24
0	21
0	16
0	17
0	7
0	98
0	102
0	105
144	66
18	61
5	589
102	306
1	59
0	57
3	47
0	1
0	77
59	230
14	142
404	163
0	201
0	201
2	465
0	353
8	566
0	583
1	203
0	445
0	144
96	184
122	50
0	48
0	180
0	259
0	171
0	217
0	217
0	26
0	28
0	22
0	20
237	159
13	42
0	127
106	29
549	248
18	66
0	80
0	64
2	52
107	36
24	58
2	43
2	51
0	37
4	37
2	31
0	37
2	8
0	6
28	114
6	167
6	51
0	40
3	39
0	38
4	36
2	30
0	26
70	589
2	49
68	134
4	123
1	147
29	350
0	175
0	173
2	379
20	396
4	165
101	123
0	158
65	311
10	395
28	399
11	378
30	480
0	24
4	26
1	24
1	27
0	27
1	26
0	24
7	29
12	37
0	50
69	155
0	148
0	87
18	148
0	105
0	47
1	37
74	5
0	175
60	470
139	245
0	29
0	50
0	50
0	28
0	19
0	2
0	2
0	2
0	250
2	88
2	92
2	59
23	4
0	8
1	28
0	58
7	56
0	31
0	30
0	31
2	31
0	30
1	26
0	4
0	4
7	4
18	19
0	1
16	177
1	54
2	46
0	69
0	46
0	64
0	44
0	71
15	50
33	44
0	122
0	133
182	92
0	136
0	110
0	143
0	143
10	94
0	93
0	39
0	39
8	40
39	53
0	14
263	431
0	959
0	355
79	140
1	21
0	13
0	3
122	641
13	581
0	572
0	466
0	581
36	521
0	2
0	2
1	10
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	241
1	440
4	244
14	149
0	214
13	266
0	239
1	270
0	254
0	251
0	259
0	261
0	119
0	123
0	119
3	105
5	124
0	94
0	106
3	74
9	60
6	34
0	4
0	4
45	5
0	4
0	5
0	5
0	4
0	4
0	4
0	35
1	61
0	30
0	58
2	31
146	151
0	109
0	109
0	51
0	52
0	52
111	121
0	63
0	212
0	212
34	217
2	212
0	128
145	81
0	0
0	77
10	121
0	73
40	83
0	109
4	1
71	15
0	25
108	3
1	129
4	66
1	315
2	60
0	31
0	26
15	211
1	204
0	57
0	117
0	0
23	48
0	48
97	171
0	70
5	41
28	20
134	16
9	44
0	0
0	47
19	32
0	15
6	13
57	41
2	20
19	247
29	247
0	150
0	178
0	141
0	163
11	156
0	153
3	617
0	687
0	458
0	612
0	52
51	279
2	246
0	89
3	71
1	49
0	42
1	62
1	18
71	117
2	64
0	66
3	52
18	0
3	182
0	102
10	94
11	33
158	45
0	82
0	89
0	75
0	60
0	74
0	54
0	52
4	3
0	0
118	190
4	30
0	0
12	144
0	124
0	124
3	4
0	2
0	2
0	0
0	0
0	0
1	0
0	0
3	0
90	67
0	73
3	58
28	83
0	39
6	14
0	8
0	5
0	8
18	54
10	16
0	25
1	43
0	23
0	43
2	33
0	48
5	34
4	99
0	60
3	18
0	17
0	55
0	62
0	55
21	48
0	29
0	160
16	109
0	1
20	10
0	21
0	11
58	54
4	52
0	52
0	32
0	46
0	50
0	48
82	180
19	154
0	32
0	49
0	35
0	41
0	42
0	54
0	53
0	55
2	23
63	149
7	12
139	581
0	649
0	589
1	777
0	544
0	427
0	494
0	568
0	155
0	93
6	139
0	118
20	153
0	1
212	282
0	254
4	151
3	82
1	111
0	144
16	89
32	69
35	66
20	97
51	60
11	49
121	41
0	55
45	49
0	55
0	54
0	1
0	1
0	2
0	1
1	2
328	255
0	229
12	239
0	31
1	31
0	36
0	31
0	17
0	29
0	59
0	59
0	54
0	54
0	51
0	55
0	55
0	46
0	23
12	54
0	54
1	30
0	30
117	13
0	36
5	46
20	42
0	19
0	27
0	252
184	214
0	255
0	239
0	243
73	64
7	121
2	130
25	150
0	86
0	86
0	84
4	173
100	82
0	85
0	286
0	201
0	162
0	86
0	198
0	89
0	165
0	0
0	0
0	0
6	33
55	151
0	138
3	93
0	16
4	8
164	460
0	387
91	135
0	300
0	193
0	160
4	188
43	275
0	293
0	279
1	252
0	268
0	209
0	213
0	201
0	11
0	62
0	62
0	62
0	62
0	53
9	72
1	72
30	107
1	91
0	108
28	117
1	82
7	127
5	120
51	25
4	59
15	12
23	71
12	72
12	468
43	526
33	437
3	271
0	438
201	1807
350	1617
4	1454
34	1578
0	207
2	171
18	321
0	312
0	300
0	263
0	260
1	207
0	312
0	219
0	12
0	85
237	55
2	349
0	87
0	202
91	104
0	88
0	72
17	70
1	0
12	71
29	137
0	2
5	33
0	0
0	0
0	0
30	444
30	420
0	0
0	0
0	0
0	0
0	0
0	0
10	14
8	15
57	31
0	49
1	59
0	44
0	45
88	70
28	133
0	238
0	153
6	182
8	95
0	5
0	7
1	41
4	41
0	87
27	103
0	0
0	41
0	52
0	46
6	36
0	53
0	52
0	940
1	1298
0	847
496	178
0	8
0	5
0	7
0	2
40	45
4	24
0	9
2	13
67	22
32	46
9	1
0	65
0	62
0	34
13	454
342	159
0	454
0	2
0	0
0	0
0	0
0	4
0	4
4	32
0	7
0	34
4	180
10	256
3	168
0	164
3	157
37	270
0	121
0	117
0	225
0	249
20	51
0	128
47	180
11	224
0	2
0	2
0	2
4	12
34	16
9	7
1	66
15	61
5	91
0	76
3	31
0	6
0	0
0	1
0	1
0	1
0	13
0	13
3	65
7	222
0	1
0	0
0	4
2	4
3	1
0	1
0	21
0	15
0	18
0	13
13	22
0	1
13	50
0	10
1	8
2	2
2	40
1	3
130	470
10	647
0	518
0	129
123	137
1	123
3	134
4	89
0	3
0	1
0	1
0	2
1	99
0	49
0	39
0	59
5	499
25	547
8	1071
64	1110
0	1110
10	476
1	9
0	59
0	73
0	71
21	2
0	54
4	36
0	14
23	20
0	37
0	17
0	204
0	243
0	229
1	235
1	289
0	241
22	9
9	41
7	15
0	1
0	0
234	609
0	200
3	335
0	0
0	70
0	91
82	198
0	141
0	112
3	42
6	16
0	33
0	0
0	0
4	557
3	458
2	312
33	402
2	316
0	199
1	73
0	6
7	201
0	167
1	203
0	192
59	113
0	37
0	47
0	19
0	19
3	14
9	2
27	5
0	19
0	17
8	6
15	24
3	124
82	81
13	22
28	148
13	39
5	28
1	20
0	146
0	0
0	0
0	0
2	0
0	0
33	359
0	414
5	321
0	336
1	230
0	230
0	98
27	298
0	0
3	8
0	0
118	46
0	39
0	42
3	38
1	45
0	0
34	138
2	145
0	136
0	138
1	93
0	87
6	1
111	277
244	223
0	117
0	114
0	70
1	67
47	1
48	4
0	287
20	123
1	284
24	349
112	229
1	127
0	221
1	90
7	170
0	20
0	29
4	30
0	492
149	544
0	474
1	429
0	410
206	346
0	363
4	358
0	10
0	15
0	8
3	11
17	312
21	115
3	1544
0	1604
87	1703
144	1056
0	831
0	8
2	17
45	36
14	31
6	14
63	146
43	275
27	63
219	104
3	41
2	46
9	45
0	38
0	95
36	146
0	16
0	6
0	86
0	19
0	17
0	8
1	24
0	6
100	205
11	229
1	48
0	102
3	31
2	213
0	260
10	253
21	89
14	16
9	2
106	222
0	224
6	184
39	196
0	189
0	55
26	46
7	47
32	42
0	47
14	47
0	46
18	49
0	0
0	0
0	0
1	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	11
0	23
1	16
0	10
0	20
0	21
15	62
12	110
8	91
0	89
13	17
0	4
0	112
20	97
0	110
0	112
4	266
52	6
0	0
0	61
0	65
0	61
0	56
0	61
1	69
0	32
0	23
13	22
0	33
0	6
0	7
159	256
5	35
5	18
0	11
7	36
4	31
247	61
80	31
0	53
11	59
18	32
91	624
21	10
46	96
6	3
0	2
1	55
8	11
8	21
0	14
0	0
0	0
0	0
0	2
1	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
3	3
0	3
0	5
0	5
7	5
0	0
0	396
0	432
1	310
6	447
236	71
0	65
0	19
0	19
0	0
45	447
72	551
0	18
0	80
4	152
0	46
4	69
0	54
0	31
0	618
1	660
82	452
4	250
0	285
68	124
0	0
0	1
0	0
0	1
0	20
0	0
0	1
0	0
0	1
0	0
0	1
39	92
29	56
0	82
2	81
1	82
0	1
51	938
10	901
0	1112
1	921
0	613
2	566
0	66
0	68
23	159
0	98
0	129
8	139
19	117
9	53
0	80
0	1
0	1
0	0
11	4
3	136
0	99
0	77
0	97
0	81
1	56
4	2
65	199
11	174
20	171
11	188
1	158
0	140
2	148
0	134
1	56
74	27
0	203
1	194
2	212
0	4
0	2
50	34
0	65
2	661
25	699
30	440
108	57
111	70
0	3
0	1
0	1
1	64
0	60
6	51
0	50
0	10
48	516
0	248
7	246
74	244
1	248
60	156
37	111
3	88
11	153
0	62
0	62
0	61
29	60
1	13
0	315
0	234
0	287
0	243
0	251
0	197
0	185
253	134
0	155
19	136
6	126
2	223
0	290
13	106
0	308
0	292
0	243
0	281
0	298
252	121
2	285
0	269
2	137
0	106
0	83
0	182
1	114
0	67
0	74
58	1019
4	54
23	55
24	36
0	40
18	38
26	91
0	16
0	9
29	52
4	68
0	62
0	29
0	77
6	99
0	60
23	99
1	54
4	94
0	34
44	153
0	145
6	541
34	780
613	429
0	402
0	412
59	419
0	11
0	14
0	14
0	16
1	38
7	46
45	167
283	129
0	130
34	27
0	23
26	15
36	92
123	159
0	152
2	141
1	117
1	123
4	49
13	134
0	181
0	166
71	200
71	186
0	88
8	748
0	0
14	34
20	33
0	8
6	18
0	16
21	26
29	21
91	87
0	60
1	17
28	23
0	155
0	484
0	289
3	307
0	434
13	435
0	150
8	1005
0	797
0	845
22	1353
24	1292
4	4
1	0
236	49
1	63
50	46
146	200
5	1733
111	1778
57	1423
101	442
3	180
0	1
0	0
0	0
1	0
0	0
0	0
0	22
0	0
0	128
0	105
4	33
1	29
0	54
25	50
7	79
73	111
0	67
5	117
0	49
0	48
23	169
0	147
1	169
137	50
0	91
5	81
0	68
0	94
0	95
106	67
0	31
145	31
3	208
0	123
0	187
1	222
0	126
0	147
0	126
18	96
27	130
0	1
0	0
0	0
0	21
2	27
1	30
3	4
0	14
28	447
37	260
3	292
2	74
4	59
0	62
2	43
0	22
2254	1440
54	218
0	224
0	214
0	165
22	3
0	12
2	28
0	186
0	189
0	187
0	197
0	203
0	170
7	160
10	215
0	113
40	106
51	85
0	17
0	15
179	75
0	92
0	36
12	187
1	124
5	161
1	101
0	111
2	161
0	133
0	52
0	39
6	59
0	58
0	59
0	59
17	59
7	51
5	34
22	433
20	449
24	528
3	397
7	391
0	318
0	30
4	26
29	54
0	54
0	47
0	47
0	44
0	47
1	28
0	222
15	329
6	224
4	264
32	42
0	112
17	56
0	112
4	84
134	114
0	112
49	112
0	201
20	165
19	1317
15	330
4	252
5	306
2	540
0	602
0	201
7	193
39	31
94	151
0	0
56	49
0	80
0	31
13	42
11	41
22	16
24	1
36	210
0	0
0	62
165	63
53	614
2139	366
0	613
2	5
0	9
10	7
1	7
3	135
0	116
11	118
97	44
3	1
135	24
0	331
11	132
23	766
7	826
0	746
20	781
10	297
3	195
1	9
0	13
0	10
22	510
0	541
7	405
0	407
0	436
1	595
214	374
0	555
1	694
0	686
65	697
0	688
8	20
6	9
0	9
7	6
0	4
0	2
0	0
4	10
4	40
48	134
1	38
0	16
2	8
0	7
6	298
8	291
0	275
6	16
26	22
0	54
26	3
1	0
2	0
0	125
89	147
34	4
0	189
0	208
26	213
0	181
26	60
4	9
0	3
24	175
0	120
5	134
0	97
3	82
0	102
1	47
0	43
0	43
0	99
0	88
0	99
0	96
0	100
0	82
0	85
0	96
115	1699
1781	1696
1	1076
21	45
0	44
0	95
210	153
0	95
0	95
0	176
103	30
6	30
0	160
0	159
0	121
38	137
0	148
102	90
21	44
4	44
0	178
0	187
0	191
5	2
4	3
6	7
0	5
41	158
65	108
0	195
0	165
0	31
4	42
124	36
1	30
0	35
0	9
0	17
0	9
0	8
0	133
1	122
0	99
21	133
1	65
15	76
0	1397
75	1420
129	1307
1	3
0	4
0	1
0	1
0	1
0	0
12	30
125	69
3	65
0	65
6	63
71	92
1	20
20	14
0	46
1	21
0	15
1	213
0	497
0	29
17	4
0	148
0	160
0	106
37	187
71	175
1	142
3	41
0	0
0	0
0	0
5	5
0	10
71	53
2	73
2	70
0	78
0	48
1	36
0	25
0	1
0	1
0	1
13	48
7	3
105	919
223	300
33	475
0	554
284	118
20	21
68	95
22	104
9	123
6	1
5	82
0	35
40	15
216	109
106	156
0	112
1	92
0	82
0	82
1	2
1	0
0	35
0	89
0	85
1	85
0	23
0	16
0	69
0	76
0	4
0	4
0	4
40	209
0	0
0	0
0	0
0	0
2	36
9	23
0	30
1	12
44	18
0	13
0	7
40	306
15	122
0	1
0	1
17	3
0	0
0	0
217	506
0	398
0	441
22	193
0	93
1	122
5	104
135	138
10	102
0	280
38	293
51	397
0	382
96	220
13	9
3	125
1	9
58	199
2	111
0	449
15	86
0	34
5	11
2	7
0	72
71	86
0	49
1	67
20	78
3	37
5	193
9	114
44	153
0	117
4	80
5	117
0	84
1	83
198	154
12	96
20	115
6	94
1	96
0	58
0	53
0	55
0	0
1	175
21	289
0	272
1	261
5	247
4	294
12	300
5	219
8	214
36	74
28	45
4	64
35	73
38	58
0	17
0	85
0	12
0	20
0	19
0	9
3	6
36	89
0	7
2	6
2	42
0	163
1	131
0	133
6	233
6	260
0	256
2	308
3	457
0	140
0	282
0	142
0	278
3	60
0	64
0	43
6	50
0	54
0	339
5	233
2	228
0	255
22	512
363	252
0	377
0	377
10	403
64	693
16	395
80	436
9	442
0	283
0	37
2	45
0	41
0	37
0	40
2	38
0	36
0	39
2	40
5	101
36	88
10	115
3	107
0	95
0	120
0	107
0	57
0	88
0	134
0	192
18	186
0	352
0	352
0	289
0	154
3	453
113	186
0	206
0	208
115	242
0	254
0	253
6	207
1	174
6	115
338	186
2	161
1	55
14	62
0	74
9	49
0	69
0	68
0	155
0	155
57	24
7	5
0	9
0	0
0	0
0	0
13	492
18	448
9	71
0	46
0	0
0	0
0	0
0	0
0	0
1	0
0	3
3	2
0	3
279	364
14	196
0	351
1	337
0	268
18	371
5	262
6	278
164	79
66	2
0	1
0	99
4	234
6	115
57	473
23	385
0	295
1	404
0	219
0	266
0	278
0	340
0	240
11	290
34	195
1	234
0	211
11	99
1	75
14	21
0	23
1	14
0	13
2	4
0	4
7	42
0	20
0	11
25	2
0	21
2	23
0	504
0	614
0	567
12	521
1	577
0	458
3	487
18	626
0	571
0	591
0	621
0	592
0	587
0	594
0	554
0	567
0	553
1	548
22	11
1	14
61	12
0	22
12	24
0	18
0	0
1	70
0	67
20	94
19	85
0	0
0	0
0	0
7	155
80	53
9	18
0	13
0	221
10	147
0	154
0	141
9	141
13	115
0	127
2	33
0	33
2	36
0	31
0	25
0	88
0	24
0	17
0	178
0	179
0	182
0	171
0	78
0	172
0	173
16	4045
8	964
3	1127
33	2325
7	4556
23	3119
0	2506
121	1976
14	1927
8	1265
13	3197
1	1476
0	325
2	2256
0	3132
16	2858
16	29
1	45
22	14
35	25
42	20
3	0
533	1254
0	1645
0	1781
1	1627
886	175
0	14
0	16
1	10
0	16
0	12
6	548
0	539
2	0
0	9
0	496
9	281
0	276
7	70
104	359
8	122
36	120
29	83
187	95
0	38
17	32
0	0
11	120
0	213
5	166
0	114
58	2922
62	4309
122	1443
100	1229
100	4147
57	2008
3	6
4	6
0	6
0	6
0	4
0	7
0	3
26	24
0	4
336	174
72	12
9	48
0	48
603	244
1040	278
3	4
0	305
40	245
297	152
8	198
35	244
5	148
1	0
0	0
0	0
0	0
0	0
0	0
196	339
0	31
0	25
0	22
0	25
1	22
15	12
7	85
62	157
1	168
6	118
6	47
0	56
3	53
0	77
15	121
55	55
7	5
16	123
23	52
0	28
13	19
3	15
0	5
0	386
26	347
0	386
4	163
1	221
0	206
5	298
29	97
0	162
0	153
127	104
4	189
0	187
0	212
1	205
0	209
128	707
18	621
2	632
49	902
14	823
6	714
432	89
1	20
6	122
1	84
1	43
0	25
0	42
44	18
0	42
113	69
25	69
0	13
0	20
3	396
0	177
0	195
31	195
0	0
0	13
0	10
0	2
9	638
0	2
17	9500
52	9275
222	8176
0	2
2301	8124
0	0
0	2
0	2
38	45
0	36
0	35
0	5
2	42
5	33
1	0
0	182
0	231
162	156
0	221
4	194
0	195
226	165
0	0
1	11
1	10
0	6
21	272
0	270
2	188
0	160
32	160
0	150
0	171
3	154
14	18
20	138
12	123
5	109
0	171
21	144
52	93
29	167
6	147
19	4
0	447
0	404
50	442
0	412
0	318
0	71
3	206
0	481
0	368
0	499
0	519
0	503
6	449
11	325
0	2
9	228
0	118
0	41
18	15
0	3
0	0
1288	537
0	7152
0	7154
0	6918
116	7153
39	6304
1	4953
31	17
4	29
0	29
28	498
44	561
151	152
1	208
1	110
2	129
0	130
1	60
2	6
193	139
34	189
0	171
1	58
0	99
10	64
86	50
0	50
0	102
0	93
0	36
0	93
0	77
0	1
0	227
7	230
12	181
10	154
62	73
2	7
5	11
1	0
0	0
1	3
0	102
0	93
16	102
7	250
23	271
0	192
8	33
0	0
0	0
21	6
4	4
0	3
77	305
19	266
1	260
9	263
13	208
85	136
0	112
2	35
8	13
152	202
0	258
8	199
2	241
94	144
4	131
14	137
0	0
0	0
2	1
47	7
97	54
0	492
1	363
0	265
1	296
3	41
0	114
23	82
14	73
18	73
0	74
5	242
0	209
0	216
0	245
0	249
94	282
0	262
0	167
0	155
0	6
39	21
0	16
0	10
0	10
0	11
0	13
0	11
0	10
0	100
0	96
0	58
0	50
4	71
43	205
15	144
0	183
3	16
0	5
7	358
0	227
20	112
2	105
7	94
0	54
2	54
3	54
0	56
0	4
0	4
0	4
0	20
0	20
1	23
0	13
0	21
93	301
23	275
66	285
0	76
159	609
1	581
0	555
0	341
0	1
2	3
0	1
0	181
0	157
21	200
20	142
4	96
0	76
50	19
11	23
20	22
0	13
17	218
11	62
143	36
1	64
2	113
2	49
2	73
0	22
0	102
7	99
0	48
0	9
0	1
1	27
0	7
0	12
0	5
0	4
0	21
0	7
0	8
0	2
2	0
1	0
0	19
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	1
6	423
385	144
0	41
1	26
1	44
3	38
7	84
2	70
22	117
9	78
6	72
10	86
44	0
22	283
0	180
3	192
0	192
26	226
0	242
33	62
19	691
36	462
0	690
49	303
4	32
0	13
5	31
0	16
17	21
248	86
0	34
14	386
0	349
0	360
0	257
0	170
0	169
0	201
7	186
0	431
16	434
0	413
0	410
0	399
9	362
0	268
0	311
21	438
0	0
0	2
0	34
59	380
91	398
268	290
28	72
3	74
91	28
15	3
8	2
19	172
28	81
7	85
12	29
0	33
5	25
0	2
0	2
2	3
1	3
0	2
0	1
0	2
8	7
0	0
19	20
0	4
210	544
33	615
0	375
94	212
0	203
1	198
0	144
63	34
0	0
8	176
0	184
28	161
0	75
0	0
98	119
0	93
38	81
48	56
0	56
0	80
0	154
103	1405
250	1387
0	1270
0	692
19	69
101	73
0	48
7	105
0	80
8	101
25	76
0	32
4	10
0	10
5	10
0	8
0	12
0	0
11	0
0	0
0	0
0	0
2	10
0	56
136	43
213	14
0	37
66	20
2	0
4	11
0	31
743	3810
0	3864
1585	2565
0	3724
0	3311
0	3487
20	1569
113	115
0	90
4	90
12	225
303	255
47	539
16	334
0	387
20	304
14	391
7	253
0	331
12	54
82	1048
0	1047
5	1496
11	1518
86	1224
132	1010
0	140
0	271
0	271
0	292
2	286
0	289
20	303
0	302
0	261
0	159
0	134
265	66
321	295
14	134
12	56
887	302
0	0
0	0
0	0
0	0
130	151
9	52
15	41
0	32
39	48
0	6
8	196
1	200
0	72
21	262
21	46
0	61
6	74
0	57
0	42
1	42
0	21
0	27
22	44
2	12
8	259
35	1
18	513
0	609
4	682
2	517
0	226
9	261
0	250
29	324
13	22
26	92
33	72
293	293
84	104
36	246
0	0
0	0
0	0
0	212
0	184
7	166
0	202
3	149
1	18
11	25
2	15
0	24
0	14
3	35
0	41
2	147
3	79
8	40
4	70
0	37
0	36
194	1002
1	887
0	552
0	363
115	173
0	3
0	21
23	37
2	39
0	27
0	12
0	16
0	2
0	2
0	0
0	39
1	49
0	36
0	28
0	25
0	11
2	47
0	35
0	36
0	38
1	36
0	36
0	41
0	36
12	48
0	76
1	40
3	16
4	170
23	45
0	1
0	1
0	1
3	0
60	15
0	5
2	8
0	1
0	2
0	3
6	100
0	99
1	67
0	65
0	84
0	74
1	70
0	13
0	3
8	3
0	3
0	0
0	13
0	3
0	1922
5	1613
0	1823
0	2051
0	1422
36	2020
13	1834
0	1829
8	1684
0	1982
0	1980
0	1979
0	1969
0	1970
0	1941
8	64
0	56
0	49
0	45
0	40
0	31
0	41
1	19
0	0
0	110
0	110
2	75
18	89
34	125
19	173
0	189
32	85
0	130
0	15
6	15
0	3
0	25
1	26
5	21
5	26
4	12
1	12
0	9
787	917
355	293
0	550
0	512
7	512
3	473
3	294
11	4
6	26
0	22
52	235
0	0
0	0
0	0
19	39
0	20
2	16
0	13
0	8
0	498
0	429
1	134
36	324
2	91
0	78
1	117
4	111
2	17
0	22
180	524
618	739
29	466
0	730
0	779
275	680
62	299
80	218
36	18
0	303
0	214
0	778
0	685
0	569
21	641
0	559
0	463
6	419
25	325
1	421
3	364
10	31
0	219
3	208
15	369
2	288
0	290
2	316
0	456
0	317
0	256
0	170
1	346
2	243
58	185
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	3
0	2
0	13
0	30
0	11
0	0
0	0
0	0
0	2
1	13
0	1
0	13
0	10
0	18
0	18
6	17
0	16
0	11
0	18
1	950
11	880
22	839
0	834
0	1043
24	668
0	624
0	467
3	543
33	562
45	586
2	360
28	218
0	196
5	112
28	111
0	82
0	42
3	793
14	438
42	274
0	294
0	118
0	153
19	165
0	1
0	0
0	0
19	19
0	0
0	0
0	1
0	1
0	0
0	3
0	1
0	1
0	0
0	1
0	444
0	509
0	261
0	362
0	137
9	426
0	166
0	178
58	258
0	171
0	475
0	511
0	444
478	777
33	426
0	163
8	160
6	182
0	115
17	40
11	49
0	51
5	136
0	32
0	67
0	49
2	47
3	44
39	48
4	629
19	668
0	515
1	690
2	666
0	644
0	640
0	666
29	891
11	318
12	719
0	640
0	683
0	658
0	673
0	641
0	634
130	55
1	84
0	99
1	79
0	91
0	86
0	0
19	167
60	212
136	24
3	21
4	18
1	49
1	7
8	46
0	17
