UniqueCount	AmbigCount
3	118
0	112
0	59
4	48
0	77
0	58
22	40
7	61
0	47
0	25
0	37
1	29
8	34
0	15
0	15
0	4
0	0
6	3
17	7548
9414	8306
4	2398
3	222
1774	5099
5	3537
0	140
0	130
0	100
5	143
62	99
0	80
0	75
7	77
0	75
0	74
18	71
0	53
21	18
1	1
0	0
0	181
8	190
2	178
1	171
1	156
2	72
1	56
0	0
0	0
0	0
0	0
17	25
0	46
11	49
0	55
1	49
0	55
24	109
0	49
2	40
0	2
0	23
0	11
0	12
0	11
0	11
58	3868
21	2099
1	1409
2	813
0	897
198	3309
22	2873
25	76
25	88
7	84
11	103
19	89
0	46
0	45
0	31
0	59
1	40
0	35
17	30
0	30
0	9
37	2703
0	3081
0	3081
336	2479
1442	1699
10	25
32	80
0	38
0	45
0	36
0	66
0	60
0	82
0	268
43	334
279	336
91	380
0	266
2	132
0	42
78	115
8	178
0	176
13	69
0	14
2	13
0	9
37	44
2	19
5	383
2	351
31	360
0	336
65	234
0	3
4	1
1	55
0	55
5	55
0	50
3	45
3	12
0	4
1	2
0	2
3	9
0	16
15	30
4	15
2	111
0	113
1	129
0	93
3	94
66	31
23	38
3	59
0	52
0	51
36	62
0	1
8	230
0	228
7	224
6	278
13	113
0	5
0	26
0	107
0	56
0	55
0	60
0	43
0	35
31	106
3	69
8	77
27	30
0	7
1	661
338	1163
8	137
0	75
30	132
66	41
34	65
0	28
45	105
6	214
0	172
0	187
16	203
0	83
0	135
1	4
2	13
4	21
0	11
0	6
0	1
1	170
38	11
0	170
0	0
0	0
0	0
753	2223
207	1929
0	1029
474	1978
1	28
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
1	148
0	150
0	161
0	152
0	77
10	114
3	107
0	111
52	42
0	72
0	72
2	4
0	6
1	4
6	30
2	61
10	34
12	100
32	44
0	178
142	121
6	150
0	1
12	15
2	2
13	11
0	10
0	18
0	3
2	9
0	33
0	31
0	32
0	25
1	37
0	15
0	1
0	1
1	172
6	145
1	158
9	116
566	419
8	848
945	961
121	1113
1	623
0	4
0	3
0	10
0	2
0	10
1	3
0	2
0	4
0	0
1	0
0	1
0	1
0	0
0	0
0	206
13	199
0	196
0	93
0	92
2	191
0	44
2	17
0	2
10	18
21	44
196	277
4	27
0	195
0	1
0	1
0	4
0	4
2	1
0	1
1	4
0	14
0	11
0	10
102	56
6	3
0	36
3	30
16	107
25	60
35	55
0	45
1	51
4	31
10	73
7	68
1	74
56	58
0	89
0	59
3	69
0	144
0	76
23	63
32	85
25	36
2	7
0	18
0	14
0	14
0	54
0	36
2	37
0	135
3	155
2	95
26	146
0	135
2	51
0	8
156	257
31	211
44	90
0	126
186	227
0	461
0	422
0	428
5	450
0	450
0	401
3	394
2	417
10	459
0	422
0	449
0	446
1	433
0	289
0	422
14	617
0	454
0	395
0	440
4	625
0	443
0	51
0	74
0	107
9	107
5	103
9	18
2	76
0	176
1	119
41	198
0	184
0	170
0	77
0	160
0	152
2	96
0	117
5	83
69	55
1	80
23	48
2	15
0	34
81	43
0	72
2	48
0	18
3	16
1	19
2	7
0	8
5	7
0	2
